,address1,city,state,zip,country,phone,industry,sector,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,sharesOutstanding,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,604 Arizona Avenue,Santa Monica,CA,90401,United States,323-373-3515,Household & Personal Products,Consumer Defensive,"RegalWorks Media, Inc. operates as an independent multimedia studio in California. It focuses on acquiring, producing, distributing, and managing feature films. The company was founded in 1994 and is based in Santa Monica, California.","{'maxAge': 1, 'name': 'Ms. Marcia  Allen', 'age': 72, 'title': 'Chief Financial Officer and Director', 'yearBorn': 1950, 'fiscalYear': 2013, 'totalPay': 10100, 'exercisedValue': 0, 'unexercisedValue': 0}",1388448000,86400,4,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.0,-1.023513,65,65,2894,0,0,0.0,0.0,0,0,2311275,0.02,0.15,0.08174,0.06242375,0.0,0.0,USD,2861766,0.0,15408500,-0.071,1388448000,1419984000,1388448000,-1505864,-1.43,1:25,1377475200,PNK,EQUITY,RWMI,RWMI,REGALWORKS MEDIA INC,"RegalWorks Media, Inc.",1366896600,America/New_York,EDT,-14400000,0.15,none,91,0.0,550585,0.0,0.0,-250339,0.0,0.0,0.0,USD,
1,604 Arizona Avenue,Santa Monica,CA,90401,United States,323-373-3515,Household & Personal Products,Consumer Defensive,"RegalWorks Media, Inc. operates as an independent multimedia studio in California. It focuses on acquiring, producing, distributing, and managing feature films. The company was founded in 1994 and is based in Santa Monica, California.","{'maxAge': 1, 'name': 'Mr. Kenneth C. Herfurth', 'title': 'VP of Bus. Devel.', 'exercisedValue': 0, 'unexercisedValue': 0}",1388448000,86400,4,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.0,-1.023513,65,65,2894,0,0,0.0,0.0,0,0,2311275,0.02,0.15,0.08174,0.06242375,0.0,0.0,USD,2861766,0.0,15408500,-0.071,1388448000,1419984000,1388448000,-1505864,-1.43,1:25,1377475200,PNK,EQUITY,RWMI,RWMI,REGALWORKS MEDIA INC,"RegalWorks Media, Inc.",1366896600,America/New_York,EDT,-14400000,0.15,none,91,0.0,550585,0.0,0.0,-250339,0.0,0.0,0.0,USD,
