,address1,address2,city,state,zip,country,website,industry,sector,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,returnOnAssets,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,82 Richmond Street East,Suite 200,Toronto,ON,M5C 1P1,Canada,https://www.soperiorfertilizer.com,Other Industrial Metals & Mining,Basic Materials,"SOPerior Fertilizer Corp. engages in the exploration, evaluation, and development of mineral properties and related projects in the United States and Canada. The company explores for alunite deposits to produce sulphate of potash, sulphuric acid, and alumina. Its principal mineral project is the Blawn Mountain project covering an area of approximately 15,404 acres located in Beaver County, Utah. The company was formerly known as Potash Ridge Corporation and changed its name to SOPerior Fertilizer Corp. in June 2018. SOPerior Fertilizer Corp. was incorporated in 2011 and is based in Toronto, Canada.","{'maxAge': 1, 'name': 'Mr. Andrew  Squires B.Sc., P. Eng, P.Eng.', 'title': 'CEO, Pres, COO & Director', 'fiscalYear': 2018, 'totalPay': 184626, 'exercisedValue': 0, 'unexercisedValue': 0}",1546214400,86400,4,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,2.194563,17700,17700,3946,1770,1770,0.0,0.0,0,0,3959889,0.0001,0.0482,0.009936,0.0241235,0.0,0.0,USD,4685954,0.0,267608000,0.0,0.0,-0.021,1672444800,1703980800,1688083200,-1124134,-0.01,PNK,EQUITY,POTRF,POTRF,SOPERIOR FERTILIZER CORP,SOPerior Fertilizer Corp.,1375191000,America/New_York,EDT,-14400000,0.01,none,96385,0.0,2106263,0.017,0.033,-1.8610001,1060459,-911789,0.0,0.0,0.0,CAD,
1,82 Richmond Street East,Suite 200,Toronto,ON,M5C 1P1,Canada,https://www.soperiorfertilizer.com,Other Industrial Metals & Mining,Basic Materials,"SOPerior Fertilizer Corp. engages in the exploration, evaluation, and development of mineral properties and related projects in the United States and Canada. The company explores for alunite deposits to produce sulphate of potash, sulphuric acid, and alumina. Its principal mineral project is the Blawn Mountain project covering an area of approximately 15,404 acres located in Beaver County, Utah. The company was formerly known as Potash Ridge Corporation and changed its name to SOPerior Fertilizer Corp. in June 2018. SOPerior Fertilizer Corp. was incorporated in 2011 and is based in Toronto, Canada.","{'maxAge': 1, 'name': 'Ms. Olga  Nikitovic C.A., CPA, CA, CPA', 'age': 60, 'title': 'Chief Financial Officer', 'yearBorn': 1962, 'fiscalYear': 2018, 'totalPay': 511770, 'exercisedValue': 0, 'unexercisedValue': 0}",1546214400,86400,4,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,2.194563,17700,17700,3946,1770,1770,0.0,0.0,0,0,3959889,0.0001,0.0482,0.009936,0.0241235,0.0,0.0,USD,4685954,0.0,267608000,0.0,0.0,-0.021,1672444800,1703980800,1688083200,-1124134,-0.01,PNK,EQUITY,POTRF,POTRF,SOPERIOR FERTILIZER CORP,SOPerior Fertilizer Corp.,1375191000,America/New_York,EDT,-14400000,0.01,none,96385,0.0,2106263,0.017,0.033,-1.8610001,1060459,-911789,0.0,0.0,0.0,CAD,
