,address1,city,zip,country,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,fiveYearAvgDividendYield,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,20 Old Bailey,London,EC4M 7AN,United Kingdom,https://www.thephoenixgroup.com,Insurance—Life,Financial Services,"Phoenix Group Holdings plc operates in the long-term savings and retirement business in Europe. The company operates through four segments: UK Heritage, UK Open, Europe, and Management Services. It provides a range of pensions and savings products to support people across various stages of the savings life cycle. In addition, the company offers workplace pensions, savings for retirement, pension consolidation, and pensions and saving related products. It has a strategic partnership with abrdn plc, TCS, and HSBC. Phoenix Group Holdings plc was founded in 1782 and is based in London, the United Kingdom.",6800,"{'maxAge': 1, 'name': 'Mr. Andrew David Briggs FIA, M.B.E.', 'age': 56, 'title': 'Group CEO & Director', 'yearBorn': 1966, 'fiscalYear': 2022, 'totalPay': 1958000, 'exercisedValue': 645224, 'unexercisedValue': 0}",2,7,1,1,4,1693526400,1672444800,86400,2,537.8,542.0,535.0,546.64,537.8,542.0,535.0,546.64,0.52,0.0967,1680134400,7.45,0.782282,6.6354218,4614795,4614795,2297100,2673504,2673504,500.0,640.0,0,0,5387262976,501.0,647.0,-0.17718929,530.604,574.282,0.508,0.0009445891,GBp,9973727232,0.0,831893717,1001350016,0.14908,0.57942003,4.663,115.376366,1672444800,1703980800,1672444800,-1851000064,-1.85,81.08,27:26,1333497600,-0.328,-8.202,LSE,EQUITY,PHNX.L,PHNX.L,PHOENIX GROUP HOLDINGS PLC ORD ,Phoenix Group Holdings plc,1258444800,Europe/London,BST,3600000,538.0,770.0,560.0,668.33,680.0,2.4,buy,15,4310000128,4.317,-1216000000,8381000192,0.035,0.254,-30403999744,161.577,-30.434,-0.00252,-0.29475,331000000,-18544125952,866000000,0.0,0.0,0.04101,GBP,
1,20 Old Bailey,London,EC4M 7AN,United Kingdom,https://www.thephoenixgroup.com,Insurance—Life,Financial Services,"Phoenix Group Holdings plc operates in the long-term savings and retirement business in Europe. The company operates through four segments: UK Heritage, UK Open, Europe, and Management Services. It provides a range of pensions and savings products to support people across various stages of the savings life cycle. In addition, the company offers workplace pensions, savings for retirement, pension consolidation, and pensions and saving related products. It has a strategic partnership with abrdn plc, TCS, and HSBC. Phoenix Group Holdings plc was founded in 1782 and is based in London, the United Kingdom.",6800,"{'maxAge': 1, 'name': 'Mr. Rakesh Kishore Thakrar', 'age': 47, 'title': 'Group CFO & Exec. Director', 'yearBorn': 1975, 'fiscalYear': 2022, 'totalPay': 1135000, 'exercisedValue': 93763, 'unexercisedValue': 228012}",2,7,1,1,4,1693526400,1672444800,86400,2,537.8,542.0,535.0,546.64,537.8,542.0,535.0,546.64,0.52,0.0967,1680134400,7.45,0.782282,6.6354218,4614795,4614795,2297100,2673504,2673504,500.0,640.0,0,0,5387262976,501.0,647.0,-0.17718929,530.604,574.282,0.508,0.0009445891,GBp,9973727232,0.0,831893717,1001350016,0.14908,0.57942003,4.663,115.376366,1672444800,1703980800,1672444800,-1851000064,-1.85,81.08,27:26,1333497600,-0.328,-8.202,LSE,EQUITY,PHNX.L,PHNX.L,PHOENIX GROUP HOLDINGS PLC ORD ,Phoenix Group Holdings plc,1258444800,Europe/London,BST,3600000,538.0,770.0,560.0,668.33,680.0,2.4,buy,15,4310000128,4.317,-1216000000,8381000192,0.035,0.254,-30403999744,161.577,-30.434,-0.00252,-0.29475,331000000,-18544125952,866000000,0.0,0.0,0.04101,GBP,
2,20 Old Bailey,London,EC4M 7AN,United Kingdom,https://www.thephoenixgroup.com,Insurance—Life,Financial Services,"Phoenix Group Holdings plc operates in the long-term savings and retirement business in Europe. The company operates through four segments: UK Heritage, UK Open, Europe, and Management Services. It provides a range of pensions and savings products to support people across various stages of the savings life cycle. In addition, the company offers workplace pensions, savings for retirement, pension consolidation, and pensions and saving related products. It has a strategic partnership with abrdn plc, TCS, and HSBC. Phoenix Group Holdings plc was founded in 1782 and is based in London, the United Kingdom.",6800,"{'maxAge': 1, 'name': 'Ms. Jacqueline Dorothy Mary Noakes', 'age': 61, 'title': 'Chief Operating Officer', 'yearBorn': 1961, 'exercisedValue': 0, 'unexercisedValue': 0}",2,7,1,1,4,1693526400,1672444800,86400,2,537.8,542.0,535.0,546.64,537.8,542.0,535.0,546.64,0.52,0.0967,1680134400,7.45,0.782282,6.6354218,4614795,4614795,2297100,2673504,2673504,500.0,640.0,0,0,5387262976,501.0,647.0,-0.17718929,530.604,574.282,0.508,0.0009445891,GBp,9973727232,0.0,831893717,1001350016,0.14908,0.57942003,4.663,115.376366,1672444800,1703980800,1672444800,-1851000064,-1.85,81.08,27:26,1333497600,-0.328,-8.202,LSE,EQUITY,PHNX.L,PHNX.L,PHOENIX GROUP HOLDINGS PLC ORD ,Phoenix Group Holdings plc,1258444800,Europe/London,BST,3600000,538.0,770.0,560.0,668.33,680.0,2.4,buy,15,4310000128,4.317,-1216000000,8381000192,0.035,0.254,-30403999744,161.577,-30.434,-0.00252,-0.29475,331000000,-18544125952,866000000,0.0,0.0,0.04101,GBP,
3,20 Old Bailey,London,EC4M 7AN,United Kingdom,https://www.thephoenixgroup.com,Insurance—Life,Financial Services,"Phoenix Group Holdings plc operates in the long-term savings and retirement business in Europe. The company operates through four segments: UK Heritage, UK Open, Europe, and Management Services. It provides a range of pensions and savings products to support people across various stages of the savings life cycle. In addition, the company offers workplace pensions, savings for retirement, pension consolidation, and pensions and saving related products. It has a strategic partnership with abrdn plc, TCS, and HSBC. Phoenix Group Holdings plc was founded in 1782 and is based in London, the United Kingdom.",6800,"{'maxAge': 1, 'name': 'Mr. Michael John Eakins', 'age': 47, 'title': 'Group Chief Investment Officer', 'yearBorn': 1975, 'exercisedValue': 0, 'unexercisedValue': 0}",2,7,1,1,4,1693526400,1672444800,86400,2,537.8,542.0,535.0,546.64,537.8,542.0,535.0,546.64,0.52,0.0967,1680134400,7.45,0.782282,6.6354218,4614795,4614795,2297100,2673504,2673504,500.0,640.0,0,0,5387262976,501.0,647.0,-0.17718929,530.604,574.282,0.508,0.0009445891,GBp,9973727232,0.0,831893717,1001350016,0.14908,0.57942003,4.663,115.376366,1672444800,1703980800,1672444800,-1851000064,-1.85,81.08,27:26,1333497600,-0.328,-8.202,LSE,EQUITY,PHNX.L,PHNX.L,PHOENIX GROUP HOLDINGS PLC ORD ,Phoenix Group Holdings plc,1258444800,Europe/London,BST,3600000,538.0,770.0,560.0,668.33,680.0,2.4,buy,15,4310000128,4.317,-1216000000,8381000192,0.035,0.254,-30403999744,161.577,-30.434,-0.00252,-0.29475,331000000,-18544125952,866000000,0.0,0.0,0.04101,GBP,
4,20 Old Bailey,London,EC4M 7AN,United Kingdom,https://www.thephoenixgroup.com,Insurance—Life,Financial Services,"Phoenix Group Holdings plc operates in the long-term savings and retirement business in Europe. The company operates through four segments: UK Heritage, UK Open, Europe, and Management Services. It provides a range of pensions and savings products to support people across various stages of the savings life cycle. In addition, the company offers workplace pensions, savings for retirement, pension consolidation, and pensions and saving related products. It has a strategic partnership with abrdn plc, TCS, and HSBC. Phoenix Group Holdings plc was founded in 1782 and is based in London, the United Kingdom.",6800,"{'maxAge': 1, 'name': 'Ms. Claire  Hawkins', 'title': 'Corp. Affairs & Investor Relations Director', 'exercisedValue': 0, 'unexercisedValue': 0}",2,7,1,1,4,1693526400,1672444800,86400,2,537.8,542.0,535.0,546.64,537.8,542.0,535.0,546.64,0.52,0.0967,1680134400,7.45,0.782282,6.6354218,4614795,4614795,2297100,2673504,2673504,500.0,640.0,0,0,5387262976,501.0,647.0,-0.17718929,530.604,574.282,0.508,0.0009445891,GBp,9973727232,0.0,831893717,1001350016,0.14908,0.57942003,4.663,115.376366,1672444800,1703980800,1672444800,-1851000064,-1.85,81.08,27:26,1333497600,-0.328,-8.202,LSE,EQUITY,PHNX.L,PHNX.L,PHOENIX GROUP HOLDINGS PLC ORD ,Phoenix Group Holdings plc,1258444800,Europe/London,BST,3600000,538.0,770.0,560.0,668.33,680.0,2.4,buy,15,4310000128,4.317,-1216000000,8381000192,0.035,0.254,-30403999744,161.577,-30.434,-0.00252,-0.29475,331000000,-18544125952,866000000,0.0,0.0,0.04101,GBP,
5,20 Old Bailey,London,EC4M 7AN,United Kingdom,https://www.thephoenixgroup.com,Insurance—Life,Financial Services,"Phoenix Group Holdings plc operates in the long-term savings and retirement business in Europe. The company operates through four segments: UK Heritage, UK Open, Europe, and Management Services. It provides a range of pensions and savings products to support people across various stages of the savings life cycle. In addition, the company offers workplace pensions, savings for retirement, pension consolidation, and pensions and saving related products. It has a strategic partnership with abrdn plc, TCS, and HSBC. Phoenix Group Holdings plc was founded in 1782 and is based in London, the United Kingdom.",6800,"{'maxAge': 1, 'name': 'Mr. Quentin  Zentner', 'title': 'Group Gen. Counsel', 'exercisedValue': 0, 'unexercisedValue': 0}",2,7,1,1,4,1693526400,1672444800,86400,2,537.8,542.0,535.0,546.64,537.8,542.0,535.0,546.64,0.52,0.0967,1680134400,7.45,0.782282,6.6354218,4614795,4614795,2297100,2673504,2673504,500.0,640.0,0,0,5387262976,501.0,647.0,-0.17718929,530.604,574.282,0.508,0.0009445891,GBp,9973727232,0.0,831893717,1001350016,0.14908,0.57942003,4.663,115.376366,1672444800,1703980800,1672444800,-1851000064,-1.85,81.08,27:26,1333497600,-0.328,-8.202,LSE,EQUITY,PHNX.L,PHNX.L,PHOENIX GROUP HOLDINGS PLC ORD ,Phoenix Group Holdings plc,1258444800,Europe/London,BST,3600000,538.0,770.0,560.0,668.33,680.0,2.4,buy,15,4310000128,4.317,-1216000000,8381000192,0.035,0.254,-30403999744,161.577,-30.434,-0.00252,-0.29475,331000000,-18544125952,866000000,0.0,0.0,0.04101,GBP,
6,20 Old Bailey,London,EC4M 7AN,United Kingdom,https://www.thephoenixgroup.com,Insurance—Life,Financial Services,"Phoenix Group Holdings plc operates in the long-term savings and retirement business in Europe. The company operates through four segments: UK Heritage, UK Open, Europe, and Management Services. It provides a range of pensions and savings products to support people across various stages of the savings life cycle. In addition, the company offers workplace pensions, savings for retirement, pension consolidation, and pensions and saving related products. It has a strategic partnership with abrdn plc, TCS, and HSBC. Phoenix Group Holdings plc was founded in 1782 and is based in London, the United Kingdom.",6800,"{'maxAge': 1, 'name': 'Shellie  Wells', 'title': 'Head of Corp. Communications', 'exercisedValue': 0, 'unexercisedValue': 0}",2,7,1,1,4,1693526400,1672444800,86400,2,537.8,542.0,535.0,546.64,537.8,542.0,535.0,546.64,0.52,0.0967,1680134400,7.45,0.782282,6.6354218,4614795,4614795,2297100,2673504,2673504,500.0,640.0,0,0,5387262976,501.0,647.0,-0.17718929,530.604,574.282,0.508,0.0009445891,GBp,9973727232,0.0,831893717,1001350016,0.14908,0.57942003,4.663,115.376366,1672444800,1703980800,1672444800,-1851000064,-1.85,81.08,27:26,1333497600,-0.328,-8.202,LSE,EQUITY,PHNX.L,PHNX.L,PHOENIX GROUP HOLDINGS PLC ORD ,Phoenix Group Holdings plc,1258444800,Europe/London,BST,3600000,538.0,770.0,560.0,668.33,680.0,2.4,buy,15,4310000128,4.317,-1216000000,8381000192,0.035,0.254,-30403999744,161.577,-30.434,-0.00252,-0.29475,331000000,-18544125952,866000000,0.0,0.0,0.04101,GBP,
7,20 Old Bailey,London,EC4M 7AN,United Kingdom,https://www.thephoenixgroup.com,Insurance—Life,Financial Services,"Phoenix Group Holdings plc operates in the long-term savings and retirement business in Europe. The company operates through four segments: UK Heritage, UK Open, Europe, and Management Services. It provides a range of pensions and savings products to support people across various stages of the savings life cycle. In addition, the company offers workplace pensions, savings for retirement, pension consolidation, and pensions and saving related products. It has a strategic partnership with abrdn plc, TCS, and HSBC. Phoenix Group Holdings plc was founded in 1782 and is based in London, the United Kingdom.",6800,"{'maxAge': 1, 'name': 'Ms. Anna  Franekova', 'title': 'Corp. Devel. Director', 'exercisedValue': 0, 'unexercisedValue': 0}",2,7,1,1,4,1693526400,1672444800,86400,2,537.8,542.0,535.0,546.64,537.8,542.0,535.0,546.64,0.52,0.0967,1680134400,7.45,0.782282,6.6354218,4614795,4614795,2297100,2673504,2673504,500.0,640.0,0,0,5387262976,501.0,647.0,-0.17718929,530.604,574.282,0.508,0.0009445891,GBp,9973727232,0.0,831893717,1001350016,0.14908,0.57942003,4.663,115.376366,1672444800,1703980800,1672444800,-1851000064,-1.85,81.08,27:26,1333497600,-0.328,-8.202,LSE,EQUITY,PHNX.L,PHNX.L,PHOENIX GROUP HOLDINGS PLC ORD ,Phoenix Group Holdings plc,1258444800,Europe/London,BST,3600000,538.0,770.0,560.0,668.33,680.0,2.4,buy,15,4310000128,4.317,-1216000000,8381000192,0.035,0.254,-30403999744,161.577,-30.434,-0.00252,-0.29475,331000000,-18544125952,866000000,0.0,0.0,0.04101,GBP,
8,20 Old Bailey,London,EC4M 7AN,United Kingdom,https://www.thephoenixgroup.com,Insurance—Life,Financial Services,"Phoenix Group Holdings plc operates in the long-term savings and retirement business in Europe. The company operates through four segments: UK Heritage, UK Open, Europe, and Management Services. It provides a range of pensions and savings products to support people across various stages of the savings life cycle. In addition, the company offers workplace pensions, savings for retirement, pension consolidation, and pensions and saving related products. It has a strategic partnership with abrdn plc, TCS, and HSBC. Phoenix Group Holdings plc was founded in 1782 and is based in London, the United Kingdom.",6800,"{'maxAge': 1, 'name': 'Ms. Sara  Thompson', 'title': 'Group HR Director', 'exercisedValue': 0, 'unexercisedValue': 0}",2,7,1,1,4,1693526400,1672444800,86400,2,537.8,542.0,535.0,546.64,537.8,542.0,535.0,546.64,0.52,0.0967,1680134400,7.45,0.782282,6.6354218,4614795,4614795,2297100,2673504,2673504,500.0,640.0,0,0,5387262976,501.0,647.0,-0.17718929,530.604,574.282,0.508,0.0009445891,GBp,9973727232,0.0,831893717,1001350016,0.14908,0.57942003,4.663,115.376366,1672444800,1703980800,1672444800,-1851000064,-1.85,81.08,27:26,1333497600,-0.328,-8.202,LSE,EQUITY,PHNX.L,PHNX.L,PHOENIX GROUP HOLDINGS PLC ORD ,Phoenix Group Holdings plc,1258444800,Europe/London,BST,3600000,538.0,770.0,560.0,668.33,680.0,2.4,buy,15,4310000128,4.317,-1216000000,8381000192,0.035,0.254,-30403999744,161.577,-30.434,-0.00252,-0.29475,331000000,-18544125952,866000000,0.0,0.0,0.04101,GBP,
9,20 Old Bailey,London,EC4M 7AN,United Kingdom,https://www.thephoenixgroup.com,Insurance—Life,Financial Services,"Phoenix Group Holdings plc operates in the long-term savings and retirement business in Europe. The company operates through four segments: UK Heritage, UK Open, Europe, and Management Services. It provides a range of pensions and savings products to support people across various stages of the savings life cycle. In addition, the company offers workplace pensions, savings for retirement, pension consolidation, and pensions and saving related products. It has a strategic partnership with abrdn plc, TCS, and HSBC. Phoenix Group Holdings plc was founded in 1782 and is based in London, the United Kingdom.",6800,"{'maxAge': 1, 'name': 'Mr. Jonathan  Pears', 'title': 'Group Chief Risk Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",2,7,1,1,4,1693526400,1672444800,86400,2,537.8,542.0,535.0,546.64,537.8,542.0,535.0,546.64,0.52,0.0967,1680134400,7.45,0.782282,6.6354218,4614795,4614795,2297100,2673504,2673504,500.0,640.0,0,0,5387262976,501.0,647.0,-0.17718929,530.604,574.282,0.508,0.0009445891,GBp,9973727232,0.0,831893717,1001350016,0.14908,0.57942003,4.663,115.376366,1672444800,1703980800,1672444800,-1851000064,-1.85,81.08,27:26,1333497600,-0.328,-8.202,LSE,EQUITY,PHNX.L,PHNX.L,PHOENIX GROUP HOLDINGS PLC ORD ,Phoenix Group Holdings plc,1258444800,Europe/London,BST,3600000,538.0,770.0,560.0,668.33,680.0,2.4,buy,15,4310000128,4.317,-1216000000,8381000192,0.035,0.254,-30403999744,161.577,-30.434,-0.00252,-0.29475,331000000,-18544125952,866000000,0.0,0.0,0.04101,GBP,
