,address1,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,44 Hersha Drive,Harrisburg,PA,17102-2241,United States,717 236 4400,717 774 7383,https://www.hersha.com,REIT—Hotel & Motel,Real Estate,"Hersha Hospitality Trust (HT) is a self-advised real estate investment trust in the hospitality sector, which owns and operates luxury and lifestyle hotels in coastal gateway and resort markets. The Company's 25 hotels totaling 3,811 rooms are located in New York, Washington, DC, Boston, Philadelphia, South Florida, and California. The Company's common shares are traded on The New York Stock Exchange under the ticker HT.",27,"{'maxAge': 1, 'name': 'Mr. Jay H. Shah', 'age': 53, 'title': 'Exec. Chairman of Board', 'yearBorn': 1969, 'fiscalYear': 2022, 'totalPay': 825835, 'exercisedValue': 0, 'unexercisedValue': 0}",2,7,3,7,5,1693526400,1672444800,86400,2,9.84,9.84,9.84,9.89,9.84,9.84,9.84,9.89,0.2,0.020299999,1695859200,0.0643,1.904218,3.1639874,-15.375001,1315488,1315488,896375,1303340,1303340,9.85,9.88,1800,4000,411903392,5.64,10.31,1.1019942,7.3088,7.4076,0.2,0.020325202,USD,916113344,0.41017,32792186,40104900,652867,823453,1690761600,1693440000,0.0163,0.20733,0.65388,0.49,0.020399999,16.621,0.5920221,1672444800,1703980800,1688083200,-0.083,127691000,3.11,-0.64,-0.51,1:4,1435017600,2.451,10.077,NYQ,EQUITY,HT,HT,Hersha Hospitality Trust,Hersha Hospitality Trust,916929000,America/New_York,EDT,-14400000,9.84,10.0,7.5,9.69,10.0,3.0,hold,8,158894000,3.962,90912000,601715968,0.885,0.971,373780000,80.743,9.436,0.01227,0.24884,133615000,291347488,61699000,-0.333,-0.21,0.30353,0.24322,0.08487,USD,
1,44 Hersha Drive,Harrisburg,PA,17102-2241,United States,717 236 4400,717 774 7383,https://www.hersha.com,REIT—Hotel & Motel,Real Estate,"Hersha Hospitality Trust (HT) is a self-advised real estate investment trust in the hospitality sector, which owns and operates luxury and lifestyle hotels in coastal gateway and resort markets. The Company's 25 hotels totaling 3,811 rooms are located in New York, Washington, DC, Boston, Philadelphia, South Florida, and California. The Company's common shares are traded on The New York Stock Exchange under the ticker HT.",27,"{'maxAge': 1, 'name': 'Mr. Neil H. Shah', 'age': 48, 'title': 'Pres, CEO & Director', 'yearBorn': 1974, 'fiscalYear': 2022, 'totalPay': 827487, 'exercisedValue': 0, 'unexercisedValue': 0}",2,7,3,7,5,1693526400,1672444800,86400,2,9.84,9.84,9.84,9.89,9.84,9.84,9.84,9.89,0.2,0.020299999,1695859200,0.0643,1.904218,3.1639874,-15.375001,1315488,1315488,896375,1303340,1303340,9.85,9.88,1800,4000,411903392,5.64,10.31,1.1019942,7.3088,7.4076,0.2,0.020325202,USD,916113344,0.41017,32792186,40104900,652867,823453,1690761600,1693440000,0.0163,0.20733,0.65388,0.49,0.020399999,16.621,0.5920221,1672444800,1703980800,1688083200,-0.083,127691000,3.11,-0.64,-0.51,1:4,1435017600,2.451,10.077,NYQ,EQUITY,HT,HT,Hersha Hospitality Trust,Hersha Hospitality Trust,916929000,America/New_York,EDT,-14400000,9.84,10.0,7.5,9.69,10.0,3.0,hold,8,158894000,3.962,90912000,601715968,0.885,0.971,373780000,80.743,9.436,0.01227,0.24884,133615000,291347488,61699000,-0.333,-0.21,0.30353,0.24322,0.08487,USD,
2,44 Hersha Drive,Harrisburg,PA,17102-2241,United States,717 236 4400,717 774 7383,https://www.hersha.com,REIT—Hotel & Motel,Real Estate,"Hersha Hospitality Trust (HT) is a self-advised real estate investment trust in the hospitality sector, which owns and operates luxury and lifestyle hotels in coastal gateway and resort markets. The Company's 25 hotels totaling 3,811 rooms are located in New York, Washington, DC, Boston, Philadelphia, South Florida, and California. The Company's common shares are traded on The New York Stock Exchange under the ticker HT.",27,"{'maxAge': 1, 'name': 'Mr. Ashish R. Parikh CPA', 'age': 52, 'title': 'CFO, Exec. VP & Assistant Sec.', 'yearBorn': 1970, 'fiscalYear': 2022, 'totalPay': 641715, 'exercisedValue': 0, 'unexercisedValue': 0}",2,7,3,7,5,1693526400,1672444800,86400,2,9.84,9.84,9.84,9.89,9.84,9.84,9.84,9.89,0.2,0.020299999,1695859200,0.0643,1.904218,3.1639874,-15.375001,1315488,1315488,896375,1303340,1303340,9.85,9.88,1800,4000,411903392,5.64,10.31,1.1019942,7.3088,7.4076,0.2,0.020325202,USD,916113344,0.41017,32792186,40104900,652867,823453,1690761600,1693440000,0.0163,0.20733,0.65388,0.49,0.020399999,16.621,0.5920221,1672444800,1703980800,1688083200,-0.083,127691000,3.11,-0.64,-0.51,1:4,1435017600,2.451,10.077,NYQ,EQUITY,HT,HT,Hersha Hospitality Trust,Hersha Hospitality Trust,916929000,America/New_York,EDT,-14400000,9.84,10.0,7.5,9.69,10.0,3.0,hold,8,158894000,3.962,90912000,601715968,0.885,0.971,373780000,80.743,9.436,0.01227,0.24884,133615000,291347488,61699000,-0.333,-0.21,0.30353,0.24322,0.08487,USD,
3,44 Hersha Drive,Harrisburg,PA,17102-2241,United States,717 236 4400,717 774 7383,https://www.hersha.com,REIT—Hotel & Motel,Real Estate,"Hersha Hospitality Trust (HT) is a self-advised real estate investment trust in the hospitality sector, which owns and operates luxury and lifestyle hotels in coastal gateway and resort markets. The Company's 25 hotels totaling 3,811 rooms are located in New York, Washington, DC, Boston, Philadelphia, South Florida, and California. The Company's common shares are traded on The New York Stock Exchange under the ticker HT.",27,"{'maxAge': 1, 'name': 'Mr. Michael R. Gillespie CPA', 'age': 49, 'title': 'Chief Accounting Officer, Exec. VP & Assistant Sec.', 'yearBorn': 1973, 'fiscalYear': 2022, 'totalPay': 391725, 'exercisedValue': 0, 'unexercisedValue': 0}",2,7,3,7,5,1693526400,1672444800,86400,2,9.84,9.84,9.84,9.89,9.84,9.84,9.84,9.89,0.2,0.020299999,1695859200,0.0643,1.904218,3.1639874,-15.375001,1315488,1315488,896375,1303340,1303340,9.85,9.88,1800,4000,411903392,5.64,10.31,1.1019942,7.3088,7.4076,0.2,0.020325202,USD,916113344,0.41017,32792186,40104900,652867,823453,1690761600,1693440000,0.0163,0.20733,0.65388,0.49,0.020399999,16.621,0.5920221,1672444800,1703980800,1688083200,-0.083,127691000,3.11,-0.64,-0.51,1:4,1435017600,2.451,10.077,NYQ,EQUITY,HT,HT,Hersha Hospitality Trust,Hersha Hospitality Trust,916929000,America/New_York,EDT,-14400000,9.84,10.0,7.5,9.69,10.0,3.0,hold,8,158894000,3.962,90912000,601715968,0.885,0.971,373780000,80.743,9.436,0.01227,0.24884,133615000,291347488,61699000,-0.333,-0.21,0.30353,0.24322,0.08487,USD,
4,44 Hersha Drive,Harrisburg,PA,17102-2241,United States,717 236 4400,717 774 7383,https://www.hersha.com,REIT—Hotel & Motel,Real Estate,"Hersha Hospitality Trust (HT) is a self-advised real estate investment trust in the hospitality sector, which owns and operates luxury and lifestyle hotels in coastal gateway and resort markets. The Company's 25 hotels totaling 3,811 rooms are located in New York, Washington, DC, Boston, Philadelphia, South Florida, and California. The Company's common shares are traded on The New York Stock Exchange under the ticker HT.",27,"{'maxAge': 1, 'name': 'Mr. Greg  Costa', 'title': 'Mang., Investor Relations & Fin.', 'exercisedValue': 0, 'unexercisedValue': 0}",2,7,3,7,5,1693526400,1672444800,86400,2,9.84,9.84,9.84,9.89,9.84,9.84,9.84,9.89,0.2,0.020299999,1695859200,0.0643,1.904218,3.1639874,-15.375001,1315488,1315488,896375,1303340,1303340,9.85,9.88,1800,4000,411903392,5.64,10.31,1.1019942,7.3088,7.4076,0.2,0.020325202,USD,916113344,0.41017,32792186,40104900,652867,823453,1690761600,1693440000,0.0163,0.20733,0.65388,0.49,0.020399999,16.621,0.5920221,1672444800,1703980800,1688083200,-0.083,127691000,3.11,-0.64,-0.51,1:4,1435017600,2.451,10.077,NYQ,EQUITY,HT,HT,Hersha Hospitality Trust,Hersha Hospitality Trust,916929000,America/New_York,EDT,-14400000,9.84,10.0,7.5,9.69,10.0,3.0,hold,8,158894000,3.962,90912000,601715968,0.885,0.971,373780000,80.743,9.436,0.01227,0.24884,133615000,291347488,61699000,-0.333,-0.21,0.30353,0.24322,0.08487,USD,
5,44 Hersha Drive,Harrisburg,PA,17102-2241,United States,717 236 4400,717 774 7383,https://www.hersha.com,REIT—Hotel & Motel,Real Estate,"Hersha Hospitality Trust (HT) is a self-advised real estate investment trust in the hospitality sector, which owns and operates luxury and lifestyle hotels in coastal gateway and resort markets. The Company's 25 hotels totaling 3,811 rooms are located in New York, Washington, DC, Boston, Philadelphia, South Florida, and California. The Company's common shares are traded on The New York Stock Exchange under the ticker HT.",27,"{'maxAge': 1, 'name': 'Ms. Stephanie  Galli', 'title': 'Sr. VP & Gen. Counsel', 'exercisedValue': 0, 'unexercisedValue': 0}",2,7,3,7,5,1693526400,1672444800,86400,2,9.84,9.84,9.84,9.89,9.84,9.84,9.84,9.89,0.2,0.020299999,1695859200,0.0643,1.904218,3.1639874,-15.375001,1315488,1315488,896375,1303340,1303340,9.85,9.88,1800,4000,411903392,5.64,10.31,1.1019942,7.3088,7.4076,0.2,0.020325202,USD,916113344,0.41017,32792186,40104900,652867,823453,1690761600,1693440000,0.0163,0.20733,0.65388,0.49,0.020399999,16.621,0.5920221,1672444800,1703980800,1688083200,-0.083,127691000,3.11,-0.64,-0.51,1:4,1435017600,2.451,10.077,NYQ,EQUITY,HT,HT,Hersha Hospitality Trust,Hersha Hospitality Trust,916929000,America/New_York,EDT,-14400000,9.84,10.0,7.5,9.69,10.0,3.0,hold,8,158894000,3.962,90912000,601715968,0.885,0.971,373780000,80.743,9.436,0.01227,0.24884,133615000,291347488,61699000,-0.333,-0.21,0.30353,0.24322,0.08487,USD,
6,44 Hersha Drive,Harrisburg,PA,17102-2241,United States,717 236 4400,717 774 7383,https://www.hersha.com,REIT—Hotel & Motel,Real Estate,"Hersha Hospitality Trust (HT) is a self-advised real estate investment trust in the hospitality sector, which owns and operates luxury and lifestyle hotels in coastal gateway and resort markets. The Company's 25 hotels totaling 3,811 rooms are located in New York, Washington, DC, Boston, Philadelphia, South Florida, and California. The Company's common shares are traded on The New York Stock Exchange under the ticker HT.",27,"{'maxAge': 1, 'name': 'Mr. William J. Walsh', 'title': 'Sr. VP of Asset Management', 'exercisedValue': 0, 'unexercisedValue': 0}",2,7,3,7,5,1693526400,1672444800,86400,2,9.84,9.84,9.84,9.89,9.84,9.84,9.84,9.89,0.2,0.020299999,1695859200,0.0643,1.904218,3.1639874,-15.375001,1315488,1315488,896375,1303340,1303340,9.85,9.88,1800,4000,411903392,5.64,10.31,1.1019942,7.3088,7.4076,0.2,0.020325202,USD,916113344,0.41017,32792186,40104900,652867,823453,1690761600,1693440000,0.0163,0.20733,0.65388,0.49,0.020399999,16.621,0.5920221,1672444800,1703980800,1688083200,-0.083,127691000,3.11,-0.64,-0.51,1:4,1435017600,2.451,10.077,NYQ,EQUITY,HT,HT,Hersha Hospitality Trust,Hersha Hospitality Trust,916929000,America/New_York,EDT,-14400000,9.84,10.0,7.5,9.69,10.0,3.0,hold,8,158894000,3.962,90912000,601715968,0.885,0.971,373780000,80.743,9.436,0.01227,0.24884,133615000,291347488,61699000,-0.333,-0.21,0.30353,0.24322,0.08487,USD,
7,44 Hersha Drive,Harrisburg,PA,17102-2241,United States,717 236 4400,717 774 7383,https://www.hersha.com,REIT—Hotel & Motel,Real Estate,"Hersha Hospitality Trust (HT) is a self-advised real estate investment trust in the hospitality sector, which owns and operates luxury and lifestyle hotels in coastal gateway and resort markets. The Company's 25 hotels totaling 3,811 rooms are located in New York, Washington, DC, Boston, Philadelphia, South Florida, and California. The Company's common shares are traded on The New York Stock Exchange under the ticker HT.",27,"{'maxAge': 1, 'name': 'Mr. David L. Desfor', 'age': 61, 'title': 'Treasurer & Corp. Sec.', 'yearBorn': 1961, 'fiscalYear': 2002, 'exercisedValue': 0, 'unexercisedValue': 0}",2,7,3,7,5,1693526400,1672444800,86400,2,9.84,9.84,9.84,9.89,9.84,9.84,9.84,9.89,0.2,0.020299999,1695859200,0.0643,1.904218,3.1639874,-15.375001,1315488,1315488,896375,1303340,1303340,9.85,9.88,1800,4000,411903392,5.64,10.31,1.1019942,7.3088,7.4076,0.2,0.020325202,USD,916113344,0.41017,32792186,40104900,652867,823453,1690761600,1693440000,0.0163,0.20733,0.65388,0.49,0.020399999,16.621,0.5920221,1672444800,1703980800,1688083200,-0.083,127691000,3.11,-0.64,-0.51,1:4,1435017600,2.451,10.077,NYQ,EQUITY,HT,HT,Hersha Hospitality Trust,Hersha Hospitality Trust,916929000,America/New_York,EDT,-14400000,9.84,10.0,7.5,9.69,10.0,3.0,hold,8,158894000,3.962,90912000,601715968,0.885,0.971,373780000,80.743,9.436,0.01227,0.24884,133615000,291347488,61699000,-0.333,-0.21,0.30353,0.24322,0.08487,USD,
8,44 Hersha Drive,Harrisburg,PA,17102-2241,United States,717 236 4400,717 774 7383,https://www.hersha.com,REIT—Hotel & Motel,Real Estate,"Hersha Hospitality Trust (HT) is a self-advised real estate investment trust in the hospitality sector, which owns and operates luxury and lifestyle hotels in coastal gateway and resort markets. The Company's 25 hotels totaling 3,811 rooms are located in New York, Washington, DC, Boston, Philadelphia, South Florida, and California. The Company's common shares are traded on The New York Stock Exchange under the ticker HT.",27,"{'maxAge': 1, 'name': 'Mr. Bharat C. Mehta', 'age': 77, 'title': 'Exec. Officer', 'yearBorn': 1945, 'exercisedValue': 0, 'unexercisedValue': 0}",2,7,3,7,5,1693526400,1672444800,86400,2,9.84,9.84,9.84,9.89,9.84,9.84,9.84,9.89,0.2,0.020299999,1695859200,0.0643,1.904218,3.1639874,-15.375001,1315488,1315488,896375,1303340,1303340,9.85,9.88,1800,4000,411903392,5.64,10.31,1.1019942,7.3088,7.4076,0.2,0.020325202,USD,916113344,0.41017,32792186,40104900,652867,823453,1690761600,1693440000,0.0163,0.20733,0.65388,0.49,0.020399999,16.621,0.5920221,1672444800,1703980800,1688083200,-0.083,127691000,3.11,-0.64,-0.51,1:4,1435017600,2.451,10.077,NYQ,EQUITY,HT,HT,Hersha Hospitality Trust,Hersha Hospitality Trust,916929000,America/New_York,EDT,-14400000,9.84,10.0,7.5,9.69,10.0,3.0,hold,8,158894000,3.962,90912000,601715968,0.885,0.971,373780000,80.743,9.436,0.01227,0.24884,133615000,291347488,61699000,-0.333,-0.21,0.30353,0.24322,0.08487,USD,
9,44 Hersha Drive,Harrisburg,PA,17102-2241,United States,717 236 4400,717 774 7383,https://www.hersha.com,REIT—Hotel & Motel,Real Estate,"Hersha Hospitality Trust (HT) is a self-advised real estate investment trust in the hospitality sector, which owns and operates luxury and lifestyle hotels in coastal gateway and resort markets. The Company's 25 hotels totaling 3,811 rooms are located in New York, Washington, DC, Boston, Philadelphia, South Florida, and California. The Company's common shares are traded on The New York Stock Exchange under the ticker HT.",27,"{'maxAge': 1, 'name': 'Ms. Melissa  Hauser', 'title': 'Director of Acquisitions and Director of Asset Management', 'exercisedValue': 0, 'unexercisedValue': 0}",2,7,3,7,5,1693526400,1672444800,86400,2,9.84,9.84,9.84,9.89,9.84,9.84,9.84,9.89,0.2,0.020299999,1695859200,0.0643,1.904218,3.1639874,-15.375001,1315488,1315488,896375,1303340,1303340,9.85,9.88,1800,4000,411903392,5.64,10.31,1.1019942,7.3088,7.4076,0.2,0.020325202,USD,916113344,0.41017,32792186,40104900,652867,823453,1690761600,1693440000,0.0163,0.20733,0.65388,0.49,0.020399999,16.621,0.5920221,1672444800,1703980800,1688083200,-0.083,127691000,3.11,-0.64,-0.51,1:4,1435017600,2.451,10.077,NYQ,EQUITY,HT,HT,Hersha Hospitality Trust,Hersha Hospitality Trust,916929000,America/New_York,EDT,-14400000,9.84,10.0,7.5,9.69,10.0,3.0,hold,8,158894000,3.962,90912000,601715968,0.885,0.971,373780000,80.743,9.436,0.01227,0.24884,133615000,291347488,61699000,-0.333,-0.21,0.30353,0.24322,0.08487,USD,
