,address1,address2,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,revenuePerShare,returnOnAssets,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Edificio TRIPARK,Parque Empresarial de las Rozas C/ Jacinto Benavente 2A Las Rozas de Madrid,Madrid,28232,Spain,34 91 398 54 00,34 91 555 77 41,https://diacorporate.com,Discount Stores,Consumer Defensive,"Distribuidora Internacional de Alimentación, S.A. engages in the retail trade of food products in Spain, Portugal, Brazil, and Argentina. It provides product and services through self-service shops, and own or under a franchise regime under the Dia Market, Dia Maxi, La Plaza de Dia, Clarel, Minipreço, and Dia&Go brands. The company was incorporated in 1966 and is headquartered in Madrid, Spain. Distribuidora Internacional de Alimentación, S.A. is a subsidiary of Letterone Investment Holdings, S.A.",29959,"{'maxAge': 1, 'name': 'Mr. Stephan  DuCharme', 'age': 58, 'title': 'Exec. Chairman', 'yearBorn': 1964, 'fiscalYear': 2022, 'totalPay': 0, 'exercisedValue': 0, 'unexercisedValue': 0}",8,7,10,3,9,1693526400,1672444800,86400,4,0.0136,0.0138,0.0136,0.0138,0.0136,0.0138,0.0136,0.0138,1531440000,0.0,0.778153,5671478,5671478,12150164,6472924,6472924,0.0137,0.0137,0,0,795172672,0.0112,0.0187,0.1180837,0.014158,0.0145635,0.0,0.0,EUR,1664169088,-0.01283,12878322226,58041798656,0.77794,0.03999,-0.001,1672444800,1703980800,1688083200,-137240000,-0.0,0.0,0.247,11.507,MCE,EQUITY,DIA.MC,DIA.MC,DISTRIBUIDORA INTERNACIONAL DE ,"Distribuidora Internacional de Alimentación, S.A.",1309762800,Europe/Madrid,CEST,7200000,0.0137,0.03,0.03,0.03,0.03,2.0,buy,1,162888000,0.003,144623008,1031884032,0.189,0.595,6733975040,0.116,-0.0027700001,1578949000,-186728496,356272992,0.068,0.23512,0.02148,-0.00198,EUR,
1,Edificio TRIPARK,Parque Empresarial de las Rozas C/ Jacinto Benavente 2A Las Rozas de Madrid,Madrid,28232,Spain,34 91 398 54 00,34 91 555 77 41,https://diacorporate.com,Discount Stores,Consumer Defensive,"Distribuidora Internacional de Alimentación, S.A. engages in the retail trade of food products in Spain, Portugal, Brazil, and Argentina. It provides product and services through self-service shops, and own or under a franchise regime under the Dia Market, Dia Maxi, La Plaza de Dia, Clarel, Minipreço, and Dia&Go brands. The company was incorporated in 1966 and is headquartered in Madrid, Spain. Distribuidora Internacional de Alimentación, S.A. is a subsidiary of Letterone Investment Holdings, S.A.",29959,"{'maxAge': 1, 'name': 'Mr. Martin  Tolcachir', 'title': 'Group Chief Exec. Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",8,7,10,3,9,1693526400,1672444800,86400,4,0.0136,0.0138,0.0136,0.0138,0.0136,0.0138,0.0136,0.0138,1531440000,0.0,0.778153,5671478,5671478,12150164,6472924,6472924,0.0137,0.0137,0,0,795172672,0.0112,0.0187,0.1180837,0.014158,0.0145635,0.0,0.0,EUR,1664169088,-0.01283,12878322226,58041798656,0.77794,0.03999,-0.001,1672444800,1703980800,1688083200,-137240000,-0.0,0.0,0.247,11.507,MCE,EQUITY,DIA.MC,DIA.MC,DISTRIBUIDORA INTERNACIONAL DE ,"Distribuidora Internacional de Alimentación, S.A.",1309762800,Europe/Madrid,CEST,7200000,0.0137,0.03,0.03,0.03,0.03,2.0,buy,1,162888000,0.003,144623008,1031884032,0.189,0.595,6733975040,0.116,-0.0027700001,1578949000,-186728496,356272992,0.068,0.23512,0.02148,-0.00198,EUR,
2,Edificio TRIPARK,Parque Empresarial de las Rozas C/ Jacinto Benavente 2A Las Rozas de Madrid,Madrid,28232,Spain,34 91 398 54 00,34 91 555 77 41,https://diacorporate.com,Discount Stores,Consumer Defensive,"Distribuidora Internacional de Alimentación, S.A. engages in the retail trade of food products in Spain, Portugal, Brazil, and Argentina. It provides product and services through self-service shops, and own or under a franchise regime under the Dia Market, Dia Maxi, La Plaza de Dia, Clarel, Minipreço, and Dia&Go brands. The company was incorporated in 1966 and is headquartered in Madrid, Spain. Distribuidora Internacional de Alimentación, S.A. is a subsidiary of Letterone Investment Holdings, S.A.",29959,"{'maxAge': 1, 'name': 'Mr. Jesus  Soto', 'title': 'Group CFO & Member of Management Board', 'exercisedValue': 0, 'unexercisedValue': 0}",8,7,10,3,9,1693526400,1672444800,86400,4,0.0136,0.0138,0.0136,0.0138,0.0136,0.0138,0.0136,0.0138,1531440000,0.0,0.778153,5671478,5671478,12150164,6472924,6472924,0.0137,0.0137,0,0,795172672,0.0112,0.0187,0.1180837,0.014158,0.0145635,0.0,0.0,EUR,1664169088,-0.01283,12878322226,58041798656,0.77794,0.03999,-0.001,1672444800,1703980800,1688083200,-137240000,-0.0,0.0,0.247,11.507,MCE,EQUITY,DIA.MC,DIA.MC,DISTRIBUIDORA INTERNACIONAL DE ,"Distribuidora Internacional de Alimentación, S.A.",1309762800,Europe/Madrid,CEST,7200000,0.0137,0.03,0.03,0.03,0.03,2.0,buy,1,162888000,0.003,144623008,1031884032,0.189,0.595,6733975040,0.116,-0.0027700001,1578949000,-186728496,356272992,0.068,0.23512,0.02148,-0.00198,EUR,
3,Edificio TRIPARK,Parque Empresarial de las Rozas C/ Jacinto Benavente 2A Las Rozas de Madrid,Madrid,28232,Spain,34 91 398 54 00,34 91 555 77 41,https://diacorporate.com,Discount Stores,Consumer Defensive,"Distribuidora Internacional de Alimentación, S.A. engages in the retail trade of food products in Spain, Portugal, Brazil, and Argentina. It provides product and services through self-service shops, and own or under a franchise regime under the Dia Market, Dia Maxi, La Plaza de Dia, Clarel, Minipreço, and Dia&Go brands. The company was incorporated in 1966 and is headquartered in Madrid, Spain. Distribuidora Internacional de Alimentación, S.A. is a subsidiary of Letterone Investment Holdings, S.A.",29959,"{'maxAge': 1, 'name': 'Mr. Ricardo  Alvarez', 'title': 'CEO of Spain & Member of Management Board', 'exercisedValue': 0, 'unexercisedValue': 0}",8,7,10,3,9,1693526400,1672444800,86400,4,0.0136,0.0138,0.0136,0.0138,0.0136,0.0138,0.0136,0.0138,1531440000,0.0,0.778153,5671478,5671478,12150164,6472924,6472924,0.0137,0.0137,0,0,795172672,0.0112,0.0187,0.1180837,0.014158,0.0145635,0.0,0.0,EUR,1664169088,-0.01283,12878322226,58041798656,0.77794,0.03999,-0.001,1672444800,1703980800,1688083200,-137240000,-0.0,0.0,0.247,11.507,MCE,EQUITY,DIA.MC,DIA.MC,DISTRIBUIDORA INTERNACIONAL DE ,"Distribuidora Internacional de Alimentación, S.A.",1309762800,Europe/Madrid,CEST,7200000,0.0137,0.03,0.03,0.03,0.03,2.0,buy,1,162888000,0.003,144623008,1031884032,0.189,0.595,6733975040,0.116,-0.0027700001,1578949000,-186728496,356272992,0.068,0.23512,0.02148,-0.00198,EUR,
4,Edificio TRIPARK,Parque Empresarial de las Rozas C/ Jacinto Benavente 2A Las Rozas de Madrid,Madrid,28232,Spain,34 91 398 54 00,34 91 555 77 41,https://diacorporate.com,Discount Stores,Consumer Defensive,"Distribuidora Internacional de Alimentación, S.A. engages in the retail trade of food products in Spain, Portugal, Brazil, and Argentina. It provides product and services through self-service shops, and own or under a franchise regime under the Dia Market, Dia Maxi, La Plaza de Dia, Clarel, Minipreço, and Dia&Go brands. The company was incorporated in 1966 and is headquartered in Madrid, Spain. Distribuidora Internacional de Alimentación, S.A. is a subsidiary of Letterone Investment Holdings, S.A.",29959,"{'maxAge': 1, 'name': 'Mr. Jose Maria Jimenez', 'title': 'Chief Exec. Officer of Clarel & Member of Management Board', 'exercisedValue': 0, 'unexercisedValue': 0}",8,7,10,3,9,1693526400,1672444800,86400,4,0.0136,0.0138,0.0136,0.0138,0.0136,0.0138,0.0136,0.0138,1531440000,0.0,0.778153,5671478,5671478,12150164,6472924,6472924,0.0137,0.0137,0,0,795172672,0.0112,0.0187,0.1180837,0.014158,0.0145635,0.0,0.0,EUR,1664169088,-0.01283,12878322226,58041798656,0.77794,0.03999,-0.001,1672444800,1703980800,1688083200,-137240000,-0.0,0.0,0.247,11.507,MCE,EQUITY,DIA.MC,DIA.MC,DISTRIBUIDORA INTERNACIONAL DE ,"Distribuidora Internacional de Alimentación, S.A.",1309762800,Europe/Madrid,CEST,7200000,0.0137,0.03,0.03,0.03,0.03,2.0,buy,1,162888000,0.003,144623008,1031884032,0.189,0.595,6733975040,0.116,-0.0027700001,1578949000,-186728496,356272992,0.068,0.23512,0.02148,-0.00198,EUR,
5,Edificio TRIPARK,Parque Empresarial de las Rozas C/ Jacinto Benavente 2A Las Rozas de Madrid,Madrid,28232,Spain,34 91 398 54 00,34 91 555 77 41,https://diacorporate.com,Discount Stores,Consumer Defensive,"Distribuidora Internacional de Alimentación, S.A. engages in the retail trade of food products in Spain, Portugal, Brazil, and Argentina. It provides product and services through self-service shops, and own or under a franchise regime under the Dia Market, Dia Maxi, La Plaza de Dia, Clarel, Minipreço, and Dia&Go brands. The company was incorporated in 1966 and is headquartered in Madrid, Spain. Distribuidora Internacional de Alimentación, S.A. is a subsidiary of Letterone Investment Holdings, S.A.",29959,"{'maxAge': 1, 'name': 'Mr. Carlos Valero Alcantara', 'title': 'Group Chief Information Officer & Member of Management Board', 'exercisedValue': 0, 'unexercisedValue': 0}",8,7,10,3,9,1693526400,1672444800,86400,4,0.0136,0.0138,0.0136,0.0138,0.0136,0.0138,0.0136,0.0138,1531440000,0.0,0.778153,5671478,5671478,12150164,6472924,6472924,0.0137,0.0137,0,0,795172672,0.0112,0.0187,0.1180837,0.014158,0.0145635,0.0,0.0,EUR,1664169088,-0.01283,12878322226,58041798656,0.77794,0.03999,-0.001,1672444800,1703980800,1688083200,-137240000,-0.0,0.0,0.247,11.507,MCE,EQUITY,DIA.MC,DIA.MC,DISTRIBUIDORA INTERNACIONAL DE ,"Distribuidora Internacional de Alimentación, S.A.",1309762800,Europe/Madrid,CEST,7200000,0.0137,0.03,0.03,0.03,0.03,2.0,buy,1,162888000,0.003,144623008,1031884032,0.189,0.595,6733975040,0.116,-0.0027700001,1578949000,-186728496,356272992,0.068,0.23512,0.02148,-0.00198,EUR,
6,Edificio TRIPARK,Parque Empresarial de las Rozas C/ Jacinto Benavente 2A Las Rozas de Madrid,Madrid,28232,Spain,34 91 398 54 00,34 91 555 77 41,https://diacorporate.com,Discount Stores,Consumer Defensive,"Distribuidora Internacional de Alimentación, S.A. engages in the retail trade of food products in Spain, Portugal, Brazil, and Argentina. It provides product and services through self-service shops, and own or under a franchise regime under the Dia Market, Dia Maxi, La Plaza de Dia, Clarel, Minipreço, and Dia&Go brands. The company was incorporated in 1966 and is headquartered in Madrid, Spain. Distribuidora Internacional de Alimentación, S.A. is a subsidiary of Letterone Investment Holdings, S.A.",29959,"{'maxAge': 1, 'name': 'Mr. Andrés  Vegas', 'title': 'Group Chief Data Officer & Member of Management Board', 'exercisedValue': 0, 'unexercisedValue': 0}",8,7,10,3,9,1693526400,1672444800,86400,4,0.0136,0.0138,0.0136,0.0138,0.0136,0.0138,0.0136,0.0138,1531440000,0.0,0.778153,5671478,5671478,12150164,6472924,6472924,0.0137,0.0137,0,0,795172672,0.0112,0.0187,0.1180837,0.014158,0.0145635,0.0,0.0,EUR,1664169088,-0.01283,12878322226,58041798656,0.77794,0.03999,-0.001,1672444800,1703980800,1688083200,-137240000,-0.0,0.0,0.247,11.507,MCE,EQUITY,DIA.MC,DIA.MC,DISTRIBUIDORA INTERNACIONAL DE ,"Distribuidora Internacional de Alimentación, S.A.",1309762800,Europe/Madrid,CEST,7200000,0.0137,0.03,0.03,0.03,0.03,2.0,buy,1,162888000,0.003,144623008,1031884032,0.189,0.595,6733975040,0.116,-0.0027700001,1578949000,-186728496,356272992,0.068,0.23512,0.02148,-0.00198,EUR,
7,Edificio TRIPARK,Parque Empresarial de las Rozas C/ Jacinto Benavente 2A Las Rozas de Madrid,Madrid,28232,Spain,34 91 398 54 00,34 91 555 77 41,https://diacorporate.com,Discount Stores,Consumer Defensive,"Distribuidora Internacional de Alimentación, S.A. engages in the retail trade of food products in Spain, Portugal, Brazil, and Argentina. It provides product and services through self-service shops, and own or under a franchise regime under the Dia Market, Dia Maxi, La Plaza de Dia, Clarel, Minipreço, and Dia&Go brands. The company was incorporated in 1966 and is headquartered in Madrid, Spain. Distribuidora Internacional de Alimentación, S.A. is a subsidiary of Letterone Investment Holdings, S.A.",29959,"{'maxAge': 1, 'name': 'Ms. Pilar  Hermida', 'title': 'Member of Management Board and Chief Communications & Sustainability Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",8,7,10,3,9,1693526400,1672444800,86400,4,0.0136,0.0138,0.0136,0.0138,0.0136,0.0138,0.0136,0.0138,1531440000,0.0,0.778153,5671478,5671478,12150164,6472924,6472924,0.0137,0.0137,0,0,795172672,0.0112,0.0187,0.1180837,0.014158,0.0145635,0.0,0.0,EUR,1664169088,-0.01283,12878322226,58041798656,0.77794,0.03999,-0.001,1672444800,1703980800,1688083200,-137240000,-0.0,0.0,0.247,11.507,MCE,EQUITY,DIA.MC,DIA.MC,DISTRIBUIDORA INTERNACIONAL DE ,"Distribuidora Internacional de Alimentación, S.A.",1309762800,Europe/Madrid,CEST,7200000,0.0137,0.03,0.03,0.03,0.03,2.0,buy,1,162888000,0.003,144623008,1031884032,0.189,0.595,6733975040,0.116,-0.0027700001,1578949000,-186728496,356272992,0.068,0.23512,0.02148,-0.00198,EUR,
8,Edificio TRIPARK,Parque Empresarial de las Rozas C/ Jacinto Benavente 2A Las Rozas de Madrid,Madrid,28232,Spain,34 91 398 54 00,34 91 555 77 41,https://diacorporate.com,Discount Stores,Consumer Defensive,"Distribuidora Internacional de Alimentación, S.A. engages in the retail trade of food products in Spain, Portugal, Brazil, and Argentina. It provides product and services through self-service shops, and own or under a franchise regime under the Dia Market, Dia Maxi, La Plaza de Dia, Clarel, Minipreço, and Dia&Go brands. The company was incorporated in 1966 and is headquartered in Madrid, Spain. Distribuidora Internacional de Alimentación, S.A. is a subsidiary of Letterone Investment Holdings, S.A.",29959,"{'maxAge': 1, 'name': 'Mr. Santiago  Martinez-Lage', 'title': 'Group Corp. Director & Member of Management Board', 'exercisedValue': 0, 'unexercisedValue': 0}",8,7,10,3,9,1693526400,1672444800,86400,4,0.0136,0.0138,0.0136,0.0138,0.0136,0.0138,0.0136,0.0138,1531440000,0.0,0.778153,5671478,5671478,12150164,6472924,6472924,0.0137,0.0137,0,0,795172672,0.0112,0.0187,0.1180837,0.014158,0.0145635,0.0,0.0,EUR,1664169088,-0.01283,12878322226,58041798656,0.77794,0.03999,-0.001,1672444800,1703980800,1688083200,-137240000,-0.0,0.0,0.247,11.507,MCE,EQUITY,DIA.MC,DIA.MC,DISTRIBUIDORA INTERNACIONAL DE ,"Distribuidora Internacional de Alimentación, S.A.",1309762800,Europe/Madrid,CEST,7200000,0.0137,0.03,0.03,0.03,0.03,2.0,buy,1,162888000,0.003,144623008,1031884032,0.189,0.595,6733975040,0.116,-0.0027700001,1578949000,-186728496,356272992,0.068,0.23512,0.02148,-0.00198,EUR,
9,Edificio TRIPARK,Parque Empresarial de las Rozas C/ Jacinto Benavente 2A Las Rozas de Madrid,Madrid,28232,Spain,34 91 398 54 00,34 91 555 77 41,https://diacorporate.com,Discount Stores,Consumer Defensive,"Distribuidora Internacional de Alimentación, S.A. engages in the retail trade of food products in Spain, Portugal, Brazil, and Argentina. It provides product and services through self-service shops, and own or under a franchise regime under the Dia Market, Dia Maxi, La Plaza de Dia, Clarel, Minipreço, and Dia&Go brands. The company was incorporated in 1966 and is headquartered in Madrid, Spain. Distribuidora Internacional de Alimentación, S.A. is a subsidiary of Letterone Investment Holdings, S.A.",29959,"{'maxAge': 1, 'name': 'Mr. Antonio  Serrano', 'title': 'Corp. Director & Member of Management Board', 'exercisedValue': 0, 'unexercisedValue': 0}",8,7,10,3,9,1693526400,1672444800,86400,4,0.0136,0.0138,0.0136,0.0138,0.0136,0.0138,0.0136,0.0138,1531440000,0.0,0.778153,5671478,5671478,12150164,6472924,6472924,0.0137,0.0137,0,0,795172672,0.0112,0.0187,0.1180837,0.014158,0.0145635,0.0,0.0,EUR,1664169088,-0.01283,12878322226,58041798656,0.77794,0.03999,-0.001,1672444800,1703980800,1688083200,-137240000,-0.0,0.0,0.247,11.507,MCE,EQUITY,DIA.MC,DIA.MC,DISTRIBUIDORA INTERNACIONAL DE ,"Distribuidora Internacional de Alimentación, S.A.",1309762800,Europe/Madrid,CEST,7200000,0.0137,0.03,0.03,0.03,0.03,2.0,buy,1,162888000,0.003,144623008,1031884032,0.189,0.595,6733975040,0.116,-0.0027700001,1578949000,-186728496,356272992,0.068,0.23512,0.02148,-0.00198,EUR,
