,address1,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Heckler & Koch-Street 1,Oberndorf am Neckar,78727,Germany,49 742 3790,49 7423 79 2350,https://www.heckler-koch.com,Aerospace & Defense,Industrials,"H&K AG, together with its subsidiary, manufactures, markets, and distributes infantry and small arms in the European Union and NATO countries. The company provides pistols, assault rifles, marksman rifles, submachine, and machine guns for military and law enforcement. It also offers hunting and sports related rifles, as well as provides related accessories and services. The company was founded in 1949 and is based in Oberndorf am Neckar, Germany. H&K AG is a subsidiary of Compagnie de Développement de l'Eau S.A.",1131,"{'maxAge': 1, 'name': 'Dr. Jens Bodo Koch', 'age': 49, 'title': 'Chairman of Exec. Board & CEO', 'yearBorn': 1973, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,103.0,100.0,100.0,100.0,103.0,100.0,100.0,100.0,0.0,0.86524,65.35948,2,2,30,14,14,0.0,0.0,0,0,3675650048,80.48484,128.0,12.296968,105.94,108.60672,0.0,0.0,EUR,4300009472,0.14298001,35482800,0.0,0.0,1.973,50.684235,1672444800,1703980800,1688083200,42739000,1.53,14.386,59.78,PAR,EQUITY,MLHK.PA,MLHK.PA,HK,H&K AG,1438066800,Europe/Paris,CEST,7200000,100.0,none,29100000,0.674,71930000,108800000,0.934,2.715,298907008,114.889,10.814,0.11929,3.94257,-4626750,33997000,-0.024,0.39828,0.24063998,0.21059,EUR,
1,Heckler & Koch-Street 1,Oberndorf am Neckar,78727,Germany,49 742 3790,49 7423 79 2350,https://www.heckler-koch.com,Aerospace & Defense,Industrials,"H&K AG, together with its subsidiary, manufactures, markets, and distributes infantry and small arms in the European Union and NATO countries. The company provides pistols, assault rifles, marksman rifles, submachine, and machine guns for military and law enforcement. It also offers hunting and sports related rifles, as well as provides related accessories and services. The company was founded in 1949 and is based in Oberndorf am Neckar, Germany. H&K AG is a subsidiary of Compagnie de Développement de l'Eau S.A.",1131,"{'maxAge': 1, 'name': 'Dr. Björn  Krönert', 'title': 'CFO & Member of Exec. Board', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,103.0,100.0,100.0,100.0,103.0,100.0,100.0,100.0,0.0,0.86524,65.35948,2,2,30,14,14,0.0,0.0,0,0,3675650048,80.48484,128.0,12.296968,105.94,108.60672,0.0,0.0,EUR,4300009472,0.14298001,35482800,0.0,0.0,1.973,50.684235,1672444800,1703980800,1688083200,42739000,1.53,14.386,59.78,PAR,EQUITY,MLHK.PA,MLHK.PA,HK,H&K AG,1438066800,Europe/Paris,CEST,7200000,100.0,none,29100000,0.674,71930000,108800000,0.934,2.715,298907008,114.889,10.814,0.11929,3.94257,-4626750,33997000,-0.024,0.39828,0.24063998,0.21059,EUR,
