,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,debtToEquity,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,789 West Pender Street,Suite 810,Vancouver,BC,V6C 1H2,Canada,604-687-2038,https://envirogoldglobal.com,Other Precious Metals & Mining,Basic Materials,"EnviroGold Global Limited operates as a clean technology company in Canada. The company focuses on reclaiming mine tailings and resource development waste streams to sell various precious, strategic, and critical metals and metal concentrates. EnviroGold Global Limited is based in Vancouver, Canada.","{'maxAge': 1, 'name': 'Dr. Mark B. Thorpe Ph.D.', 'title': 'CEO & Director', 'fiscalYear': 2022, 'totalPay': 400829, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.126,0.128,0.128,0.128,0.126,0.128,0.128,0.128,0.0,0.718847,75,75,1562,0,0,0.127,0.143,28131714,0.09,0.162,0.11866,0.119647,0.0,0.0,EUR,26113232,0.0,102689764,201412000,0.54289,0.00137,0.002,64.0,1672444800,1703980800,1688083200,-5729592,-0.03,1:200,1614211200,-7.013,FRA,EQUITY,YGK.F,YGK.F,ENVIROGOLD GLOBAL LTD.,EnviroGold Global Limited,1626847200,Europe/Berlin,CEST,7200000,0.128,none,1951933,0.01,-3723749,2687289,8.676,9.412,599.308,-0.8315,-2.2824001,-1074778,-1733978,-3205656,0.0,0.0,0.0,USD,
1,789 West Pender Street,Suite 810,Vancouver,BC,V6C 1H2,Canada,604-687-2038,https://envirogoldglobal.com,Other Precious Metals & Mining,Basic Materials,"EnviroGold Global Limited operates as a clean technology company in Canada. The company focuses on reclaiming mine tailings and resource development waste streams to sell various precious, strategic, and critical metals and metal concentrates. EnviroGold Global Limited is based in Vancouver, Canada.","{'maxAge': 1, 'name': 'Mr. David Victor Cam', 'title': 'Founder & Exec. Director', 'fiscalYear': 2022, 'totalPay': 226053, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.126,0.128,0.128,0.128,0.126,0.128,0.128,0.128,0.0,0.718847,75,75,1562,0,0,0.127,0.143,28131714,0.09,0.162,0.11866,0.119647,0.0,0.0,EUR,26113232,0.0,102689764,201412000,0.54289,0.00137,0.002,64.0,1672444800,1703980800,1688083200,-5729592,-0.03,1:200,1614211200,-7.013,FRA,EQUITY,YGK.F,YGK.F,ENVIROGOLD GLOBAL LTD.,EnviroGold Global Limited,1626847200,Europe/Berlin,CEST,7200000,0.128,none,1951933,0.01,-3723749,2687289,8.676,9.412,599.308,-0.8315,-2.2824001,-1074778,-1733978,-3205656,0.0,0.0,0.0,USD,
2,789 West Pender Street,Suite 810,Vancouver,BC,V6C 1H2,Canada,604-687-2038,https://envirogoldglobal.com,Other Precious Metals & Mining,Basic Materials,"EnviroGold Global Limited operates as a clean technology company in Canada. The company focuses on reclaiming mine tailings and resource development waste streams to sell various precious, strategic, and critical metals and metal concentrates. EnviroGold Global Limited is based in Vancouver, Canada.","{'maxAge': 1, 'name': 'Ms. Zoya Georgiyevna Shashkova', 'title': 'Chief Financial Officer', 'fiscalYear': 2022, 'totalPay': 246672, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.126,0.128,0.128,0.128,0.126,0.128,0.128,0.128,0.0,0.718847,75,75,1562,0,0,0.127,0.143,28131714,0.09,0.162,0.11866,0.119647,0.0,0.0,EUR,26113232,0.0,102689764,201412000,0.54289,0.00137,0.002,64.0,1672444800,1703980800,1688083200,-5729592,-0.03,1:200,1614211200,-7.013,FRA,EQUITY,YGK.F,YGK.F,ENVIROGOLD GLOBAL LTD.,EnviroGold Global Limited,1626847200,Europe/Berlin,CEST,7200000,0.128,none,1951933,0.01,-3723749,2687289,8.676,9.412,599.308,-0.8315,-2.2824001,-1074778,-1733978,-3205656,0.0,0.0,0.0,USD,
3,789 West Pender Street,Suite 810,Vancouver,BC,V6C 1H2,Canada,604-687-2038,https://envirogoldglobal.com,Other Precious Metals & Mining,Basic Materials,"EnviroGold Global Limited operates as a clean technology company in Canada. The company focuses on reclaiming mine tailings and resource development waste streams to sell various precious, strategic, and critical metals and metal concentrates. EnviroGold Global Limited is based in Vancouver, Canada.","{'maxAge': 1, 'name': 'Mr. Ian Peter Hodkinson B.A., M.Sc.', 'title': 'Chief Geologist', 'fiscalYear': 2022, 'totalPay': 77618, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.126,0.128,0.128,0.128,0.126,0.128,0.128,0.128,0.0,0.718847,75,75,1562,0,0,0.127,0.143,28131714,0.09,0.162,0.11866,0.119647,0.0,0.0,EUR,26113232,0.0,102689764,201412000,0.54289,0.00137,0.002,64.0,1672444800,1703980800,1688083200,-5729592,-0.03,1:200,1614211200,-7.013,FRA,EQUITY,YGK.F,YGK.F,ENVIROGOLD GLOBAL LTD.,EnviroGold Global Limited,1626847200,Europe/Berlin,CEST,7200000,0.128,none,1951933,0.01,-3723749,2687289,8.676,9.412,599.308,-0.8315,-2.2824001,-1074778,-1733978,-3205656,0.0,0.0,0.0,USD,
4,789 West Pender Street,Suite 810,Vancouver,BC,V6C 1H2,Canada,604-687-2038,https://envirogoldglobal.com,Other Precious Metals & Mining,Basic Materials,"EnviroGold Global Limited operates as a clean technology company in Canada. The company focuses on reclaiming mine tailings and resource development waste streams to sell various precious, strategic, and critical metals and metal concentrates. EnviroGold Global Limited is based in Vancouver, Canada.","{'maxAge': 1, 'name': 'Mr. Allan James Bezanson', 'age': 65, 'title': 'Exec. Chair', 'yearBorn': 1957, 'fiscalYear': 2021, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.126,0.128,0.128,0.128,0.126,0.128,0.128,0.128,0.0,0.718847,75,75,1562,0,0,0.127,0.143,28131714,0.09,0.162,0.11866,0.119647,0.0,0.0,EUR,26113232,0.0,102689764,201412000,0.54289,0.00137,0.002,64.0,1672444800,1703980800,1688083200,-5729592,-0.03,1:200,1614211200,-7.013,FRA,EQUITY,YGK.F,YGK.F,ENVIROGOLD GLOBAL LTD.,EnviroGold Global Limited,1626847200,Europe/Berlin,CEST,7200000,0.128,none,1951933,0.01,-3723749,2687289,8.676,9.412,599.308,-0.8315,-2.2824001,-1074778,-1733978,-3205656,0.0,0.0,0.0,USD,
5,789 West Pender Street,Suite 810,Vancouver,BC,V6C 1H2,Canada,604-687-2038,https://envirogoldglobal.com,Other Precious Metals & Mining,Basic Materials,"EnviroGold Global Limited operates as a clean technology company in Canada. The company focuses on reclaiming mine tailings and resource development waste streams to sell various precious, strategic, and critical metals and metal concentrates. EnviroGold Global Limited is based in Vancouver, Canada.","{'maxAge': 1, 'name': 'Mr. Brock  Hill', 'title': 'Chief Technology Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.126,0.128,0.128,0.128,0.126,0.128,0.128,0.128,0.0,0.718847,75,75,1562,0,0,0.127,0.143,28131714,0.09,0.162,0.11866,0.119647,0.0,0.0,EUR,26113232,0.0,102689764,201412000,0.54289,0.00137,0.002,64.0,1672444800,1703980800,1688083200,-5729592,-0.03,1:200,1614211200,-7.013,FRA,EQUITY,YGK.F,YGK.F,ENVIROGOLD GLOBAL LTD.,EnviroGold Global Limited,1626847200,Europe/Berlin,CEST,7200000,0.128,none,1951933,0.01,-3723749,2687289,8.676,9.412,599.308,-0.8315,-2.2824001,-1074778,-1733978,-3205656,0.0,0.0,0.0,USD,
6,789 West Pender Street,Suite 810,Vancouver,BC,V6C 1H2,Canada,604-687-2038,https://envirogoldglobal.com,Other Precious Metals & Mining,Basic Materials,"EnviroGold Global Limited operates as a clean technology company in Canada. The company focuses on reclaiming mine tailings and resource development waste streams to sell various precious, strategic, and critical metals and metal concentrates. EnviroGold Global Limited is based in Vancouver, Canada.","{'maxAge': 1, 'name': 'Mr. John P. Walsh', 'title': 'Exec. VP', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.126,0.128,0.128,0.128,0.126,0.128,0.128,0.128,0.0,0.718847,75,75,1562,0,0,0.127,0.143,28131714,0.09,0.162,0.11866,0.119647,0.0,0.0,EUR,26113232,0.0,102689764,201412000,0.54289,0.00137,0.002,64.0,1672444800,1703980800,1688083200,-5729592,-0.03,1:200,1614211200,-7.013,FRA,EQUITY,YGK.F,YGK.F,ENVIROGOLD GLOBAL LTD.,EnviroGold Global Limited,1626847200,Europe/Berlin,CEST,7200000,0.128,none,1951933,0.01,-3723749,2687289,8.676,9.412,599.308,-0.8315,-2.2824001,-1074778,-1733978,-3205656,0.0,0.0,0.0,USD,
7,789 West Pender Street,Suite 810,Vancouver,BC,V6C 1H2,Canada,604-687-2038,https://envirogoldglobal.com,Other Precious Metals & Mining,Basic Materials,"EnviroGold Global Limited operates as a clean technology company in Canada. The company focuses on reclaiming mine tailings and resource development waste streams to sell various precious, strategic, and critical metals and metal concentrates. EnviroGold Global Limited is based in Vancouver, Canada.","{'maxAge': 1, 'name': 'Mr. Sergio Di Giovanni', 'title': 'Chief Metallurgist', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.126,0.128,0.128,0.128,0.126,0.128,0.128,0.128,0.0,0.718847,75,75,1562,0,0,0.127,0.143,28131714,0.09,0.162,0.11866,0.119647,0.0,0.0,EUR,26113232,0.0,102689764,201412000,0.54289,0.00137,0.002,64.0,1672444800,1703980800,1688083200,-5729592,-0.03,1:200,1614211200,-7.013,FRA,EQUITY,YGK.F,YGK.F,ENVIROGOLD GLOBAL LTD.,EnviroGold Global Limited,1626847200,Europe/Berlin,CEST,7200000,0.128,none,1951933,0.01,-3723749,2687289,8.676,9.412,599.308,-0.8315,-2.2824001,-1074778,-1733978,-3205656,0.0,0.0,0.0,USD,
8,789 West Pender Street,Suite 810,Vancouver,BC,V6C 1H2,Canada,604-687-2038,https://envirogoldglobal.com,Other Precious Metals & Mining,Basic Materials,"EnviroGold Global Limited operates as a clean technology company in Canada. The company focuses on reclaiming mine tailings and resource development waste streams to sell various precious, strategic, and critical metals and metal concentrates. EnviroGold Global Limited is based in Vancouver, Canada.","{'maxAge': 1, 'name': 'Mr. Dan  Elvera', 'title': 'Sr. VP', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.126,0.128,0.128,0.128,0.126,0.128,0.128,0.128,0.0,0.718847,75,75,1562,0,0,0.127,0.143,28131714,0.09,0.162,0.11866,0.119647,0.0,0.0,EUR,26113232,0.0,102689764,201412000,0.54289,0.00137,0.002,64.0,1672444800,1703980800,1688083200,-5729592,-0.03,1:200,1614211200,-7.013,FRA,EQUITY,YGK.F,YGK.F,ENVIROGOLD GLOBAL LTD.,EnviroGold Global Limited,1626847200,Europe/Berlin,CEST,7200000,0.128,none,1951933,0.01,-3723749,2687289,8.676,9.412,599.308,-0.8315,-2.2824001,-1074778,-1733978,-3205656,0.0,0.0,0.0,USD,
9,789 West Pender Street,Suite 810,Vancouver,BC,V6C 1H2,Canada,604-687-2038,https://envirogoldglobal.com,Other Precious Metals & Mining,Basic Materials,"EnviroGold Global Limited operates as a clean technology company in Canada. The company focuses on reclaiming mine tailings and resource development waste streams to sell various precious, strategic, and critical metals and metal concentrates. EnviroGold Global Limited is based in Vancouver, Canada.","{'maxAge': 1, 'name': 'Ms. Leah  Dionne', 'title': 'Corp. Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.126,0.128,0.128,0.128,0.126,0.128,0.128,0.128,0.0,0.718847,75,75,1562,0,0,0.127,0.143,28131714,0.09,0.162,0.11866,0.119647,0.0,0.0,EUR,26113232,0.0,102689764,201412000,0.54289,0.00137,0.002,64.0,1672444800,1703980800,1688083200,-5729592,-0.03,1:200,1614211200,-7.013,FRA,EQUITY,YGK.F,YGK.F,ENVIROGOLD GLOBAL LTD.,EnviroGold Global Limited,1626847200,Europe/Berlin,CEST,7200000,0.128,none,1951933,0.01,-3723749,2687289,8.676,9.412,599.308,-0.8315,-2.2824001,-1074778,-1733978,-3205656,0.0,0.0,0.0,USD,
