,address1,address2,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,181 William Street,Level 24,Melbourne,VIC,3000,Australia,61 3 9666 4000,61 3 9666 4111,https://www.bluescope.com,Steel,Basic Materials,"BlueScope Steel Limited produces and sells metal coated and painted steel building products in Australia, New Zealand, Asia, North America, and internationally. The company operates through five segments: Australian Steel Products, North Star BlueScope Steel, Coated Products Asia, Buildings and Coated Products North America, and New Zealand & Pacific Islands. It offers steel slabs, plates, hot and cold rolled coils, coated and painted strip products, roof and wall claddings, and purlins and house framings under the LYSAGHT steel building products, COLORBOND steel, COLORSTEEL, ZINCALUME steel, GALVABOND steel, GALVASPAN steel, BlueScope Zacs, and SuperDyma brands. The company also provides engineered building solutions to industrial and commercial markets under the Butler, Varco Pruden, EcoBuild, and PROBUILD brands. It serves customers in the residential and non-residential building, construction, manufacturing, automotive and transport, agricultural, and mining industries directly, as well as through a network of service centers and steel distribution businesses. The company was formerly known as BHP Steel Limited and changed its name to BlueScope Steel Limited in November 2003. BlueScope Steel Limited was founded in 1885 and is headquartered in Melbourne, Australia.",16500,"{'maxAge': 1, 'name': 'Mr. Mark Royce Vassella B.Com., BCom, M.B.A., MBA', 'age': 59, 'title': 'MD, CEO & Exec. Director', 'yearBorn': 1963, 'fiscalYear': 2023, 'totalPay': 1388585, 'exercisedValue': 0, 'unexercisedValue': 0}",6,1,1,7,1,1693526400,1703980800,86400,2,13.32,12.54,12.5,12.54,13.32,12.54,12.5,12.54,0.32,0.0257,1694476800,0.233,1.427927,9.057971,355,355,187,170,170,0.0,0.0,0,0,5725049856,10.0,13.82,0.31383032,13.4778,12.8222,0.5,0.037537538,USD,5527600640,0.055320002,451304258,453916000,0.00424,0.35322,23.086,0.54145366,1688083200,1719705600,1688083200,-0.648,1003400000,1.38,0.303,2.702,PNK,EQUITY,BLSFF,BLSFF,BLUESCOPE STEEL LTD,BlueScope Steel Limited,1270474200,America/New_York,EDT,-14400000,12.5,none,1489799936,3.286,2045900032,786499968,0.978,1.945,18242500608,7.13,39.302,0.058130004,0.10175,6815700000,970899968,2150899968,-0.632,-0.074,0.36591,0.11215,0.08297,AUD,
1,181 William Street,Level 24,Melbourne,VIC,3000,Australia,61 3 9666 4000,61 3 9666 4111,https://www.bluescope.com,Steel,Basic Materials,"BlueScope Steel Limited produces and sells metal coated and painted steel building products in Australia, New Zealand, Asia, North America, and internationally. The company operates through five segments: Australian Steel Products, North Star BlueScope Steel, Coated Products Asia, Buildings and Coated Products North America, and New Zealand & Pacific Islands. It offers steel slabs, plates, hot and cold rolled coils, coated and painted strip products, roof and wall claddings, and purlins and house framings under the LYSAGHT steel building products, COLORBOND steel, COLORSTEEL, ZINCALUME steel, GALVABOND steel, GALVASPAN steel, BlueScope Zacs, and SuperDyma brands. The company also provides engineered building solutions to industrial and commercial markets under the Butler, Varco Pruden, EcoBuild, and PROBUILD brands. It serves customers in the residential and non-residential building, construction, manufacturing, automotive and transport, agricultural, and mining industries directly, as well as through a network of service centers and steel distribution businesses. The company was formerly known as BHP Steel Limited and changed its name to BlueScope Steel Limited in November 2003. BlueScope Steel Limited was founded in 1885 and is headquartered in Melbourne, Australia.",16500,"{'maxAge': 1, 'name': 'Mr. John  Nowlan M.B.A.', 'title': 'Chief Technical & Devel. Officer', 'fiscalYear': 2023, 'totalPay': 621901, 'exercisedValue': 0, 'unexercisedValue': 0}",6,1,1,7,1,1693526400,1703980800,86400,2,13.32,12.54,12.5,12.54,13.32,12.54,12.5,12.54,0.32,0.0257,1694476800,0.233,1.427927,9.057971,355,355,187,170,170,0.0,0.0,0,0,5725049856,10.0,13.82,0.31383032,13.4778,12.8222,0.5,0.037537538,USD,5527600640,0.055320002,451304258,453916000,0.00424,0.35322,23.086,0.54145366,1688083200,1719705600,1688083200,-0.648,1003400000,1.38,0.303,2.702,PNK,EQUITY,BLSFF,BLSFF,BLUESCOPE STEEL LTD,BlueScope Steel Limited,1270474200,America/New_York,EDT,-14400000,12.5,none,1489799936,3.286,2045900032,786499968,0.978,1.945,18242500608,7.13,39.302,0.058130004,0.10175,6815700000,970899968,2150899968,-0.632,-0.074,0.36591,0.11215,0.08297,AUD,
2,181 William Street,Level 24,Melbourne,VIC,3000,Australia,61 3 9666 4000,61 3 9666 4111,https://www.bluescope.com,Steel,Basic Materials,"BlueScope Steel Limited produces and sells metal coated and painted steel building products in Australia, New Zealand, Asia, North America, and internationally. The company operates through five segments: Australian Steel Products, North Star BlueScope Steel, Coated Products Asia, Buildings and Coated Products North America, and New Zealand & Pacific Islands. It offers steel slabs, plates, hot and cold rolled coils, coated and painted strip products, roof and wall claddings, and purlins and house framings under the LYSAGHT steel building products, COLORBOND steel, COLORSTEEL, ZINCALUME steel, GALVABOND steel, GALVASPAN steel, BlueScope Zacs, and SuperDyma brands. The company also provides engineered building solutions to industrial and commercial markets under the Butler, Varco Pruden, EcoBuild, and PROBUILD brands. It serves customers in the residential and non-residential building, construction, manufacturing, automotive and transport, agricultural, and mining industries directly, as well as through a network of service centers and steel distribution businesses. The company was formerly known as BHP Steel Limited and changed its name to BlueScope Steel Limited in November 2003. BlueScope Steel Limited was founded in 1885 and is headquartered in Melbourne, Australia.",16500,"{'maxAge': 1, 'name': 'Ms. Tania J. Archibald', 'title': 'Chief Exec. of Australian Steel Products', 'fiscalYear': 2023, 'totalPay': 671549, 'exercisedValue': 0, 'unexercisedValue': 0}",6,1,1,7,1,1693526400,1703980800,86400,2,13.32,12.54,12.5,12.54,13.32,12.54,12.5,12.54,0.32,0.0257,1694476800,0.233,1.427927,9.057971,355,355,187,170,170,0.0,0.0,0,0,5725049856,10.0,13.82,0.31383032,13.4778,12.8222,0.5,0.037537538,USD,5527600640,0.055320002,451304258,453916000,0.00424,0.35322,23.086,0.54145366,1688083200,1719705600,1688083200,-0.648,1003400000,1.38,0.303,2.702,PNK,EQUITY,BLSFF,BLSFF,BLUESCOPE STEEL LTD,BlueScope Steel Limited,1270474200,America/New_York,EDT,-14400000,12.5,none,1489799936,3.286,2045900032,786499968,0.978,1.945,18242500608,7.13,39.302,0.058130004,0.10175,6815700000,970899968,2150899968,-0.632,-0.074,0.36591,0.11215,0.08297,AUD,
3,181 William Street,Level 24,Melbourne,VIC,3000,Australia,61 3 9666 4000,61 3 9666 4111,https://www.bluescope.com,Steel,Basic Materials,"BlueScope Steel Limited produces and sells metal coated and painted steel building products in Australia, New Zealand, Asia, North America, and internationally. The company operates through five segments: Australian Steel Products, North Star BlueScope Steel, Coated Products Asia, Buildings and Coated Products North America, and New Zealand & Pacific Islands. It offers steel slabs, plates, hot and cold rolled coils, coated and painted strip products, roof and wall claddings, and purlins and house framings under the LYSAGHT steel building products, COLORBOND steel, COLORSTEEL, ZINCALUME steel, GALVABOND steel, GALVASPAN steel, BlueScope Zacs, and SuperDyma brands. The company also provides engineered building solutions to industrial and commercial markets under the Butler, Varco Pruden, EcoBuild, and PROBUILD brands. It serves customers in the residential and non-residential building, construction, manufacturing, automotive and transport, agricultural, and mining industries directly, as well as through a network of service centers and steel distribution businesses. The company was formerly known as BHP Steel Limited and changed its name to BlueScope Steel Limited in November 2003. BlueScope Steel Limited was founded in 1885 and is headquartered in Melbourne, Australia.",16500,"{'maxAge': 1, 'name': 'Ms. Kristie  Keast', 'title': 'Chief Exec. of North America', 'fiscalYear': 2023, 'totalPay': 506576, 'exercisedValue': 0, 'unexercisedValue': 0}",6,1,1,7,1,1693526400,1703980800,86400,2,13.32,12.54,12.5,12.54,13.32,12.54,12.5,12.54,0.32,0.0257,1694476800,0.233,1.427927,9.057971,355,355,187,170,170,0.0,0.0,0,0,5725049856,10.0,13.82,0.31383032,13.4778,12.8222,0.5,0.037537538,USD,5527600640,0.055320002,451304258,453916000,0.00424,0.35322,23.086,0.54145366,1688083200,1719705600,1688083200,-0.648,1003400000,1.38,0.303,2.702,PNK,EQUITY,BLSFF,BLSFF,BLUESCOPE STEEL LTD,BlueScope Steel Limited,1270474200,America/New_York,EDT,-14400000,12.5,none,1489799936,3.286,2045900032,786499968,0.978,1.945,18242500608,7.13,39.302,0.058130004,0.10175,6815700000,970899968,2150899968,-0.632,-0.074,0.36591,0.11215,0.08297,AUD,
4,181 William Street,Level 24,Melbourne,VIC,3000,Australia,61 3 9666 4000,61 3 9666 4111,https://www.bluescope.com,Steel,Basic Materials,"BlueScope Steel Limited produces and sells metal coated and painted steel building products in Australia, New Zealand, Asia, North America, and internationally. The company operates through five segments: Australian Steel Products, North Star BlueScope Steel, Coated Products Asia, Buildings and Coated Products North America, and New Zealand & Pacific Islands. It offers steel slabs, plates, hot and cold rolled coils, coated and painted strip products, roof and wall claddings, and purlins and house framings under the LYSAGHT steel building products, COLORBOND steel, COLORSTEEL, ZINCALUME steel, GALVABOND steel, GALVASPAN steel, BlueScope Zacs, and SuperDyma brands. The company also provides engineered building solutions to industrial and commercial markets under the Butler, Varco Pruden, EcoBuild, and PROBUILD brands. It serves customers in the residential and non-residential building, construction, manufacturing, automotive and transport, agricultural, and mining industries directly, as well as through a network of service centers and steel distribution businesses. The company was formerly known as BHP Steel Limited and changed its name to BlueScope Steel Limited in November 2003. BlueScope Steel Limited was founded in 1885 and is headquartered in Melbourne, Australia.",16500,"{'maxAge': 1, 'name': 'Mr. Robin  Davies', 'title': 'Chief Exec. of New Zealand & Pacific Islands', 'fiscalYear': 2023, 'totalPay': 621451, 'exercisedValue': 0, 'unexercisedValue': 0}",6,1,1,7,1,1693526400,1703980800,86400,2,13.32,12.54,12.5,12.54,13.32,12.54,12.5,12.54,0.32,0.0257,1694476800,0.233,1.427927,9.057971,355,355,187,170,170,0.0,0.0,0,0,5725049856,10.0,13.82,0.31383032,13.4778,12.8222,0.5,0.037537538,USD,5527600640,0.055320002,451304258,453916000,0.00424,0.35322,23.086,0.54145366,1688083200,1719705600,1688083200,-0.648,1003400000,1.38,0.303,2.702,PNK,EQUITY,BLSFF,BLSFF,BLUESCOPE STEEL LTD,BlueScope Steel Limited,1270474200,America/New_York,EDT,-14400000,12.5,none,1489799936,3.286,2045900032,786499968,0.978,1.945,18242500608,7.13,39.302,0.058130004,0.10175,6815700000,970899968,2150899968,-0.632,-0.074,0.36591,0.11215,0.08297,AUD,
5,181 William Street,Level 24,Melbourne,VIC,3000,Australia,61 3 9666 4000,61 3 9666 4111,https://www.bluescope.com,Steel,Basic Materials,"BlueScope Steel Limited produces and sells metal coated and painted steel building products in Australia, New Zealand, Asia, North America, and internationally. The company operates through five segments: Australian Steel Products, North Star BlueScope Steel, Coated Products Asia, Buildings and Coated Products North America, and New Zealand & Pacific Islands. It offers steel slabs, plates, hot and cold rolled coils, coated and painted strip products, roof and wall claddings, and purlins and house framings under the LYSAGHT steel building products, COLORBOND steel, COLORSTEEL, ZINCALUME steel, GALVABOND steel, GALVASPAN steel, BlueScope Zacs, and SuperDyma brands. The company also provides engineered building solutions to industrial and commercial markets under the Butler, Varco Pruden, EcoBuild, and PROBUILD brands. It serves customers in the residential and non-residential building, construction, manufacturing, automotive and transport, agricultural, and mining industries directly, as well as through a network of service centers and steel distribution businesses. The company was formerly known as BHP Steel Limited and changed its name to BlueScope Steel Limited in November 2003. BlueScope Steel Limited was founded in 1885 and is headquartered in Melbourne, Australia.",16500,"{'maxAge': 1, 'name': 'Mr. Connell  Zhang', 'title': 'Chief Exec. of NS BlueScope', 'fiscalYear': 2023, 'totalPay': 1205937, 'exercisedValue': 0, 'unexercisedValue': 0}",6,1,1,7,1,1693526400,1703980800,86400,2,13.32,12.54,12.5,12.54,13.32,12.54,12.5,12.54,0.32,0.0257,1694476800,0.233,1.427927,9.057971,355,355,187,170,170,0.0,0.0,0,0,5725049856,10.0,13.82,0.31383032,13.4778,12.8222,0.5,0.037537538,USD,5527600640,0.055320002,451304258,453916000,0.00424,0.35322,23.086,0.54145366,1688083200,1719705600,1688083200,-0.648,1003400000,1.38,0.303,2.702,PNK,EQUITY,BLSFF,BLSFF,BLUESCOPE STEEL LTD,BlueScope Steel Limited,1270474200,America/New_York,EDT,-14400000,12.5,none,1489799936,3.286,2045900032,786499968,0.978,1.945,18242500608,7.13,39.302,0.058130004,0.10175,6815700000,970899968,2150899968,-0.632,-0.074,0.36591,0.11215,0.08297,AUD,
6,181 William Street,Level 24,Melbourne,VIC,3000,Australia,61 3 9666 4000,61 3 9666 4111,https://www.bluescope.com,Steel,Basic Materials,"BlueScope Steel Limited produces and sells metal coated and painted steel building products in Australia, New Zealand, Asia, North America, and internationally. The company operates through five segments: Australian Steel Products, North Star BlueScope Steel, Coated Products Asia, Buildings and Coated Products North America, and New Zealand & Pacific Islands. It offers steel slabs, plates, hot and cold rolled coils, coated and painted strip products, roof and wall claddings, and purlins and house framings under the LYSAGHT steel building products, COLORBOND steel, COLORSTEEL, ZINCALUME steel, GALVABOND steel, GALVASPAN steel, BlueScope Zacs, and SuperDyma brands. The company also provides engineered building solutions to industrial and commercial markets under the Butler, Varco Pruden, EcoBuild, and PROBUILD brands. It serves customers in the residential and non-residential building, construction, manufacturing, automotive and transport, agricultural, and mining industries directly, as well as through a network of service centers and steel distribution businesses. The company was formerly known as BHP Steel Limited and changed its name to BlueScope Steel Limited in November 2003. BlueScope Steel Limited was founded in 1885 and is headquartered in Melbourne, Australia.",16500,"{'maxAge': 1, 'name': 'Mr. Mark  Scicluna B.Com., C.A.', 'title': 'Acting Chief Financial Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",6,1,1,7,1,1693526400,1703980800,86400,2,13.32,12.54,12.5,12.54,13.32,12.54,12.5,12.54,0.32,0.0257,1694476800,0.233,1.427927,9.057971,355,355,187,170,170,0.0,0.0,0,0,5725049856,10.0,13.82,0.31383032,13.4778,12.8222,0.5,0.037537538,USD,5527600640,0.055320002,451304258,453916000,0.00424,0.35322,23.086,0.54145366,1688083200,1719705600,1688083200,-0.648,1003400000,1.38,0.303,2.702,PNK,EQUITY,BLSFF,BLSFF,BLUESCOPE STEEL LTD,BlueScope Steel Limited,1270474200,America/New_York,EDT,-14400000,12.5,none,1489799936,3.286,2045900032,786499968,0.978,1.945,18242500608,7.13,39.302,0.058130004,0.10175,6815700000,970899968,2150899968,-0.632,-0.074,0.36591,0.11215,0.08297,AUD,
7,181 William Street,Level 24,Melbourne,VIC,3000,Australia,61 3 9666 4000,61 3 9666 4111,https://www.bluescope.com,Steel,Basic Materials,"BlueScope Steel Limited produces and sells metal coated and painted steel building products in Australia, New Zealand, Asia, North America, and internationally. The company operates through five segments: Australian Steel Products, North Star BlueScope Steel, Coated Products Asia, Buildings and Coated Products North America, and New Zealand & Pacific Islands. It offers steel slabs, plates, hot and cold rolled coils, coated and painted strip products, roof and wall claddings, and purlins and house framings under the LYSAGHT steel building products, COLORBOND steel, COLORSTEEL, ZINCALUME steel, GALVABOND steel, GALVASPAN steel, BlueScope Zacs, and SuperDyma brands. The company also provides engineered building solutions to industrial and commercial markets under the Butler, Varco Pruden, EcoBuild, and PROBUILD brands. It serves customers in the residential and non-residential building, construction, manufacturing, automotive and transport, agricultural, and mining industries directly, as well as through a network of service centers and steel distribution businesses. The company was formerly known as BHP Steel Limited and changed its name to BlueScope Steel Limited in November 2003. BlueScope Steel Limited was founded in 1885 and is headquartered in Melbourne, Australia.",16500,"{'maxAge': 1, 'name': 'Chris  Gibbs', 'title': 'Head of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",6,1,1,7,1,1693526400,1703980800,86400,2,13.32,12.54,12.5,12.54,13.32,12.54,12.5,12.54,0.32,0.0257,1694476800,0.233,1.427927,9.057971,355,355,187,170,170,0.0,0.0,0,0,5725049856,10.0,13.82,0.31383032,13.4778,12.8222,0.5,0.037537538,USD,5527600640,0.055320002,451304258,453916000,0.00424,0.35322,23.086,0.54145366,1688083200,1719705600,1688083200,-0.648,1003400000,1.38,0.303,2.702,PNK,EQUITY,BLSFF,BLSFF,BLUESCOPE STEEL LTD,BlueScope Steel Limited,1270474200,America/New_York,EDT,-14400000,12.5,none,1489799936,3.286,2045900032,786499968,0.978,1.945,18242500608,7.13,39.302,0.058130004,0.10175,6815700000,970899968,2150899968,-0.632,-0.074,0.36591,0.11215,0.08297,AUD,
8,181 William Street,Level 24,Melbourne,VIC,3000,Australia,61 3 9666 4000,61 3 9666 4111,https://www.bluescope.com,Steel,Basic Materials,"BlueScope Steel Limited produces and sells metal coated and painted steel building products in Australia, New Zealand, Asia, North America, and internationally. The company operates through five segments: Australian Steel Products, North Star BlueScope Steel, Coated Products Asia, Buildings and Coated Products North America, and New Zealand & Pacific Islands. It offers steel slabs, plates, hot and cold rolled coils, coated and painted strip products, roof and wall claddings, and purlins and house framings under the LYSAGHT steel building products, COLORBOND steel, COLORSTEEL, ZINCALUME steel, GALVABOND steel, GALVASPAN steel, BlueScope Zacs, and SuperDyma brands. The company also provides engineered building solutions to industrial and commercial markets under the Butler, Varco Pruden, EcoBuild, and PROBUILD brands. It serves customers in the residential and non-residential building, construction, manufacturing, automotive and transport, agricultural, and mining industries directly, as well as through a network of service centers and steel distribution businesses. The company was formerly known as BHP Steel Limited and changed its name to BlueScope Steel Limited in November 2003. BlueScope Steel Limited was founded in 1885 and is headquartered in Melbourne, Australia.",16500,"{'maxAge': 1, 'name': 'Ms. Debra J. Counsell B.A., BA, L.L.B., LLB', 'title': 'Chief Legal Officer & Company Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",6,1,1,7,1,1693526400,1703980800,86400,2,13.32,12.54,12.5,12.54,13.32,12.54,12.5,12.54,0.32,0.0257,1694476800,0.233,1.427927,9.057971,355,355,187,170,170,0.0,0.0,0,0,5725049856,10.0,13.82,0.31383032,13.4778,12.8222,0.5,0.037537538,USD,5527600640,0.055320002,451304258,453916000,0.00424,0.35322,23.086,0.54145366,1688083200,1719705600,1688083200,-0.648,1003400000,1.38,0.303,2.702,PNK,EQUITY,BLSFF,BLSFF,BLUESCOPE STEEL LTD,BlueScope Steel Limited,1270474200,America/New_York,EDT,-14400000,12.5,none,1489799936,3.286,2045900032,786499968,0.978,1.945,18242500608,7.13,39.302,0.058130004,0.10175,6815700000,970899968,2150899968,-0.632,-0.074,0.36591,0.11215,0.08297,AUD,
9,181 William Street,Level 24,Melbourne,VIC,3000,Australia,61 3 9666 4000,61 3 9666 4111,https://www.bluescope.com,Steel,Basic Materials,"BlueScope Steel Limited produces and sells metal coated and painted steel building products in Australia, New Zealand, Asia, North America, and internationally. The company operates through five segments: Australian Steel Products, North Star BlueScope Steel, Coated Products Asia, Buildings and Coated Products North America, and New Zealand & Pacific Islands. It offers steel slabs, plates, hot and cold rolled coils, coated and painted strip products, roof and wall claddings, and purlins and house framings under the LYSAGHT steel building products, COLORBOND steel, COLORSTEEL, ZINCALUME steel, GALVABOND steel, GALVASPAN steel, BlueScope Zacs, and SuperDyma brands. The company also provides engineered building solutions to industrial and commercial markets under the Butler, Varco Pruden, EcoBuild, and PROBUILD brands. It serves customers in the residential and non-residential building, construction, manufacturing, automotive and transport, agricultural, and mining industries directly, as well as through a network of service centers and steel distribution businesses. The company was formerly known as BHP Steel Limited and changed its name to BlueScope Steel Limited in November 2003. BlueScope Steel Limited was founded in 1885 and is headquartered in Melbourne, Australia.",16500,"{'maxAge': 1, 'name': 'Ms. Peta  Renkin', 'title': 'Chief People Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",6,1,1,7,1,1693526400,1703980800,86400,2,13.32,12.54,12.5,12.54,13.32,12.54,12.5,12.54,0.32,0.0257,1694476800,0.233,1.427927,9.057971,355,355,187,170,170,0.0,0.0,0,0,5725049856,10.0,13.82,0.31383032,13.4778,12.8222,0.5,0.037537538,USD,5527600640,0.055320002,451304258,453916000,0.00424,0.35322,23.086,0.54145366,1688083200,1719705600,1688083200,-0.648,1003400000,1.38,0.303,2.702,PNK,EQUITY,BLSFF,BLSFF,BLUESCOPE STEEL LTD,BlueScope Steel Limited,1270474200,America/New_York,EDT,-14400000,12.5,none,1489799936,3.286,2045900032,786499968,0.978,1.945,18242500608,7.13,39.302,0.058130004,0.10175,6815700000,970899968,2150899968,-0.632,-0.074,0.36591,0.11215,0.08297,AUD,
