,address1,address2,city,zip,country,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,No. 1900 Hongmei Road,Xuhui District,Shanghai,200233,China,https://www.sensetime.com,Software—Application,Technology,"SenseTime Group Inc., an investment holding company, engages in developing and selling artificial intelligence software platforms in the People's Republic of China, Northeast Asia, Southeast Asia, and internationally. The company offers SenseFoundry Enterprise Platform to facilitate and accelerate the digital transformation of enterprise customers; SenseFoundry Platform for smart cities; SenseME that enables various IoT devices to facilitate perceptial intelligence and content enhancement; SenseMARS, a software platform that serves as the key enabling technology for the Metaverse applications; SenseCare Smart Health Platform, a high-performance diagnostic and treatment assistance solution; SenseAuto Platform that provides automobile companies with advanced driver assistance systems and smart cabin systems, as well as AI services; and Sensetime Education that builds an AI education system. It also offers management consulting services; system integration and software development products and services; AI technology consulting and IC design services; engages in the development of computer vision technology and provision of related services, as well as digital culture creativity activities; researches and develops AI technology; and develops and sells AI sensor technology and system integration technology. In addition, the company offers advertisement publishing services; leasing and business, catering, education, information transportation, and software and information services; sells cultural products; engages in equity investments and investment management activities; and sells software and hardware products. It serves commercial space management, residential property management, manufacturing, infrastructure, transportation, financial services, and other sectors. SenseTime Group Inc. was incorporated in 2014 and is headquartered in Shanghai, the People's Republic of China.",5016,"{'maxAge': 1, 'name': 'Dr. Li  Xu', 'age': 40, 'title': 'Co-Founder, CEO & Exec. Chairman of our Board', 'yearBorn': 1982, 'fiscalYear': 2022, 'totalPay': 484754, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,3,1.48,1.49,1.43,1.51,1.48,1.49,1.43,1.51,0.0,-16.555555,133916552,133916552,217830432,155449958,155449958,1.49,1.5,49868660736,1.11,3.7,13.033167,1.6614,2.214,0.0,0.0,HKD,40428716032,-1.5706799,17306164309,25948798976,0.31114,0.08202,0.834,1.7865708,1672444800,1703980800,1688083200,-6009887232,-0.21,-0.09,10.566,-9.239,HKG,EQUITY,0020.HK,0020.HK,SENSETIME-W,SenseTime Group Inc.,1640827800,Asia/Hong_Kong,HKT,28800000,1.49,3.44,1.61,2.2,2.12,2.2,buy,10,12875149312,0.403,-4375737856,5654753792,6.029,6.547,3826288896,21.182,0.12,-0.08944,-0.20857,2542267000,-6325081600,-3041138944,0.013,0.58984,-1.1436,-1.3514999,CNY,
1,No. 1900 Hongmei Road,Xuhui District,Shanghai,200233,China,https://www.sensetime.com,Software—Application,Technology,"SenseTime Group Inc., an investment holding company, engages in developing and selling artificial intelligence software platforms in the People's Republic of China, Northeast Asia, Southeast Asia, and internationally. The company offers SenseFoundry Enterprise Platform to facilitate and accelerate the digital transformation of enterprise customers; SenseFoundry Platform for smart cities; SenseME that enables various IoT devices to facilitate perceptial intelligence and content enhancement; SenseMARS, a software platform that serves as the key enabling technology for the Metaverse applications; SenseCare Smart Health Platform, a high-performance diagnostic and treatment assistance solution; SenseAuto Platform that provides automobile companies with advanced driver assistance systems and smart cabin systems, as well as AI services; and Sensetime Education that builds an AI education system. It also offers management consulting services; system integration and software development products and services; AI technology consulting and IC design services; engages in the development of computer vision technology and provision of related services, as well as digital culture creativity activities; researches and develops AI technology; and develops and sells AI sensor technology and system integration technology. In addition, the company offers advertisement publishing services; leasing and business, catering, education, information transportation, and software and information services; sells cultural products; engages in equity investments and investment management activities; and sells software and hardware products. It serves commercial space management, residential property management, manufacturing, infrastructure, transportation, financial services, and other sectors. SenseTime Group Inc. was incorporated in 2014 and is headquartered in Shanghai, the People's Republic of China.",5016,"{'maxAge': 1, 'name': ""Prof. Xiao'ou  Tang"", 'age': 54, 'title': 'Founder & Exec. Director', 'yearBorn': 1968, 'fiscalYear': 2022, 'totalPay': 0, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,3,1.48,1.49,1.43,1.51,1.48,1.49,1.43,1.51,0.0,-16.555555,133916552,133916552,217830432,155449958,155449958,1.49,1.5,49868660736,1.11,3.7,13.033167,1.6614,2.214,0.0,0.0,HKD,40428716032,-1.5706799,17306164309,25948798976,0.31114,0.08202,0.834,1.7865708,1672444800,1703980800,1688083200,-6009887232,-0.21,-0.09,10.566,-9.239,HKG,EQUITY,0020.HK,0020.HK,SENSETIME-W,SenseTime Group Inc.,1640827800,Asia/Hong_Kong,HKT,28800000,1.49,3.44,1.61,2.2,2.12,2.2,buy,10,12875149312,0.403,-4375737856,5654753792,6.029,6.547,3826288896,21.182,0.12,-0.08944,-0.20857,2542267000,-6325081600,-3041138944,0.013,0.58984,-1.1436,-1.3514999,CNY,
2,No. 1900 Hongmei Road,Xuhui District,Shanghai,200233,China,https://www.sensetime.com,Software—Application,Technology,"SenseTime Group Inc., an investment holding company, engages in developing and selling artificial intelligence software platforms in the People's Republic of China, Northeast Asia, Southeast Asia, and internationally. The company offers SenseFoundry Enterprise Platform to facilitate and accelerate the digital transformation of enterprise customers; SenseFoundry Platform for smart cities; SenseME that enables various IoT devices to facilitate perceptial intelligence and content enhancement; SenseMARS, a software platform that serves as the key enabling technology for the Metaverse applications; SenseCare Smart Health Platform, a high-performance diagnostic and treatment assistance solution; SenseAuto Platform that provides automobile companies with advanced driver assistance systems and smart cabin systems, as well as AI services; and Sensetime Education that builds an AI education system. It also offers management consulting services; system integration and software development products and services; AI technology consulting and IC design services; engages in the development of computer vision technology and provision of related services, as well as digital culture creativity activities; researches and develops AI technology; and develops and sells AI sensor technology and system integration technology. In addition, the company offers advertisement publishing services; leasing and business, catering, education, information transportation, and software and information services; sells cultural products; engages in equity investments and investment management activities; and sells software and hardware products. It serves commercial space management, residential property management, manufacturing, infrastructure, transportation, financial services, and other sectors. SenseTime Group Inc. was incorporated in 2014 and is headquartered in Shanghai, the People's Republic of China.",5016,"{'maxAge': 1, 'name': 'Dr. Xiaogang  Wang', 'age': 44, 'title': 'Co-founder, Exec. Director & Chief Scientist', 'yearBorn': 1978, 'fiscalYear': 2022, 'totalPay': 381977, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,3,1.48,1.49,1.43,1.51,1.48,1.49,1.43,1.51,0.0,-16.555555,133916552,133916552,217830432,155449958,155449958,1.49,1.5,49868660736,1.11,3.7,13.033167,1.6614,2.214,0.0,0.0,HKD,40428716032,-1.5706799,17306164309,25948798976,0.31114,0.08202,0.834,1.7865708,1672444800,1703980800,1688083200,-6009887232,-0.21,-0.09,10.566,-9.239,HKG,EQUITY,0020.HK,0020.HK,SENSETIME-W,SenseTime Group Inc.,1640827800,Asia/Hong_Kong,HKT,28800000,1.49,3.44,1.61,2.2,2.12,2.2,buy,10,12875149312,0.403,-4375737856,5654753792,6.029,6.547,3826288896,21.182,0.12,-0.08944,-0.20857,2542267000,-6325081600,-3041138944,0.013,0.58984,-1.1436,-1.3514999,CNY,
3,No. 1900 Hongmei Road,Xuhui District,Shanghai,200233,China,https://www.sensetime.com,Software—Application,Technology,"SenseTime Group Inc., an investment holding company, engages in developing and selling artificial intelligence software platforms in the People's Republic of China, Northeast Asia, Southeast Asia, and internationally. The company offers SenseFoundry Enterprise Platform to facilitate and accelerate the digital transformation of enterprise customers; SenseFoundry Platform for smart cities; SenseME that enables various IoT devices to facilitate perceptial intelligence and content enhancement; SenseMARS, a software platform that serves as the key enabling technology for the Metaverse applications; SenseCare Smart Health Platform, a high-performance diagnostic and treatment assistance solution; SenseAuto Platform that provides automobile companies with advanced driver assistance systems and smart cabin systems, as well as AI services; and Sensetime Education that builds an AI education system. It also offers management consulting services; system integration and software development products and services; AI technology consulting and IC design services; engages in the development of computer vision technology and provision of related services, as well as digital culture creativity activities; researches and develops AI technology; and develops and sells AI sensor technology and system integration technology. In addition, the company offers advertisement publishing services; leasing and business, catering, education, information transportation, and software and information services; sells cultural products; engages in equity investments and investment management activities; and sells software and hardware products. It serves commercial space management, residential property management, manufacturing, infrastructure, transportation, financial services, and other sectors. SenseTime Group Inc. was incorporated in 2014 and is headquartered in Shanghai, the People's Republic of China.",5016,"{'maxAge': 1, 'name': 'Mr. Bing  Xu', 'age': 32, 'title': 'Co-founder, Exec. Director & Board Sec.', 'yearBorn': 1990, 'fiscalYear': 2022, 'totalPay': 363840, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,3,1.48,1.49,1.43,1.51,1.48,1.49,1.43,1.51,0.0,-16.555555,133916552,133916552,217830432,155449958,155449958,1.49,1.5,49868660736,1.11,3.7,13.033167,1.6614,2.214,0.0,0.0,HKD,40428716032,-1.5706799,17306164309,25948798976,0.31114,0.08202,0.834,1.7865708,1672444800,1703980800,1688083200,-6009887232,-0.21,-0.09,10.566,-9.239,HKG,EQUITY,0020.HK,0020.HK,SENSETIME-W,SenseTime Group Inc.,1640827800,Asia/Hong_Kong,HKT,28800000,1.49,3.44,1.61,2.2,2.12,2.2,buy,10,12875149312,0.403,-4375737856,5654753792,6.029,6.547,3826288896,21.182,0.12,-0.08944,-0.20857,2542267000,-6325081600,-3041138944,0.013,0.58984,-1.1436,-1.3514999,CNY,
4,No. 1900 Hongmei Road,Xuhui District,Shanghai,200233,China,https://www.sensetime.com,Software—Application,Technology,"SenseTime Group Inc., an investment holding company, engages in developing and selling artificial intelligence software platforms in the People's Republic of China, Northeast Asia, Southeast Asia, and internationally. The company offers SenseFoundry Enterprise Platform to facilitate and accelerate the digital transformation of enterprise customers; SenseFoundry Platform for smart cities; SenseME that enables various IoT devices to facilitate perceptial intelligence and content enhancement; SenseMARS, a software platform that serves as the key enabling technology for the Metaverse applications; SenseCare Smart Health Platform, a high-performance diagnostic and treatment assistance solution; SenseAuto Platform that provides automobile companies with advanced driver assistance systems and smart cabin systems, as well as AI services; and Sensetime Education that builds an AI education system. It also offers management consulting services; system integration and software development products and services; AI technology consulting and IC design services; engages in the development of computer vision technology and provision of related services, as well as digital culture creativity activities; researches and develops AI technology; and develops and sells AI sensor technology and system integration technology. In addition, the company offers advertisement publishing services; leasing and business, catering, education, information transportation, and software and information services; sells cultural products; engages in equity investments and investment management activities; and sells software and hardware products. It serves commercial space management, residential property management, manufacturing, infrastructure, transportation, financial services, and other sectors. SenseTime Group Inc. was incorporated in 2014 and is headquartered in Shanghai, the People's Republic of China.",5016,"{'maxAge': 1, 'name': 'Mr. Fan  Yang', 'age': 39, 'title': 'Co-Founder & VP', 'yearBorn': 1983, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,3,1.48,1.49,1.43,1.51,1.48,1.49,1.43,1.51,0.0,-16.555555,133916552,133916552,217830432,155449958,155449958,1.49,1.5,49868660736,1.11,3.7,13.033167,1.6614,2.214,0.0,0.0,HKD,40428716032,-1.5706799,17306164309,25948798976,0.31114,0.08202,0.834,1.7865708,1672444800,1703980800,1688083200,-6009887232,-0.21,-0.09,10.566,-9.239,HKG,EQUITY,0020.HK,0020.HK,SENSETIME-W,SenseTime Group Inc.,1640827800,Asia/Hong_Kong,HKT,28800000,1.49,3.44,1.61,2.2,2.12,2.2,buy,10,12875149312,0.403,-4375737856,5654753792,6.029,6.547,3826288896,21.182,0.12,-0.08944,-0.20857,2542267000,-6325081600,-3041138944,0.013,0.58984,-1.1436,-1.3514999,CNY,
5,No. 1900 Hongmei Road,Xuhui District,Shanghai,200233,China,https://www.sensetime.com,Software—Application,Technology,"SenseTime Group Inc., an investment holding company, engages in developing and selling artificial intelligence software platforms in the People's Republic of China, Northeast Asia, Southeast Asia, and internationally. The company offers SenseFoundry Enterprise Platform to facilitate and accelerate the digital transformation of enterprise customers; SenseFoundry Platform for smart cities; SenseME that enables various IoT devices to facilitate perceptial intelligence and content enhancement; SenseMARS, a software platform that serves as the key enabling technology for the Metaverse applications; SenseCare Smart Health Platform, a high-performance diagnostic and treatment assistance solution; SenseAuto Platform that provides automobile companies with advanced driver assistance systems and smart cabin systems, as well as AI services; and Sensetime Education that builds an AI education system. It also offers management consulting services; system integration and software development products and services; AI technology consulting and IC design services; engages in the development of computer vision technology and provision of related services, as well as digital culture creativity activities; researches and develops AI technology; and develops and sells AI sensor technology and system integration technology. In addition, the company offers advertisement publishing services; leasing and business, catering, education, information transportation, and software and information services; sells cultural products; engages in equity investments and investment management activities; and sells software and hardware products. It serves commercial space management, residential property management, manufacturing, infrastructure, transportation, financial services, and other sectors. SenseTime Group Inc. was incorporated in 2014 and is headquartered in Shanghai, the People's Republic of China.",5016,"{'maxAge': 1, 'name': 'Mr. Kun  Ma', 'title': 'Co-founder & Technical Exec. Director', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,3,1.48,1.49,1.43,1.51,1.48,1.49,1.43,1.51,0.0,-16.555555,133916552,133916552,217830432,155449958,155449958,1.49,1.5,49868660736,1.11,3.7,13.033167,1.6614,2.214,0.0,0.0,HKD,40428716032,-1.5706799,17306164309,25948798976,0.31114,0.08202,0.834,1.7865708,1672444800,1703980800,1688083200,-6009887232,-0.21,-0.09,10.566,-9.239,HKG,EQUITY,0020.HK,0020.HK,SENSETIME-W,SenseTime Group Inc.,1640827800,Asia/Hong_Kong,HKT,28800000,1.49,3.44,1.61,2.2,2.12,2.2,buy,10,12875149312,0.403,-4375737856,5654753792,6.029,6.547,3826288896,21.182,0.12,-0.08944,-0.20857,2542267000,-6325081600,-3041138944,0.013,0.58984,-1.1436,-1.3514999,CNY,
6,No. 1900 Hongmei Road,Xuhui District,Shanghai,200233,China,https://www.sensetime.com,Software—Application,Technology,"SenseTime Group Inc., an investment holding company, engages in developing and selling artificial intelligence software platforms in the People's Republic of China, Northeast Asia, Southeast Asia, and internationally. The company offers SenseFoundry Enterprise Platform to facilitate and accelerate the digital transformation of enterprise customers; SenseFoundry Platform for smart cities; SenseME that enables various IoT devices to facilitate perceptial intelligence and content enhancement; SenseMARS, a software platform that serves as the key enabling technology for the Metaverse applications; SenseCare Smart Health Platform, a high-performance diagnostic and treatment assistance solution; SenseAuto Platform that provides automobile companies with advanced driver assistance systems and smart cabin systems, as well as AI services; and Sensetime Education that builds an AI education system. It also offers management consulting services; system integration and software development products and services; AI technology consulting and IC design services; engages in the development of computer vision technology and provision of related services, as well as digital culture creativity activities; researches and develops AI technology; and develops and sells AI sensor technology and system integration technology. In addition, the company offers advertisement publishing services; leasing and business, catering, education, information transportation, and software and information services; sells cultural products; engages in equity investments and investment management activities; and sells software and hardware products. It serves commercial space management, residential property management, manufacturing, infrastructure, transportation, financial services, and other sectors. SenseTime Group Inc. was incorporated in 2014 and is headquartered in Shanghai, the People's Republic of China.",5016,"{'maxAge': 1, 'name': 'Mr. Chiheng  Xu', 'title': 'Co-founder & Strategy Director', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,3,1.48,1.49,1.43,1.51,1.48,1.49,1.43,1.51,0.0,-16.555555,133916552,133916552,217830432,155449958,155449958,1.49,1.5,49868660736,1.11,3.7,13.033167,1.6614,2.214,0.0,0.0,HKD,40428716032,-1.5706799,17306164309,25948798976,0.31114,0.08202,0.834,1.7865708,1672444800,1703980800,1688083200,-6009887232,-0.21,-0.09,10.566,-9.239,HKG,EQUITY,0020.HK,0020.HK,SENSETIME-W,SenseTime Group Inc.,1640827800,Asia/Hong_Kong,HKT,28800000,1.49,3.44,1.61,2.2,2.12,2.2,buy,10,12875149312,0.403,-4375737856,5654753792,6.029,6.547,3826288896,21.182,0.12,-0.08944,-0.20857,2542267000,-6325081600,-3041138944,0.013,0.58984,-1.1436,-1.3514999,CNY,
7,No. 1900 Hongmei Road,Xuhui District,Shanghai,200233,China,https://www.sensetime.com,Software—Application,Technology,"SenseTime Group Inc., an investment holding company, engages in developing and selling artificial intelligence software platforms in the People's Republic of China, Northeast Asia, Southeast Asia, and internationally. The company offers SenseFoundry Enterprise Platform to facilitate and accelerate the digital transformation of enterprise customers; SenseFoundry Platform for smart cities; SenseME that enables various IoT devices to facilitate perceptial intelligence and content enhancement; SenseMARS, a software platform that serves as the key enabling technology for the Metaverse applications; SenseCare Smart Health Platform, a high-performance diagnostic and treatment assistance solution; SenseAuto Platform that provides automobile companies with advanced driver assistance systems and smart cabin systems, as well as AI services; and Sensetime Education that builds an AI education system. It also offers management consulting services; system integration and software development products and services; AI technology consulting and IC design services; engages in the development of computer vision technology and provision of related services, as well as digital culture creativity activities; researches and develops AI technology; and develops and sells AI sensor technology and system integration technology. In addition, the company offers advertisement publishing services; leasing and business, catering, education, information transportation, and software and information services; sells cultural products; engages in equity investments and investment management activities; and sells software and hardware products. It serves commercial space management, residential property management, manufacturing, infrastructure, transportation, financial services, and other sectors. SenseTime Group Inc. was incorporated in 2014 and is headquartered in Shanghai, the People's Republic of China.",5016,"{'maxAge': 1, 'name': 'Mr. Zheng  Wang', 'title': 'Chief Financial Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,3,1.48,1.49,1.43,1.51,1.48,1.49,1.43,1.51,0.0,-16.555555,133916552,133916552,217830432,155449958,155449958,1.49,1.5,49868660736,1.11,3.7,13.033167,1.6614,2.214,0.0,0.0,HKD,40428716032,-1.5706799,17306164309,25948798976,0.31114,0.08202,0.834,1.7865708,1672444800,1703980800,1688083200,-6009887232,-0.21,-0.09,10.566,-9.239,HKG,EQUITY,0020.HK,0020.HK,SENSETIME-W,SenseTime Group Inc.,1640827800,Asia/Hong_Kong,HKT,28800000,1.49,3.44,1.61,2.2,2.12,2.2,buy,10,12875149312,0.403,-4375737856,5654753792,6.029,6.547,3826288896,21.182,0.12,-0.08944,-0.20857,2542267000,-6325081600,-3041138944,0.013,0.58984,-1.1436,-1.3514999,CNY,
8,No. 1900 Hongmei Road,Xuhui District,Shanghai,200233,China,https://www.sensetime.com,Software—Application,Technology,"SenseTime Group Inc., an investment holding company, engages in developing and selling artificial intelligence software platforms in the People's Republic of China, Northeast Asia, Southeast Asia, and internationally. The company offers SenseFoundry Enterprise Platform to facilitate and accelerate the digital transformation of enterprise customers; SenseFoundry Platform for smart cities; SenseME that enables various IoT devices to facilitate perceptial intelligence and content enhancement; SenseMARS, a software platform that serves as the key enabling technology for the Metaverse applications; SenseCare Smart Health Platform, a high-performance diagnostic and treatment assistance solution; SenseAuto Platform that provides automobile companies with advanced driver assistance systems and smart cabin systems, as well as AI services; and Sensetime Education that builds an AI education system. It also offers management consulting services; system integration and software development products and services; AI technology consulting and IC design services; engages in the development of computer vision technology and provision of related services, as well as digital culture creativity activities; researches and develops AI technology; and develops and sells AI sensor technology and system integration technology. In addition, the company offers advertisement publishing services; leasing and business, catering, education, information transportation, and software and information services; sells cultural products; engages in equity investments and investment management activities; and sells software and hardware products. It serves commercial space management, residential property management, manufacturing, infrastructure, transportation, financial services, and other sectors. SenseTime Group Inc. was incorporated in 2014 and is headquartered in Shanghai, the People's Republic of China.",5016,"{'maxAge': 1, 'name': 'Ms. Jiemin  Lin', 'age': 40, 'title': 'Joint Company Sec.', 'yearBorn': 1982, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,3,1.48,1.49,1.43,1.51,1.48,1.49,1.43,1.51,0.0,-16.555555,133916552,133916552,217830432,155449958,155449958,1.49,1.5,49868660736,1.11,3.7,13.033167,1.6614,2.214,0.0,0.0,HKD,40428716032,-1.5706799,17306164309,25948798976,0.31114,0.08202,0.834,1.7865708,1672444800,1703980800,1688083200,-6009887232,-0.21,-0.09,10.566,-9.239,HKG,EQUITY,0020.HK,0020.HK,SENSETIME-W,SenseTime Group Inc.,1640827800,Asia/Hong_Kong,HKT,28800000,1.49,3.44,1.61,2.2,2.12,2.2,buy,10,12875149312,0.403,-4375737856,5654753792,6.029,6.547,3826288896,21.182,0.12,-0.08944,-0.20857,2542267000,-6325081600,-3041138944,0.013,0.58984,-1.1436,-1.3514999,CNY,
9,No. 1900 Hongmei Road,Xuhui District,Shanghai,200233,China,https://www.sensetime.com,Software—Application,Technology,"SenseTime Group Inc., an investment holding company, engages in developing and selling artificial intelligence software platforms in the People's Republic of China, Northeast Asia, Southeast Asia, and internationally. The company offers SenseFoundry Enterprise Platform to facilitate and accelerate the digital transformation of enterprise customers; SenseFoundry Platform for smart cities; SenseME that enables various IoT devices to facilitate perceptial intelligence and content enhancement; SenseMARS, a software platform that serves as the key enabling technology for the Metaverse applications; SenseCare Smart Health Platform, a high-performance diagnostic and treatment assistance solution; SenseAuto Platform that provides automobile companies with advanced driver assistance systems and smart cabin systems, as well as AI services; and Sensetime Education that builds an AI education system. It also offers management consulting services; system integration and software development products and services; AI technology consulting and IC design services; engages in the development of computer vision technology and provision of related services, as well as digital culture creativity activities; researches and develops AI technology; and develops and sells AI sensor technology and system integration technology. In addition, the company offers advertisement publishing services; leasing and business, catering, education, information transportation, and software and information services; sells cultural products; engages in equity investments and investment management activities; and sells software and hardware products. It serves commercial space management, residential property management, manufacturing, infrastructure, transportation, financial services, and other sectors. SenseTime Group Inc. was incorporated in 2014 and is headquartered in Shanghai, the People's Republic of China.",5016,"{'maxAge': 1, 'name': 'Ms. Wai Yee  Wong HKICS; ICSA', 'age': 46, 'title': 'Joint Company Sec.', 'yearBorn': 1976, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,3,1.48,1.49,1.43,1.51,1.48,1.49,1.43,1.51,0.0,-16.555555,133916552,133916552,217830432,155449958,155449958,1.49,1.5,49868660736,1.11,3.7,13.033167,1.6614,2.214,0.0,0.0,HKD,40428716032,-1.5706799,17306164309,25948798976,0.31114,0.08202,0.834,1.7865708,1672444800,1703980800,1688083200,-6009887232,-0.21,-0.09,10.566,-9.239,HKG,EQUITY,0020.HK,0020.HK,SENSETIME-W,SenseTime Group Inc.,1640827800,Asia/Hong_Kong,HKT,28800000,1.49,3.44,1.61,2.2,2.12,2.2,buy,10,12875149312,0.403,-4375737856,5654753792,6.029,6.547,3826288896,21.182,0.12,-0.08944,-0.20857,2542267000,-6325081600,-3041138944,0.013,0.58984,-1.1436,-1.3514999,CNY,
