,address1,address2,city,state,zip,country,phone,website,industry,industryDisp,sector,sectorDisp,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,15 McCabe Street,North Fremantle,Applecross,WA,6159,Australia,61 8 9386 7069,https://www.mustera.com.au,Real Estate—Development,Real Estate—Development,Real Estate,Real Estate,"Mustera Property Group Limited, together with its subsidiaries, operates as a property investment and development company in Australia. The company operates through two segments: Property Investment and Property Development. It provides real estate development platform for residential, commercial, industrial, retail, and mixed-use properties. In addition, the company engages in the fund management activities. Mustera Property Group Limited was incorporated in 2010 and is based in Applecross, Australia.","{'maxAge': 1, 'name': 'Mr. Nicholas  Zborowski', 'title': 'Exec. Director', 'fiscalYear': 2023, 'totalPay': 198737, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,4,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,1536883200,0.0,-0.111486,1,1,505,0,0,0.0,0.255,0,0,37501100,0.245,0.29,16.644276,0.2641,0.267825,0.0,0.0,AUD,94461416,-2.55292,10012803,144235008,0.93882006,0.0,144235008,0.091,2.857143,1688083200,1719705600,1688083200,-5751974,-0.04,41.925,-46.377,-0.10344827,0.14113986,0.002397,1536883200,ASX,EQUITY,MPX.AX,MPX.AX,MUSTERA FPO,Mustera Property Group Limited,1417129200,Australia/Sydney,AEST,91fc807d-d864-3c67-815e-020ddc43fcb6,finmb_274637810,36000000,0.26,none,1085121,0.008,-2036810,58045400,0.025,0.745,2253093,444.486,0.016,-0.019170001,-0.37404,508021,-42885156,-25180012,-0.059,0.22548,-0.90401,-0.91822,AUD,
1,15 McCabe Street,North Fremantle,Applecross,WA,6159,Australia,61 8 9386 7069,https://www.mustera.com.au,Real Estate—Development,Real Estate—Development,Real Estate,Real Estate,"Mustera Property Group Limited, together with its subsidiaries, operates as a property investment and development company in Australia. The company operates through two segments: Property Investment and Property Development. It provides real estate development platform for residential, commercial, industrial, retail, and mixed-use properties. In addition, the company engages in the fund management activities. Mustera Property Group Limited was incorporated in 2010 and is based in Applecross, Australia.","{'maxAge': 1, 'name': 'Ms. Natalie  Teo', 'title': 'Company Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,4,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,1536883200,0.0,-0.111486,1,1,505,0,0,0.0,0.255,0,0,37501100,0.245,0.29,16.644276,0.2641,0.267825,0.0,0.0,AUD,94461416,-2.55292,10012803,144235008,0.93882006,0.0,144235008,0.091,2.857143,1688083200,1719705600,1688083200,-5751974,-0.04,41.925,-46.377,-0.10344827,0.14113986,0.002397,1536883200,ASX,EQUITY,MPX.AX,MPX.AX,MUSTERA FPO,Mustera Property Group Limited,1417129200,Australia/Sydney,AEST,91fc807d-d864-3c67-815e-020ddc43fcb6,finmb_274637810,36000000,0.26,none,1085121,0.008,-2036810,58045400,0.025,0.745,2253093,444.486,0.016,-0.019170001,-0.37404,508021,-42885156,-25180012,-0.059,0.22548,-0.90401,-0.91822,AUD,
