,address1,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,fiveYearAvgDividendYield,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,profitMargins,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,trailingEps,forwardEps,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,grossMargins,ebitdaMargins,operatingMargins,trailingPegRatio
0,Two International Place,Boston,MA,02110,United States,617-482-8260,https://funds.eatonvance.com/Municipal-Income-2028-Term-Trust-ETX.php,Asset Management,Financial Services,"Eaton Vance Municipal Income 2028 Term Trust is a closed ended fixed income mutual fund launched and managed by Eaton Vance Management. It invests in the fixed income markets. The fund invest in stocks of companies operating across the diversified sectors. It was previously known as Eaton Vance Municipal Income Term Trust. Eaton Vance Municipal Income 2028 Term Trust was formed on March 28, 2013 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. Payson F. Swaffield CFA', 'title': 'VP, Chief Income Investment Officer & Portfolio Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,16.87,16.83,16.83,17.05,16.87,16.83,16.83,17.05,0.7,0.041500002,1695254400,4.11,-1702.0001,45626,45626,32429,42990,42990,16.56,17.3,1800,1000,185262704,16.8,19.99,17.3264,17.84795,0.0,0.0,USD,0.0,10885000,3788,4642,1690761600,1693440000,0.00029999999,0.0,0.21000999,0.11,0.00029999999,-0.78,-0.01,NYQ,EQUITY,ETX,ETX,Eaton Vance Municipal Income 20,Eaton Vance Municipal Income 2028 Term Trust,1364304600,America/New_York,EDT,-14400000,17.02,none,0.0,0.0,0.0,
1,Two International Place,Boston,MA,02110,United States,617-482-8260,https://funds.eatonvance.com/Municipal-Income-2028-Term-Trust-ETX.php,Asset Management,Financial Services,"Eaton Vance Municipal Income 2028 Term Trust is a closed ended fixed income mutual fund launched and managed by Eaton Vance Management. It invests in the fixed income markets. The fund invest in stocks of companies operating across the diversified sectors. It was previously known as Eaton Vance Municipal Income Term Trust. Eaton Vance Municipal Income 2028 Term Trust was formed on March 28, 2013 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. Craig Robert Brandon CFA', 'age': 56, 'title': 'Portfolio Mang.', 'yearBorn': 1966, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,16.87,16.83,16.83,17.05,16.87,16.83,16.83,17.05,0.7,0.041500002,1695254400,4.11,-1702.0001,45626,45626,32429,42990,42990,16.56,17.3,1800,1000,185262704,16.8,19.99,17.3264,17.84795,0.0,0.0,USD,0.0,10885000,3788,4642,1690761600,1693440000,0.00029999999,0.0,0.21000999,0.11,0.00029999999,-0.78,-0.01,NYQ,EQUITY,ETX,ETX,Eaton Vance Municipal Income 20,Eaton Vance Municipal Income 2028 Term Trust,1364304600,America/New_York,EDT,-14400000,17.02,none,0.0,0.0,0.0,
