,address1,address2,city,zip,country,phone,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,totalRevenue,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,"China Hong Kong City, Tower 6",18th Floor Room 1805-06 33 Canton Road,Tsim Sha Tsui,10004,Hong Kong,852 2155 3999,Capital Markets,Financial Services,"Sky Constant Century Inc. provides precious metals spot contract trading services for gold and silver trading through electronic trading platform located in Hong Kong. The company was formerly known as eBullion, Inc. and changed its name to Sky Constant Century Inc. in August 2023. The company was incorporated in 2013 and is based in Tsim Sha Tsui, Hong Kong.",18,"{'maxAge': 1, 'name': 'Mr. Lai Keung Chan', 'age': 53, 'title': 'Pres, CEO & Director', 'yearBorn': 1969, 'exercisedValue': 0, 'unexercisedValue': 0}",1483142400,86400,4,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,0.0,1.764177,33,33,264,10,10,124049,0.001,45.0,0.118706726,3.61406,16.903515,0.0,0.0,USD,-925781,-0.63606,16215,102520,15.864,0.07627332,1490918400,1522454400,1506729600,-664685,-0.03,-0.886,PNK,EQUITY,SKYC,SKYC,SKY CONSTANT CENTURY INC,Sky Constant Century Inc.,1412861400,America/New_York,EDT,-14400000,1.21,none,1049831,10.24,0,3.147,3.299,1045004,10.193,-0.27748,-0.33133,1952966,235425,-0.936,1.0,0.0,-0.65624,USD,
1,"China Hong Kong City, Tower 6",18th Floor Room 1805-06 33 Canton Road,Tsim Sha Tsui,10004,Hong Kong,852 2155 3999,Capital Markets,Financial Services,"Sky Constant Century Inc. provides precious metals spot contract trading services for gold and silver trading through electronic trading platform located in Hong Kong. The company was formerly known as eBullion, Inc. and changed its name to Sky Constant Century Inc. in August 2023. The company was incorporated in 2013 and is based in Tsim Sha Tsui, Hong Kong.",18,"{'maxAge': 1, 'name': 'Mr. Vicki  Li', 'title': 'Investor Relation', 'exercisedValue': 0, 'unexercisedValue': 0}",1483142400,86400,4,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,0.0,1.764177,33,33,264,10,10,124049,0.001,45.0,0.118706726,3.61406,16.903515,0.0,0.0,USD,-925781,-0.63606,16215,102520,15.864,0.07627332,1490918400,1522454400,1506729600,-664685,-0.03,-0.886,PNK,EQUITY,SKYC,SKYC,SKY CONSTANT CENTURY INC,Sky Constant Century Inc.,1412861400,America/New_York,EDT,-14400000,1.21,none,1049831,10.24,0,3.147,3.299,1045004,10.193,-0.27748,-0.33133,1952966,235425,-0.936,1.0,0.0,-0.65624,USD,
2,"China Hong Kong City, Tower 6",18th Floor Room 1805-06 33 Canton Road,Tsim Sha Tsui,10004,Hong Kong,852 2155 3999,Capital Markets,Financial Services,"Sky Constant Century Inc. provides precious metals spot contract trading services for gold and silver trading through electronic trading platform located in Hong Kong. The company was formerly known as eBullion, Inc. and changed its name to Sky Constant Century Inc. in August 2023. The company was incorporated in 2013 and is based in Tsim Sha Tsui, Hong Kong.",18,"{'maxAge': 1, 'name': 'Mr. Joseph L.  Havlin CPA', 'age': 67, 'title': 'Financial Advisor', 'yearBorn': 1955, 'fiscalYear': 2013, 'exercisedValue': 0, 'unexercisedValue': 0}",1483142400,86400,4,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,0.0,1.764177,33,33,264,10,10,124049,0.001,45.0,0.118706726,3.61406,16.903515,0.0,0.0,USD,-925781,-0.63606,16215,102520,15.864,0.07627332,1490918400,1522454400,1506729600,-664685,-0.03,-0.886,PNK,EQUITY,SKYC,SKYC,SKY CONSTANT CENTURY INC,Sky Constant Century Inc.,1412861400,America/New_York,EDT,-14400000,1.21,none,1049831,10.24,0,3.147,3.299,1045004,10.193,-0.27748,-0.33133,1952966,235425,-0.936,1.0,0.0,-0.65624,USD,
