,address1,address2,city,state,zip,country,website,industry,sector,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationMean,recommendationKey,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,1873 Spall Road,No 18,Kelowna,BC,V1Y 4R2,Canada,https://www.enertopia.com,Other Industrial Metals & Mining,Basic Materials,"Enertopia Corp. engages in the exploration of lithium in Canada. It holds 100% in the West Tonopah (Smoky Valley) Lithium Project comprising 88 lode mining claims covering 1,760 acers located in Big Smoky Valley, Nevada. The company was formerly known as Golden Aria Corp. and changed its name to Enertopia Corp. in February 2010. Enertopia Corp. was founded in 2004 and is headquartered in Kelowna, Canada.","{'maxAge': 1, 'name': 'Mr. Robert G. McAllister', 'age': 61, 'title': 'Pres, CEO, Sec., Treasurer & Chairman', 'yearBorn': 1961, 'fiscalYear': 2022, 'totalPay': 38000, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.0193,0.0249,0.018,0.0259,0.0193,0.0249,0.018,0.0259,0.0,-0.463347,255500,255500,50196,50446,50446,0.0,0.0,0,0,3836479,0.0152,0.0574,0.0238192,0.03455345,0.0,0.0,USD,1217298,0.0,147611051,155166000,0.04869,0.0,0.01,2.4725,1661904000,1693440000,1685491200,-2097270,-0.02,1:2,1253836800,PNK,EQUITY,ENRT,ENRT,ENERTOPIA CORPORATION,Enertopia Corp.,1156253400,America/New_York,EDT,-14400000,0.024725,2.0,buy,1777018,0.011,0,5.86,6.115,-0.30735,-0.81913,-814558,-1425408,0.0,0.0,0.0,USD,
1,1873 Spall Road,No 18,Kelowna,BC,V1Y 4R2,Canada,https://www.enertopia.com,Other Industrial Metals & Mining,Basic Materials,"Enertopia Corp. engages in the exploration of lithium in Canada. It holds 100% in the West Tonopah (Smoky Valley) Lithium Project comprising 88 lode mining claims covering 1,760 acers located in Big Smoky Valley, Nevada. The company was formerly known as Golden Aria Corp. and changed its name to Enertopia Corp. in February 2010. Enertopia Corp. was founded in 2004 and is headquartered in Kelowna, Canada.","{'maxAge': 1, 'name': 'Mr. Allan  Spissinger C.A., CPA', 'age': 53, 'title': 'Chief Financial Officer', 'yearBorn': 1969, 'fiscalYear': 2022, 'totalPay': 18512, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.0193,0.0249,0.018,0.0259,0.0193,0.0249,0.018,0.0259,0.0,-0.463347,255500,255500,50196,50446,50446,0.0,0.0,0,0,3836479,0.0152,0.0574,0.0238192,0.03455345,0.0,0.0,USD,1217298,0.0,147611051,155166000,0.04869,0.0,0.01,2.4725,1661904000,1693440000,1685491200,-2097270,-0.02,1:2,1253836800,PNK,EQUITY,ENRT,ENRT,ENERTOPIA CORPORATION,Enertopia Corp.,1156253400,America/New_York,EDT,-14400000,0.024725,2.0,buy,1777018,0.011,0,5.86,6.115,-0.30735,-0.81913,-814558,-1425408,0.0,0.0,0.0,USD,
2,1873 Spall Road,No 18,Kelowna,BC,V1Y 4R2,Canada,https://www.enertopia.com,Other Industrial Metals & Mining,Basic Materials,"Enertopia Corp. engages in the exploration of lithium in Canada. It holds 100% in the West Tonopah (Smoky Valley) Lithium Project comprising 88 lode mining claims covering 1,760 acers located in Big Smoky Valley, Nevada. The company was formerly known as Golden Aria Corp. and changed its name to Enertopia Corp. in February 2010. Enertopia Corp. was founded in 2004 and is headquartered in Kelowna, Canada.","{'maxAge': 1, 'name': 'Mr. Olivier  Vincent', 'title': 'Consultant and Advisor to the Board for Health & Wellness Technology Division', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.0193,0.0249,0.018,0.0259,0.0193,0.0249,0.018,0.0259,0.0,-0.463347,255500,255500,50196,50446,50446,0.0,0.0,0,0,3836479,0.0152,0.0574,0.0238192,0.03455345,0.0,0.0,USD,1217298,0.0,147611051,155166000,0.04869,0.0,0.01,2.4725,1661904000,1693440000,1685491200,-2097270,-0.02,1:2,1253836800,PNK,EQUITY,ENRT,ENRT,ENERTOPIA CORPORATION,Enertopia Corp.,1156253400,America/New_York,EDT,-14400000,0.024725,2.0,buy,1777018,0.011,0,5.86,6.115,-0.30735,-0.81913,-814558,-1425408,0.0,0.0,0.0,USD,
