,address1,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,"591-1, Miyata-cho",Hikone,522-8588,Japan,81 7 4930 7111,81 7 4930 7054,https://www.fujitec.co.jp,Specialty Industrial Machinery,Industrials,"Fujitec Co., Ltd. engages in the research, development, manufacture, marketing, installation, and maintenance of elevators, escalators, moving walks, and transportation systems in Japan, East Asia, Europe, the Middle East, South Asia, South America, and North America. Fujitec Co., Ltd. was incorporated in 1948 and is headquartered in Hikone, Japan.",11453,"{'maxAge': 1, 'name': 'Mr. Masayoshi  Harada', 'age': 60, 'title': 'Pres, CEO & Representative Director', 'yearBorn': 1962, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,24.78,24.78,24.78,24.78,24.78,24.78,24.78,24.78,0.54,0.0219,1680134400,0.6441,0.496996,31.367088,1,1,38,0,0,1932171008,19.9,26.98,0.0089313015,25.4928,24.549875,70.0,2.8248587,USD,-43724378112,0.04222,50426786,77973000,0.0,0.0,1670.111,0.014837338,1680220800,1711843200,1688083200,0.246,9134000128,0.79,-0.202,-2.596,PNK,EQUITY,FJTCY,FJTCY,FUJITEC CO LTD UNSP ADR EACH RE,"Fujitec Co., Ltd.",1415284200,America/New_York,EDT,-14400000,24.78,none,67534999552,865.931,16840500224,5186999808,1.691,2.052,216337006592,3.53,2755.394,0.03379,0.07035,0.281,0.21,0.20641,0.07784,0.05843,JPY,
1,"591-1, Miyata-cho",Hikone,522-8588,Japan,81 7 4930 7111,81 7 4930 7054,https://www.fujitec.co.jp,Specialty Industrial Machinery,Industrials,"Fujitec Co., Ltd. engages in the research, development, manufacture, marketing, installation, and maintenance of elevators, escalators, moving walks, and transportation systems in Japan, East Asia, Europe, the Middle East, South Asia, South America, and North America. Fujitec Co., Ltd. was incorporated in 1948 and is headquartered in Hikone, Japan.",11453,"{'maxAge': 1, 'name': 'Mr. Vic  Harada', 'title': 'Chief Exec. Officer of Fujitec America Inc and Gen. Mang. of Sales & Marketing', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,24.78,24.78,24.78,24.78,24.78,24.78,24.78,24.78,0.54,0.0219,1680134400,0.6441,0.496996,31.367088,1,1,38,0,0,1932171008,19.9,26.98,0.0089313015,25.4928,24.549875,70.0,2.8248587,USD,-43724378112,0.04222,50426786,77973000,0.0,0.0,1670.111,0.014837338,1680220800,1711843200,1688083200,0.246,9134000128,0.79,-0.202,-2.596,PNK,EQUITY,FJTCY,FJTCY,FUJITEC CO LTD UNSP ADR EACH RE,"Fujitec Co., Ltd.",1415284200,America/New_York,EDT,-14400000,24.78,none,67534999552,865.931,16840500224,5186999808,1.691,2.052,216337006592,3.53,2755.394,0.03379,0.07035,0.281,0.21,0.20641,0.07784,0.05843,JPY,
2,"591-1, Miyata-cho",Hikone,522-8588,Japan,81 7 4930 7111,81 7 4930 7054,https://www.fujitec.co.jp,Specialty Industrial Machinery,Industrials,"Fujitec Co., Ltd. engages in the research, development, manufacture, marketing, installation, and maintenance of elevators, escalators, moving walks, and transportation systems in Japan, East Asia, Europe, the Middle East, South Asia, South America, and North America. Fujitec Co., Ltd. was incorporated in 1948 and is headquartered in Hikone, Japan.",11453,"{'maxAge': 1, 'name': 'Kenji  Tomooka', 'title': 'Exec. Operating Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,24.78,24.78,24.78,24.78,24.78,24.78,24.78,24.78,0.54,0.0219,1680134400,0.6441,0.496996,31.367088,1,1,38,0,0,1932171008,19.9,26.98,0.0089313015,25.4928,24.549875,70.0,2.8248587,USD,-43724378112,0.04222,50426786,77973000,0.0,0.0,1670.111,0.014837338,1680220800,1711843200,1688083200,0.246,9134000128,0.79,-0.202,-2.596,PNK,EQUITY,FJTCY,FJTCY,FUJITEC CO LTD UNSP ADR EACH RE,"Fujitec Co., Ltd.",1415284200,America/New_York,EDT,-14400000,24.78,none,67534999552,865.931,16840500224,5186999808,1.691,2.052,216337006592,3.53,2755.394,0.03379,0.07035,0.281,0.21,0.20641,0.07784,0.05843,JPY,
3,"591-1, Miyata-cho",Hikone,522-8588,Japan,81 7 4930 7111,81 7 4930 7054,https://www.fujitec.co.jp,Specialty Industrial Machinery,Industrials,"Fujitec Co., Ltd. engages in the research, development, manufacture, marketing, installation, and maintenance of elevators, escalators, moving walks, and transportation systems in Japan, East Asia, Europe, the Middle East, South Asia, South America, and North America. Fujitec Co., Ltd. was incorporated in 1948 and is headquartered in Hikone, Japan.",11453,"{'maxAge': 1, 'name': 'Asami  Araki', 'title': 'Exec. Operating Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,24.78,24.78,24.78,24.78,24.78,24.78,24.78,24.78,0.54,0.0219,1680134400,0.6441,0.496996,31.367088,1,1,38,0,0,1932171008,19.9,26.98,0.0089313015,25.4928,24.549875,70.0,2.8248587,USD,-43724378112,0.04222,50426786,77973000,0.0,0.0,1670.111,0.014837338,1680220800,1711843200,1688083200,0.246,9134000128,0.79,-0.202,-2.596,PNK,EQUITY,FJTCY,FJTCY,FUJITEC CO LTD UNSP ADR EACH RE,"Fujitec Co., Ltd.",1415284200,America/New_York,EDT,-14400000,24.78,none,67534999552,865.931,16840500224,5186999808,1.691,2.052,216337006592,3.53,2755.394,0.03379,0.07035,0.281,0.21,0.20641,0.07784,0.05843,JPY,
4,"591-1, Miyata-cho",Hikone,522-8588,Japan,81 7 4930 7111,81 7 4930 7054,https://www.fujitec.co.jp,Specialty Industrial Machinery,Industrials,"Fujitec Co., Ltd. engages in the research, development, manufacture, marketing, installation, and maintenance of elevators, escalators, moving walks, and transportation systems in Japan, East Asia, Europe, the Middle East, South Asia, South America, and North America. Fujitec Co., Ltd. was incorporated in 1948 and is headquartered in Hikone, Japan.",11453,"{'maxAge': 1, 'name': 'Hiroshi  Maruyama', 'title': 'Exec. Operating Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,24.78,24.78,24.78,24.78,24.78,24.78,24.78,24.78,0.54,0.0219,1680134400,0.6441,0.496996,31.367088,1,1,38,0,0,1932171008,19.9,26.98,0.0089313015,25.4928,24.549875,70.0,2.8248587,USD,-43724378112,0.04222,50426786,77973000,0.0,0.0,1670.111,0.014837338,1680220800,1711843200,1688083200,0.246,9134000128,0.79,-0.202,-2.596,PNK,EQUITY,FJTCY,FJTCY,FUJITEC CO LTD UNSP ADR EACH RE,"Fujitec Co., Ltd.",1415284200,America/New_York,EDT,-14400000,24.78,none,67534999552,865.931,16840500224,5186999808,1.691,2.052,216337006592,3.53,2755.394,0.03379,0.07035,0.281,0.21,0.20641,0.07784,0.05843,JPY,
5,"591-1, Miyata-cho",Hikone,522-8588,Japan,81 7 4930 7111,81 7 4930 7054,https://www.fujitec.co.jp,Specialty Industrial Machinery,Industrials,"Fujitec Co., Ltd. engages in the research, development, manufacture, marketing, installation, and maintenance of elevators, escalators, moving walks, and transportation systems in Japan, East Asia, Europe, the Middle East, South Asia, South America, and North America. Fujitec Co., Ltd. was incorporated in 1948 and is headquartered in Hikone, Japan.",11453,"{'maxAge': 1, 'name': 'Ikuo  Masuda', 'title': 'Exec. Operating Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,24.78,24.78,24.78,24.78,24.78,24.78,24.78,24.78,0.54,0.0219,1680134400,0.6441,0.496996,31.367088,1,1,38,0,0,1932171008,19.9,26.98,0.0089313015,25.4928,24.549875,70.0,2.8248587,USD,-43724378112,0.04222,50426786,77973000,0.0,0.0,1670.111,0.014837338,1680220800,1711843200,1688083200,0.246,9134000128,0.79,-0.202,-2.596,PNK,EQUITY,FJTCY,FJTCY,FUJITEC CO LTD UNSP ADR EACH RE,"Fujitec Co., Ltd.",1415284200,America/New_York,EDT,-14400000,24.78,none,67534999552,865.931,16840500224,5186999808,1.691,2.052,216337006592,3.53,2755.394,0.03379,0.07035,0.281,0.21,0.20641,0.07784,0.05843,JPY,
6,"591-1, Miyata-cho",Hikone,522-8588,Japan,81 7 4930 7111,81 7 4930 7054,https://www.fujitec.co.jp,Specialty Industrial Machinery,Industrials,"Fujitec Co., Ltd. engages in the research, development, manufacture, marketing, installation, and maintenance of elevators, escalators, moving walks, and transportation systems in Japan, East Asia, Europe, the Middle East, South Asia, South America, and North America. Fujitec Co., Ltd. was incorporated in 1948 and is headquartered in Hikone, Japan.",11453,"{'maxAge': 1, 'name': 'Shiro  Adachi', 'title': 'Exec. Operating Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,24.78,24.78,24.78,24.78,24.78,24.78,24.78,24.78,0.54,0.0219,1680134400,0.6441,0.496996,31.367088,1,1,38,0,0,1932171008,19.9,26.98,0.0089313015,25.4928,24.549875,70.0,2.8248587,USD,-43724378112,0.04222,50426786,77973000,0.0,0.0,1670.111,0.014837338,1680220800,1711843200,1688083200,0.246,9134000128,0.79,-0.202,-2.596,PNK,EQUITY,FJTCY,FJTCY,FUJITEC CO LTD UNSP ADR EACH RE,"Fujitec Co., Ltd.",1415284200,America/New_York,EDT,-14400000,24.78,none,67534999552,865.931,16840500224,5186999808,1.691,2.052,216337006592,3.53,2755.394,0.03379,0.07035,0.281,0.21,0.20641,0.07784,0.05843,JPY,
7,"591-1, Miyata-cho",Hikone,522-8588,Japan,81 7 4930 7111,81 7 4930 7054,https://www.fujitec.co.jp,Specialty Industrial Machinery,Industrials,"Fujitec Co., Ltd. engages in the research, development, manufacture, marketing, installation, and maintenance of elevators, escalators, moving walks, and transportation systems in Japan, East Asia, Europe, the Middle East, South Asia, South America, and North America. Fujitec Co., Ltd. was incorporated in 1948 and is headquartered in Hikone, Japan.",11453,"{'maxAge': 1, 'name': 'Hiroki  Tokuami', 'title': 'Exec. Operating Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,24.78,24.78,24.78,24.78,24.78,24.78,24.78,24.78,0.54,0.0219,1680134400,0.6441,0.496996,31.367088,1,1,38,0,0,1932171008,19.9,26.98,0.0089313015,25.4928,24.549875,70.0,2.8248587,USD,-43724378112,0.04222,50426786,77973000,0.0,0.0,1670.111,0.014837338,1680220800,1711843200,1688083200,0.246,9134000128,0.79,-0.202,-2.596,PNK,EQUITY,FJTCY,FJTCY,FUJITEC CO LTD UNSP ADR EACH RE,"Fujitec Co., Ltd.",1415284200,America/New_York,EDT,-14400000,24.78,none,67534999552,865.931,16840500224,5186999808,1.691,2.052,216337006592,3.53,2755.394,0.03379,0.07035,0.281,0.21,0.20641,0.07784,0.05843,JPY,
8,"591-1, Miyata-cho",Hikone,522-8588,Japan,81 7 4930 7111,81 7 4930 7054,https://www.fujitec.co.jp,Specialty Industrial Machinery,Industrials,"Fujitec Co., Ltd. engages in the research, development, manufacture, marketing, installation, and maintenance of elevators, escalators, moving walks, and transportation systems in Japan, East Asia, Europe, the Middle East, South Asia, South America, and North America. Fujitec Co., Ltd. was incorporated in 1948 and is headquartered in Hikone, Japan.",11453,"{'maxAge': 1, 'name': 'Yusuke  Uchiyama', 'title': 'Exec. Operating Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,24.78,24.78,24.78,24.78,24.78,24.78,24.78,24.78,0.54,0.0219,1680134400,0.6441,0.496996,31.367088,1,1,38,0,0,1932171008,19.9,26.98,0.0089313015,25.4928,24.549875,70.0,2.8248587,USD,-43724378112,0.04222,50426786,77973000,0.0,0.0,1670.111,0.014837338,1680220800,1711843200,1688083200,0.246,9134000128,0.79,-0.202,-2.596,PNK,EQUITY,FJTCY,FJTCY,FUJITEC CO LTD UNSP ADR EACH RE,"Fujitec Co., Ltd.",1415284200,America/New_York,EDT,-14400000,24.78,none,67534999552,865.931,16840500224,5186999808,1.691,2.052,216337006592,3.53,2755.394,0.03379,0.07035,0.281,0.21,0.20641,0.07784,0.05843,JPY,
9,"591-1, Miyata-cho",Hikone,522-8588,Japan,81 7 4930 7111,81 7 4930 7054,https://www.fujitec.co.jp,Specialty Industrial Machinery,Industrials,"Fujitec Co., Ltd. engages in the research, development, manufacture, marketing, installation, and maintenance of elevators, escalators, moving walks, and transportation systems in Japan, East Asia, Europe, the Middle East, South Asia, South America, and North America. Fujitec Co., Ltd. was incorporated in 1948 and is headquartered in Hikone, Japan.",11453,"{'maxAge': 1, 'name': 'Mr. Takashige  Nakajima', 'age': 54, 'title': 'Sr. Exec. Operating Officer & Representative Director', 'yearBorn': 1968, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,24.78,24.78,24.78,24.78,24.78,24.78,24.78,24.78,0.54,0.0219,1680134400,0.6441,0.496996,31.367088,1,1,38,0,0,1932171008,19.9,26.98,0.0089313015,25.4928,24.549875,70.0,2.8248587,USD,-43724378112,0.04222,50426786,77973000,0.0,0.0,1670.111,0.014837338,1680220800,1711843200,1688083200,0.246,9134000128,0.79,-0.202,-2.596,PNK,EQUITY,FJTCY,FJTCY,FUJITEC CO LTD UNSP ADR EACH RE,"Fujitec Co., Ltd.",1415284200,America/New_York,EDT,-14400000,24.78,none,67534999552,865.931,16840500224,5186999808,1.691,2.052,216337006592,3.53,2755.394,0.03379,0.07035,0.281,0.21,0.20641,0.07784,0.05843,JPY,
