,address1,address2,city,zip,country,phone,website,industry,sector,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,MWSS Administration Building,2nd Floor No. 489 Katipunan Road Balara,Quezon City,1105,Philippines,63 2 7917 5900,https://www.manilawater.com,Utilities—Regulated Water,Utilities,"Manila Water Company, Inc., together with its subsidiaries, provides water treatment and distribution, sewerage, and sanitation services in the Philippines and internationally. It also offers integrated used water, pipework, engineering, procurement, and management services. The company provides its services to approximately six million people in the East Zone encompassing 23 cities and municipalities, including Makati, Mandaluyong, Pasig, Pateros, San Juan, Taguig, Marikina, Quezon City, and Manila, as well as Rizal towns comprising Angono, Antipolo, Baras, Binangonan, Cainta, Cardona, Jala-Jala, Morong, Pililia, Rodriguez, San Mateo, Tanay, Taytay, and Teresa. It serves residential, commercial, semi-business, and industrial customers. The company was incorporated in 1997 and is based in Quezon City, the Philippines.","{'maxAge': 1, 'name': 'Mr. Jose Victor-Emmanuel-A. De Dios', 'age': 56, 'title': 'Pres, CEO & Director', 'yearBorn': 1966, 'fiscalYear': 2022, 'totalPay': 0, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.3247,0.3247,0.3247,0.3247,0.3247,0.3247,0.3247,0.3247,0.02,0.0553,1681171200,0.42470002,0.71476,8.1175,85,85,82,0,0,0.0,0.0,0,0,1024191424,0.26,0.37,0.037550896,0.3284,0.3336,0.999,3.0766861,USD,79403941888,0.29521,1037437032,2883650048,0.63205004,0.07028,22.822,0.014227499,1672444800,1703980800,1688083200,0.517,8058211328,0.04,2.911,5.133,PNK,EQUITY,MWTCF,MWTCF,MANILA WATER COMPANY,"Manila Water Company, Inc.",1272288600,America/New_York,EDT,-14400000,0.3247,29.0,23.0,25.96,26.0,1.5,strong_buy,7,9143731200,2.785,15469156352,86131171328,0.4,0.478,27274752000,112.898,8.306,0.04153,0.113409996,15406009270,11641120768,1335857664,0.517,0.4,0.71788,0.56716,0.45789,PHP,
1,MWSS Administration Building,2nd Floor No. 489 Katipunan Road Balara,Quezon City,1105,Philippines,63 2 7917 5900,https://www.manilawater.com,Utilities—Regulated Water,Utilities,"Manila Water Company, Inc., together with its subsidiaries, provides water treatment and distribution, sewerage, and sanitation services in the Philippines and internationally. It also offers integrated used water, pipework, engineering, procurement, and management services. The company provides its services to approximately six million people in the East Zone encompassing 23 cities and municipalities, including Makati, Mandaluyong, Pasig, Pateros, San Juan, Taguig, Marikina, Quezon City, and Manila, as well as Rizal towns comprising Angono, Antipolo, Baras, Binangonan, Cainta, Cardona, Jala-Jala, Morong, Pililia, Rodriguez, San Mateo, Tanay, Taytay, and Teresa. It serves residential, commercial, semi-business, and industrial customers. The company was incorporated in 1997 and is based in Quezon City, the Philippines.","{'maxAge': 1, 'name': 'Mr. Donato C. Almeda', 'age': 67, 'title': 'Chief Regulatory Officer & Exec. Director', 'yearBorn': 1955, 'fiscalYear': 2022, 'totalPay': 0, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.3247,0.3247,0.3247,0.3247,0.3247,0.3247,0.3247,0.3247,0.02,0.0553,1681171200,0.42470002,0.71476,8.1175,85,85,82,0,0,0.0,0.0,0,0,1024191424,0.26,0.37,0.037550896,0.3284,0.3336,0.999,3.0766861,USD,79403941888,0.29521,1037437032,2883650048,0.63205004,0.07028,22.822,0.014227499,1672444800,1703980800,1688083200,0.517,8058211328,0.04,2.911,5.133,PNK,EQUITY,MWTCF,MWTCF,MANILA WATER COMPANY,"Manila Water Company, Inc.",1272288600,America/New_York,EDT,-14400000,0.3247,29.0,23.0,25.96,26.0,1.5,strong_buy,7,9143731200,2.785,15469156352,86131171328,0.4,0.478,27274752000,112.898,8.306,0.04153,0.113409996,15406009270,11641120768,1335857664,0.517,0.4,0.71788,0.56716,0.45789,PHP,
2,MWSS Administration Building,2nd Floor No. 489 Katipunan Road Balara,Quezon City,1105,Philippines,63 2 7917 5900,https://www.manilawater.com,Utilities—Regulated Water,Utilities,"Manila Water Company, Inc., together with its subsidiaries, provides water treatment and distribution, sewerage, and sanitation services in the Philippines and internationally. It also offers integrated used water, pipework, engineering, procurement, and management services. The company provides its services to approximately six million people in the East Zone encompassing 23 cities and municipalities, including Makati, Mandaluyong, Pasig, Pateros, San Juan, Taguig, Marikina, Quezon City, and Manila, as well as Rizal towns comprising Angono, Antipolo, Baras, Binangonan, Cainta, Cardona, Jala-Jala, Morong, Pililia, Rodriguez, San Mateo, Tanay, Taytay, and Teresa. It serves residential, commercial, semi-business, and industrial customers. The company was incorporated in 1997 and is based in Quezon City, the Philippines.","{'maxAge': 1, 'name': 'Ms. Gigi Iluminada T. Miguel', 'age': 52, 'title': 'CFO, Treasurer & Group Director for Fin.', 'yearBorn': 1970, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.3247,0.3247,0.3247,0.3247,0.3247,0.3247,0.3247,0.3247,0.02,0.0553,1681171200,0.42470002,0.71476,8.1175,85,85,82,0,0,0.0,0.0,0,0,1024191424,0.26,0.37,0.037550896,0.3284,0.3336,0.999,3.0766861,USD,79403941888,0.29521,1037437032,2883650048,0.63205004,0.07028,22.822,0.014227499,1672444800,1703980800,1688083200,0.517,8058211328,0.04,2.911,5.133,PNK,EQUITY,MWTCF,MWTCF,MANILA WATER COMPANY,"Manila Water Company, Inc.",1272288600,America/New_York,EDT,-14400000,0.3247,29.0,23.0,25.96,26.0,1.5,strong_buy,7,9143731200,2.785,15469156352,86131171328,0.4,0.478,27274752000,112.898,8.306,0.04153,0.113409996,15406009270,11641120768,1335857664,0.517,0.4,0.71788,0.56716,0.45789,PHP,
3,MWSS Administration Building,2nd Floor No. 489 Katipunan Road Balara,Quezon City,1105,Philippines,63 2 7917 5900,https://www.manilawater.com,Utilities—Regulated Water,Utilities,"Manila Water Company, Inc., together with its subsidiaries, provides water treatment and distribution, sewerage, and sanitation services in the Philippines and internationally. It also offers integrated used water, pipework, engineering, procurement, and management services. The company provides its services to approximately six million people in the East Zone encompassing 23 cities and municipalities, including Makati, Mandaluyong, Pasig, Pateros, San Juan, Taguig, Marikina, Quezon City, and Manila, as well as Rizal towns comprising Angono, Antipolo, Baras, Binangonan, Cainta, Cardona, Jala-Jala, Morong, Pililia, Rodriguez, San Mateo, Tanay, Taytay, and Teresa. It serves residential, commercial, semi-business, and industrial customers. The company was incorporated in 1997 and is based in Quezon City, the Philippines.","{'maxAge': 1, 'name': 'Anne Lizbeth J. Olmo', 'title': 'Department Head of Financial Accounting', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.3247,0.3247,0.3247,0.3247,0.3247,0.3247,0.3247,0.3247,0.02,0.0553,1681171200,0.42470002,0.71476,8.1175,85,85,82,0,0,0.0,0.0,0,0,1024191424,0.26,0.37,0.037550896,0.3284,0.3336,0.999,3.0766861,USD,79403941888,0.29521,1037437032,2883650048,0.63205004,0.07028,22.822,0.014227499,1672444800,1703980800,1688083200,0.517,8058211328,0.04,2.911,5.133,PNK,EQUITY,MWTCF,MWTCF,MANILA WATER COMPANY,"Manila Water Company, Inc.",1272288600,America/New_York,EDT,-14400000,0.3247,29.0,23.0,25.96,26.0,1.5,strong_buy,7,9143731200,2.785,15469156352,86131171328,0.4,0.478,27274752000,112.898,8.306,0.04153,0.113409996,15406009270,11641120768,1335857664,0.517,0.4,0.71788,0.56716,0.45789,PHP,
4,MWSS Administration Building,2nd Floor No. 489 Katipunan Road Balara,Quezon City,1105,Philippines,63 2 7917 5900,https://www.manilawater.com,Utilities—Regulated Water,Utilities,"Manila Water Company, Inc., together with its subsidiaries, provides water treatment and distribution, sewerage, and sanitation services in the Philippines and internationally. It also offers integrated used water, pipework, engineering, procurement, and management services. The company provides its services to approximately six million people in the East Zone encompassing 23 cities and municipalities, including Makati, Mandaluyong, Pasig, Pateros, San Juan, Taguig, Marikina, Quezon City, and Manila, as well as Rizal towns comprising Angono, Antipolo, Baras, Binangonan, Cainta, Cardona, Jala-Jala, Morong, Pililia, Rodriguez, San Mateo, Tanay, Taytay, and Teresa. It serves residential, commercial, semi-business, and industrial customers. The company was incorporated in 1997 and is based in Quezon City, the Philippines.","{'maxAge': 1, 'name': 'Ms. Liwayway T. Sevalla', 'age': 57, 'title': 'Chief Information Officer, Group Director for Corp. Information Tech. & Data Protection Officer', 'yearBorn': 1965, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.3247,0.3247,0.3247,0.3247,0.3247,0.3247,0.3247,0.3247,0.02,0.0553,1681171200,0.42470002,0.71476,8.1175,85,85,82,0,0,0.0,0.0,0,0,1024191424,0.26,0.37,0.037550896,0.3284,0.3336,0.999,3.0766861,USD,79403941888,0.29521,1037437032,2883650048,0.63205004,0.07028,22.822,0.014227499,1672444800,1703980800,1688083200,0.517,8058211328,0.04,2.911,5.133,PNK,EQUITY,MWTCF,MWTCF,MANILA WATER COMPANY,"Manila Water Company, Inc.",1272288600,America/New_York,EDT,-14400000,0.3247,29.0,23.0,25.96,26.0,1.5,strong_buy,7,9143731200,2.785,15469156352,86131171328,0.4,0.478,27274752000,112.898,8.306,0.04153,0.113409996,15406009270,11641120768,1335857664,0.517,0.4,0.71788,0.56716,0.45789,PHP,
5,MWSS Administration Building,2nd Floor No. 489 Katipunan Road Balara,Quezon City,1105,Philippines,63 2 7917 5900,https://www.manilawater.com,Utilities—Regulated Water,Utilities,"Manila Water Company, Inc., together with its subsidiaries, provides water treatment and distribution, sewerage, and sanitation services in the Philippines and internationally. It also offers integrated used water, pipework, engineering, procurement, and management services. The company provides its services to approximately six million people in the East Zone encompassing 23 cities and municipalities, including Makati, Mandaluyong, Pasig, Pateros, San Juan, Taguig, Marikina, Quezon City, and Manila, as well as Rizal towns comprising Angono, Antipolo, Baras, Binangonan, Cainta, Cardona, Jala-Jala, Morong, Pililia, Rodriguez, San Mateo, Tanay, Taytay, and Teresa. It serves residential, commercial, semi-business, and industrial customers. The company was incorporated in 1997 and is based in Quezon City, the Philippines.","{'maxAge': 1, 'name': 'Mr. Roberto Jose R. Locsin', 'age': 47, 'title': 'COO for International Bus. & Chief Admin. Officer', 'yearBorn': 1975, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.3247,0.3247,0.3247,0.3247,0.3247,0.3247,0.3247,0.3247,0.02,0.0553,1681171200,0.42470002,0.71476,8.1175,85,85,82,0,0,0.0,0.0,0,0,1024191424,0.26,0.37,0.037550896,0.3284,0.3336,0.999,3.0766861,USD,79403941888,0.29521,1037437032,2883650048,0.63205004,0.07028,22.822,0.014227499,1672444800,1703980800,1688083200,0.517,8058211328,0.04,2.911,5.133,PNK,EQUITY,MWTCF,MWTCF,MANILA WATER COMPANY,"Manila Water Company, Inc.",1272288600,America/New_York,EDT,-14400000,0.3247,29.0,23.0,25.96,26.0,1.5,strong_buy,7,9143731200,2.785,15469156352,86131171328,0.4,0.478,27274752000,112.898,8.306,0.04153,0.113409996,15406009270,11641120768,1335857664,0.517,0.4,0.71788,0.56716,0.45789,PHP,
6,MWSS Administration Building,2nd Floor No. 489 Katipunan Road Balara,Quezon City,1105,Philippines,63 2 7917 5900,https://www.manilawater.com,Utilities—Regulated Water,Utilities,"Manila Water Company, Inc., together with its subsidiaries, provides water treatment and distribution, sewerage, and sanitation services in the Philippines and internationally. It also offers integrated used water, pipework, engineering, procurement, and management services. The company provides its services to approximately six million people in the East Zone encompassing 23 cities and municipalities, including Makati, Mandaluyong, Pasig, Pateros, San Juan, Taguig, Marikina, Quezon City, and Manila, as well as Rizal towns comprising Angono, Antipolo, Baras, Binangonan, Cainta, Cardona, Jala-Jala, Morong, Pililia, Rodriguez, San Mateo, Tanay, Taytay, and Teresa. It serves residential, commercial, semi-business, and industrial customers. The company was incorporated in 1997 and is based in Quezon City, the Philippines.","{'maxAge': 1, 'name': 'Mark S. Orbos', 'title': 'Department Head of Corp. Strategy & Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.3247,0.3247,0.3247,0.3247,0.3247,0.3247,0.3247,0.3247,0.02,0.0553,1681171200,0.42470002,0.71476,8.1175,85,85,82,0,0,0.0,0.0,0,0,1024191424,0.26,0.37,0.037550896,0.3284,0.3336,0.999,3.0766861,USD,79403941888,0.29521,1037437032,2883650048,0.63205004,0.07028,22.822,0.014227499,1672444800,1703980800,1688083200,0.517,8058211328,0.04,2.911,5.133,PNK,EQUITY,MWTCF,MWTCF,MANILA WATER COMPANY,"Manila Water Company, Inc.",1272288600,America/New_York,EDT,-14400000,0.3247,29.0,23.0,25.96,26.0,1.5,strong_buy,7,9143731200,2.785,15469156352,86131171328,0.4,0.478,27274752000,112.898,8.306,0.04153,0.113409996,15406009270,11641120768,1335857664,0.517,0.4,0.71788,0.56716,0.45789,PHP,
7,MWSS Administration Building,2nd Floor No. 489 Katipunan Road Balara,Quezon City,1105,Philippines,63 2 7917 5900,https://www.manilawater.com,Utilities—Regulated Water,Utilities,"Manila Water Company, Inc., together with its subsidiaries, provides water treatment and distribution, sewerage, and sanitation services in the Philippines and internationally. It also offers integrated used water, pipework, engineering, procurement, and management services. The company provides its services to approximately six million people in the East Zone encompassing 23 cities and municipalities, including Makati, Mandaluyong, Pasig, Pateros, San Juan, Taguig, Marikina, Quezon City, and Manila, as well as Rizal towns comprising Angono, Antipolo, Baras, Binangonan, Cainta, Cardona, Jala-Jala, Morong, Pililia, Rodriguez, San Mateo, Tanay, Taytay, and Teresa. It serves residential, commercial, semi-business, and industrial customers. The company was incorporated in 1997 and is based in Quezon City, the Philippines.","{'maxAge': 1, 'name': 'Attorney Amabelle C. Asuncion', 'age': 45, 'title': 'Chief Legal Officer & Chief Compliance Officer', 'yearBorn': 1977, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.3247,0.3247,0.3247,0.3247,0.3247,0.3247,0.3247,0.3247,0.02,0.0553,1681171200,0.42470002,0.71476,8.1175,85,85,82,0,0,0.0,0.0,0,0,1024191424,0.26,0.37,0.037550896,0.3284,0.3336,0.999,3.0766861,USD,79403941888,0.29521,1037437032,2883650048,0.63205004,0.07028,22.822,0.014227499,1672444800,1703980800,1688083200,0.517,8058211328,0.04,2.911,5.133,PNK,EQUITY,MWTCF,MWTCF,MANILA WATER COMPANY,"Manila Water Company, Inc.",1272288600,America/New_York,EDT,-14400000,0.3247,29.0,23.0,25.96,26.0,1.5,strong_buy,7,9143731200,2.785,15469156352,86131171328,0.4,0.478,27274752000,112.898,8.306,0.04153,0.113409996,15406009270,11641120768,1335857664,0.517,0.4,0.71788,0.56716,0.45789,PHP,
8,MWSS Administration Building,2nd Floor No. 489 Katipunan Road Balara,Quezon City,1105,Philippines,63 2 7917 5900,https://www.manilawater.com,Utilities—Regulated Water,Utilities,"Manila Water Company, Inc., together with its subsidiaries, provides water treatment and distribution, sewerage, and sanitation services in the Philippines and internationally. It also offers integrated used water, pipework, engineering, procurement, and management services. The company provides its services to approximately six million people in the East Zone encompassing 23 cities and municipalities, including Makati, Mandaluyong, Pasig, Pateros, San Juan, Taguig, Marikina, Quezon City, and Manila, as well as Rizal towns comprising Angono, Antipolo, Baras, Binangonan, Cainta, Cardona, Jala-Jala, Morong, Pililia, Rodriguez, San Mateo, Tanay, Taytay, and Teresa. It serves residential, commercial, semi-business, and industrial customers. The company was incorporated in 1997 and is based in Quezon City, the Philippines.","{'maxAge': 1, 'name': 'Mr. Nestor Eric T. Sevilla Jr.', 'age': 58, 'title': 'Group Head of Corp. Strategic Affairs & Group Director of Corp. Communications Affairs', 'yearBorn': 1964, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.3247,0.3247,0.3247,0.3247,0.3247,0.3247,0.3247,0.3247,0.02,0.0553,1681171200,0.42470002,0.71476,8.1175,85,85,82,0,0,0.0,0.0,0,0,1024191424,0.26,0.37,0.037550896,0.3284,0.3336,0.999,3.0766861,USD,79403941888,0.29521,1037437032,2883650048,0.63205004,0.07028,22.822,0.014227499,1672444800,1703980800,1688083200,0.517,8058211328,0.04,2.911,5.133,PNK,EQUITY,MWTCF,MWTCF,MANILA WATER COMPANY,"Manila Water Company, Inc.",1272288600,America/New_York,EDT,-14400000,0.3247,29.0,23.0,25.96,26.0,1.5,strong_buy,7,9143731200,2.785,15469156352,86131171328,0.4,0.478,27274752000,112.898,8.306,0.04153,0.113409996,15406009270,11641120768,1335857664,0.517,0.4,0.71788,0.56716,0.45789,PHP,
9,MWSS Administration Building,2nd Floor No. 489 Katipunan Road Balara,Quezon City,1105,Philippines,63 2 7917 5900,https://www.manilawater.com,Utilities—Regulated Water,Utilities,"Manila Water Company, Inc., together with its subsidiaries, provides water treatment and distribution, sewerage, and sanitation services in the Philippines and internationally. It also offers integrated used water, pipework, engineering, procurement, and management services. The company provides its services to approximately six million people in the East Zone encompassing 23 cities and municipalities, including Makati, Mandaluyong, Pasig, Pateros, San Juan, Taguig, Marikina, Quezon City, and Manila, as well as Rizal towns comprising Angono, Antipolo, Baras, Binangonan, Cainta, Cardona, Jala-Jala, Morong, Pililia, Rodriguez, San Mateo, Tanay, Taytay, and Teresa. It serves residential, commercial, semi-business, and industrial customers. The company was incorporated in 1997 and is based in Quezon City, the Philippines.","{'maxAge': 1, 'name': 'Ms. Janine T. Carreon', 'age': 50, 'title': 'Group Director of Corp. HR', 'yearBorn': 1972, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.3247,0.3247,0.3247,0.3247,0.3247,0.3247,0.3247,0.3247,0.02,0.0553,1681171200,0.42470002,0.71476,8.1175,85,85,82,0,0,0.0,0.0,0,0,1024191424,0.26,0.37,0.037550896,0.3284,0.3336,0.999,3.0766861,USD,79403941888,0.29521,1037437032,2883650048,0.63205004,0.07028,22.822,0.014227499,1672444800,1703980800,1688083200,0.517,8058211328,0.04,2.911,5.133,PNK,EQUITY,MWTCF,MWTCF,MANILA WATER COMPANY,"Manila Water Company, Inc.",1272288600,America/New_York,EDT,-14400000,0.3247,29.0,23.0,25.96,26.0,1.5,strong_buy,7,9143731200,2.785,15469156352,86131171328,0.4,0.478,27274752000,112.898,8.306,0.04153,0.113409996,15406009270,11641120768,1335857664,0.517,0.4,0.71788,0.56716,0.45789,PHP,
