,address1,address2,city,zip,country,phone,website,industry,industryDisp,sector,sectorDisp,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Klarabergsviadukten 70,Section B7 Box 70381,Stockholm,111 64,Sweden,46 8 58 72 06 00,https://www.autoliv.com,Auto Parts,Auto Parts,Consumer Cyclical,Consumer Cyclical,"Autoliv, Inc., through its subsidiaries, develops, manufactures, and supplies passive safety systems to the automotive industry in Europe, the Americas, China, Japan, and rest of Asia. It offers passive safety systems, including modules and components for frontal-impact airbag protection systems, side-impact airbag protection systems, seatbelts, steering wheels, and inflator technologies. The company also provides mobility safety solutions, such as pedestrian protection, battery cut-off switches, connected safety services, and safety solutions for riders of powered two wheelers. It primarily serves car manufacturers. Autoliv, Inc. was founded in 1953 and is headquartered in Stockholm, Sweden.",63368,"{'maxAge': 1, 'name': 'Mr. Mikael  Bratt', 'age': 55, 'title': 'Pres, CEO & Director', 'yearBorn': 1967, 'fiscalYear': 2022, 'totalPay': 2287640, 'exercisedValue': 0, 'unexercisedValue': 0}",3,6,4,6,5,1693526400,1672444800,86400,2,96.08,95.15,95.04,97.36,96.08,95.15,95.04,97.36,2.64,0.0272,1693958400,0.5861,1.736168,21.713648,10.016512,1462046,1462046,798162,1042250,1042250,95.35,97.06,800,900,8218652160,65.74,103.99,0.84181625,96.3892,88.7879,2.62,0.02726894,USD,9743670272,0.03974,75760789,84676000,1356422,1192200,1690761600,1693440000,0.0159,0.00238,0.68359,2.19,0.0159,84676000,29.809,3.2560635,1672444800,1703980800,1688083200,-0.329,388000000,4.47,9.69,0.4,1388:1000,1530489600,0.998,8.939,0.2848822,0.14113986,0.66,1693958400,NYQ,EQUITY,ALV,ALV,"Autoliv, Inc.","Autoliv, Inc.",862234200,America/New_York,EDT,2c0d4446-3e8b-30bc-b3df-d339e7b4f1f0,finmb_361581,-14400000,97.06,145.0,86.0,109.42,106.0,2.3,buy,19,475000000,5.564,1090000000,1919000064,0.709,1.038,9763000320,75.019,112.932,0.06063,0.15243,1396000000,486000000,1028000000,-0.327,0.266,0.16459998,0.11165,0.07446,USD,0.413
1,Klarabergsviadukten 70,Section B7 Box 70381,Stockholm,111 64,Sweden,46 8 58 72 06 00,https://www.autoliv.com,Auto Parts,Auto Parts,Consumer Cyclical,Consumer Cyclical,"Autoliv, Inc., through its subsidiaries, develops, manufactures, and supplies passive safety systems to the automotive industry in Europe, the Americas, China, Japan, and rest of Asia. It offers passive safety systems, including modules and components for frontal-impact airbag protection systems, side-impact airbag protection systems, seatbelts, steering wheels, and inflator technologies. The company also provides mobility safety solutions, such as pedestrian protection, battery cut-off switches, connected safety services, and safety solutions for riders of powered two wheelers. It primarily serves car manufacturers. Autoliv, Inc. was founded in 1953 and is headquartered in Stockholm, Sweden.",63368,"{'maxAge': 1, 'name': 'Mr. Fredrik  Westin', 'age': 50, 'title': 'CFO & EVP of Fin.', 'yearBorn': 1972, 'fiscalYear': 2022, 'totalPay': 1009571, 'exercisedValue': 0, 'unexercisedValue': 0}",3,6,4,6,5,1693526400,1672444800,86400,2,96.08,95.15,95.04,97.36,96.08,95.15,95.04,97.36,2.64,0.0272,1693958400,0.5861,1.736168,21.713648,10.016512,1462046,1462046,798162,1042250,1042250,95.35,97.06,800,900,8218652160,65.74,103.99,0.84181625,96.3892,88.7879,2.62,0.02726894,USD,9743670272,0.03974,75760789,84676000,1356422,1192200,1690761600,1693440000,0.0159,0.00238,0.68359,2.19,0.0159,84676000,29.809,3.2560635,1672444800,1703980800,1688083200,-0.329,388000000,4.47,9.69,0.4,1388:1000,1530489600,0.998,8.939,0.2848822,0.14113986,0.66,1693958400,NYQ,EQUITY,ALV,ALV,"Autoliv, Inc.","Autoliv, Inc.",862234200,America/New_York,EDT,2c0d4446-3e8b-30bc-b3df-d339e7b4f1f0,finmb_361581,-14400000,97.06,145.0,86.0,109.42,106.0,2.3,buy,19,475000000,5.564,1090000000,1919000064,0.709,1.038,9763000320,75.019,112.932,0.06063,0.15243,1396000000,486000000,1028000000,-0.327,0.266,0.16459998,0.11165,0.07446,USD,0.413
2,Klarabergsviadukten 70,Section B7 Box 70381,Stockholm,111 64,Sweden,46 8 58 72 06 00,https://www.autoliv.com,Auto Parts,Auto Parts,Consumer Cyclical,Consumer Cyclical,"Autoliv, Inc., through its subsidiaries, develops, manufactures, and supplies passive safety systems to the automotive industry in Europe, the Americas, China, Japan, and rest of Asia. It offers passive safety systems, including modules and components for frontal-impact airbag protection systems, side-impact airbag protection systems, seatbelts, steering wheels, and inflator technologies. The company also provides mobility safety solutions, such as pedestrian protection, battery cut-off switches, connected safety services, and safety solutions for riders of powered two wheelers. It primarily serves car manufacturers. Autoliv, Inc. was founded in 1953 and is headquartered in Stockholm, Sweden.",63368,"{'maxAge': 1, 'name': 'Mr. Anthony J. Nellis', 'age': 54, 'title': 'Exec. VP of Legal Affairs, Gen. Counsel & Sec.', 'yearBorn': 1968, 'fiscalYear': 2022, 'totalPay': 836995, 'exercisedValue': 4912, 'unexercisedValue': 0}",3,6,4,6,5,1693526400,1672444800,86400,2,96.08,95.15,95.04,97.36,96.08,95.15,95.04,97.36,2.64,0.0272,1693958400,0.5861,1.736168,21.713648,10.016512,1462046,1462046,798162,1042250,1042250,95.35,97.06,800,900,8218652160,65.74,103.99,0.84181625,96.3892,88.7879,2.62,0.02726894,USD,9743670272,0.03974,75760789,84676000,1356422,1192200,1690761600,1693440000,0.0159,0.00238,0.68359,2.19,0.0159,84676000,29.809,3.2560635,1672444800,1703980800,1688083200,-0.329,388000000,4.47,9.69,0.4,1388:1000,1530489600,0.998,8.939,0.2848822,0.14113986,0.66,1693958400,NYQ,EQUITY,ALV,ALV,"Autoliv, Inc.","Autoliv, Inc.",862234200,America/New_York,EDT,2c0d4446-3e8b-30bc-b3df-d339e7b4f1f0,finmb_361581,-14400000,97.06,145.0,86.0,109.42,106.0,2.3,buy,19,475000000,5.564,1090000000,1919000064,0.709,1.038,9763000320,75.019,112.932,0.06063,0.15243,1396000000,486000000,1028000000,-0.327,0.266,0.16459998,0.11165,0.07446,USD,0.413
3,Klarabergsviadukten 70,Section B7 Box 70381,Stockholm,111 64,Sweden,46 8 58 72 06 00,https://www.autoliv.com,Auto Parts,Auto Parts,Consumer Cyclical,Consumer Cyclical,"Autoliv, Inc., through its subsidiaries, develops, manufactures, and supplies passive safety systems to the automotive industry in Europe, the Americas, China, Japan, and rest of Asia. It offers passive safety systems, including modules and components for frontal-impact airbag protection systems, side-impact airbag protection systems, seatbelts, steering wheels, and inflator technologies. The company also provides mobility safety solutions, such as pedestrian protection, battery cut-off switches, connected safety services, and safety solutions for riders of powered two wheelers. It primarily serves car manufacturers. Autoliv, Inc. was founded in 1953 and is headquartered in Stockholm, Sweden.",63368,"{'maxAge': 1, 'name': 'Mr. Frithjof R. Oldorff', 'age': 55, 'title': 'Pres of Europe', 'yearBorn': 1967, 'fiscalYear': 2022, 'totalPay': 919095, 'exercisedValue': 0, 'unexercisedValue': 0}",3,6,4,6,5,1693526400,1672444800,86400,2,96.08,95.15,95.04,97.36,96.08,95.15,95.04,97.36,2.64,0.0272,1693958400,0.5861,1.736168,21.713648,10.016512,1462046,1462046,798162,1042250,1042250,95.35,97.06,800,900,8218652160,65.74,103.99,0.84181625,96.3892,88.7879,2.62,0.02726894,USD,9743670272,0.03974,75760789,84676000,1356422,1192200,1690761600,1693440000,0.0159,0.00238,0.68359,2.19,0.0159,84676000,29.809,3.2560635,1672444800,1703980800,1688083200,-0.329,388000000,4.47,9.69,0.4,1388:1000,1530489600,0.998,8.939,0.2848822,0.14113986,0.66,1693958400,NYQ,EQUITY,ALV,ALV,"Autoliv, Inc.","Autoliv, Inc.",862234200,America/New_York,EDT,2c0d4446-3e8b-30bc-b3df-d339e7b4f1f0,finmb_361581,-14400000,97.06,145.0,86.0,109.42,106.0,2.3,buy,19,475000000,5.564,1090000000,1919000064,0.709,1.038,9763000320,75.019,112.932,0.06063,0.15243,1396000000,486000000,1028000000,-0.327,0.266,0.16459998,0.11165,0.07446,USD,0.413
4,Klarabergsviadukten 70,Section B7 Box 70381,Stockholm,111 64,Sweden,46 8 58 72 06 00,https://www.autoliv.com,Auto Parts,Auto Parts,Consumer Cyclical,Consumer Cyclical,"Autoliv, Inc., through its subsidiaries, develops, manufactures, and supplies passive safety systems to the automotive industry in Europe, the Americas, China, Japan, and rest of Asia. It offers passive safety systems, including modules and components for frontal-impact airbag protection systems, side-impact airbag protection systems, seatbelts, steering wheels, and inflator technologies. The company also provides mobility safety solutions, such as pedestrian protection, battery cut-off switches, connected safety services, and safety solutions for riders of powered two wheelers. It primarily serves car manufacturers. Autoliv, Inc. was founded in 1953 and is headquartered in Stockholm, Sweden.",63368,"{'maxAge': 1, 'name': 'Mr. Yih  Sng', 'age': 54, 'title': 'Pres of Autoliv China', 'yearBorn': 1968, 'fiscalYear': 2022, 'totalPay': 870092, 'exercisedValue': 0, 'unexercisedValue': 0}",3,6,4,6,5,1693526400,1672444800,86400,2,96.08,95.15,95.04,97.36,96.08,95.15,95.04,97.36,2.64,0.0272,1693958400,0.5861,1.736168,21.713648,10.016512,1462046,1462046,798162,1042250,1042250,95.35,97.06,800,900,8218652160,65.74,103.99,0.84181625,96.3892,88.7879,2.62,0.02726894,USD,9743670272,0.03974,75760789,84676000,1356422,1192200,1690761600,1693440000,0.0159,0.00238,0.68359,2.19,0.0159,84676000,29.809,3.2560635,1672444800,1703980800,1688083200,-0.329,388000000,4.47,9.69,0.4,1388:1000,1530489600,0.998,8.939,0.2848822,0.14113986,0.66,1693958400,NYQ,EQUITY,ALV,ALV,"Autoliv, Inc.","Autoliv, Inc.",862234200,America/New_York,EDT,2c0d4446-3e8b-30bc-b3df-d339e7b4f1f0,finmb_361581,-14400000,97.06,145.0,86.0,109.42,106.0,2.3,buy,19,475000000,5.564,1090000000,1919000064,0.709,1.038,9763000320,75.019,112.932,0.06063,0.15243,1396000000,486000000,1028000000,-0.327,0.266,0.16459998,0.11165,0.07446,USD,0.413
5,Klarabergsviadukten 70,Section B7 Box 70381,Stockholm,111 64,Sweden,46 8 58 72 06 00,https://www.autoliv.com,Auto Parts,Auto Parts,Consumer Cyclical,Consumer Cyclical,"Autoliv, Inc., through its subsidiaries, develops, manufactures, and supplies passive safety systems to the automotive industry in Europe, the Americas, China, Japan, and rest of Asia. It offers passive safety systems, including modules and components for frontal-impact airbag protection systems, side-impact airbag protection systems, seatbelts, steering wheels, and inflator technologies. The company also provides mobility safety solutions, such as pedestrian protection, battery cut-off switches, connected safety services, and safety solutions for riders of powered two wheelers. It primarily serves car manufacturers. Autoliv, Inc. was founded in 1953 and is headquartered in Stockholm, Sweden.",63368,"{'maxAge': 1, 'name': 'Mr. Staffan  Olsson', 'age': 55, 'title': 'Acting Head of Operations', 'yearBorn': 1967, 'exercisedValue': 0, 'unexercisedValue': 0}",3,6,4,6,5,1693526400,1672444800,86400,2,96.08,95.15,95.04,97.36,96.08,95.15,95.04,97.36,2.64,0.0272,1693958400,0.5861,1.736168,21.713648,10.016512,1462046,1462046,798162,1042250,1042250,95.35,97.06,800,900,8218652160,65.74,103.99,0.84181625,96.3892,88.7879,2.62,0.02726894,USD,9743670272,0.03974,75760789,84676000,1356422,1192200,1690761600,1693440000,0.0159,0.00238,0.68359,2.19,0.0159,84676000,29.809,3.2560635,1672444800,1703980800,1688083200,-0.329,388000000,4.47,9.69,0.4,1388:1000,1530489600,0.998,8.939,0.2848822,0.14113986,0.66,1693958400,NYQ,EQUITY,ALV,ALV,"Autoliv, Inc.","Autoliv, Inc.",862234200,America/New_York,EDT,2c0d4446-3e8b-30bc-b3df-d339e7b4f1f0,finmb_361581,-14400000,97.06,145.0,86.0,109.42,106.0,2.3,buy,19,475000000,5.564,1090000000,1919000064,0.709,1.038,9763000320,75.019,112.932,0.06063,0.15243,1396000000,486000000,1028000000,-0.327,0.266,0.16459998,0.11165,0.07446,USD,0.413
6,Klarabergsviadukten 70,Section B7 Box 70381,Stockholm,111 64,Sweden,46 8 58 72 06 00,https://www.autoliv.com,Auto Parts,Auto Parts,Consumer Cyclical,Consumer Cyclical,"Autoliv, Inc., through its subsidiaries, develops, manufactures, and supplies passive safety systems to the automotive industry in Europe, the Americas, China, Japan, and rest of Asia. It offers passive safety systems, including modules and components for frontal-impact airbag protection systems, side-impact airbag protection systems, seatbelts, steering wheels, and inflator technologies. The company also provides mobility safety solutions, such as pedestrian protection, battery cut-off switches, connected safety services, and safety solutions for riders of powered two wheelers. It primarily serves car manufacturers. Autoliv, Inc. was founded in 1953 and is headquartered in Stockholm, Sweden.",63368,"{'maxAge': 1, 'name': 'Mr. Jordi  Lombarte', 'age': 55, 'title': 'Exec. VP & CTO', 'yearBorn': 1967, 'fiscalYear': 2020, 'exercisedValue': 0, 'unexercisedValue': 0}",3,6,4,6,5,1693526400,1672444800,86400,2,96.08,95.15,95.04,97.36,96.08,95.15,95.04,97.36,2.64,0.0272,1693958400,0.5861,1.736168,21.713648,10.016512,1462046,1462046,798162,1042250,1042250,95.35,97.06,800,900,8218652160,65.74,103.99,0.84181625,96.3892,88.7879,2.62,0.02726894,USD,9743670272,0.03974,75760789,84676000,1356422,1192200,1690761600,1693440000,0.0159,0.00238,0.68359,2.19,0.0159,84676000,29.809,3.2560635,1672444800,1703980800,1688083200,-0.329,388000000,4.47,9.69,0.4,1388:1000,1530489600,0.998,8.939,0.2848822,0.14113986,0.66,1693958400,NYQ,EQUITY,ALV,ALV,"Autoliv, Inc.","Autoliv, Inc.",862234200,America/New_York,EDT,2c0d4446-3e8b-30bc-b3df-d339e7b4f1f0,finmb_361581,-14400000,97.06,145.0,86.0,109.42,106.0,2.3,buy,19,475000000,5.564,1090000000,1919000064,0.709,1.038,9763000320,75.019,112.932,0.06063,0.15243,1396000000,486000000,1028000000,-0.327,0.266,0.16459998,0.11165,0.07446,USD,0.413
7,Klarabergsviadukten 70,Section B7 Box 70381,Stockholm,111 64,Sweden,46 8 58 72 06 00,https://www.autoliv.com,Auto Parts,Auto Parts,Consumer Cyclical,Consumer Cyclical,"Autoliv, Inc., through its subsidiaries, develops, manufactures, and supplies passive safety systems to the automotive industry in Europe, the Americas, China, Japan, and rest of Asia. It offers passive safety systems, including modules and components for frontal-impact airbag protection systems, side-impact airbag protection systems, seatbelts, steering wheels, and inflator technologies. The company also provides mobility safety solutions, such as pedestrian protection, battery cut-off switches, connected safety services, and safety solutions for riders of powered two wheelers. It primarily serves car manufacturers. Autoliv, Inc. was founded in 1953 and is headquartered in Stockholm, Sweden.",63368,"{'maxAge': 1, 'name': 'Mr. Anders  Trapp', 'title': 'VP of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",3,6,4,6,5,1693526400,1672444800,86400,2,96.08,95.15,95.04,97.36,96.08,95.15,95.04,97.36,2.64,0.0272,1693958400,0.5861,1.736168,21.713648,10.016512,1462046,1462046,798162,1042250,1042250,95.35,97.06,800,900,8218652160,65.74,103.99,0.84181625,96.3892,88.7879,2.62,0.02726894,USD,9743670272,0.03974,75760789,84676000,1356422,1192200,1690761600,1693440000,0.0159,0.00238,0.68359,2.19,0.0159,84676000,29.809,3.2560635,1672444800,1703980800,1688083200,-0.329,388000000,4.47,9.69,0.4,1388:1000,1530489600,0.998,8.939,0.2848822,0.14113986,0.66,1693958400,NYQ,EQUITY,ALV,ALV,"Autoliv, Inc.","Autoliv, Inc.",862234200,America/New_York,EDT,2c0d4446-3e8b-30bc-b3df-d339e7b4f1f0,finmb_361581,-14400000,97.06,145.0,86.0,109.42,106.0,2.3,buy,19,475000000,5.564,1090000000,1919000064,0.709,1.038,9763000320,75.019,112.932,0.06063,0.15243,1396000000,486000000,1028000000,-0.327,0.266,0.16459998,0.11165,0.07446,USD,0.413
8,Klarabergsviadukten 70,Section B7 Box 70381,Stockholm,111 64,Sweden,46 8 58 72 06 00,https://www.autoliv.com,Auto Parts,Auto Parts,Consumer Cyclical,Consumer Cyclical,"Autoliv, Inc., through its subsidiaries, develops, manufactures, and supplies passive safety systems to the automotive industry in Europe, the Americas, China, Japan, and rest of Asia. It offers passive safety systems, including modules and components for frontal-impact airbag protection systems, side-impact airbag protection systems, seatbelts, steering wheels, and inflator technologies. The company also provides mobility safety solutions, such as pedestrian protection, battery cut-off switches, connected safety services, and safety solutions for riders of powered two wheelers. It primarily serves car manufacturers. Autoliv, Inc. was founded in 1953 and is headquartered in Stockholm, Sweden.",63368,"{'maxAge': 1, 'name': 'Ms. Gabriella  Ekelund', 'age': 47, 'title': 'Sr. VP of Communications', 'yearBorn': 1975, 'exercisedValue': 0, 'unexercisedValue': 0}",3,6,4,6,5,1693526400,1672444800,86400,2,96.08,95.15,95.04,97.36,96.08,95.15,95.04,97.36,2.64,0.0272,1693958400,0.5861,1.736168,21.713648,10.016512,1462046,1462046,798162,1042250,1042250,95.35,97.06,800,900,8218652160,65.74,103.99,0.84181625,96.3892,88.7879,2.62,0.02726894,USD,9743670272,0.03974,75760789,84676000,1356422,1192200,1690761600,1693440000,0.0159,0.00238,0.68359,2.19,0.0159,84676000,29.809,3.2560635,1672444800,1703980800,1688083200,-0.329,388000000,4.47,9.69,0.4,1388:1000,1530489600,0.998,8.939,0.2848822,0.14113986,0.66,1693958400,NYQ,EQUITY,ALV,ALV,"Autoliv, Inc.","Autoliv, Inc.",862234200,America/New_York,EDT,2c0d4446-3e8b-30bc-b3df-d339e7b4f1f0,finmb_361581,-14400000,97.06,145.0,86.0,109.42,106.0,2.3,buy,19,475000000,5.564,1090000000,1919000064,0.709,1.038,9763000320,75.019,112.932,0.06063,0.15243,1396000000,486000000,1028000000,-0.327,0.266,0.16459998,0.11165,0.07446,USD,0.413
9,Klarabergsviadukten 70,Section B7 Box 70381,Stockholm,111 64,Sweden,46 8 58 72 06 00,https://www.autoliv.com,Auto Parts,Auto Parts,Consumer Cyclical,Consumer Cyclical,"Autoliv, Inc., through its subsidiaries, develops, manufactures, and supplies passive safety systems to the automotive industry in Europe, the Americas, China, Japan, and rest of Asia. It offers passive safety systems, including modules and components for frontal-impact airbag protection systems, side-impact airbag protection systems, seatbelts, steering wheels, and inflator technologies. The company also provides mobility safety solutions, such as pedestrian protection, battery cut-off switches, connected safety services, and safety solutions for riders of powered two wheelers. It primarily serves car manufacturers. Autoliv, Inc. was founded in 1953 and is headquartered in Stockholm, Sweden.",63368,"{'maxAge': 1, 'name': 'Megan  Fisher', 'title': 'Sr. VP of Sales', 'exercisedValue': 0, 'unexercisedValue': 0}",3,6,4,6,5,1693526400,1672444800,86400,2,96.08,95.15,95.04,97.36,96.08,95.15,95.04,97.36,2.64,0.0272,1693958400,0.5861,1.736168,21.713648,10.016512,1462046,1462046,798162,1042250,1042250,95.35,97.06,800,900,8218652160,65.74,103.99,0.84181625,96.3892,88.7879,2.62,0.02726894,USD,9743670272,0.03974,75760789,84676000,1356422,1192200,1690761600,1693440000,0.0159,0.00238,0.68359,2.19,0.0159,84676000,29.809,3.2560635,1672444800,1703980800,1688083200,-0.329,388000000,4.47,9.69,0.4,1388:1000,1530489600,0.998,8.939,0.2848822,0.14113986,0.66,1693958400,NYQ,EQUITY,ALV,ALV,"Autoliv, Inc.","Autoliv, Inc.",862234200,America/New_York,EDT,2c0d4446-3e8b-30bc-b3df-d339e7b4f1f0,finmb_361581,-14400000,97.06,145.0,86.0,109.42,106.0,2.3,buy,19,475000000,5.564,1090000000,1919000064,0.709,1.038,9763000320,75.019,112.932,0.06063,0.15243,1396000000,486000000,1028000000,-0.327,0.266,0.16459998,0.11165,0.07446,USD,0.413
