,address1,city,state,zip,country,phone,website,industry,industryDisp,sector,sectorDisp,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,impliedSharesOutstanding,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,revenuePerShare,returnOnAssets,grossProfits,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,4209 Raleigh Street,Tampa,FL,33619,United States,813-247-2770,https://www.americanfibergreenproducts.com,Waste Management,Waste Management,Industrials,Industrials,"American Fiber Green Products, Inc., through its subsidiaries, focuses on the reclamation manufacturing of commercial fiberglass products from molded fiberglass waste and outdated resin waste. The company intends to produce and market railroad ties, parking stops, dock fendering systems, vessel fendering systems, bridge fendering systems, and seawalls. It also focuses on producing fiberglass vintage car replicas, boats, and other leisure products. American Fiber Green Products, Inc. was founded in 1993 and is based in Tampa, Florida.",3,"{'maxAge': 1, 'name': 'Mr. Daniel L. Hefner', 'age': 71, 'title': 'CEO, Pres & Director', 'yearBorn': 1951, 'fiscalYear': 2014, 'exercisedValue': 0, 'unexercisedValue': 0}",1451520000,86400,4,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,4.852697,100,100,7288,0,0,0.0,0.0,0,0,2508170,0.0001,0.0013,36.35556,0.000348,0.000781,0.0,0.0,USD,510888,0.0,17700600,0.54432,0.0,25081700352,-0.143,1451520000,1483142400,1475193600,-549205,-0.0,7.405,-1.08,0.0,0.14113986,PNK,EQUITY,AFBG,AFBG,AMERICAN FIBER GREEN PRODUCTS I,"American Fiber Green Products, Inc.",1209130200,America/New_York,EDT,dc40419a-a932-3560-8403-81874f5b244a,finmb_3738777,-14400000,0.0001,none,39,0.0,-473042,509157,0.0,0.0,68990,0.004,-0.89694,314576,-52378,-34805,0.40636003,0.0,-6.9381404,USD,
1,4209 Raleigh Street,Tampa,FL,33619,United States,813-247-2770,https://www.americanfibergreenproducts.com,Waste Management,Waste Management,Industrials,Industrials,"American Fiber Green Products, Inc., through its subsidiaries, focuses on the reclamation manufacturing of commercial fiberglass products from molded fiberglass waste and outdated resin waste. The company intends to produce and market railroad ties, parking stops, dock fendering systems, vessel fendering systems, bridge fendering systems, and seawalls. It also focuses on producing fiberglass vintage car replicas, boats, and other leisure products. American Fiber Green Products, Inc. was founded in 1993 and is based in Tampa, Florida.",3,"{'maxAge': 1, 'name': 'Mr. Frank D. Puissegur', 'age': 63, 'title': 'Chief Financial Officer', 'yearBorn': 1959, 'fiscalYear': 2014, 'exercisedValue': 0, 'unexercisedValue': 0}",1451520000,86400,4,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,4.852697,100,100,7288,0,0,0.0,0.0,0,0,2508170,0.0001,0.0013,36.35556,0.000348,0.000781,0.0,0.0,USD,510888,0.0,17700600,0.54432,0.0,25081700352,-0.143,1451520000,1483142400,1475193600,-549205,-0.0,7.405,-1.08,0.0,0.14113986,PNK,EQUITY,AFBG,AFBG,AMERICAN FIBER GREEN PRODUCTS I,"American Fiber Green Products, Inc.",1209130200,America/New_York,EDT,dc40419a-a932-3560-8403-81874f5b244a,finmb_3738777,-14400000,0.0001,none,39,0.0,-473042,509157,0.0,0.0,68990,0.004,-0.89694,314576,-52378,-34805,0.40636003,0.0,-6.9381404,USD,
