,address1,address2,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,totalRevenue,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Tower Two,Level 27 International Towers Sydney 200 Barangaroo Avenue,Barangaroo,NSW,2000,Australia,61 2 9015 5088,61 2 8904 0457,https://www.hutchison.com.au,Telecom Services,Communication Services,"Hutchison Telecommunications (Australia) Limited provides telecommunications services in Australia. It offers portfolio of fixed and mobile products under the Vodafone, TPG, iiNet, AAPT, Internode, Lebara, and Felix brands. Hutchison Telecommunications (Australia) Limited was incorporated in 1988 and is based in Barangaroo, Australia. Hutchison Telecommunications (Australia) Limited is a subsidiary of Hutchison Telecommunications (Amsterdam) B.V.",2,"{'maxAge': 1, 'name': 'Ms. Edith  Shih BSE, C.S., CGP, EdM, FCIS, FCS, FCS(PE), M.A., MA', 'age': 70, 'title': 'Company Sec.', 'yearBorn': 1952, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0,0.697447,-4.0,6800,6800,24077,15241,15241,0.04,0.044,0,0,542900032,0.039,0.071,1327.3839,0.04358,0.04944,0.0,0.0,AUD,524300352,0.0,138439587,13572500480,0.99017996,0.0,0.022,1.8181818,1672444800,1703980800,1688083200,-457295008,-0.03,-0.01,1:1,958003200,1281.908,ASX,EQUITY,HTA.AX,HTA.AX,HUTCHISON FPO,Hutchison Telecommunications (Australia) Limited,934761600,Australia/Sydney,AEST,36000000,0.04,none,18600000,0.001,0,17.024,17.024,409000,0.0,-0.00112,-0.87514997,-30000,-410625,36064000,6.143,0.122250006,0.0,-2.3496299,AUD,
1,Tower Two,Level 27 International Towers Sydney 200 Barangaroo Avenue,Barangaroo,NSW,2000,Australia,61 2 9015 5088,61 2 8904 0457,https://www.hutchison.com.au,Telecom Services,Communication Services,"Hutchison Telecommunications (Australia) Limited provides telecommunications services in Australia. It offers portfolio of fixed and mobile products under the Vodafone, TPG, iiNet, AAPT, Internode, Lebara, and Felix brands. Hutchison Telecommunications (Australia) Limited was incorporated in 1988 and is based in Barangaroo, Australia. Hutchison Telecommunications (Australia) Limited is a subsidiary of Hutchison Telecommunications (Amsterdam) B.V.",2,"{'maxAge': 1, 'name': 'Ms. Swapna  Keskar FCIS, FCS, L.L.B.', 'title': 'Company Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0,0.697447,-4.0,6800,6800,24077,15241,15241,0.04,0.044,0,0,542900032,0.039,0.071,1327.3839,0.04358,0.04944,0.0,0.0,AUD,524300352,0.0,138439587,13572500480,0.99017996,0.0,0.022,1.8181818,1672444800,1703980800,1688083200,-457295008,-0.03,-0.01,1:1,958003200,1281.908,ASX,EQUITY,HTA.AX,HTA.AX,HUTCHISON FPO,Hutchison Telecommunications (Australia) Limited,934761600,Australia/Sydney,AEST,36000000,0.04,none,18600000,0.001,0,17.024,17.024,409000,0.0,-0.00112,-0.87514997,-30000,-410625,36064000,6.143,0.122250006,0.0,-2.3496299,AUD,
