,address1,address2,city,country,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Beybi Giz Plaza Meydan Sk. No:1,K:2 D:5-6 Maslak/Sariyer,Istanbul,Turkey,https://www.gulerholding.com.tr,Asset Management,Financial Services,"Güler Yatirim Holding A.S. engages in the investment activities in Turkey. The company was formerly known as Baskent Menkul Kiymetler Yatirim Ortakligi A.S. and changed its name to Güler Yatirim Holding Anonim Sirketi in August 2011. Güler Yatirim Holding A.S. was founded in 2006 and is headquartered in Istanbul, Turkey.",314,"{'maxAge': 1, 'name': 'Ms. Ayse Elçi Terzi', 'age': 54, 'title': 'GM & Member of the Board of Directors', 'yearBorn': 1968, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,10.95,11.75,11.5,12.04,10.95,11.75,11.5,12.04,0.0,1.928523,2.6578364,22848770,22848770,5230030,6794041,6794041,11.53,11.59,0,0,2359840000,3.03,14.36,0.15832572,10.8332,9.4364,0.0,0.0,TRY,2987057408,0.03314,84613200,196000000,0.24530001,0.0,11.289,1.066525,1672444800,1703980800,1688083200,0.347,494039584,4.53,1:1000,1104710400,0.2,2.8,IST,EQUITY,GLRYH.IS,GLRYH.IS,GULER YAT. HOLDING,Güler Yatirim Holding A.S.,1147847400,Europe/Istanbul,TRT,10800000,12.04,none,1307071104,10.892,1066770368,994264192,2.191,2.317,14904969216,30.977,124.208,0.16623,0.412,1182984675,-379006560,-44727060,0.347,-0.132,0.087340005,0.07157,0.06999,TRY,
1,Beybi Giz Plaza Meydan Sk. No:1,K:2 D:5-6 Maslak/Sariyer,Istanbul,Turkey,https://www.gulerholding.com.tr,Asset Management,Financial Services,"Güler Yatirim Holding A.S. engages in the investment activities in Turkey. The company was formerly known as Baskent Menkul Kiymetler Yatirim Ortakligi A.S. and changed its name to Güler Yatirim Holding Anonim Sirketi in August 2011. Güler Yatirim Holding A.S. was founded in 2006 and is headquartered in Istanbul, Turkey.",314,"{'maxAge': 1, 'name': 'Mr. Özcan  Can', 'title': 'Director of Investor Relations & Accounting Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,10.95,11.75,11.5,12.04,10.95,11.75,11.5,12.04,0.0,1.928523,2.6578364,22848770,22848770,5230030,6794041,6794041,11.53,11.59,0,0,2359840000,3.03,14.36,0.15832572,10.8332,9.4364,0.0,0.0,TRY,2987057408,0.03314,84613200,196000000,0.24530001,0.0,11.289,1.066525,1672444800,1703980800,1688083200,0.347,494039584,4.53,1:1000,1104710400,0.2,2.8,IST,EQUITY,GLRYH.IS,GLRYH.IS,GULER YAT. HOLDING,Güler Yatirim Holding A.S.,1147847400,Europe/Istanbul,TRT,10800000,12.04,none,1307071104,10.892,1066770368,994264192,2.191,2.317,14904969216,30.977,124.208,0.16623,0.412,1182984675,-379006560,-44727060,0.347,-0.132,0.087340005,0.07157,0.06999,TRY,
