,address1,address2,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,"No. G 08, Block 8",Danga Bay Jalan Skudai,Johor Bahru,80200,Malaysia,60 7 233 3888,60 7 233 8850,https://www.iwcity.com.my,Real Estate—Development,Real Estate,"Iskandar Waterfront City Berhad, an investment holding company, engages in the property development, property land-banking, and construction activities in Malaysia. The company develops residential and commercial properties. It also constructs infrastructure projects and buildings. The company was formerly known as Tebrau Teguh Berhad and changed its name to Iskandar Waterfront City Berhad in July 2014. Iskandar Waterfront City Berhad was incorporated in 1968 and is based in Johor Bahru, Malaysia.",30,"{'maxAge': 1, 'name': 'Mr. Kang Hoo Lim', 'age': 67, 'title': 'Exec. Vice Chairman', 'yearBorn': 1955, 'fiscalYear': 2022, 'totalPay': 39000, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.655,0.66,0.64,0.72,0.655,0.66,0.64,0.72,0.0,1.125997,68814300,68814300,19989320,37157630,37157630,0.695,0.7,0,0,640183936,0.23,0.85,5.281392,0.5193,0.3843,0.0,0.0,MYR,1007309824,-0.23392999,486622711,921128000,0.5299,0.0060900003,0.801,0.8676654,1672444800,1703980800,1688083200,-28356000,-0.03,8.31,-375.442,KLS,EQUITY,1589.KL,1589.KL,IWCITY,Iskandar Waterfront City Berhad,946861200,Asia/Kuala_Lumpur,MYT,28800000,0.695,none,23310000,0.025,-2683000,416780992,0.641,4.584,121215000,55.725,0.132,-0.00126,-0.037469998,10122000,-5858125,26940000,2.412,0.09703,-0.022130001,-0.025039999,MYR,
1,"No. G 08, Block 8",Danga Bay Jalan Skudai,Johor Bahru,80200,Malaysia,60 7 233 3888,60 7 233 8850,https://www.iwcity.com.my,Real Estate—Development,Real Estate,"Iskandar Waterfront City Berhad, an investment holding company, engages in the property development, property land-banking, and construction activities in Malaysia. The company develops residential and commercial properties. It also constructs infrastructure projects and buildings. The company was formerly known as Tebrau Teguh Berhad and changed its name to Iskandar Waterfront City Berhad in July 2014. Iskandar Waterfront City Berhad was incorporated in 1968 and is based in Johor Bahru, Malaysia.",30,"{'maxAge': 1, 'name': 'Mr. Keng Guan Lim', 'age': 58, 'title': 'Exec. Director', 'yearBorn': 1964, 'fiscalYear': 2022, 'totalPay': 39500, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.655,0.66,0.64,0.72,0.655,0.66,0.64,0.72,0.0,1.125997,68814300,68814300,19989320,37157630,37157630,0.695,0.7,0,0,640183936,0.23,0.85,5.281392,0.5193,0.3843,0.0,0.0,MYR,1007309824,-0.23392999,486622711,921128000,0.5299,0.0060900003,0.801,0.8676654,1672444800,1703980800,1688083200,-28356000,-0.03,8.31,-375.442,KLS,EQUITY,1589.KL,1589.KL,IWCITY,Iskandar Waterfront City Berhad,946861200,Asia/Kuala_Lumpur,MYT,28800000,0.695,none,23310000,0.025,-2683000,416780992,0.641,4.584,121215000,55.725,0.132,-0.00126,-0.037469998,10122000,-5858125,26940000,2.412,0.09703,-0.022130001,-0.025039999,MYR,
2,"No. G 08, Block 8",Danga Bay Jalan Skudai,Johor Bahru,80200,Malaysia,60 7 233 3888,60 7 233 8850,https://www.iwcity.com.my,Real Estate—Development,Real Estate,"Iskandar Waterfront City Berhad, an investment holding company, engages in the property development, property land-banking, and construction activities in Malaysia. The company develops residential and commercial properties. It also constructs infrastructure projects and buildings. The company was formerly known as Tebrau Teguh Berhad and changed its name to Iskandar Waterfront City Berhad in July 2014. Iskandar Waterfront City Berhad was incorporated in 1968 and is based in Johor Bahru, Malaysia.",30,"{'maxAge': 1, 'name': 'Mr. Chen Herng Lim', 'age': 36, 'title': 'Exec. Director', 'yearBorn': 1986, 'fiscalYear': 2022, 'totalPay': 19000, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.655,0.66,0.64,0.72,0.655,0.66,0.64,0.72,0.0,1.125997,68814300,68814300,19989320,37157630,37157630,0.695,0.7,0,0,640183936,0.23,0.85,5.281392,0.5193,0.3843,0.0,0.0,MYR,1007309824,-0.23392999,486622711,921128000,0.5299,0.0060900003,0.801,0.8676654,1672444800,1703980800,1688083200,-28356000,-0.03,8.31,-375.442,KLS,EQUITY,1589.KL,1589.KL,IWCITY,Iskandar Waterfront City Berhad,946861200,Asia/Kuala_Lumpur,MYT,28800000,0.695,none,23310000,0.025,-2683000,416780992,0.641,4.584,121215000,55.725,0.132,-0.00126,-0.037469998,10122000,-5858125,26940000,2.412,0.09703,-0.022130001,-0.025039999,MYR,
3,"No. G 08, Block 8",Danga Bay Jalan Skudai,Johor Bahru,80200,Malaysia,60 7 233 3888,60 7 233 8850,https://www.iwcity.com.my,Real Estate—Development,Real Estate,"Iskandar Waterfront City Berhad, an investment holding company, engages in the property development, property land-banking, and construction activities in Malaysia. The company develops residential and commercial properties. It also constructs infrastructure projects and buildings. The company was formerly known as Tebrau Teguh Berhad and changed its name to Iskandar Waterfront City Berhad in July 2014. Iskandar Waterfront City Berhad was incorporated in 1968 and is based in Johor Bahru, Malaysia.",30,"{'maxAge': 1, 'name': 'Ms. Shea Wei Lai CPA', 'title': 'Fin. Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.655,0.66,0.64,0.72,0.655,0.66,0.64,0.72,0.0,1.125997,68814300,68814300,19989320,37157630,37157630,0.695,0.7,0,0,640183936,0.23,0.85,5.281392,0.5193,0.3843,0.0,0.0,MYR,1007309824,-0.23392999,486622711,921128000,0.5299,0.0060900003,0.801,0.8676654,1672444800,1703980800,1688083200,-28356000,-0.03,8.31,-375.442,KLS,EQUITY,1589.KL,1589.KL,IWCITY,Iskandar Waterfront City Berhad,946861200,Asia/Kuala_Lumpur,MYT,28800000,0.695,none,23310000,0.025,-2683000,416780992,0.641,4.584,121215000,55.725,0.132,-0.00126,-0.037469998,10122000,-5858125,26940000,2.412,0.09703,-0.022130001,-0.025039999,MYR,
4,"No. G 08, Block 8",Danga Bay Jalan Skudai,Johor Bahru,80200,Malaysia,60 7 233 3888,60 7 233 8850,https://www.iwcity.com.my,Real Estate—Development,Real Estate,"Iskandar Waterfront City Berhad, an investment holding company, engages in the property development, property land-banking, and construction activities in Malaysia. The company develops residential and commercial properties. It also constructs infrastructure projects and buildings. The company was formerly known as Tebrau Teguh Berhad and changed its name to Iskandar Waterfront City Berhad in July 2014. Iskandar Waterfront City Berhad was incorporated in 1968 and is based in Johor Bahru, Malaysia.",30,"{'maxAge': 1, 'name': 'Ms. Kim Geok Ong', 'title': 'HR & Admin. Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.655,0.66,0.64,0.72,0.655,0.66,0.64,0.72,0.0,1.125997,68814300,68814300,19989320,37157630,37157630,0.695,0.7,0,0,640183936,0.23,0.85,5.281392,0.5193,0.3843,0.0,0.0,MYR,1007309824,-0.23392999,486622711,921128000,0.5299,0.0060900003,0.801,0.8676654,1672444800,1703980800,1688083200,-28356000,-0.03,8.31,-375.442,KLS,EQUITY,1589.KL,1589.KL,IWCITY,Iskandar Waterfront City Berhad,946861200,Asia/Kuala_Lumpur,MYT,28800000,0.695,none,23310000,0.025,-2683000,416780992,0.641,4.584,121215000,55.725,0.132,-0.00126,-0.037469998,10122000,-5858125,26940000,2.412,0.09703,-0.022130001,-0.025039999,MYR,
5,"No. G 08, Block 8",Danga Bay Jalan Skudai,Johor Bahru,80200,Malaysia,60 7 233 3888,60 7 233 8850,https://www.iwcity.com.my,Real Estate—Development,Real Estate,"Iskandar Waterfront City Berhad, an investment holding company, engages in the property development, property land-banking, and construction activities in Malaysia. The company develops residential and commercial properties. It also constructs infrastructure projects and buildings. The company was formerly known as Tebrau Teguh Berhad and changed its name to Iskandar Waterfront City Berhad in July 2014. Iskandar Waterfront City Berhad was incorporated in 1968 and is based in Johor Bahru, Malaysia.",30,"{'maxAge': 1, 'name': 'Mr. Min  Hoon Oo', 'title': 'Assistant Financial Controller', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.655,0.66,0.64,0.72,0.655,0.66,0.64,0.72,0.0,1.125997,68814300,68814300,19989320,37157630,37157630,0.695,0.7,0,0,640183936,0.23,0.85,5.281392,0.5193,0.3843,0.0,0.0,MYR,1007309824,-0.23392999,486622711,921128000,0.5299,0.0060900003,0.801,0.8676654,1672444800,1703980800,1688083200,-28356000,-0.03,8.31,-375.442,KLS,EQUITY,1589.KL,1589.KL,IWCITY,Iskandar Waterfront City Berhad,946861200,Asia/Kuala_Lumpur,MYT,28800000,0.695,none,23310000,0.025,-2683000,416780992,0.641,4.584,121215000,55.725,0.132,-0.00126,-0.037469998,10122000,-5858125,26940000,2.412,0.09703,-0.022130001,-0.025039999,MYR,
6,"No. G 08, Block 8",Danga Bay Jalan Skudai,Johor Bahru,80200,Malaysia,60 7 233 3888,60 7 233 8850,https://www.iwcity.com.my,Real Estate—Development,Real Estate,"Iskandar Waterfront City Berhad, an investment holding company, engages in the property development, property land-banking, and construction activities in Malaysia. The company develops residential and commercial properties. It also constructs infrastructure projects and buildings. The company was formerly known as Tebrau Teguh Berhad and changed its name to Iskandar Waterfront City Berhad in July 2014. Iskandar Waterfront City Berhad was incorporated in 1968 and is based in Johor Bahru, Malaysia.",30,"{'maxAge': 1, 'name': 'Ms. Huey Main Ng', 'title': 'Head of Sales & Marketing', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.655,0.66,0.64,0.72,0.655,0.66,0.64,0.72,0.0,1.125997,68814300,68814300,19989320,37157630,37157630,0.695,0.7,0,0,640183936,0.23,0.85,5.281392,0.5193,0.3843,0.0,0.0,MYR,1007309824,-0.23392999,486622711,921128000,0.5299,0.0060900003,0.801,0.8676654,1672444800,1703980800,1688083200,-28356000,-0.03,8.31,-375.442,KLS,EQUITY,1589.KL,1589.KL,IWCITY,Iskandar Waterfront City Berhad,946861200,Asia/Kuala_Lumpur,MYT,28800000,0.695,none,23310000,0.025,-2683000,416780992,0.641,4.584,121215000,55.725,0.132,-0.00126,-0.037469998,10122000,-5858125,26940000,2.412,0.09703,-0.022130001,-0.025039999,MYR,
7,"No. G 08, Block 8",Danga Bay Jalan Skudai,Johor Bahru,80200,Malaysia,60 7 233 3888,60 7 233 8850,https://www.iwcity.com.my,Real Estate—Development,Real Estate,"Iskandar Waterfront City Berhad, an investment holding company, engages in the property development, property land-banking, and construction activities in Malaysia. The company develops residential and commercial properties. It also constructs infrastructure projects and buildings. The company was formerly known as Tebrau Teguh Berhad and changed its name to Iskandar Waterfront City Berhad in July 2014. Iskandar Waterfront City Berhad was incorporated in 1968 and is based in Johor Bahru, Malaysia.",30,"{'maxAge': 1, 'name': 'Mr. Meow Hin Yap', 'age': 59, 'title': 'Deputy CEO', 'yearBorn': 1963, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.655,0.66,0.64,0.72,0.655,0.66,0.64,0.72,0.0,1.125997,68814300,68814300,19989320,37157630,37157630,0.695,0.7,0,0,640183936,0.23,0.85,5.281392,0.5193,0.3843,0.0,0.0,MYR,1007309824,-0.23392999,486622711,921128000,0.5299,0.0060900003,0.801,0.8676654,1672444800,1703980800,1688083200,-28356000,-0.03,8.31,-375.442,KLS,EQUITY,1589.KL,1589.KL,IWCITY,Iskandar Waterfront City Berhad,946861200,Asia/Kuala_Lumpur,MYT,28800000,0.695,none,23310000,0.025,-2683000,416780992,0.641,4.584,121215000,55.725,0.132,-0.00126,-0.037469998,10122000,-5858125,26940000,2.412,0.09703,-0.022130001,-0.025039999,MYR,
8,"No. G 08, Block 8",Danga Bay Jalan Skudai,Johor Bahru,80200,Malaysia,60 7 233 3888,60 7 233 8850,https://www.iwcity.com.my,Real Estate—Development,Real Estate,"Iskandar Waterfront City Berhad, an investment holding company, engages in the property development, property land-banking, and construction activities in Malaysia. The company develops residential and commercial properties. It also constructs infrastructure projects and buildings. The company was formerly known as Tebrau Teguh Berhad and changed its name to Iskandar Waterfront City Berhad in July 2014. Iskandar Waterfront City Berhad was incorporated in 1968 and is based in Johor Bahru, Malaysia.",30,"{'maxAge': 1, 'name': 'Ms. Aik Yong Lim A.C.I.S., ACIS', 'title': 'Joint Company Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.655,0.66,0.64,0.72,0.655,0.66,0.64,0.72,0.0,1.125997,68814300,68814300,19989320,37157630,37157630,0.695,0.7,0,0,640183936,0.23,0.85,5.281392,0.5193,0.3843,0.0,0.0,MYR,1007309824,-0.23392999,486622711,921128000,0.5299,0.0060900003,0.801,0.8676654,1672444800,1703980800,1688083200,-28356000,-0.03,8.31,-375.442,KLS,EQUITY,1589.KL,1589.KL,IWCITY,Iskandar Waterfront City Berhad,946861200,Asia/Kuala_Lumpur,MYT,28800000,0.695,none,23310000,0.025,-2683000,416780992,0.641,4.584,121215000,55.725,0.132,-0.00126,-0.037469998,10122000,-5858125,26940000,2.412,0.09703,-0.022130001,-0.025039999,MYR,
9,"No. G 08, Block 8",Danga Bay Jalan Skudai,Johor Bahru,80200,Malaysia,60 7 233 3888,60 7 233 8850,https://www.iwcity.com.my,Real Estate—Development,Real Estate,"Iskandar Waterfront City Berhad, an investment holding company, engages in the property development, property land-banking, and construction activities in Malaysia. The company develops residential and commercial properties. It also constructs infrastructure projects and buildings. The company was formerly known as Tebrau Teguh Berhad and changed its name to Iskandar Waterfront City Berhad in July 2014. Iskandar Waterfront City Berhad was incorporated in 1968 and is based in Johor Bahru, Malaysia.",30,"{'maxAge': 1, 'name': 'Ms. Chee Yin  Wong ACIS', 'title': 'Joint Company Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.655,0.66,0.64,0.72,0.655,0.66,0.64,0.72,0.0,1.125997,68814300,68814300,19989320,37157630,37157630,0.695,0.7,0,0,640183936,0.23,0.85,5.281392,0.5193,0.3843,0.0,0.0,MYR,1007309824,-0.23392999,486622711,921128000,0.5299,0.0060900003,0.801,0.8676654,1672444800,1703980800,1688083200,-28356000,-0.03,8.31,-375.442,KLS,EQUITY,1589.KL,1589.KL,IWCITY,Iskandar Waterfront City Berhad,946861200,Asia/Kuala_Lumpur,MYT,28800000,0.695,none,23310000,0.025,-2683000,416780992,0.641,4.584,121215000,55.725,0.132,-0.00126,-0.037469998,10122000,-5858125,26940000,2.412,0.09703,-0.022130001,-0.025039999,MYR,
