,address1,address2,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,5937 Darwin Court,Suite 109,Carlsbad,CA,92008,United States,760-602-9688,760-602-9619,https://www.phoenixfootwear.com,Footwear & Accessories,Consumer Cyclical,"Phoenix Footwear Group, Inc. designs, develops, markets, and sells women's footwear primarily in the United States. The company offers its products under the Trotters and SoftWalk brand names. It distributes its products through department stores, specialty and independent retail stores, mail order catalogues, and Internet retailers, as well as directly to consumers through SoftWalkshoes.com and trotters.com Websites. Phoenix Footwear Group, Inc. was founded in 1882 and is headquartered in Carlsbad, California.","{'maxAge': 1, 'name': 'Mr. James R. Riedman', 'age': 63, 'title': 'Chairman & CEO', 'yearBorn': 1959, 'fiscalYear': 2005, 'exercisedValue': 0, 'unexercisedValue': 0}",1325289600,86400,4,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,999648000,0.0,0.728907,1400,1400,1943,1140,1140,0.0,0.0,0,0,2068000,0.11,0.22,0.1091869,0.159,0.156,0.0,0.0,USD,7924938,-0.056550004,2176589,12925000,12586,12306,1294963200,1297728000,0.0015,0.0,0.0,0.19,0.0026,0.079,2.0253162,1483142400,1514678400,1498867200,-1071000,-0.13,2:1,1055462400,0.418,-17.494,PNK,EQUITY,PXFG,PXFG,PHOENIX FOOTWEAR GROUP INC,"Phoenix Footwear Group, Inc.",618845400,America/New_York,EDT,-14400000,0.16,0.0,0.0,0.0,0.0,none,0,385000,0.031,-453000,6299000,0.202,1.286,18940000,636.263,1.513,-0.02487,-0.70763,7427000,1940000,1490000,-0.185,0.36308998,-0.02392,-0.028619999,USD,
1,5937 Darwin Court,Suite 109,Carlsbad,CA,92008,United States,760-602-9688,760-602-9619,https://www.phoenixfootwear.com,Footwear & Accessories,Consumer Cyclical,"Phoenix Footwear Group, Inc. designs, develops, markets, and sells women's footwear primarily in the United States. The company offers its products under the Trotters and SoftWalk brand names. It distributes its products through department stores, specialty and independent retail stores, mail order catalogues, and Internet retailers, as well as directly to consumers through SoftWalkshoes.com and trotters.com Websites. Phoenix Footwear Group, Inc. was founded in 1882 and is headquartered in Carlsbad, California.","{'maxAge': 1, 'name': 'Mr. John  Dillen', 'title': 'Chief Financial Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1325289600,86400,4,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,999648000,0.0,0.728907,1400,1400,1943,1140,1140,0.0,0.0,0,0,2068000,0.11,0.22,0.1091869,0.159,0.156,0.0,0.0,USD,7924938,-0.056550004,2176589,12925000,12586,12306,1294963200,1297728000,0.0015,0.0,0.0,0.19,0.0026,0.079,2.0253162,1483142400,1514678400,1498867200,-1071000,-0.13,2:1,1055462400,0.418,-17.494,PNK,EQUITY,PXFG,PXFG,PHOENIX FOOTWEAR GROUP INC,"Phoenix Footwear Group, Inc.",618845400,America/New_York,EDT,-14400000,0.16,0.0,0.0,0.0,0.0,none,0,385000,0.031,-453000,6299000,0.202,1.286,18940000,636.263,1.513,-0.02487,-0.70763,7427000,1940000,1490000,-0.185,0.36308998,-0.02392,-0.028619999,USD,
2,5937 Darwin Court,Suite 109,Carlsbad,CA,92008,United States,760-602-9688,760-602-9619,https://www.phoenixfootwear.com,Footwear & Accessories,Consumer Cyclical,"Phoenix Footwear Group, Inc. designs, develops, markets, and sells women's footwear primarily in the United States. The company offers its products under the Trotters and SoftWalk brand names. It distributes its products through department stores, specialty and independent retail stores, mail order catalogues, and Internet retailers, as well as directly to consumers through SoftWalkshoes.com and trotters.com Websites. Phoenix Footwear Group, Inc. was founded in 1882 and is headquartered in Carlsbad, California.","{'maxAge': 1, 'name': 'Mr. Kevin  Flanagan', 'title': 'VP of Marketing', 'exercisedValue': 0, 'unexercisedValue': 0}",1325289600,86400,4,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,999648000,0.0,0.728907,1400,1400,1943,1140,1140,0.0,0.0,0,0,2068000,0.11,0.22,0.1091869,0.159,0.156,0.0,0.0,USD,7924938,-0.056550004,2176589,12925000,12586,12306,1294963200,1297728000,0.0015,0.0,0.0,0.19,0.0026,0.079,2.0253162,1483142400,1514678400,1498867200,-1071000,-0.13,2:1,1055462400,0.418,-17.494,PNK,EQUITY,PXFG,PXFG,PHOENIX FOOTWEAR GROUP INC,"Phoenix Footwear Group, Inc.",618845400,America/New_York,EDT,-14400000,0.16,0.0,0.0,0.0,0.0,none,0,385000,0.031,-453000,6299000,0.202,1.286,18940000,636.263,1.513,-0.02487,-0.70763,7427000,1940000,1490000,-0.185,0.36308998,-0.02392,-0.028619999,USD,
