,address1,address2,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,60 Margaret Street,Level 19,Sydney,NSW,2000,Australia,61 2 8667 8000,61 2 8667 8080,https://www.ofx.com,Capital Markets,Financial Services,"OFX Group Limited provides international payments and foreign exchange services worldwide. It offers range of products and services to consumers, corporates, online sellers, and enterprise clients. The company was formerly known as OzForex Group Limited and changed its name to OFX Group Limited in September 2016. OFX Group Limited was founded in 1998 and is headquartered in Sydney, Australia.",715,"{'maxAge': 1, 'name': 'Mr. John Alexander Malcolm', 'age': 53, 'title': 'CEO, MD & Exec. Director', 'yearBorn': 1969, 'fiscalYear': 2023, 'totalPay': 786311, 'exercisedValue': 0, 'unexercisedValue': 0}",3,4,4,1,2,1693526400,1703980800,86400,4,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,1606262400,0.0,0.025525,10.5,150,150,0,0,0,337646816,4.41,9.06,1.4753164,4.41,6.24695,0.0,0.0,USD,200192736,0.13725,44053503,49723100,2.96,1.4898648,1680220800,1711843200,1680220800,0.186,31411000,0.42,0.875,4.446,PNK,EQUITY,OZFRY,OZFRY,OFX GROUP LTD UNSPON ADR EACH R,OFX Group Limited,1406899800,America/New_York,EDT,-14400000,4.41,none,93804000,1.925,45031000,79142000,0.235,1.218,228864000,54.918,4.705,0.05054,0.25331,14438002,47016000,0.178,0.381,0.93546,0.19676,0.1884,AUD,
1,60 Margaret Street,Level 19,Sydney,NSW,2000,Australia,61 2 8667 8000,61 2 8667 8080,https://www.ofx.com,Capital Markets,Financial Services,"OFX Group Limited provides international payments and foreign exchange services worldwide. It offers range of products and services to consumers, corporates, online sellers, and enterprise clients. The company was formerly known as OzForex Group Limited and changed its name to OFX Group Limited in September 2016. OFX Group Limited was founded in 1998 and is headquartered in Sydney, Australia.",715,"{'maxAge': 1, 'name': 'Ms. Selena  Verth CPA', 'title': 'Chief Financial Officer', 'fiscalYear': 2023, 'totalPay': 421742, 'exercisedValue': 0, 'unexercisedValue': 0}",3,4,4,1,2,1693526400,1703980800,86400,4,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,1606262400,0.0,0.025525,10.5,150,150,0,0,0,337646816,4.41,9.06,1.4753164,4.41,6.24695,0.0,0.0,USD,200192736,0.13725,44053503,49723100,2.96,1.4898648,1680220800,1711843200,1680220800,0.186,31411000,0.42,0.875,4.446,PNK,EQUITY,OZFRY,OZFRY,OFX GROUP LTD UNSPON ADR EACH R,OFX Group Limited,1406899800,America/New_York,EDT,-14400000,4.41,none,93804000,1.925,45031000,79142000,0.235,1.218,228864000,54.918,4.705,0.05054,0.25331,14438002,47016000,0.178,0.381,0.93546,0.19676,0.1884,AUD,
2,60 Margaret Street,Level 19,Sydney,NSW,2000,Australia,61 2 8667 8000,61 2 8667 8080,https://www.ofx.com,Capital Markets,Financial Services,"OFX Group Limited provides international payments and foreign exchange services worldwide. It offers range of products and services to consumers, corporates, online sellers, and enterprise clients. The company was formerly known as OzForex Group Limited and changed its name to OFX Group Limited in September 2016. OFX Group Limited was founded in 1998 and is headquartered in Sydney, Australia.",715,"{'maxAge': 1, 'name': 'Mr. Mark  Shaw', 'title': 'COO & Chief Risk Officer', 'fiscalYear': 2023, 'totalPay': 382045, 'exercisedValue': 0, 'unexercisedValue': 0}",3,4,4,1,2,1693526400,1703980800,86400,4,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,1606262400,0.0,0.025525,10.5,150,150,0,0,0,337646816,4.41,9.06,1.4753164,4.41,6.24695,0.0,0.0,USD,200192736,0.13725,44053503,49723100,2.96,1.4898648,1680220800,1711843200,1680220800,0.186,31411000,0.42,0.875,4.446,PNK,EQUITY,OZFRY,OZFRY,OFX GROUP LTD UNSPON ADR EACH R,OFX Group Limited,1406899800,America/New_York,EDT,-14400000,4.41,none,93804000,1.925,45031000,79142000,0.235,1.218,228864000,54.918,4.705,0.05054,0.25331,14438002,47016000,0.178,0.381,0.93546,0.19676,0.1884,AUD,
3,60 Margaret Street,Level 19,Sydney,NSW,2000,Australia,61 2 8667 8000,61 2 8667 8080,https://www.ofx.com,Capital Markets,Financial Services,"OFX Group Limited provides international payments and foreign exchange services worldwide. It offers range of products and services to consumers, corporates, online sellers, and enterprise clients. The company was formerly known as OzForex Group Limited and changed its name to OFX Group Limited in September 2016. OFX Group Limited was founded in 1998 and is headquartered in Sydney, Australia.",715,"{'maxAge': 1, 'name': 'Mr. Adam  Thomas', 'title': 'Chief Technology Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",3,4,4,1,2,1693526400,1703980800,86400,4,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,1606262400,0.0,0.025525,10.5,150,150,0,0,0,337646816,4.41,9.06,1.4753164,4.41,6.24695,0.0,0.0,USD,200192736,0.13725,44053503,49723100,2.96,1.4898648,1680220800,1711843200,1680220800,0.186,31411000,0.42,0.875,4.446,PNK,EQUITY,OZFRY,OZFRY,OFX GROUP LTD UNSPON ADR EACH R,OFX Group Limited,1406899800,America/New_York,EDT,-14400000,4.41,none,93804000,1.925,45031000,79142000,0.235,1.218,228864000,54.918,4.705,0.05054,0.25331,14438002,47016000,0.178,0.381,0.93546,0.19676,0.1884,AUD,
4,60 Margaret Street,Level 19,Sydney,NSW,2000,Australia,61 2 8667 8000,61 2 8667 8080,https://www.ofx.com,Capital Markets,Financial Services,"OFX Group Limited provides international payments and foreign exchange services worldwide. It offers range of products and services to consumers, corporates, online sellers, and enterprise clients. The company was formerly known as OzForex Group Limited and changed its name to OFX Group Limited in September 2016. OFX Group Limited was founded in 1998 and is headquartered in Sydney, Australia.",715,"{'maxAge': 1, 'name': 'Mr. Matthew  Gregorowski', 'title': 'Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",3,4,4,1,2,1693526400,1703980800,86400,4,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,1606262400,0.0,0.025525,10.5,150,150,0,0,0,337646816,4.41,9.06,1.4753164,4.41,6.24695,0.0,0.0,USD,200192736,0.13725,44053503,49723100,2.96,1.4898648,1680220800,1711843200,1680220800,0.186,31411000,0.42,0.875,4.446,PNK,EQUITY,OZFRY,OZFRY,OFX GROUP LTD UNSPON ADR EACH R,OFX Group Limited,1406899800,America/New_York,EDT,-14400000,4.41,none,93804000,1.925,45031000,79142000,0.235,1.218,228864000,54.918,4.705,0.05054,0.25331,14438002,47016000,0.178,0.381,0.93546,0.19676,0.1884,AUD,
5,60 Margaret Street,Level 19,Sydney,NSW,2000,Australia,61 2 8667 8000,61 2 8667 8080,https://www.ofx.com,Capital Markets,Financial Services,"OFX Group Limited provides international payments and foreign exchange services worldwide. It offers range of products and services to consumers, corporates, online sellers, and enterprise clients. The company was formerly known as OzForex Group Limited and changed its name to OFX Group Limited in September 2016. OFX Group Limited was founded in 1998 and is headquartered in Sydney, Australia.",715,"{'maxAge': 1, 'name': 'Mr. Adrian  Wong', 'title': 'Chief Legal Officer & Company Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",3,4,4,1,2,1693526400,1703980800,86400,4,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,1606262400,0.0,0.025525,10.5,150,150,0,0,0,337646816,4.41,9.06,1.4753164,4.41,6.24695,0.0,0.0,USD,200192736,0.13725,44053503,49723100,2.96,1.4898648,1680220800,1711843200,1680220800,0.186,31411000,0.42,0.875,4.446,PNK,EQUITY,OZFRY,OZFRY,OFX GROUP LTD UNSPON ADR EACH R,OFX Group Limited,1406899800,America/New_York,EDT,-14400000,4.41,none,93804000,1.925,45031000,79142000,0.235,1.218,228864000,54.918,4.705,0.05054,0.25331,14438002,47016000,0.178,0.381,0.93546,0.19676,0.1884,AUD,
6,60 Margaret Street,Level 19,Sydney,NSW,2000,Australia,61 2 8667 8000,61 2 8667 8080,https://www.ofx.com,Capital Markets,Financial Services,"OFX Group Limited provides international payments and foreign exchange services worldwide. It offers range of products and services to consumers, corporates, online sellers, and enterprise clients. The company was formerly known as OzForex Group Limited and changed its name to OFX Group Limited in September 2016. OFX Group Limited was founded in 1998 and is headquartered in Sydney, Australia.",715,"{'maxAge': 1, 'name': 'Ms. Elaine  Herlihy', 'title': 'Chief Marketing & Product Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",3,4,4,1,2,1693526400,1703980800,86400,4,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,1606262400,0.0,0.025525,10.5,150,150,0,0,0,337646816,4.41,9.06,1.4753164,4.41,6.24695,0.0,0.0,USD,200192736,0.13725,44053503,49723100,2.96,1.4898648,1680220800,1711843200,1680220800,0.186,31411000,0.42,0.875,4.446,PNK,EQUITY,OZFRY,OZFRY,OFX GROUP LTD UNSPON ADR EACH R,OFX Group Limited,1406899800,America/New_York,EDT,-14400000,4.41,none,93804000,1.925,45031000,79142000,0.235,1.218,228864000,54.918,4.705,0.05054,0.25331,14438002,47016000,0.178,0.381,0.93546,0.19676,0.1884,AUD,
7,60 Margaret Street,Level 19,Sydney,NSW,2000,Australia,61 2 8667 8000,61 2 8667 8080,https://www.ofx.com,Capital Markets,Financial Services,"OFX Group Limited provides international payments and foreign exchange services worldwide. It offers range of products and services to consumers, corporates, online sellers, and enterprise clients. The company was formerly known as OzForex Group Limited and changed its name to OFX Group Limited in September 2016. OFX Group Limited was founded in 1998 and is headquartered in Sydney, Australia.",715,"{'maxAge': 1, 'name': 'Mr. Axel  Freytag', 'title': 'Chief Strategy & Corp. Devel. Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",3,4,4,1,2,1693526400,1703980800,86400,4,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,1606262400,0.0,0.025525,10.5,150,150,0,0,0,337646816,4.41,9.06,1.4753164,4.41,6.24695,0.0,0.0,USD,200192736,0.13725,44053503,49723100,2.96,1.4898648,1680220800,1711843200,1680220800,0.186,31411000,0.42,0.875,4.446,PNK,EQUITY,OZFRY,OZFRY,OFX GROUP LTD UNSPON ADR EACH R,OFX Group Limited,1406899800,America/New_York,EDT,-14400000,4.41,none,93804000,1.925,45031000,79142000,0.235,1.218,228864000,54.918,4.705,0.05054,0.25331,14438002,47016000,0.178,0.381,0.93546,0.19676,0.1884,AUD,
8,60 Margaret Street,Level 19,Sydney,NSW,2000,Australia,61 2 8667 8000,61 2 8667 8080,https://www.ofx.com,Capital Markets,Financial Services,"OFX Group Limited provides international payments and foreign exchange services worldwide. It offers range of products and services to consumers, corporates, online sellers, and enterprise clients. The company was formerly known as OzForex Group Limited and changed its name to OFX Group Limited in September 2016. OFX Group Limited was founded in 1998 and is headquartered in Sydney, Australia.",715,"{'maxAge': 1, 'name': 'Ms. Kate  Svoboda', 'title': 'Chief People & Culture Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",3,4,4,1,2,1693526400,1703980800,86400,4,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,1606262400,0.0,0.025525,10.5,150,150,0,0,0,337646816,4.41,9.06,1.4753164,4.41,6.24695,0.0,0.0,USD,200192736,0.13725,44053503,49723100,2.96,1.4898648,1680220800,1711843200,1680220800,0.186,31411000,0.42,0.875,4.446,PNK,EQUITY,OZFRY,OZFRY,OFX GROUP LTD UNSPON ADR EACH R,OFX Group Limited,1406899800,America/New_York,EDT,-14400000,4.41,none,93804000,1.925,45031000,79142000,0.235,1.218,228864000,54.918,4.705,0.05054,0.25331,14438002,47016000,0.178,0.381,0.93546,0.19676,0.1884,AUD,
9,60 Margaret Street,Level 19,Sydney,NSW,2000,Australia,61 2 8667 8000,61 2 8667 8080,https://www.ofx.com,Capital Markets,Financial Services,"OFX Group Limited provides international payments and foreign exchange services worldwide. It offers range of products and services to consumers, corporates, online sellers, and enterprise clients. The company was formerly known as OzForex Group Limited and changed its name to OFX Group Limited in September 2016. OFX Group Limited was founded in 1998 and is headquartered in Sydney, Australia.",715,"{'maxAge': 1, 'name': 'Mr. Yung  Ngo', 'title': 'Pres of Asia Pacific', 'exercisedValue': 0, 'unexercisedValue': 0}",3,4,4,1,2,1693526400,1703980800,86400,4,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,1606262400,0.0,0.025525,10.5,150,150,0,0,0,337646816,4.41,9.06,1.4753164,4.41,6.24695,0.0,0.0,USD,200192736,0.13725,44053503,49723100,2.96,1.4898648,1680220800,1711843200,1680220800,0.186,31411000,0.42,0.875,4.446,PNK,EQUITY,OZFRY,OZFRY,OFX GROUP LTD UNSPON ADR EACH R,OFX Group Limited,1406899800,America/New_York,EDT,-14400000,4.41,none,93804000,1.925,45031000,79142000,0.235,1.218,228864000,54.918,4.705,0.05054,0.25331,14438002,47016000,0.178,0.381,0.93546,0.19676,0.1884,AUD,
