,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,returnOnAssets,grossProfits,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,8275 South Eastern Avenue,Suite 200,Las Vegas,NV,89123,United States,702-430-2850,https://www.socialplayusa.com,Electronic Gaming & Multimedia,Communication Services,"SocialPlay USA, Inc. focuses on provision of marketing, monetization, and support services for the companies in gaming and mobile application markets in the United States and Canada. The company was formerly known as Artesanias Corp. and changed its name to SocialPlay USA, Inc. in July 2015. SocialPlay USA, Inc. was founded in 2013 and is based in Las Vegas, Nevada.",1,"{'maxAge': 1, 'name': 'Mr. Robert  Rosner', 'age': 57, 'title': 'CEO, Pres, CFO & Director', 'yearBorn': 1965, 'fiscalYear': 2017, 'totalPay': 0, 'exercisedValue': 0, 'unexercisedValue': 0}",1514678400,86400,4,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,-50.944675,728,728,89,0,0,0.0,0.0,0,0,118700,0.0001,0.0002,0.0001,0.0001,0.0,0.0,USD,-6233,0.0,4788003,11870000,0.59663,0.0,-0.028,1514678400,1546214400,1514678400,-451932,-0.0,1:5,1437955200,PNK,EQUITY,SPLY,SPLY,SOCIALPLAY USA INC,"SocialPlay USA, Inc.",1418826600,America/New_York,EDT,-14400000,0.0001,none,136157,0.011,128737,0.289,0.289,-2.4747,-120000,-103897,-201208,0.0,0.0,0.0,USD,
1,8275 South Eastern Avenue,Suite 200,Las Vegas,NV,89123,United States,702-430-2850,https://www.socialplayusa.com,Electronic Gaming & Multimedia,Communication Services,"SocialPlay USA, Inc. focuses on provision of marketing, monetization, and support services for the companies in gaming and mobile application markets in the United States and Canada. The company was formerly known as Artesanias Corp. and changed its name to SocialPlay USA, Inc. in July 2015. SocialPlay USA, Inc. was founded in 2013 and is based in Las Vegas, Nevada.",1,"{'maxAge': 1, 'name': 'Joe  Laxague', 'title': 'Legal Council', 'exercisedValue': 0, 'unexercisedValue': 0}",1514678400,86400,4,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,-50.944675,728,728,89,0,0,0.0,0.0,0,0,118700,0.0001,0.0002,0.0001,0.0001,0.0,0.0,USD,-6233,0.0,4788003,11870000,0.59663,0.0,-0.028,1514678400,1546214400,1514678400,-451932,-0.0,1:5,1437955200,PNK,EQUITY,SPLY,SPLY,SOCIALPLAY USA INC,"SocialPlay USA, Inc.",1418826600,America/New_York,EDT,-14400000,0.0001,none,136157,0.011,128737,0.289,0.289,-2.4747,-120000,-103897,-201208,0.0,0.0,0.0,USD,
