,address1,city,state,zip,country,phone,fax,website,industry,industryDisp,sector,sectorDisp,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,2455 South 3600 West,West Valley City,UT,84119,United States,801 972 6430,801 977 3374,https://www.boartlongyear.com,Oil & Gas Equipment & Services,Oil & Gas Equipment & Services,Energy,Energy,"Boart Longyear Group Ltd. provides drilling services, drilling equipment, and performance tooling for mining and mineral drilling companies in North America, Latin America, the Asia Pacific, Europe, the Middle East, and Africa. The company operates through two segments, Global Drilling Services and Global Products. It offers diamond coring exploration, reverse circulation, large diameter rotary, mine dewatering, water supply, pump services, production, and sonic drilling services. The company also manufactures, markets, and services drill rigs, drill string products, rugged performance tooling, durable drilling consumables, and parts. In addition, it utilizes scanning technology and down-hole instrumentation tools to capture detailed geological data from drilled core and chip samples. Boart Longyear Group Ltd. was founded in 1890 and is headquartered in West Valley City, Utah.","{'maxAge': 1, 'name': 'Mr. Jeffrey R. Olsen', 'title': 'CEO, Pres & Exec. Director', 'fiscalYear': 2022, 'totalPay': 1261745, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1362700800,0.0,1.059309,7.368421,-20.0,2,2,453,283,283,1.26,1.5,0,0,414288000,1.26,2.66,0.39195368,1.5123,1.773475,0.0,0.0,AUD,593812992,0.03385,48989204,295920000,0.00526,0.59999,295920000,1.111,1.2601261,1672444800,1703980800,1688083200,1.351,35776000,0.19,-0.07,1:20,1632096000,0.562,5.723,-0.4285714,0.14113986,57.605762,1362614400,ASX,EQUITY,BLY.AX,BLY.AX,BOART CDI 1:1,Boart Longyear Group Ltd.,1175731200,Australia/Sydney,AEST,7a09f83b-2a99-34d3-866b-7802ffbe1283,finmb_23270929,36000000,1.4,none,45157000,0.153,103764000,227428000,0.927,2.066,1056982016,69.729,3.572,0.0506,0.11622,176809000,38979876,70810000,1.351,0.034,0.17209,0.098170005,0.060879998,USD,
1,2455 South 3600 West,West Valley City,UT,84119,United States,801 972 6430,801 977 3374,https://www.boartlongyear.com,Oil & Gas Equipment & Services,Oil & Gas Equipment & Services,Energy,Energy,"Boart Longyear Group Ltd. provides drilling services, drilling equipment, and performance tooling for mining and mineral drilling companies in North America, Latin America, the Asia Pacific, Europe, the Middle East, and Africa. The company operates through two segments, Global Drilling Services and Global Products. It offers diamond coring exploration, reverse circulation, large diameter rotary, mine dewatering, water supply, pump services, production, and sonic drilling services. The company also manufactures, markets, and services drill rigs, drill string products, rugged performance tooling, durable drilling consumables, and parts. In addition, it utilizes scanning technology and down-hole instrumentation tools to capture detailed geological data from drilled core and chip samples. Boart Longyear Group Ltd. was founded in 1890 and is headquartered in West Valley City, Utah.","{'maxAge': 1, 'name': 'Mr. Denis  Despres', 'title': 'Chief Operating Officer', 'fiscalYear': 2022, 'totalPay': 796496, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1362700800,0.0,1.059309,7.368421,-20.0,2,2,453,283,283,1.26,1.5,0,0,414288000,1.26,2.66,0.39195368,1.5123,1.773475,0.0,0.0,AUD,593812992,0.03385,48989204,295920000,0.00526,0.59999,295920000,1.111,1.2601261,1672444800,1703980800,1688083200,1.351,35776000,0.19,-0.07,1:20,1632096000,0.562,5.723,-0.4285714,0.14113986,57.605762,1362614400,ASX,EQUITY,BLY.AX,BLY.AX,BOART CDI 1:1,Boart Longyear Group Ltd.,1175731200,Australia/Sydney,AEST,7a09f83b-2a99-34d3-866b-7802ffbe1283,finmb_23270929,36000000,1.4,none,45157000,0.153,103764000,227428000,0.927,2.066,1056982016,69.729,3.572,0.0506,0.11622,176809000,38979876,70810000,1.351,0.034,0.17209,0.098170005,0.060879998,USD,
2,2455 South 3600 West,West Valley City,UT,84119,United States,801 972 6430,801 977 3374,https://www.boartlongyear.com,Oil & Gas Equipment & Services,Oil & Gas Equipment & Services,Energy,Energy,"Boart Longyear Group Ltd. provides drilling services, drilling equipment, and performance tooling for mining and mineral drilling companies in North America, Latin America, the Asia Pacific, Europe, the Middle East, and Africa. The company operates through two segments, Global Drilling Services and Global Products. It offers diamond coring exploration, reverse circulation, large diameter rotary, mine dewatering, water supply, pump services, production, and sonic drilling services. The company also manufactures, markets, and services drill rigs, drill string products, rugged performance tooling, durable drilling consumables, and parts. In addition, it utilizes scanning technology and down-hole instrumentation tools to capture detailed geological data from drilled core and chip samples. Boart Longyear Group Ltd. was founded in 1890 and is headquartered in West Valley City, Utah.","{'maxAge': 1, 'name': 'Ms. Giovanna  Bee Moscoso', 'title': 'Chief Legal Officer', 'fiscalYear': 2022, 'totalPay': 505945, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1362700800,0.0,1.059309,7.368421,-20.0,2,2,453,283,283,1.26,1.5,0,0,414288000,1.26,2.66,0.39195368,1.5123,1.773475,0.0,0.0,AUD,593812992,0.03385,48989204,295920000,0.00526,0.59999,295920000,1.111,1.2601261,1672444800,1703980800,1688083200,1.351,35776000,0.19,-0.07,1:20,1632096000,0.562,5.723,-0.4285714,0.14113986,57.605762,1362614400,ASX,EQUITY,BLY.AX,BLY.AX,BOART CDI 1:1,Boart Longyear Group Ltd.,1175731200,Australia/Sydney,AEST,7a09f83b-2a99-34d3-866b-7802ffbe1283,finmb_23270929,36000000,1.4,none,45157000,0.153,103764000,227428000,0.927,2.066,1056982016,69.729,3.572,0.0506,0.11622,176809000,38979876,70810000,1.351,0.034,0.17209,0.098170005,0.060879998,USD,
3,2455 South 3600 West,West Valley City,UT,84119,United States,801 972 6430,801 977 3374,https://www.boartlongyear.com,Oil & Gas Equipment & Services,Oil & Gas Equipment & Services,Energy,Energy,"Boart Longyear Group Ltd. provides drilling services, drilling equipment, and performance tooling for mining and mineral drilling companies in North America, Latin America, the Asia Pacific, Europe, the Middle East, and Africa. The company operates through two segments, Global Drilling Services and Global Products. It offers diamond coring exploration, reverse circulation, large diameter rotary, mine dewatering, water supply, pump services, production, and sonic drilling services. The company also manufactures, markets, and services drill rigs, drill string products, rugged performance tooling, durable drilling consumables, and parts. In addition, it utilizes scanning technology and down-hole instrumentation tools to capture detailed geological data from drilled core and chip samples. Boart Longyear Group Ltd. was founded in 1890 and is headquartered in West Valley City, Utah.","{'maxAge': 1, 'name': 'Mr. Daniel  Goldblatt', 'title': 'Chief HR Officer', 'fiscalYear': 2022, 'totalPay': 191866, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1362700800,0.0,1.059309,7.368421,-20.0,2,2,453,283,283,1.26,1.5,0,0,414288000,1.26,2.66,0.39195368,1.5123,1.773475,0.0,0.0,AUD,593812992,0.03385,48989204,295920000,0.00526,0.59999,295920000,1.111,1.2601261,1672444800,1703980800,1688083200,1.351,35776000,0.19,-0.07,1:20,1632096000,0.562,5.723,-0.4285714,0.14113986,57.605762,1362614400,ASX,EQUITY,BLY.AX,BLY.AX,BOART CDI 1:1,Boart Longyear Group Ltd.,1175731200,Australia/Sydney,AEST,7a09f83b-2a99-34d3-866b-7802ffbe1283,finmb_23270929,36000000,1.4,none,45157000,0.153,103764000,227428000,0.927,2.066,1056982016,69.729,3.572,0.0506,0.11622,176809000,38979876,70810000,1.351,0.034,0.17209,0.098170005,0.060879998,USD,
4,2455 South 3600 West,West Valley City,UT,84119,United States,801 972 6430,801 977 3374,https://www.boartlongyear.com,Oil & Gas Equipment & Services,Oil & Gas Equipment & Services,Energy,Energy,"Boart Longyear Group Ltd. provides drilling services, drilling equipment, and performance tooling for mining and mineral drilling companies in North America, Latin America, the Asia Pacific, Europe, the Middle East, and Africa. The company operates through two segments, Global Drilling Services and Global Products. It offers diamond coring exploration, reverse circulation, large diameter rotary, mine dewatering, water supply, pump services, production, and sonic drilling services. The company also manufactures, markets, and services drill rigs, drill string products, rugged performance tooling, durable drilling consumables, and parts. In addition, it utilizes scanning technology and down-hole instrumentation tools to capture detailed geological data from drilled core and chip samples. Boart Longyear Group Ltd. was founded in 1890 and is headquartered in West Valley City, Utah.","{'maxAge': 1, 'name': 'Mr. Patrick  Nill', 'title': 'VP of Global Products', 'fiscalYear': 2022, 'totalPay': 313963, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1362700800,0.0,1.059309,7.368421,-20.0,2,2,453,283,283,1.26,1.5,0,0,414288000,1.26,2.66,0.39195368,1.5123,1.773475,0.0,0.0,AUD,593812992,0.03385,48989204,295920000,0.00526,0.59999,295920000,1.111,1.2601261,1672444800,1703980800,1688083200,1.351,35776000,0.19,-0.07,1:20,1632096000,0.562,5.723,-0.4285714,0.14113986,57.605762,1362614400,ASX,EQUITY,BLY.AX,BLY.AX,BOART CDI 1:1,Boart Longyear Group Ltd.,1175731200,Australia/Sydney,AEST,7a09f83b-2a99-34d3-866b-7802ffbe1283,finmb_23270929,36000000,1.4,none,45157000,0.153,103764000,227428000,0.927,2.066,1056982016,69.729,3.572,0.0506,0.11622,176809000,38979876,70810000,1.351,0.034,0.17209,0.098170005,0.060879998,USD,
5,2455 South 3600 West,West Valley City,UT,84119,United States,801 972 6430,801 977 3374,https://www.boartlongyear.com,Oil & Gas Equipment & Services,Oil & Gas Equipment & Services,Energy,Energy,"Boart Longyear Group Ltd. provides drilling services, drilling equipment, and performance tooling for mining and mineral drilling companies in North America, Latin America, the Asia Pacific, Europe, the Middle East, and Africa. The company operates through two segments, Global Drilling Services and Global Products. It offers diamond coring exploration, reverse circulation, large diameter rotary, mine dewatering, water supply, pump services, production, and sonic drilling services. The company also manufactures, markets, and services drill rigs, drill string products, rugged performance tooling, durable drilling consumables, and parts. In addition, it utilizes scanning technology and down-hole instrumentation tools to capture detailed geological data from drilled core and chip samples. Boart Longyear Group Ltd. was founded in 1890 and is headquartered in West Valley City, Utah.","{'maxAge': 1, 'name': 'Ms. Jenny  Fuss', 'title': 'Chief Financial Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1362700800,0.0,1.059309,7.368421,-20.0,2,2,453,283,283,1.26,1.5,0,0,414288000,1.26,2.66,0.39195368,1.5123,1.773475,0.0,0.0,AUD,593812992,0.03385,48989204,295920000,0.00526,0.59999,295920000,1.111,1.2601261,1672444800,1703980800,1688083200,1.351,35776000,0.19,-0.07,1:20,1632096000,0.562,5.723,-0.4285714,0.14113986,57.605762,1362614400,ASX,EQUITY,BLY.AX,BLY.AX,BOART CDI 1:1,Boart Longyear Group Ltd.,1175731200,Australia/Sydney,AEST,7a09f83b-2a99-34d3-866b-7802ffbe1283,finmb_23270929,36000000,1.4,none,45157000,0.153,103764000,227428000,0.927,2.066,1056982016,69.729,3.572,0.0506,0.11622,176809000,38979876,70810000,1.351,0.034,0.17209,0.098170005,0.060879998,USD,
6,2455 South 3600 West,West Valley City,UT,84119,United States,801 972 6430,801 977 3374,https://www.boartlongyear.com,Oil & Gas Equipment & Services,Oil & Gas Equipment & Services,Energy,Energy,"Boart Longyear Group Ltd. provides drilling services, drilling equipment, and performance tooling for mining and mineral drilling companies in North America, Latin America, the Asia Pacific, Europe, the Middle East, and Africa. The company operates through two segments, Global Drilling Services and Global Products. It offers diamond coring exploration, reverse circulation, large diameter rotary, mine dewatering, water supply, pump services, production, and sonic drilling services. The company also manufactures, markets, and services drill rigs, drill string products, rugged performance tooling, durable drilling consumables, and parts. In addition, it utilizes scanning technology and down-hole instrumentation tools to capture detailed geological data from drilled core and chip samples. Boart Longyear Group Ltd. was founded in 1890 and is headquartered in West Valley City, Utah.","{'maxAge': 1, 'name': 'Tony  Shaffer', 'title': 'Head of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1362700800,0.0,1.059309,7.368421,-20.0,2,2,453,283,283,1.26,1.5,0,0,414288000,1.26,2.66,0.39195368,1.5123,1.773475,0.0,0.0,AUD,593812992,0.03385,48989204,295920000,0.00526,0.59999,295920000,1.111,1.2601261,1672444800,1703980800,1688083200,1.351,35776000,0.19,-0.07,1:20,1632096000,0.562,5.723,-0.4285714,0.14113986,57.605762,1362614400,ASX,EQUITY,BLY.AX,BLY.AX,BOART CDI 1:1,Boart Longyear Group Ltd.,1175731200,Australia/Sydney,AEST,7a09f83b-2a99-34d3-866b-7802ffbe1283,finmb_23270929,36000000,1.4,none,45157000,0.153,103764000,227428000,0.927,2.066,1056982016,69.729,3.572,0.0506,0.11622,176809000,38979876,70810000,1.351,0.034,0.17209,0.098170005,0.060879998,USD,
7,2455 South 3600 West,West Valley City,UT,84119,United States,801 972 6430,801 977 3374,https://www.boartlongyear.com,Oil & Gas Equipment & Services,Oil & Gas Equipment & Services,Energy,Energy,"Boart Longyear Group Ltd. provides drilling services, drilling equipment, and performance tooling for mining and mineral drilling companies in North America, Latin America, the Asia Pacific, Europe, the Middle East, and Africa. The company operates through two segments, Global Drilling Services and Global Products. It offers diamond coring exploration, reverse circulation, large diameter rotary, mine dewatering, water supply, pump services, production, and sonic drilling services. The company also manufactures, markets, and services drill rigs, drill string products, rugged performance tooling, durable drilling consumables, and parts. In addition, it utilizes scanning technology and down-hole instrumentation tools to capture detailed geological data from drilled core and chip samples. Boart Longyear Group Ltd. was founded in 1890 and is headquartered in West Valley City, Utah.","{'maxAge': 1, 'name': 'Ms. Monika  Portman', 'title': 'Director of Corp. Communications', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1362700800,0.0,1.059309,7.368421,-20.0,2,2,453,283,283,1.26,1.5,0,0,414288000,1.26,2.66,0.39195368,1.5123,1.773475,0.0,0.0,AUD,593812992,0.03385,48989204,295920000,0.00526,0.59999,295920000,1.111,1.2601261,1672444800,1703980800,1688083200,1.351,35776000,0.19,-0.07,1:20,1632096000,0.562,5.723,-0.4285714,0.14113986,57.605762,1362614400,ASX,EQUITY,BLY.AX,BLY.AX,BOART CDI 1:1,Boart Longyear Group Ltd.,1175731200,Australia/Sydney,AEST,7a09f83b-2a99-34d3-866b-7802ffbe1283,finmb_23270929,36000000,1.4,none,45157000,0.153,103764000,227428000,0.927,2.066,1056982016,69.729,3.572,0.0506,0.11622,176809000,38979876,70810000,1.351,0.034,0.17209,0.098170005,0.060879998,USD,
8,2455 South 3600 West,West Valley City,UT,84119,United States,801 972 6430,801 977 3374,https://www.boartlongyear.com,Oil & Gas Equipment & Services,Oil & Gas Equipment & Services,Energy,Energy,"Boart Longyear Group Ltd. provides drilling services, drilling equipment, and performance tooling for mining and mineral drilling companies in North America, Latin America, the Asia Pacific, Europe, the Middle East, and Africa. The company operates through two segments, Global Drilling Services and Global Products. It offers diamond coring exploration, reverse circulation, large diameter rotary, mine dewatering, water supply, pump services, production, and sonic drilling services. The company also manufactures, markets, and services drill rigs, drill string products, rugged performance tooling, durable drilling consumables, and parts. In addition, it utilizes scanning technology and down-hole instrumentation tools to capture detailed geological data from drilled core and chip samples. Boart Longyear Group Ltd. was founded in 1890 and is headquartered in West Valley City, Utah.","{'maxAge': 1, 'name': 'Mr. Keith A. Laskowski M.Sc., MSc, QP', 'age': 65, 'title': 'VP of Geology', 'yearBorn': 1957, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1362700800,0.0,1.059309,7.368421,-20.0,2,2,453,283,283,1.26,1.5,0,0,414288000,1.26,2.66,0.39195368,1.5123,1.773475,0.0,0.0,AUD,593812992,0.03385,48989204,295920000,0.00526,0.59999,295920000,1.111,1.2601261,1672444800,1703980800,1688083200,1.351,35776000,0.19,-0.07,1:20,1632096000,0.562,5.723,-0.4285714,0.14113986,57.605762,1362614400,ASX,EQUITY,BLY.AX,BLY.AX,BOART CDI 1:1,Boart Longyear Group Ltd.,1175731200,Australia/Sydney,AEST,7a09f83b-2a99-34d3-866b-7802ffbe1283,finmb_23270929,36000000,1.4,none,45157000,0.153,103764000,227428000,0.927,2.066,1056982016,69.729,3.572,0.0506,0.11622,176809000,38979876,70810000,1.351,0.034,0.17209,0.098170005,0.060879998,USD,
9,2455 South 3600 West,West Valley City,UT,84119,United States,801 972 6430,801 977 3374,https://www.boartlongyear.com,Oil & Gas Equipment & Services,Oil & Gas Equipment & Services,Energy,Energy,"Boart Longyear Group Ltd. provides drilling services, drilling equipment, and performance tooling for mining and mineral drilling companies in North America, Latin America, the Asia Pacific, Europe, the Middle East, and Africa. The company operates through two segments, Global Drilling Services and Global Products. It offers diamond coring exploration, reverse circulation, large diameter rotary, mine dewatering, water supply, pump services, production, and sonic drilling services. The company also manufactures, markets, and services drill rigs, drill string products, rugged performance tooling, durable drilling consumables, and parts. In addition, it utilizes scanning technology and down-hole instrumentation tools to capture detailed geological data from drilled core and chip samples. Boart Longyear Group Ltd. was founded in 1890 and is headquartered in West Valley City, Utah.","{'maxAge': 1, 'name': 'Mr. Nicholas R. Nash', 'title': 'Corp. Sec. & Global Corp. and Governance Counsel', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1362700800,0.0,1.059309,7.368421,-20.0,2,2,453,283,283,1.26,1.5,0,0,414288000,1.26,2.66,0.39195368,1.5123,1.773475,0.0,0.0,AUD,593812992,0.03385,48989204,295920000,0.00526,0.59999,295920000,1.111,1.2601261,1672444800,1703980800,1688083200,1.351,35776000,0.19,-0.07,1:20,1632096000,0.562,5.723,-0.4285714,0.14113986,57.605762,1362614400,ASX,EQUITY,BLY.AX,BLY.AX,BOART CDI 1:1,Boart Longyear Group Ltd.,1175731200,Australia/Sydney,AEST,7a09f83b-2a99-34d3-866b-7802ffbe1283,finmb_23270929,36000000,1.4,none,45157000,0.153,103764000,227428000,0.927,2.066,1056982016,69.729,3.572,0.0506,0.11622,176809000,38979876,70810000,1.351,0.034,0.17209,0.098170005,0.060879998,USD,
