,address1,address2,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,fiveYearAvgDividendYield,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,One Franklin Parkway,"Building 970, 1st Floor",San Mateo,CA,94403,United States,650 312 3000,650 312 5646,https://www.franklintempleton.com/retail/jsp_app/products/closed_end_fund.jsp?fundNumber=002,Asset Management,Financial Services,"Franklin Universal Trust is a closed-ended balanced mutual fund launched by Franklin Resources, Inc. The fund is managed by Franklin Advisers, Inc. It invests in the public equity and fixed income markets of the United States. The fund invests in companies operating in utility sector. It employs fundamental analysis to invest in a diversified portfolio of corporate bonds and dividend paying utility stocks. The fund benchmarks the equity component of its balanced portfolio against the S&P 500 Electric Utilities Index and the fixed component against the Credit Suisse High Yield. Franklin Universal Trust was formed on September 23, 1988 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. Rupert Harris Johnson Jr.', 'age': 82, 'title': 'Chairman and Sr. VP', 'yearBorn': 1940, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,6.6875,6.7,6.64,6.71,6.6875,6.7,6.64,6.71,0.51,0.076,1694736000,6.07,0.705048,25357,25357,32930,32020,32020,6.3,6.97,1300,800,168635056,6.13,7.92,11.236939,6.8268,6.8945,0.571,0.08538318,USD,233579840,-0.83676004,25131900,19696,17328,1690761600,1693440000,0.0008,0.0,0.13704,0.63,7.481,0.8969389,1661904000,1693440000,1677542400,-12557439,-0.5,15.565,NYQ,EQUITY,FT,FT,Franklin Universal Trust,Franklin Universal Trust,591283800,America/New_York,EDT,-14400000,6.71,none,241790,0.01,65186624,0.931,0.931,15007205,34.671,0.597,0.028250001,-0.062329996,15899037,8387605,9641714,-0.118,1.0,0.0,0.80987,USD,
1,One Franklin Parkway,"Building 970, 1st Floor",San Mateo,CA,94403,United States,650 312 3000,650 312 5646,https://www.franklintempleton.com/retail/jsp_app/products/closed_end_fund.jsp?fundNumber=002,Asset Management,Financial Services,"Franklin Universal Trust is a closed-ended balanced mutual fund launched by Franklin Resources, Inc. The fund is managed by Franklin Advisers, Inc. It invests in the public equity and fixed income markets of the United States. The fund invests in companies operating in utility sector. It employs fundamental analysis to invest in a diversified portfolio of corporate bonds and dividend paying utility stocks. The fund benchmarks the equity component of its balanced portfolio against the S&P 500 Electric Utilities Index and the fixed component against the Credit Suisse High Yield. Franklin Universal Trust was formed on September 23, 1988 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. Glenn I. Voyles C.F.A., CFA', 'title': 'Portfolio Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,6.6875,6.7,6.64,6.71,6.6875,6.7,6.64,6.71,0.51,0.076,1694736000,6.07,0.705048,25357,25357,32930,32020,32020,6.3,6.97,1300,800,168635056,6.13,7.92,11.236939,6.8268,6.8945,0.571,0.08538318,USD,233579840,-0.83676004,25131900,19696,17328,1690761600,1693440000,0.0008,0.0,0.13704,0.63,7.481,0.8969389,1661904000,1693440000,1677542400,-12557439,-0.5,15.565,NYQ,EQUITY,FT,FT,Franklin Universal Trust,Franklin Universal Trust,591283800,America/New_York,EDT,-14400000,6.71,none,241790,0.01,65186624,0.931,0.931,15007205,34.671,0.597,0.028250001,-0.062329996,15899037,8387605,9641714,-0.118,1.0,0.0,0.80987,USD,
