,address1,address2,city,country,phone,fax,website,industry,sector,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Daishin Finance Center,"343, Samil-daero Jung-gu",Seoul,South Korea,82 2 769 2117,82 505 088 4161,https://www.daishin.com,Capital Markets,Financial Services,"Daishin Securities Co., Ltd. operates as a financial investment company in Korea and internationally. It engages in the investment trading and brokerage, trust, investment advisory, and discretionary investment activities, as well as provides retirement pension products, and underwriting and asset management services. The company was formerly known as Samrak Securities Co., Ltd. and changed its name to Daishin Securities Co., Ltd. in April 1975. Daishin Securities Co., Ltd. was founded in 1962 and is headquartered in Seoul, South Korea.","{'maxAge': 1, 'name': 'Mr. Ik-Geun  Oh', 'title': 'CEO & Director', 'fiscalYear': 2021, 'totalPay': 899000000, 'exercisedValue': 0, 'unexercisedValue': 0}",1640908800,86400,2,13480.0,13480.0,13430.0,13530.0,13480.0,13480.0,13430.0,13530.0,1250.0,0.0929,1672272000,1.0051,9.45,0.557513,75698,75698,26570,23797,23797,13460.0,13520.0,0,0,919992074240,10850.0,14300.0,0.33824134,13164.4,12826.85,KRW,3720086290432,0.02947,30719300,21150000,0.05341,0.0482,1672444800,1703980800,1688083200,-0.217,-28910104576,1.368,KSC,EQUITY,003545.KS,003545.KS,DaishinSecu(1P),"Daishin Securities Co.,Ltd",1127952000,Asia/Seoul,KST,32400000,13450.0,none,8390608158720,233461.97,11597402603520,2.134,2.544,2719928025088,420.807,54147.023,0.00405,0.03344,-1254449217536,-0.22,-0.575,0.97443,0.0,0.21393,KRW,
1,Daishin Finance Center,"343, Samil-daero Jung-gu",Seoul,South Korea,82 2 769 2117,82 505 088 4161,https://www.daishin.com,Capital Markets,Financial Services,"Daishin Securities Co., Ltd. operates as a financial investment company in Korea and internationally. It engages in the investment trading and brokerage, trust, investment advisory, and discretionary investment activities, as well as provides retirement pension products, and underwriting and asset management services. The company was formerly known as Samrak Securities Co., Ltd. and changed its name to Daishin Securities Co., Ltd. in April 1975. Daishin Securities Co., Ltd. was founded in 1962 and is headquartered in Seoul, South Korea.","{'maxAge': 1, 'name': 'Mr. Hong-Seok  Yang', 'age': 41, 'title': 'Pres & Director', 'yearBorn': 1981, 'fiscalYear': 2021, 'totalPay': 3002000000, 'exercisedValue': 0, 'unexercisedValue': 0}",1640908800,86400,2,13480.0,13480.0,13430.0,13530.0,13480.0,13480.0,13430.0,13530.0,1250.0,0.0929,1672272000,1.0051,9.45,0.557513,75698,75698,26570,23797,23797,13460.0,13520.0,0,0,919992074240,10850.0,14300.0,0.33824134,13164.4,12826.85,KRW,3720086290432,0.02947,30719300,21150000,0.05341,0.0482,1672444800,1703980800,1688083200,-0.217,-28910104576,1.368,KSC,EQUITY,003545.KS,003545.KS,DaishinSecu(1P),"Daishin Securities Co.,Ltd",1127952000,Asia/Seoul,KST,32400000,13450.0,none,8390608158720,233461.97,11597402603520,2.134,2.544,2719928025088,420.807,54147.023,0.00405,0.03344,-1254449217536,-0.22,-0.575,0.97443,0.0,0.21393,KRW,
2,Daishin Finance Center,"343, Samil-daero Jung-gu",Seoul,South Korea,82 2 769 2117,82 505 088 4161,https://www.daishin.com,Capital Markets,Financial Services,"Daishin Securities Co., Ltd. operates as a financial investment company in Korea and internationally. It engages in the investment trading and brokerage, trust, investment advisory, and discretionary investment activities, as well as provides retirement pension products, and underwriting and asset management services. The company was formerly known as Samrak Securities Co., Ltd. and changed its name to Daishin Securities Co., Ltd. in April 1975. Daishin Securities Co., Ltd. was founded in 1962 and is headquartered in Seoul, South Korea.","{'maxAge': 1, 'name': 'Mr. Bum-Chul  Kim', 'age': 59, 'title': 'VP & Head of Management Strategie', 'yearBorn': 1963, 'fiscalYear': 2021, 'totalPay': 599000000, 'exercisedValue': 0, 'unexercisedValue': 0}",1640908800,86400,2,13480.0,13480.0,13430.0,13530.0,13480.0,13480.0,13430.0,13530.0,1250.0,0.0929,1672272000,1.0051,9.45,0.557513,75698,75698,26570,23797,23797,13460.0,13520.0,0,0,919992074240,10850.0,14300.0,0.33824134,13164.4,12826.85,KRW,3720086290432,0.02947,30719300,21150000,0.05341,0.0482,1672444800,1703980800,1688083200,-0.217,-28910104576,1.368,KSC,EQUITY,003545.KS,003545.KS,DaishinSecu(1P),"Daishin Securities Co.,Ltd",1127952000,Asia/Seoul,KST,32400000,13450.0,none,8390608158720,233461.97,11597402603520,2.134,2.544,2719928025088,420.807,54147.023,0.00405,0.03344,-1254449217536,-0.22,-0.575,0.97443,0.0,0.21393,KRW,
3,Daishin Finance Center,"343, Samil-daero Jung-gu",Seoul,South Korea,82 2 769 2117,82 505 088 4161,https://www.daishin.com,Capital Markets,Financial Services,"Daishin Securities Co., Ltd. operates as a financial investment company in Korea and internationally. It engages in the investment trading and brokerage, trust, investment advisory, and discretionary investment activities, as well as provides retirement pension products, and underwriting and asset management services. The company was formerly known as Samrak Securities Co., Ltd. and changed its name to Daishin Securities Co., Ltd. in April 1975. Daishin Securities Co., Ltd. was founded in 1962 and is headquartered in Seoul, South Korea.","{'maxAge': 1, 'name': 'Taekhyun  Kwon', 'title': 'Managing Director', 'fiscalYear': 2021, 'totalPay': 642000000, 'exercisedValue': 0, 'unexercisedValue': 0}",1640908800,86400,2,13480.0,13480.0,13430.0,13530.0,13480.0,13480.0,13430.0,13530.0,1250.0,0.0929,1672272000,1.0051,9.45,0.557513,75698,75698,26570,23797,23797,13460.0,13520.0,0,0,919992074240,10850.0,14300.0,0.33824134,13164.4,12826.85,KRW,3720086290432,0.02947,30719300,21150000,0.05341,0.0482,1672444800,1703980800,1688083200,-0.217,-28910104576,1.368,KSC,EQUITY,003545.KS,003545.KS,DaishinSecu(1P),"Daishin Securities Co.,Ltd",1127952000,Asia/Seoul,KST,32400000,13450.0,none,8390608158720,233461.97,11597402603520,2.134,2.544,2719928025088,420.807,54147.023,0.00405,0.03344,-1254449217536,-0.22,-0.575,0.97443,0.0,0.21393,KRW,
4,Daishin Finance Center,"343, Samil-daero Jung-gu",Seoul,South Korea,82 2 769 2117,82 505 088 4161,https://www.daishin.com,Capital Markets,Financial Services,"Daishin Securities Co., Ltd. operates as a financial investment company in Korea and internationally. It engages in the investment trading and brokerage, trust, investment advisory, and discretionary investment activities, as well as provides retirement pension products, and underwriting and asset management services. The company was formerly known as Samrak Securities Co., Ltd. and changed its name to Daishin Securities Co., Ltd. in April 1975. Daishin Securities Co., Ltd. was founded in 1962 and is headquartered in Seoul, South Korea.","{'maxAge': 1, 'name': 'Mr. Dae-Han  Hong', 'title': 'Head of Legal Compliance Group', 'exercisedValue': 0, 'unexercisedValue': 0}",1640908800,86400,2,13480.0,13480.0,13430.0,13530.0,13480.0,13480.0,13430.0,13530.0,1250.0,0.0929,1672272000,1.0051,9.45,0.557513,75698,75698,26570,23797,23797,13460.0,13520.0,0,0,919992074240,10850.0,14300.0,0.33824134,13164.4,12826.85,KRW,3720086290432,0.02947,30719300,21150000,0.05341,0.0482,1672444800,1703980800,1688083200,-0.217,-28910104576,1.368,KSC,EQUITY,003545.KS,003545.KS,DaishinSecu(1P),"Daishin Securities Co.,Ltd",1127952000,Asia/Seoul,KST,32400000,13450.0,none,8390608158720,233461.97,11597402603520,2.134,2.544,2719928025088,420.807,54147.023,0.00405,0.03344,-1254449217536,-0.22,-0.575,0.97443,0.0,0.21393,KRW,
5,Daishin Finance Center,"343, Samil-daero Jung-gu",Seoul,South Korea,82 2 769 2117,82 505 088 4161,https://www.daishin.com,Capital Markets,Financial Services,"Daishin Securities Co., Ltd. operates as a financial investment company in Korea and internationally. It engages in the investment trading and brokerage, trust, investment advisory, and discretionary investment activities, as well as provides retirement pension products, and underwriting and asset management services. The company was formerly known as Samrak Securities Co., Ltd. and changed its name to Daishin Securities Co., Ltd. in April 1975. Daishin Securities Co., Ltd. was founded in 1962 and is headquartered in Seoul, South Korea.","{'maxAge': 1, 'name': 'Mr. Kyung-Sun  Cho', 'title': 'Head of Customer Asset Div. & PR Group', 'exercisedValue': 0, 'unexercisedValue': 0}",1640908800,86400,2,13480.0,13480.0,13430.0,13530.0,13480.0,13480.0,13430.0,13530.0,1250.0,0.0929,1672272000,1.0051,9.45,0.557513,75698,75698,26570,23797,23797,13460.0,13520.0,0,0,919992074240,10850.0,14300.0,0.33824134,13164.4,12826.85,KRW,3720086290432,0.02947,30719300,21150000,0.05341,0.0482,1672444800,1703980800,1688083200,-0.217,-28910104576,1.368,KSC,EQUITY,003545.KS,003545.KS,DaishinSecu(1P),"Daishin Securities Co.,Ltd",1127952000,Asia/Seoul,KST,32400000,13450.0,none,8390608158720,233461.97,11597402603520,2.134,2.544,2719928025088,420.807,54147.023,0.00405,0.03344,-1254449217536,-0.22,-0.575,0.97443,0.0,0.21393,KRW,
6,Daishin Finance Center,"343, Samil-daero Jung-gu",Seoul,South Korea,82 2 769 2117,82 505 088 4161,https://www.daishin.com,Capital Markets,Financial Services,"Daishin Securities Co., Ltd. operates as a financial investment company in Korea and internationally. It engages in the investment trading and brokerage, trust, investment advisory, and discretionary investment activities, as well as provides retirement pension products, and underwriting and asset management services. The company was formerly known as Samrak Securities Co., Ltd. and changed its name to Daishin Securities Co., Ltd. in April 1975. Daishin Securities Co., Ltd. was founded in 1962 and is headquartered in Seoul, South Korea.","{'maxAge': 1, 'name': 'Mr. In-Sig  Shin', 'title': 'Head of WM Group', 'exercisedValue': 0, 'unexercisedValue': 0}",1640908800,86400,2,13480.0,13480.0,13430.0,13530.0,13480.0,13480.0,13430.0,13530.0,1250.0,0.0929,1672272000,1.0051,9.45,0.557513,75698,75698,26570,23797,23797,13460.0,13520.0,0,0,919992074240,10850.0,14300.0,0.33824134,13164.4,12826.85,KRW,3720086290432,0.02947,30719300,21150000,0.05341,0.0482,1672444800,1703980800,1688083200,-0.217,-28910104576,1.368,KSC,EQUITY,003545.KS,003545.KS,DaishinSecu(1P),"Daishin Securities Co.,Ltd",1127952000,Asia/Seoul,KST,32400000,13450.0,none,8390608158720,233461.97,11597402603520,2.134,2.544,2719928025088,420.807,54147.023,0.00405,0.03344,-1254449217536,-0.22,-0.575,0.97443,0.0,0.21393,KRW,
7,Daishin Finance Center,"343, Samil-daero Jung-gu",Seoul,South Korea,82 2 769 2117,82 505 088 4161,https://www.daishin.com,Capital Markets,Financial Services,"Daishin Securities Co., Ltd. operates as a financial investment company in Korea and internationally. It engages in the investment trading and brokerage, trust, investment advisory, and discretionary investment activities, as well as provides retirement pension products, and underwriting and asset management services. The company was formerly known as Samrak Securities Co., Ltd. and changed its name to Daishin Securities Co., Ltd. in April 1975. Daishin Securities Co., Ltd. was founded in 1962 and is headquartered in Seoul, South Korea.","{'maxAge': 1, 'name': 'Mr. Hwan-Mok  Lee', 'title': 'Head of Market Solution Group', 'exercisedValue': 0, 'unexercisedValue': 0}",1640908800,86400,2,13480.0,13480.0,13430.0,13530.0,13480.0,13480.0,13430.0,13530.0,1250.0,0.0929,1672272000,1.0051,9.45,0.557513,75698,75698,26570,23797,23797,13460.0,13520.0,0,0,919992074240,10850.0,14300.0,0.33824134,13164.4,12826.85,KRW,3720086290432,0.02947,30719300,21150000,0.05341,0.0482,1672444800,1703980800,1688083200,-0.217,-28910104576,1.368,KSC,EQUITY,003545.KS,003545.KS,DaishinSecu(1P),"Daishin Securities Co.,Ltd",1127952000,Asia/Seoul,KST,32400000,13450.0,none,8390608158720,233461.97,11597402603520,2.134,2.544,2719928025088,420.807,54147.023,0.00405,0.03344,-1254449217536,-0.22,-0.575,0.97443,0.0,0.21393,KRW,
8,Daishin Finance Center,"343, Samil-daero Jung-gu",Seoul,South Korea,82 2 769 2117,82 505 088 4161,https://www.daishin.com,Capital Markets,Financial Services,"Daishin Securities Co., Ltd. operates as a financial investment company in Korea and internationally. It engages in the investment trading and brokerage, trust, investment advisory, and discretionary investment activities, as well as provides retirement pension products, and underwriting and asset management services. The company was formerly known as Samrak Securities Co., Ltd. and changed its name to Daishin Securities Co., Ltd. in April 1975. Daishin Securities Co., Ltd. was founded in 1962 and is headquartered in Seoul, South Korea.","{'maxAge': 1, 'name': 'Mr. Jae-Joong  Jung', 'title': 'Head of Fin. Economy 1 WM Division', 'exercisedValue': 0, 'unexercisedValue': 0}",1640908800,86400,2,13480.0,13480.0,13430.0,13530.0,13480.0,13480.0,13430.0,13530.0,1250.0,0.0929,1672272000,1.0051,9.45,0.557513,75698,75698,26570,23797,23797,13460.0,13520.0,0,0,919992074240,10850.0,14300.0,0.33824134,13164.4,12826.85,KRW,3720086290432,0.02947,30719300,21150000,0.05341,0.0482,1672444800,1703980800,1688083200,-0.217,-28910104576,1.368,KSC,EQUITY,003545.KS,003545.KS,DaishinSecu(1P),"Daishin Securities Co.,Ltd",1127952000,Asia/Seoul,KST,32400000,13450.0,none,8390608158720,233461.97,11597402603520,2.134,2.544,2719928025088,420.807,54147.023,0.00405,0.03344,-1254449217536,-0.22,-0.575,0.97443,0.0,0.21393,KRW,
9,Daishin Finance Center,"343, Samil-daero Jung-gu",Seoul,South Korea,82 2 769 2117,82 505 088 4161,https://www.daishin.com,Capital Markets,Financial Services,"Daishin Securities Co., Ltd. operates as a financial investment company in Korea and internationally. It engages in the investment trading and brokerage, trust, investment advisory, and discretionary investment activities, as well as provides retirement pension products, and underwriting and asset management services. The company was formerly known as Samrak Securities Co., Ltd. and changed its name to Daishin Securities Co., Ltd. in April 1975. Daishin Securities Co., Ltd. was founded in 1962 and is headquartered in Seoul, South Korea.","{'maxAge': 1, 'name': 'Mr. Jung-Hwa  Lee', 'title': 'Head of Eastern WM Division', 'exercisedValue': 0, 'unexercisedValue': 0}",1640908800,86400,2,13480.0,13480.0,13430.0,13530.0,13480.0,13480.0,13430.0,13530.0,1250.0,0.0929,1672272000,1.0051,9.45,0.557513,75698,75698,26570,23797,23797,13460.0,13520.0,0,0,919992074240,10850.0,14300.0,0.33824134,13164.4,12826.85,KRW,3720086290432,0.02947,30719300,21150000,0.05341,0.0482,1672444800,1703980800,1688083200,-0.217,-28910104576,1.368,KSC,EQUITY,003545.KS,003545.KS,DaishinSecu(1P),"Daishin Securities Co.,Ltd",1127952000,Asia/Seoul,KST,32400000,13450.0,none,8390608158720,233461.97,11597402603520,2.134,2.544,2719928025088,420.807,54147.023,0.00405,0.03344,-1254449217536,-0.22,-0.575,0.97443,0.0,0.21393,KRW,
