,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,49-51 York Street,Suite 1 Level 2,Sydney,NSW,2000,Australia,61 2 9397 7521,https://www.centralironorelimited.com,Gold,Basic Materials,"Central Iron Ore Limited focuses on the exploration and development of gold projects in Western Australia. It holds interests in the South Darlot Gold Project that covers an area of 320 square kilometers situated in North West of Kalgoorlie. The company was formerly known as International Gold Mining Limited and changed its name to Central Iron Ore Limited in January 2010. Central Iron Ore Limited was incorporated in 1996 and is headquartered in Sydney, Australia.","{'maxAge': 1, 'name': 'Mr. David  Deitz B.Com, CPA, MAuslMM', 'title': 'CEO & Director', 'fiscalYear': 2022, 'totalPay': 8039, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.0,0.707677,2.75,3000,3000,3785,300,300,0.055,0.075,0,0,1333029,0.05,0.12,1.0277549,0.0616,0.06515,0.0,0.0,CAD,2718022,0.51168,13207906,24236900,8014,148,1661904000,1677542400,0.00029999999,0.45504,0.0,0.6,0.093,0.5913978,1656547200,1688083200,1680220800,663667,0.02,1:10,1264032000,2.096,VAN,EQUITY,CIO.V,CIO.V,CENTRAL IRON ORE LIMITED,Central Iron Ore Limited,1182432600,America/Toronto,EDT,-14400000,0.055,none,187941,0.008,1572933,0.12,0.12,1297030,70.103,0.054,0.19603,0.34712002,1297030,264623,-343978,1.0,0.0,0.72164,AUD,
1,49-51 York Street,Suite 1 Level 2,Sydney,NSW,2000,Australia,61 2 9397 7521,https://www.centralironorelimited.com,Gold,Basic Materials,"Central Iron Ore Limited focuses on the exploration and development of gold projects in Western Australia. It holds interests in the South Darlot Gold Project that covers an area of 320 square kilometers situated in North West of Kalgoorlie. The company was formerly known as International Gold Mining Limited and changed its name to Central Iron Ore Limited in January 2010. Central Iron Ore Limited was incorporated in 1996 and is headquartered in Sydney, Australia.","{'maxAge': 1, 'name': 'Mr. Graham Ian Hurwitz B.Comm (Hons), CA', 'title': 'Chief Financial Officer', 'fiscalYear': 2015, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.0,0.707677,2.75,3000,3000,3785,300,300,0.055,0.075,0,0,1333029,0.05,0.12,1.0277549,0.0616,0.06515,0.0,0.0,CAD,2718022,0.51168,13207906,24236900,8014,148,1661904000,1677542400,0.00029999999,0.45504,0.0,0.6,0.093,0.5913978,1656547200,1688083200,1680220800,663667,0.02,1:10,1264032000,2.096,VAN,EQUITY,CIO.V,CIO.V,CENTRAL IRON ORE LIMITED,Central Iron Ore Limited,1182432600,America/Toronto,EDT,-14400000,0.055,none,187941,0.008,1572933,0.12,0.12,1297030,70.103,0.054,0.19603,0.34712002,1297030,264623,-343978,1.0,0.0,0.72164,AUD,
2,49-51 York Street,Suite 1 Level 2,Sydney,NSW,2000,Australia,61 2 9397 7521,https://www.centralironorelimited.com,Gold,Basic Materials,"Central Iron Ore Limited focuses on the exploration and development of gold projects in Western Australia. It holds interests in the South Darlot Gold Project that covers an area of 320 square kilometers situated in North West of Kalgoorlie. The company was formerly known as International Gold Mining Limited and changed its name to Central Iron Ore Limited in January 2010. Central Iron Ore Limited was incorporated in 1996 and is headquartered in Sydney, Australia.","{'maxAge': 1, 'name': 'Ms. Katherine  Garvey B.A., L.L.B., M.A.I.C.D.', 'title': 'Chief Information Officer & Company Sec.', 'fiscalYear': 2021, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.0,0.707677,2.75,3000,3000,3785,300,300,0.055,0.075,0,0,1333029,0.05,0.12,1.0277549,0.0616,0.06515,0.0,0.0,CAD,2718022,0.51168,13207906,24236900,8014,148,1661904000,1677542400,0.00029999999,0.45504,0.0,0.6,0.093,0.5913978,1656547200,1688083200,1680220800,663667,0.02,1:10,1264032000,2.096,VAN,EQUITY,CIO.V,CIO.V,CENTRAL IRON ORE LIMITED,Central Iron Ore Limited,1182432600,America/Toronto,EDT,-14400000,0.055,none,187941,0.008,1572933,0.12,0.12,1297030,70.103,0.054,0.19603,0.34712002,1297030,264623,-343978,1.0,0.0,0.72164,AUD,
