,address1,city,state,zip,country,phone,fax,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,212-1661 Portage Avenue,Winnipeg,MB,R3J 3T7,Canada,204-772-9149,204-772-9217,Gold,Basic Materials,"San Gold Corporation explores for and produces gold in Canada. It owns and operates the Rice Lake Mining Complex, which includes the Rice Lake mine, the Hinge mine, and the 007 mine located northeast of Winnipeg, Manitoba. The company's Rice Lake Mining Complex includes 300 claims totaling approximately 40,000 hectares. It also owns various mineral claims in Ontario. The company was formerly known as San Gold Resources Corporation and changed its name to San Gold Corporation. San Gold Corporation was founded in 1997 and is headquartered in Winnipeg, Canada.",379,"{'maxAge': 1, 'name': 'Mr. Gregory  Gibson', 'age': 60, 'title': 'CEO & Director', 'yearBorn': 1962, 'fiscalYear': 2013, 'totalPay': 7386, 'exercisedValue': 0, 'unexercisedValue': 0}",1388448000,86400,4,1e-06,0.0001,1e-06,1e-06,1e-06,0.0001,1e-06,1e-06,0.0,-30.915283,95000,95000,0,0,0,0.0,0.0,0,0,3733,1e-06,0.0001,6.4179825e-05,1e-05,4.78e-05,0.0,0.0,USD,94001808,-1.82556,373391008,0.0,0.0,-0.172,1419984000,1451520000,1427760000,-106183024,-0.02,1.616,3.733,PNK,EQUITY,SGRCF,SGRCF,SAN GOLD CORPORATION,San Gold Corporation,1280237400,America/New_York,EDT,-14400000,1e-06,none,428949,0.001,25182400,94430384,0.012,0.46,58164696,0.156,-0.43855998,-3.09185,-10388639,-27587212,15576242,-0.058,-0.08327,0.43295,-1.5978,CAD,
1,212-1661 Portage Avenue,Winnipeg,MB,R3J 3T7,Canada,204-772-9149,204-772-9217,Gold,Basic Materials,"San Gold Corporation explores for and produces gold in Canada. It owns and operates the Rice Lake Mining Complex, which includes the Rice Lake mine, the Hinge mine, and the 007 mine located northeast of Winnipeg, Manitoba. The company's Rice Lake Mining Complex includes 300 claims totaling approximately 40,000 hectares. It also owns various mineral claims in Ontario. The company was formerly known as San Gold Resources Corporation and changed its name to San Gold Corporation. San Gold Corporation was founded in 1997 and is headquartered in Winnipeg, Canada.",379,"{'maxAge': 1, 'name': 'Mr. William Scanlon Ferreira M. Sc., P.Geo.', 'title': 'Exploration Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",1388448000,86400,4,1e-06,0.0001,1e-06,1e-06,1e-06,0.0001,1e-06,1e-06,0.0,-30.915283,95000,95000,0,0,0,0.0,0.0,0,0,3733,1e-06,0.0001,6.4179825e-05,1e-05,4.78e-05,0.0,0.0,USD,94001808,-1.82556,373391008,0.0,0.0,-0.172,1419984000,1451520000,1427760000,-106183024,-0.02,1.616,3.733,PNK,EQUITY,SGRCF,SGRCF,SAN GOLD CORPORATION,San Gold Corporation,1280237400,America/New_York,EDT,-14400000,1e-06,none,428949,0.001,25182400,94430384,0.012,0.46,58164696,0.156,-0.43855998,-3.09185,-10388639,-27587212,15576242,-0.058,-0.08327,0.43295,-1.5978,CAD,
