,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,509 St Kilda Road,Level 2,Melbourne,VIC,3004,Australia,61 3 9828 9500,https://www.webjetlimited.com,Travel Services,Consumer Cyclical,"Webjet Limited provides online travel booking services in Australia, New Zealand, the United Arab Emirates, the United Kingdom, and internationally. It operates through Business to Consumer Travel and Business to Business Travel segments. The company enables its customers to compare, combine, and book domestic and international travel flight deals, hotel accommodation packages, travel insurances, rental cars, and motorhomes. Its brands include Webjet, GoSee, Trip Ninja, Rezchain, Roomdex, LockTrip.com, JacTravel, Sunhotels, Lots of Hotels, Totalstay, Destinations of the World, FIT Ruums, and Umrah Holidays International. The company serves retail and corporate travel agents, online travel agencies, wholesalers, and tour operators. Webjet Limited was incorporated in 1980 and is based in Melbourne, Australia.","{'maxAge': 1, 'name': 'Mr. John  Guscic', 'age': 58, 'title': 'MD & Exec. Director', 'yearBorn': 1964, 'fiscalYear': 2023, 'totalPay': 2724708, 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,3,7,2,1693526400,1703980800,86400,2,6.8,6.92,6.85,6.93,6.8,6.92,6.85,6.93,1585094400,0.0,1.945945,171.25,18.026316,2118670,2118670,1280097,1482416,1482416,6.83,6.86,0,0,2640174848,4.62,7.99,7.245266,7.3962,7.0294,0.0,0.0,AUD,2347192064,0.03979,362109938,385427008,0.06988,0.42334,2.181,3.1407611,1680220800,1711843200,1680220800,14500000,0.04,0.38,0.7,1:4,1181260800,6.441,30.131,ASX,EQUITY,WEB.AX,WEB.AX,WEBJET FPO,Webjet Limited,925257600,Australia/Sydney,AEST,36000000,6.85,9.65,5.4,8.05,8.15,2.4,buy,15,513900000,1.343,77900000,240600000,1.374,1.435,364400000,28.842,0.956,0.0253,0.01844,152175008,176300000,1.272,0.65862,0.21378,0.1663,AUD,
1,509 St Kilda Road,Level 2,Melbourne,VIC,3004,Australia,61 3 9828 9500,https://www.webjetlimited.com,Travel Services,Consumer Cyclical,"Webjet Limited provides online travel booking services in Australia, New Zealand, the United Arab Emirates, the United Kingdom, and internationally. It operates through Business to Consumer Travel and Business to Business Travel segments. The company enables its customers to compare, combine, and book domestic and international travel flight deals, hotel accommodation packages, travel insurances, rental cars, and motorhomes. Its brands include Webjet, GoSee, Trip Ninja, Rezchain, Roomdex, LockTrip.com, JacTravel, Sunhotels, Lots of Hotels, Totalstay, Destinations of the World, FIT Ruums, and Umrah Holidays International. The company serves retail and corporate travel agents, online travel agencies, wholesalers, and tour operators. Webjet Limited was incorporated in 1980 and is based in Melbourne, Australia.","{'maxAge': 1, 'name': 'Mr. Tony  Ristevski A.C.A., B.Com.', 'title': 'CFO & Company Sec.', 'fiscalYear': 2023, 'totalPay': 1035316, 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,3,7,2,1693526400,1703980800,86400,2,6.8,6.92,6.85,6.93,6.8,6.92,6.85,6.93,1585094400,0.0,1.945945,171.25,18.026316,2118670,2118670,1280097,1482416,1482416,6.83,6.86,0,0,2640174848,4.62,7.99,7.245266,7.3962,7.0294,0.0,0.0,AUD,2347192064,0.03979,362109938,385427008,0.06988,0.42334,2.181,3.1407611,1680220800,1711843200,1680220800,14500000,0.04,0.38,0.7,1:4,1181260800,6.441,30.131,ASX,EQUITY,WEB.AX,WEB.AX,WEBJET FPO,Webjet Limited,925257600,Australia/Sydney,AEST,36000000,6.85,9.65,5.4,8.05,8.15,2.4,buy,15,513900000,1.343,77900000,240600000,1.374,1.435,364400000,28.842,0.956,0.0253,0.01844,152175008,176300000,1.272,0.65862,0.21378,0.1663,AUD,
2,509 St Kilda Road,Level 2,Melbourne,VIC,3004,Australia,61 3 9828 9500,https://www.webjetlimited.com,Travel Services,Consumer Cyclical,"Webjet Limited provides online travel booking services in Australia, New Zealand, the United Arab Emirates, the United Kingdom, and internationally. It operates through Business to Consumer Travel and Business to Business Travel segments. The company enables its customers to compare, combine, and book domestic and international travel flight deals, hotel accommodation packages, travel insurances, rental cars, and motorhomes. Its brands include Webjet, GoSee, Trip Ninja, Rezchain, Roomdex, LockTrip.com, JacTravel, Sunhotels, Lots of Hotels, Totalstay, Destinations of the World, FIT Ruums, and Umrah Holidays International. The company serves retail and corporate travel agents, online travel agencies, wholesalers, and tour operators. Webjet Limited was incorporated in 1980 and is based in Melbourne, Australia.","{'maxAge': 1, 'name': 'Ms. Shelley  Beasley', 'title': 'Global COO & CEO of B2C Division', 'fiscalYear': 2023, 'totalPay': 1088032, 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,3,7,2,1693526400,1703980800,86400,2,6.8,6.92,6.85,6.93,6.8,6.92,6.85,6.93,1585094400,0.0,1.945945,171.25,18.026316,2118670,2118670,1280097,1482416,1482416,6.83,6.86,0,0,2640174848,4.62,7.99,7.245266,7.3962,7.0294,0.0,0.0,AUD,2347192064,0.03979,362109938,385427008,0.06988,0.42334,2.181,3.1407611,1680220800,1711843200,1680220800,14500000,0.04,0.38,0.7,1:4,1181260800,6.441,30.131,ASX,EQUITY,WEB.AX,WEB.AX,WEBJET FPO,Webjet Limited,925257600,Australia/Sydney,AEST,36000000,6.85,9.65,5.4,8.05,8.15,2.4,buy,15,513900000,1.343,77900000,240600000,1.374,1.435,364400000,28.842,0.956,0.0253,0.01844,152175008,176300000,1.272,0.65862,0.21378,0.1663,AUD,
3,509 St Kilda Road,Level 2,Melbourne,VIC,3004,Australia,61 3 9828 9500,https://www.webjetlimited.com,Travel Services,Consumer Cyclical,"Webjet Limited provides online travel booking services in Australia, New Zealand, the United Arab Emirates, the United Kingdom, and internationally. It operates through Business to Consumer Travel and Business to Business Travel segments. The company enables its customers to compare, combine, and book domestic and international travel flight deals, hotel accommodation packages, travel insurances, rental cars, and motorhomes. Its brands include Webjet, GoSee, Trip Ninja, Rezchain, Roomdex, LockTrip.com, JacTravel, Sunhotels, Lots of Hotels, Totalstay, Destinations of the World, FIT Ruums, and Umrah Holidays International. The company serves retail and corporate travel agents, online travel agencies, wholesalers, and tour operators. Webjet Limited was incorporated in 1980 and is based in Melbourne, Australia.","{'maxAge': 1, 'name': 'Mr. Alexander S. Orlov M/B(H) Physics and Engineering', 'title': 'Chief Technology Officer', 'fiscalYear': 2008, 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,3,7,2,1693526400,1703980800,86400,2,6.8,6.92,6.85,6.93,6.8,6.92,6.85,6.93,1585094400,0.0,1.945945,171.25,18.026316,2118670,2118670,1280097,1482416,1482416,6.83,6.86,0,0,2640174848,4.62,7.99,7.245266,7.3962,7.0294,0.0,0.0,AUD,2347192064,0.03979,362109938,385427008,0.06988,0.42334,2.181,3.1407611,1680220800,1711843200,1680220800,14500000,0.04,0.38,0.7,1:4,1181260800,6.441,30.131,ASX,EQUITY,WEB.AX,WEB.AX,WEBJET FPO,Webjet Limited,925257600,Australia/Sydney,AEST,36000000,6.85,9.65,5.4,8.05,8.15,2.4,buy,15,513900000,1.343,77900000,240600000,1.374,1.435,364400000,28.842,0.956,0.0253,0.01844,152175008,176300000,1.272,0.65862,0.21378,0.1663,AUD,
4,509 St Kilda Road,Level 2,Melbourne,VIC,3004,Australia,61 3 9828 9500,https://www.webjetlimited.com,Travel Services,Consumer Cyclical,"Webjet Limited provides online travel booking services in Australia, New Zealand, the United Arab Emirates, the United Kingdom, and internationally. It operates through Business to Consumer Travel and Business to Business Travel segments. The company enables its customers to compare, combine, and book domestic and international travel flight deals, hotel accommodation packages, travel insurances, rental cars, and motorhomes. Its brands include Webjet, GoSee, Trip Ninja, Rezchain, Roomdex, LockTrip.com, JacTravel, Sunhotels, Lots of Hotels, Totalstay, Destinations of the World, FIT Ruums, and Umrah Holidays International. The company serves retail and corporate travel agents, online travel agencies, wholesalers, and tour operators. Webjet Limited was incorporated in 1980 and is based in Melbourne, Australia.","{'maxAge': 1, 'name': 'Dr. Carolyn  Mole', 'title': 'Head of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,3,7,2,1693526400,1703980800,86400,2,6.8,6.92,6.85,6.93,6.8,6.92,6.85,6.93,1585094400,0.0,1.945945,171.25,18.026316,2118670,2118670,1280097,1482416,1482416,6.83,6.86,0,0,2640174848,4.62,7.99,7.245266,7.3962,7.0294,0.0,0.0,AUD,2347192064,0.03979,362109938,385427008,0.06988,0.42334,2.181,3.1407611,1680220800,1711843200,1680220800,14500000,0.04,0.38,0.7,1:4,1181260800,6.441,30.131,ASX,EQUITY,WEB.AX,WEB.AX,WEBJET FPO,Webjet Limited,925257600,Australia/Sydney,AEST,36000000,6.85,9.65,5.4,8.05,8.15,2.4,buy,15,513900000,1.343,77900000,240600000,1.374,1.435,364400000,28.842,0.956,0.0253,0.01844,152175008,176300000,1.272,0.65862,0.21378,0.1663,AUD,
5,509 St Kilda Road,Level 2,Melbourne,VIC,3004,Australia,61 3 9828 9500,https://www.webjetlimited.com,Travel Services,Consumer Cyclical,"Webjet Limited provides online travel booking services in Australia, New Zealand, the United Arab Emirates, the United Kingdom, and internationally. It operates through Business to Consumer Travel and Business to Business Travel segments. The company enables its customers to compare, combine, and book domestic and international travel flight deals, hotel accommodation packages, travel insurances, rental cars, and motorhomes. Its brands include Webjet, GoSee, Trip Ninja, Rezchain, Roomdex, LockTrip.com, JacTravel, Sunhotels, Lots of Hotels, Totalstay, Destinations of the World, FIT Ruums, and Umrah Holidays International. The company serves retail and corporate travel agents, online travel agencies, wholesalers, and tour operators. Webjet Limited was incorporated in 1980 and is based in Melbourne, Australia.","{'maxAge': 1, 'name': 'Ms. Lynne  Oldfield', 'title': 'Director of Corp. Devel.', 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,3,7,2,1693526400,1703980800,86400,2,6.8,6.92,6.85,6.93,6.8,6.92,6.85,6.93,1585094400,0.0,1.945945,171.25,18.026316,2118670,2118670,1280097,1482416,1482416,6.83,6.86,0,0,2640174848,4.62,7.99,7.245266,7.3962,7.0294,0.0,0.0,AUD,2347192064,0.03979,362109938,385427008,0.06988,0.42334,2.181,3.1407611,1680220800,1711843200,1680220800,14500000,0.04,0.38,0.7,1:4,1181260800,6.441,30.131,ASX,EQUITY,WEB.AX,WEB.AX,WEBJET FPO,Webjet Limited,925257600,Australia/Sydney,AEST,36000000,6.85,9.65,5.4,8.05,8.15,2.4,buy,15,513900000,1.343,77900000,240600000,1.374,1.435,364400000,28.842,0.956,0.0253,0.01844,152175008,176300000,1.272,0.65862,0.21378,0.1663,AUD,
6,509 St Kilda Road,Level 2,Melbourne,VIC,3004,Australia,61 3 9828 9500,https://www.webjetlimited.com,Travel Services,Consumer Cyclical,"Webjet Limited provides online travel booking services in Australia, New Zealand, the United Arab Emirates, the United Kingdom, and internationally. It operates through Business to Consumer Travel and Business to Business Travel segments. The company enables its customers to compare, combine, and book domestic and international travel flight deals, hotel accommodation packages, travel insurances, rental cars, and motorhomes. Its brands include Webjet, GoSee, Trip Ninja, Rezchain, Roomdex, LockTrip.com, JacTravel, Sunhotels, Lots of Hotels, Totalstay, Destinations of the World, FIT Ruums, and Umrah Holidays International. The company serves retail and corporate travel agents, online travel agencies, wholesalers, and tour operators. Webjet Limited was incorporated in 1980 and is based in Melbourne, Australia.","{'maxAge': 1, 'name': 'Mr. David  Galt', 'title': 'Chief Exec. Officer of Webjet OTA', 'fiscalYear': 2008, 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,3,7,2,1693526400,1703980800,86400,2,6.8,6.92,6.85,6.93,6.8,6.92,6.85,6.93,1585094400,0.0,1.945945,171.25,18.026316,2118670,2118670,1280097,1482416,1482416,6.83,6.86,0,0,2640174848,4.62,7.99,7.245266,7.3962,7.0294,0.0,0.0,AUD,2347192064,0.03979,362109938,385427008,0.06988,0.42334,2.181,3.1407611,1680220800,1711843200,1680220800,14500000,0.04,0.38,0.7,1:4,1181260800,6.441,30.131,ASX,EQUITY,WEB.AX,WEB.AX,WEBJET FPO,Webjet Limited,925257600,Australia/Sydney,AEST,36000000,6.85,9.65,5.4,8.05,8.15,2.4,buy,15,513900000,1.343,77900000,240600000,1.374,1.435,364400000,28.842,0.956,0.0253,0.01844,152175008,176300000,1.272,0.65862,0.21378,0.1663,AUD,
7,509 St Kilda Road,Level 2,Melbourne,VIC,3004,Australia,61 3 9828 9500,https://www.webjetlimited.com,Travel Services,Consumer Cyclical,"Webjet Limited provides online travel booking services in Australia, New Zealand, the United Arab Emirates, the United Kingdom, and internationally. It operates through Business to Consumer Travel and Business to Business Travel segments. The company enables its customers to compare, combine, and book domestic and international travel flight deals, hotel accommodation packages, travel insurances, rental cars, and motorhomes. Its brands include Webjet, GoSee, Trip Ninja, Rezchain, Roomdex, LockTrip.com, JacTravel, Sunhotels, Lots of Hotels, Totalstay, Destinations of the World, FIT Ruums, and Umrah Holidays International. The company serves retail and corporate travel agents, online travel agencies, wholesalers, and tour operators. Webjet Limited was incorporated in 1980 and is based in Melbourne, Australia.","{'maxAge': 1, 'name': 'Mr. Daryl  Lee', 'title': 'Chief Exec. Officer of WebBeds', 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,3,7,2,1693526400,1703980800,86400,2,6.8,6.92,6.85,6.93,6.8,6.92,6.85,6.93,1585094400,0.0,1.945945,171.25,18.026316,2118670,2118670,1280097,1482416,1482416,6.83,6.86,0,0,2640174848,4.62,7.99,7.245266,7.3962,7.0294,0.0,0.0,AUD,2347192064,0.03979,362109938,385427008,0.06988,0.42334,2.181,3.1407611,1680220800,1711843200,1680220800,14500000,0.04,0.38,0.7,1:4,1181260800,6.441,30.131,ASX,EQUITY,WEB.AX,WEB.AX,WEBJET FPO,Webjet Limited,925257600,Australia/Sydney,AEST,36000000,6.85,9.65,5.4,8.05,8.15,2.4,buy,15,513900000,1.343,77900000,240600000,1.374,1.435,364400000,28.842,0.956,0.0253,0.01844,152175008,176300000,1.272,0.65862,0.21378,0.1663,AUD,
8,509 St Kilda Road,Level 2,Melbourne,VIC,3004,Australia,61 3 9828 9500,https://www.webjetlimited.com,Travel Services,Consumer Cyclical,"Webjet Limited provides online travel booking services in Australia, New Zealand, the United Arab Emirates, the United Kingdom, and internationally. It operates through Business to Consumer Travel and Business to Business Travel segments. The company enables its customers to compare, combine, and book domestic and international travel flight deals, hotel accommodation packages, travel insurances, rental cars, and motorhomes. Its brands include Webjet, GoSee, Trip Ninja, Rezchain, Roomdex, LockTrip.com, JacTravel, Sunhotels, Lots of Hotels, Totalstay, Destinations of the World, FIT Ruums, and Umrah Holidays International. The company serves retail and corporate travel agents, online travel agencies, wholesalers, and tour operators. Webjet Limited was incorporated in 1980 and is based in Melbourne, Australia.","{'maxAge': 1, 'name': 'Mr. Darren  Linton', 'title': 'Chief Exec. Officer of GoSee', 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,3,7,2,1693526400,1703980800,86400,2,6.8,6.92,6.85,6.93,6.8,6.92,6.85,6.93,1585094400,0.0,1.945945,171.25,18.026316,2118670,2118670,1280097,1482416,1482416,6.83,6.86,0,0,2640174848,4.62,7.99,7.245266,7.3962,7.0294,0.0,0.0,AUD,2347192064,0.03979,362109938,385427008,0.06988,0.42334,2.181,3.1407611,1680220800,1711843200,1680220800,14500000,0.04,0.38,0.7,1:4,1181260800,6.441,30.131,ASX,EQUITY,WEB.AX,WEB.AX,WEBJET FPO,Webjet Limited,925257600,Australia/Sydney,AEST,36000000,6.85,9.65,5.4,8.05,8.15,2.4,buy,15,513900000,1.343,77900000,240600000,1.374,1.435,364400000,28.842,0.956,0.0253,0.01844,152175008,176300000,1.272,0.65862,0.21378,0.1663,AUD,
9,509 St Kilda Road,Level 2,Melbourne,VIC,3004,Australia,61 3 9828 9500,https://www.webjetlimited.com,Travel Services,Consumer Cyclical,"Webjet Limited provides online travel booking services in Australia, New Zealand, the United Arab Emirates, the United Kingdom, and internationally. It operates through Business to Consumer Travel and Business to Business Travel segments. The company enables its customers to compare, combine, and book domestic and international travel flight deals, hotel accommodation packages, travel insurances, rental cars, and motorhomes. Its brands include Webjet, GoSee, Trip Ninja, Rezchain, Roomdex, LockTrip.com, JacTravel, Sunhotels, Lots of Hotels, Totalstay, Destinations of the World, FIT Ruums, and Umrah Holidays International. The company serves retail and corporate travel agents, online travel agencies, wholesalers, and tour operators. Webjet Limited was incorporated in 1980 and is based in Melbourne, Australia.","{'maxAge': 1, 'name': 'Ms. Meaghan  Simpson B.Com., L.L.B.', 'title': 'Joint Company Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,3,7,2,1693526400,1703980800,86400,2,6.8,6.92,6.85,6.93,6.8,6.92,6.85,6.93,1585094400,0.0,1.945945,171.25,18.026316,2118670,2118670,1280097,1482416,1482416,6.83,6.86,0,0,2640174848,4.62,7.99,7.245266,7.3962,7.0294,0.0,0.0,AUD,2347192064,0.03979,362109938,385427008,0.06988,0.42334,2.181,3.1407611,1680220800,1711843200,1680220800,14500000,0.04,0.38,0.7,1:4,1181260800,6.441,30.131,ASX,EQUITY,WEB.AX,WEB.AX,WEBJET FPO,Webjet Limited,925257600,Australia/Sydney,AEST,36000000,6.85,9.65,5.4,8.05,8.15,2.4,buy,15,513900000,1.343,77900000,240600000,1.374,1.435,364400000,28.842,0.956,0.0253,0.01844,152175008,176300000,1.272,0.65862,0.21378,0.1663,AUD,
