,address1,address2,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Hsinchu Science Park,"No. 8, Li-Hsin Road 6",Hsinchu City,300096,Taiwan,886 3 563 6688,886 3 563 7000,https://www.tsmc.com,Semiconductors,Technology,"Taiwan Semiconductor Manufacturing Company Limited, together with its subsidiaries, manufactures, packages, tests, and sells integrated circuits and other semiconductor devices in Taiwan, China, Europe, the Middle East, Africa, Japan, the United States, and internationally. It provides complementary metal oxide silicon wafer fabrication processes to manufacture logic, mixed-signal, radio frequency, and embedded memory semiconductors. The company also offers customer support and engineering services, as well as manufactures masks. Its products are used in high performance computing, smartphone, Internet of things, automotive, and digital consumer electronics. The company was incorporated in 1987 and is headquartered in Hsinchu City, Taiwan.","{'maxAge': 1, 'name': 'Dr. C. C.  Wei', 'title': 'Vice Chairman & CEO', 'fiscalYear': 2022, 'totalPay': 598000000, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,550.0,549.0,547.0,558.0,550.0,549.0,547.0,558.0,12.0,0.0215,1702512000,0.30290002,2.6,1.185837,15.359206,15.167165,42770962,42770962,19159613,17833284,17833284,557.0,558.0,0,0,14470111821824,370.0,594.0,6.4942307,557.12,528.3875,11.5,0.020909091,TWD,13952763297792,0.43333998,24175691831,25932099584,0.0,0.41774,122.966,4.5378394,1672444800,1703980800,1688083200,-0.233,965555519488,36.33,36.79,6.31,1:1,1247616000,6.262,9.256,TAI,EQUITY,2330.TW,2330.TW,TAIWAN SEMICONDUCTOR MANUFACTUR,Taiwan Semiconductor Manufacturing Company Limited,946947600,Asia/Taipei,CST,28800000,558.0,820.0,118.0,645.84,667.0,1.7,buy,27,1489107681280,57.423,1507454877696,955057242112,2.075,2.417,2228148764672,29.795,85.932,0.14067,0.33783,1348354806000,13664679936,1452072763392,-0.233,-0.1,0.58631,0.67655,0.47957,TWD,3.1565
1,Hsinchu Science Park,"No. 8, Li-Hsin Road 6",Hsinchu City,300096,Taiwan,886 3 563 6688,886 3 563 7000,https://www.tsmc.com,Semiconductors,Technology,"Taiwan Semiconductor Manufacturing Company Limited, together with its subsidiaries, manufactures, packages, tests, and sells integrated circuits and other semiconductor devices in Taiwan, China, Europe, the Middle East, Africa, Japan, the United States, and internationally. It provides complementary metal oxide silicon wafer fabrication processes to manufacture logic, mixed-signal, radio frequency, and embedded memory semiconductors. The company also offers customer support and engineering services, as well as manufactures masks. Its products are used in high performance computing, smartphone, Internet of things, automotive, and digital consumer electronics. The company was incorporated in 1987 and is headquartered in Hsinchu City, Taiwan.","{'maxAge': 1, 'name': 'Mr. Jen-Chau  Huang', 'title': 'VP & CFO', 'fiscalYear': 2022, 'totalPay': 108200000, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,550.0,549.0,547.0,558.0,550.0,549.0,547.0,558.0,12.0,0.0215,1702512000,0.30290002,2.6,1.185837,15.359206,15.167165,42770962,42770962,19159613,17833284,17833284,557.0,558.0,0,0,14470111821824,370.0,594.0,6.4942307,557.12,528.3875,11.5,0.020909091,TWD,13952763297792,0.43333998,24175691831,25932099584,0.0,0.41774,122.966,4.5378394,1672444800,1703980800,1688083200,-0.233,965555519488,36.33,36.79,6.31,1:1,1247616000,6.262,9.256,TAI,EQUITY,2330.TW,2330.TW,TAIWAN SEMICONDUCTOR MANUFACTUR,Taiwan Semiconductor Manufacturing Company Limited,946947600,Asia/Taipei,CST,28800000,558.0,820.0,118.0,645.84,667.0,1.7,buy,27,1489107681280,57.423,1507454877696,955057242112,2.075,2.417,2228148764672,29.795,85.932,0.14067,0.33783,1348354806000,13664679936,1452072763392,-0.233,-0.1,0.58631,0.67655,0.47957,TWD,3.1565
2,Hsinchu Science Park,"No. 8, Li-Hsin Road 6",Hsinchu City,300096,Taiwan,886 3 563 6688,886 3 563 7000,https://www.tsmc.com,Semiconductors,Technology,"Taiwan Semiconductor Manufacturing Company Limited, together with its subsidiaries, manufactures, packages, tests, and sells integrated circuits and other semiconductor devices in Taiwan, China, Europe, the Middle East, Africa, Japan, the United States, and internationally. It provides complementary metal oxide silicon wafer fabrication processes to manufacture logic, mixed-signal, radio frequency, and embedded memory semiconductors. The company also offers customer support and engineering services, as well as manufactures masks. Its products are used in high performance computing, smartphone, Internet of things, automotive, and digital consumer electronics. The company was incorporated in 1987 and is headquartered in Hsinchu City, Taiwan.","{'maxAge': 1, 'name': 'Mr. Y. P. Chin', 'title': 'Sr. VP of Operations & Overseas Operations Office', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,550.0,549.0,547.0,558.0,550.0,549.0,547.0,558.0,12.0,0.0215,1702512000,0.30290002,2.6,1.185837,15.359206,15.167165,42770962,42770962,19159613,17833284,17833284,557.0,558.0,0,0,14470111821824,370.0,594.0,6.4942307,557.12,528.3875,11.5,0.020909091,TWD,13952763297792,0.43333998,24175691831,25932099584,0.0,0.41774,122.966,4.5378394,1672444800,1703980800,1688083200,-0.233,965555519488,36.33,36.79,6.31,1:1,1247616000,6.262,9.256,TAI,EQUITY,2330.TW,2330.TW,TAIWAN SEMICONDUCTOR MANUFACTUR,Taiwan Semiconductor Manufacturing Company Limited,946947600,Asia/Taipei,CST,28800000,558.0,820.0,118.0,645.84,667.0,1.7,buy,27,1489107681280,57.423,1507454877696,955057242112,2.075,2.417,2228148764672,29.795,85.932,0.14067,0.33783,1348354806000,13664679936,1452072763392,-0.233,-0.1,0.58631,0.67655,0.47957,TWD,3.1565
3,Hsinchu Science Park,"No. 8, Li-Hsin Road 6",Hsinchu City,300096,Taiwan,886 3 563 6688,886 3 563 7000,https://www.tsmc.com,Semiconductors,Technology,"Taiwan Semiconductor Manufacturing Company Limited, together with its subsidiaries, manufactures, packages, tests, and sells integrated circuits and other semiconductor devices in Taiwan, China, Europe, the Middle East, Africa, Japan, the United States, and internationally. It provides complementary metal oxide silicon wafer fabrication processes to manufacture logic, mixed-signal, radio frequency, and embedded memory semiconductors. The company also offers customer support and engineering services, as well as manufactures masks. Its products are used in high performance computing, smartphone, Internet of things, automotive, and digital consumer electronics. The company was incorporated in 1987 and is headquartered in Hsinchu City, Taiwan.","{'maxAge': 1, 'name': 'Dr. Horng-Dar  Lin', 'title': 'VP of Corp. Information Technology & Chief Information Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,550.0,549.0,547.0,558.0,550.0,549.0,547.0,558.0,12.0,0.0215,1702512000,0.30290002,2.6,1.185837,15.359206,15.167165,42770962,42770962,19159613,17833284,17833284,557.0,558.0,0,0,14470111821824,370.0,594.0,6.4942307,557.12,528.3875,11.5,0.020909091,TWD,13952763297792,0.43333998,24175691831,25932099584,0.0,0.41774,122.966,4.5378394,1672444800,1703980800,1688083200,-0.233,965555519488,36.33,36.79,6.31,1:1,1247616000,6.262,9.256,TAI,EQUITY,2330.TW,2330.TW,TAIWAN SEMICONDUCTOR MANUFACTUR,Taiwan Semiconductor Manufacturing Company Limited,946947600,Asia/Taipei,CST,28800000,558.0,820.0,118.0,645.84,667.0,1.7,buy,27,1489107681280,57.423,1507454877696,955057242112,2.075,2.417,2228148764672,29.795,85.932,0.14067,0.33783,1348354806000,13664679936,1452072763392,-0.233,-0.1,0.58631,0.67655,0.47957,TWD,3.1565
4,Hsinchu Science Park,"No. 8, Li-Hsin Road 6",Hsinchu City,300096,Taiwan,886 3 563 6688,886 3 563 7000,https://www.tsmc.com,Semiconductors,Technology,"Taiwan Semiconductor Manufacturing Company Limited, together with its subsidiaries, manufactures, packages, tests, and sells integrated circuits and other semiconductor devices in Taiwan, China, Europe, the Middle East, Africa, Japan, the United States, and internationally. It provides complementary metal oxide silicon wafer fabrication processes to manufacture logic, mixed-signal, radio frequency, and embedded memory semiconductors. The company also offers customer support and engineering services, as well as manufactures masks. Its products are used in high performance computing, smartphone, Internet of things, automotive, and digital consumer electronics. The company was incorporated in 1987 and is headquartered in Hsinchu City, Taiwan.","{'maxAge': 1, 'name': 'Jeff  Su', 'title': 'Director of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,550.0,549.0,547.0,558.0,550.0,549.0,547.0,558.0,12.0,0.0215,1702512000,0.30290002,2.6,1.185837,15.359206,15.167165,42770962,42770962,19159613,17833284,17833284,557.0,558.0,0,0,14470111821824,370.0,594.0,6.4942307,557.12,528.3875,11.5,0.020909091,TWD,13952763297792,0.43333998,24175691831,25932099584,0.0,0.41774,122.966,4.5378394,1672444800,1703980800,1688083200,-0.233,965555519488,36.33,36.79,6.31,1:1,1247616000,6.262,9.256,TAI,EQUITY,2330.TW,2330.TW,TAIWAN SEMICONDUCTOR MANUFACTUR,Taiwan Semiconductor Manufacturing Company Limited,946947600,Asia/Taipei,CST,28800000,558.0,820.0,118.0,645.84,667.0,1.7,buy,27,1489107681280,57.423,1507454877696,955057242112,2.075,2.417,2228148764672,29.795,85.932,0.14067,0.33783,1348354806000,13664679936,1452072763392,-0.233,-0.1,0.58631,0.67655,0.47957,TWD,3.1565
5,Hsinchu Science Park,"No. 8, Li-Hsin Road 6",Hsinchu City,300096,Taiwan,886 3 563 6688,886 3 563 7000,https://www.tsmc.com,Semiconductors,Technology,"Taiwan Semiconductor Manufacturing Company Limited, together with its subsidiaries, manufactures, packages, tests, and sells integrated circuits and other semiconductor devices in Taiwan, China, Europe, the Middle East, Africa, Japan, the United States, and internationally. It provides complementary metal oxide silicon wafer fabrication processes to manufacture logic, mixed-signal, radio frequency, and embedded memory semiconductors. The company also offers customer support and engineering services, as well as manufactures masks. Its products are used in high performance computing, smartphone, Internet of things, automotive, and digital consumer electronics. The company was incorporated in 1987 and is headquartered in Hsinchu City, Taiwan.","{'maxAge': 1, 'name': 'Ms. Sylvia  Fang', 'title': 'VP of Legal, Gen. Counsel, Corp. Governance Officer & Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,550.0,549.0,547.0,558.0,550.0,549.0,547.0,558.0,12.0,0.0215,1702512000,0.30290002,2.6,1.185837,15.359206,15.167165,42770962,42770962,19159613,17833284,17833284,557.0,558.0,0,0,14470111821824,370.0,594.0,6.4942307,557.12,528.3875,11.5,0.020909091,TWD,13952763297792,0.43333998,24175691831,25932099584,0.0,0.41774,122.966,4.5378394,1672444800,1703980800,1688083200,-0.233,965555519488,36.33,36.79,6.31,1:1,1247616000,6.262,9.256,TAI,EQUITY,2330.TW,2330.TW,TAIWAN SEMICONDUCTOR MANUFACTUR,Taiwan Semiconductor Manufacturing Company Limited,946947600,Asia/Taipei,CST,28800000,558.0,820.0,118.0,645.84,667.0,1.7,buy,27,1489107681280,57.423,1507454877696,955057242112,2.075,2.417,2228148764672,29.795,85.932,0.14067,0.33783,1348354806000,13664679936,1452072763392,-0.233,-0.1,0.58631,0.67655,0.47957,TWD,3.1565
6,Hsinchu Science Park,"No. 8, Li-Hsin Road 6",Hsinchu City,300096,Taiwan,886 3 563 6688,886 3 563 7000,https://www.tsmc.com,Semiconductors,Technology,"Taiwan Semiconductor Manufacturing Company Limited, together with its subsidiaries, manufactures, packages, tests, and sells integrated circuits and other semiconductor devices in Taiwan, China, Europe, the Middle East, Africa, Japan, the United States, and internationally. It provides complementary metal oxide silicon wafer fabrication processes to manufacture logic, mixed-signal, radio frequency, and embedded memory semiconductors. The company also offers customer support and engineering services, as well as manufactures masks. Its products are used in high performance computing, smartphone, Internet of things, automotive, and digital consumer electronics. The company was incorporated in 1987 and is headquartered in Hsinchu City, Taiwan.","{'maxAge': 1, 'name': 'Ms. Elizabeth  Sun', 'title': 'Sr. Director of Corp. Communication Division', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,550.0,549.0,547.0,558.0,550.0,549.0,547.0,558.0,12.0,0.0215,1702512000,0.30290002,2.6,1.185837,15.359206,15.167165,42770962,42770962,19159613,17833284,17833284,557.0,558.0,0,0,14470111821824,370.0,594.0,6.4942307,557.12,528.3875,11.5,0.020909091,TWD,13952763297792,0.43333998,24175691831,25932099584,0.0,0.41774,122.966,4.5378394,1672444800,1703980800,1688083200,-0.233,965555519488,36.33,36.79,6.31,1:1,1247616000,6.262,9.256,TAI,EQUITY,2330.TW,2330.TW,TAIWAN SEMICONDUCTOR MANUFACTUR,Taiwan Semiconductor Manufacturing Company Limited,946947600,Asia/Taipei,CST,28800000,558.0,820.0,118.0,645.84,667.0,1.7,buy,27,1489107681280,57.423,1507454877696,955057242112,2.075,2.417,2228148764672,29.795,85.932,0.14067,0.33783,1348354806000,13664679936,1452072763392,-0.233,-0.1,0.58631,0.67655,0.47957,TWD,3.1565
7,Hsinchu Science Park,"No. 8, Li-Hsin Road 6",Hsinchu City,300096,Taiwan,886 3 563 6688,886 3 563 7000,https://www.tsmc.com,Semiconductors,Technology,"Taiwan Semiconductor Manufacturing Company Limited, together with its subsidiaries, manufactures, packages, tests, and sells integrated circuits and other semiconductor devices in Taiwan, China, Europe, the Middle East, Africa, Japan, the United States, and internationally. It provides complementary metal oxide silicon wafer fabrication processes to manufacture logic, mixed-signal, radio frequency, and embedded memory semiconductors. The company also offers customer support and engineering services, as well as manufactures masks. Its products are used in high performance computing, smartphone, Internet of things, automotive, and digital consumer electronics. The company was incorporated in 1987 and is headquartered in Hsinchu City, Taiwan.","{'maxAge': 1, 'name': 'Ms. Li Mei  He Ho', 'title': 'Sr. VP of HR', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,550.0,549.0,547.0,558.0,550.0,549.0,547.0,558.0,12.0,0.0215,1702512000,0.30290002,2.6,1.185837,15.359206,15.167165,42770962,42770962,19159613,17833284,17833284,557.0,558.0,0,0,14470111821824,370.0,594.0,6.4942307,557.12,528.3875,11.5,0.020909091,TWD,13952763297792,0.43333998,24175691831,25932099584,0.0,0.41774,122.966,4.5378394,1672444800,1703980800,1688083200,-0.233,965555519488,36.33,36.79,6.31,1:1,1247616000,6.262,9.256,TAI,EQUITY,2330.TW,2330.TW,TAIWAN SEMICONDUCTOR MANUFACTUR,Taiwan Semiconductor Manufacturing Company Limited,946947600,Asia/Taipei,CST,28800000,558.0,820.0,118.0,645.84,667.0,1.7,buy,27,1489107681280,57.423,1507454877696,955057242112,2.075,2.417,2228148764672,29.795,85.932,0.14067,0.33783,1348354806000,13664679936,1452072763392,-0.233,-0.1,0.58631,0.67655,0.47957,TWD,3.1565
8,Hsinchu Science Park,"No. 8, Li-Hsin Road 6",Hsinchu City,300096,Taiwan,886 3 563 6688,886 3 563 7000,https://www.tsmc.com,Semiconductors,Technology,"Taiwan Semiconductor Manufacturing Company Limited, together with its subsidiaries, manufactures, packages, tests, and sells integrated circuits and other semiconductor devices in Taiwan, China, Europe, the Middle East, Africa, Japan, the United States, and internationally. It provides complementary metal oxide silicon wafer fabrication processes to manufacture logic, mixed-signal, radio frequency, and embedded memory semiconductors. The company also offers customer support and engineering services, as well as manufactures masks. Its products are used in high performance computing, smartphone, Internet of things, automotive, and digital consumer electronics. The company was incorporated in 1987 and is headquartered in Hsinchu City, Taiwan.","{'maxAge': 1, 'name': 'Dr. Wei-Jen  Lo', 'title': 'Sr. VP of R&D', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,550.0,549.0,547.0,558.0,550.0,549.0,547.0,558.0,12.0,0.0215,1702512000,0.30290002,2.6,1.185837,15.359206,15.167165,42770962,42770962,19159613,17833284,17833284,557.0,558.0,0,0,14470111821824,370.0,594.0,6.4942307,557.12,528.3875,11.5,0.020909091,TWD,13952763297792,0.43333998,24175691831,25932099584,0.0,0.41774,122.966,4.5378394,1672444800,1703980800,1688083200,-0.233,965555519488,36.33,36.79,6.31,1:1,1247616000,6.262,9.256,TAI,EQUITY,2330.TW,2330.TW,TAIWAN SEMICONDUCTOR MANUFACTUR,Taiwan Semiconductor Manufacturing Company Limited,946947600,Asia/Taipei,CST,28800000,558.0,820.0,118.0,645.84,667.0,1.7,buy,27,1489107681280,57.423,1507454877696,955057242112,2.075,2.417,2228148764672,29.795,85.932,0.14067,0.33783,1348354806000,13664679936,1452072763392,-0.233,-0.1,0.58631,0.67655,0.47957,TWD,3.1565
9,Hsinchu Science Park,"No. 8, Li-Hsin Road 6",Hsinchu City,300096,Taiwan,886 3 563 6688,886 3 563 7000,https://www.tsmc.com,Semiconductors,Technology,"Taiwan Semiconductor Manufacturing Company Limited, together with its subsidiaries, manufactures, packages, tests, and sells integrated circuits and other semiconductor devices in Taiwan, China, Europe, the Middle East, Africa, Japan, the United States, and internationally. It provides complementary metal oxide silicon wafer fabrication processes to manufacture logic, mixed-signal, radio frequency, and embedded memory semiconductors. The company also offers customer support and engineering services, as well as manufactures masks. Its products are used in high performance computing, smartphone, Internet of things, automotive, and digital consumer electronics. The company was incorporated in 1987 and is headquartered in Hsinchu City, Taiwan.","{'maxAge': 1, 'name': 'Mr. Richard B. Cassidy II', 'title': 'Sr. VP of Corp. Strategy Office and Overseas Office & Chairman of TSMC Arizona', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,550.0,549.0,547.0,558.0,550.0,549.0,547.0,558.0,12.0,0.0215,1702512000,0.30290002,2.6,1.185837,15.359206,15.167165,42770962,42770962,19159613,17833284,17833284,557.0,558.0,0,0,14470111821824,370.0,594.0,6.4942307,557.12,528.3875,11.5,0.020909091,TWD,13952763297792,0.43333998,24175691831,25932099584,0.0,0.41774,122.966,4.5378394,1672444800,1703980800,1688083200,-0.233,965555519488,36.33,36.79,6.31,1:1,1247616000,6.262,9.256,TAI,EQUITY,2330.TW,2330.TW,TAIWAN SEMICONDUCTOR MANUFACTUR,Taiwan Semiconductor Manufacturing Company Limited,946947600,Asia/Taipei,CST,28800000,558.0,820.0,118.0,645.84,667.0,1.7,buy,27,1489107681280,57.423,1507454877696,955057242112,2.075,2.417,2228148764672,29.795,85.932,0.14067,0.33783,1348354806000,13664679936,1452072763392,-0.233,-0.1,0.58631,0.67655,0.47957,TWD,3.1565
