,address1,address2,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,150 Helen Road,Sandown,Sandton,2196,South Africa,27 11 562 9700,27 11 562 9829,https://www.goldfields.com,Gold,Basic Materials,"Gold Fields Limited operates as a gold producer with reserves and resources in Chile, South Africa, Ghana, West Africa, Australia, and Peru. The company also explores for copper deposits. It holds interests in nine operating mines, as well as gold mineral reserves and mineral resources. The company was founded in 1887 and is based in Sandton, South Africa.",6162,"{'maxAge': 1, 'name': 'Mr. Martin  Preece', 'age': 57, 'title': 'Interim CEO & Exec. Director', 'yearBorn': 1965, 'fiscalYear': 2022, 'totalPay': 952000, 'exercisedValue': 0, 'unexercisedValue': 0}",1,3,5,1,2,1693526400,1672444800,86400,2,12.4,12.04,12.03,12.425,12.4,12.04,12.03,12.425,0.41,0.0334,1694044800,0.5597,2.24,0.642952,16.849316,51.250004,10801310,10801310,4062004,3960940,3960940,12.37,12.41,800,1300,11224537088,7.03,17.78,2.5996566,13.444,12.962,0.427,0.034435485,USD,23147104256,0.15265,1510602228,893540992,7218600,8190871,1690761600,1693440000,0.0081,1.0000001e-05,0.27442,1.72,2.394,5.1378446,1672444800,1703980800,1688083200,-0.102,659100032,0.73,0.24,1161:1000,1361404800,5.361,10.683,NYQ,EQUITY,GFI,GFI,Gold Fields Limited,Gold Fields Limited,322151400,America/New_York,EDT,-14400000,12.3,17.0,13.5,15.34,15.2,2.7,hold,5,650499968,0.364,2166700032,1678899968,0.415,1.121,4317700096,38.022,2.4195,0.109560005,0.15022999,1568600000,471037504,1553900032,-0.102,0.014,0.36626,0.50181997,0.3125,USD,
1,150 Helen Road,Sandown,Sandton,2196,South Africa,27 11 562 9700,27 11 562 9829,https://www.goldfields.com,Gold,Basic Materials,"Gold Fields Limited operates as a gold producer with reserves and resources in Chile, South Africa, Ghana, West Africa, Australia, and Peru. The company also explores for copper deposits. It holds interests in nine operating mines, as well as gold mineral reserves and mineral resources. The company was founded in 1887 and is based in Sandton, South Africa.",6162,"{'maxAge': 1, 'name': 'Mr. Paul A. Schmidt B.Com., BCom, BCompt (Hons), C.A., CA(SA)', 'age': 55, 'title': 'Financial Director, CFO & Exec. Director', 'yearBorn': 1967, 'fiscalYear': 2022, 'totalPay': 1120200, 'exercisedValue': 0, 'unexercisedValue': 0}",1,3,5,1,2,1693526400,1672444800,86400,2,12.4,12.04,12.03,12.425,12.4,12.04,12.03,12.425,0.41,0.0334,1694044800,0.5597,2.24,0.642952,16.849316,51.250004,10801310,10801310,4062004,3960940,3960940,12.37,12.41,800,1300,11224537088,7.03,17.78,2.5996566,13.444,12.962,0.427,0.034435485,USD,23147104256,0.15265,1510602228,893540992,7218600,8190871,1690761600,1693440000,0.0081,1.0000001e-05,0.27442,1.72,2.394,5.1378446,1672444800,1703980800,1688083200,-0.102,659100032,0.73,0.24,1161:1000,1361404800,5.361,10.683,NYQ,EQUITY,GFI,GFI,Gold Fields Limited,Gold Fields Limited,322151400,America/New_York,EDT,-14400000,12.3,17.0,13.5,15.34,15.2,2.7,hold,5,650499968,0.364,2166700032,1678899968,0.415,1.121,4317700096,38.022,2.4195,0.109560005,0.15022999,1568600000,471037504,1553900032,-0.102,0.014,0.36626,0.50181997,0.3125,USD,
2,150 Helen Road,Sandown,Sandton,2196,South Africa,27 11 562 9700,27 11 562 9829,https://www.goldfields.com,Gold,Basic Materials,"Gold Fields Limited operates as a gold producer with reserves and resources in Chile, South Africa, Ghana, West Africa, Australia, and Peru. The company also explores for copper deposits. It holds interests in nine operating mines, as well as gold mineral reserves and mineral resources. The company was founded in 1887 and is based in Sandton, South Africa.",6162,"{'maxAge': 1, 'name': 'Ms. Roshnee  Bardien B.Com., B. Com', 'age': 48, 'title': 'Exec. VP of People & Organisational Effectiveness', 'yearBorn': 1974, 'fiscalYear': 2022, 'totalPay': 543000, 'exercisedValue': 0, 'unexercisedValue': 0}",1,3,5,1,2,1693526400,1672444800,86400,2,12.4,12.04,12.03,12.425,12.4,12.04,12.03,12.425,0.41,0.0334,1694044800,0.5597,2.24,0.642952,16.849316,51.250004,10801310,10801310,4062004,3960940,3960940,12.37,12.41,800,1300,11224537088,7.03,17.78,2.5996566,13.444,12.962,0.427,0.034435485,USD,23147104256,0.15265,1510602228,893540992,7218600,8190871,1690761600,1693440000,0.0081,1.0000001e-05,0.27442,1.72,2.394,5.1378446,1672444800,1703980800,1688083200,-0.102,659100032,0.73,0.24,1161:1000,1361404800,5.361,10.683,NYQ,EQUITY,GFI,GFI,Gold Fields Limited,Gold Fields Limited,322151400,America/New_York,EDT,-14400000,12.3,17.0,13.5,15.34,15.2,2.7,hold,5,650499968,0.364,2166700032,1678899968,0.415,1.121,4317700096,38.022,2.4195,0.109560005,0.15022999,1568600000,471037504,1553900032,-0.102,0.014,0.36626,0.50181997,0.3125,USD,
3,150 Helen Road,Sandown,Sandton,2196,South Africa,27 11 562 9700,27 11 562 9829,https://www.goldfields.com,Gold,Basic Materials,"Gold Fields Limited operates as a gold producer with reserves and resources in Chile, South Africa, Ghana, West Africa, Australia, and Peru. The company also explores for copper deposits. It holds interests in nine operating mines, as well as gold mineral reserves and mineral resources. The company was founded in 1887 and is based in Sandton, South Africa.",6162,"{'maxAge': 1, 'name': 'Mr. Naseem A. Chohan B.E.', 'age': 61, 'title': 'Exec. VP of Sustainable Devel.', 'yearBorn': 1961, 'fiscalYear': 2022, 'totalPay': 610900, 'exercisedValue': 0, 'unexercisedValue': 0}",1,3,5,1,2,1693526400,1672444800,86400,2,12.4,12.04,12.03,12.425,12.4,12.04,12.03,12.425,0.41,0.0334,1694044800,0.5597,2.24,0.642952,16.849316,51.250004,10801310,10801310,4062004,3960940,3960940,12.37,12.41,800,1300,11224537088,7.03,17.78,2.5996566,13.444,12.962,0.427,0.034435485,USD,23147104256,0.15265,1510602228,893540992,7218600,8190871,1690761600,1693440000,0.0081,1.0000001e-05,0.27442,1.72,2.394,5.1378446,1672444800,1703980800,1688083200,-0.102,659100032,0.73,0.24,1161:1000,1361404800,5.361,10.683,NYQ,EQUITY,GFI,GFI,Gold Fields Limited,Gold Fields Limited,322151400,America/New_York,EDT,-14400000,12.3,17.0,13.5,15.34,15.2,2.7,hold,5,650499968,0.364,2166700032,1678899968,0.415,1.121,4317700096,38.022,2.4195,0.109560005,0.15022999,1568600000,471037504,1553900032,-0.102,0.014,0.36626,0.50181997,0.3125,USD,
4,150 Helen Road,Sandown,Sandton,2196,South Africa,27 11 562 9700,27 11 562 9829,https://www.goldfields.com,Gold,Basic Materials,"Gold Fields Limited operates as a gold producer with reserves and resources in Chile, South Africa, Ghana, West Africa, Australia, and Peru. The company also explores for copper deposits. It holds interests in nine operating mines, as well as gold mineral reserves and mineral resources. The company was founded in 1887 and is based in Sandton, South Africa.",6162,"{'maxAge': 1, 'name': 'Mr. Luis A. Rivera MBA', 'age': 57, 'title': 'Exec. VP of Americas Region', 'yearBorn': 1965, 'fiscalYear': 2022, 'totalPay': 1215800, 'exercisedValue': 0, 'unexercisedValue': 0}",1,3,5,1,2,1693526400,1672444800,86400,2,12.4,12.04,12.03,12.425,12.4,12.04,12.03,12.425,0.41,0.0334,1694044800,0.5597,2.24,0.642952,16.849316,51.250004,10801310,10801310,4062004,3960940,3960940,12.37,12.41,800,1300,11224537088,7.03,17.78,2.5996566,13.444,12.962,0.427,0.034435485,USD,23147104256,0.15265,1510602228,893540992,7218600,8190871,1690761600,1693440000,0.0081,1.0000001e-05,0.27442,1.72,2.394,5.1378446,1672444800,1703980800,1688083200,-0.102,659100032,0.73,0.24,1161:1000,1361404800,5.361,10.683,NYQ,EQUITY,GFI,GFI,Gold Fields Limited,Gold Fields Limited,322151400,America/New_York,EDT,-14400000,12.3,17.0,13.5,15.34,15.2,2.7,hold,5,650499968,0.364,2166700032,1678899968,0.415,1.121,4317700096,38.022,2.4195,0.109560005,0.15022999,1568600000,471037504,1553900032,-0.102,0.014,0.36626,0.50181997,0.3125,USD,
5,150 Helen Road,Sandown,Sandton,2196,South Africa,27 11 562 9700,27 11 562 9829,https://www.goldfields.com,Gold,Basic Materials,"Gold Fields Limited operates as a gold producer with reserves and resources in Chile, South Africa, Ghana, West Africa, Australia, and Peru. The company also explores for copper deposits. It holds interests in nine operating mines, as well as gold mineral reserves and mineral resources. The company was founded in 1887 and is based in Sandton, South Africa.",6162,"{'maxAge': 1, 'name': 'Mr. Stuart J. Mathews M.S., MSc (Hons)', 'age': 61, 'title': 'Exec. VP of Australasia Region', 'yearBorn': 1961, 'fiscalYear': 2022, 'totalPay': 847500, 'exercisedValue': 0, 'unexercisedValue': 0}",1,3,5,1,2,1693526400,1672444800,86400,2,12.4,12.04,12.03,12.425,12.4,12.04,12.03,12.425,0.41,0.0334,1694044800,0.5597,2.24,0.642952,16.849316,51.250004,10801310,10801310,4062004,3960940,3960940,12.37,12.41,800,1300,11224537088,7.03,17.78,2.5996566,13.444,12.962,0.427,0.034435485,USD,23147104256,0.15265,1510602228,893540992,7218600,8190871,1690761600,1693440000,0.0081,1.0000001e-05,0.27442,1.72,2.394,5.1378446,1672444800,1703980800,1688083200,-0.102,659100032,0.73,0.24,1161:1000,1361404800,5.361,10.683,NYQ,EQUITY,GFI,GFI,Gold Fields Limited,Gold Fields Limited,322151400,America/New_York,EDT,-14400000,12.3,17.0,13.5,15.34,15.2,2.7,hold,5,650499968,0.364,2166700032,1678899968,0.415,1.121,4317700096,38.022,2.4195,0.109560005,0.15022999,1568600000,471037504,1553900032,-0.102,0.014,0.36626,0.50181997,0.3125,USD,
6,150 Helen Road,Sandown,Sandton,2196,South Africa,27 11 562 9700,27 11 562 9829,https://www.goldfields.com,Gold,Basic Materials,"Gold Fields Limited operates as a gold producer with reserves and resources in Chile, South Africa, Ghana, West Africa, Australia, and Peru. The company also explores for copper deposits. It holds interests in nine operating mines, as well as gold mineral reserves and mineral resources. The company was founded in 1887 and is based in Sandton, South Africa.",6162,"{'maxAge': 1, 'name': 'Mr. Joshua  Mortoti', 'age': 50, 'title': 'Exec. VP & Head of West Africa Region', 'yearBorn': 1972, 'fiscalYear': 2022, 'totalPay': 1209200, 'exercisedValue': 0, 'unexercisedValue': 0}",1,3,5,1,2,1693526400,1672444800,86400,2,12.4,12.04,12.03,12.425,12.4,12.04,12.03,12.425,0.41,0.0334,1694044800,0.5597,2.24,0.642952,16.849316,51.250004,10801310,10801310,4062004,3960940,3960940,12.37,12.41,800,1300,11224537088,7.03,17.78,2.5996566,13.444,12.962,0.427,0.034435485,USD,23147104256,0.15265,1510602228,893540992,7218600,8190871,1690761600,1693440000,0.0081,1.0000001e-05,0.27442,1.72,2.394,5.1378446,1672444800,1703980800,1688083200,-0.102,659100032,0.73,0.24,1161:1000,1361404800,5.361,10.683,NYQ,EQUITY,GFI,GFI,Gold Fields Limited,Gold Fields Limited,322151400,America/New_York,EDT,-14400000,12.3,17.0,13.5,15.34,15.2,2.7,hold,5,650499968,0.364,2166700032,1678899968,0.415,1.121,4317700096,38.022,2.4195,0.109560005,0.15022999,1568600000,471037504,1553900032,-0.102,0.014,0.36626,0.50181997,0.3125,USD,
7,150 Helen Road,Sandown,Sandton,2196,South Africa,27 11 562 9700,27 11 562 9829,https://www.goldfields.com,Gold,Basic Materials,"Gold Fields Limited operates as a gold producer with reserves and resources in Chile, South Africa, Ghana, West Africa, Australia, and Peru. The company also explores for copper deposits. It holds interests in nine operating mines, as well as gold mineral reserves and mineral resources. The company was founded in 1887 and is based in Sandton, South Africa.",6162,"{'maxAge': 1, 'name': 'Mr. Francois  Swanepoel', 'age': 49, 'title': 'Group Chief Technical Officer', 'yearBorn': 1973, 'exercisedValue': 0, 'unexercisedValue': 0}",1,3,5,1,2,1693526400,1672444800,86400,2,12.4,12.04,12.03,12.425,12.4,12.04,12.03,12.425,0.41,0.0334,1694044800,0.5597,2.24,0.642952,16.849316,51.250004,10801310,10801310,4062004,3960940,3960940,12.37,12.41,800,1300,11224537088,7.03,17.78,2.5996566,13.444,12.962,0.427,0.034435485,USD,23147104256,0.15265,1510602228,893540992,7218600,8190871,1690761600,1693440000,0.0081,1.0000001e-05,0.27442,1.72,2.394,5.1378446,1672444800,1703980800,1688083200,-0.102,659100032,0.73,0.24,1161:1000,1361404800,5.361,10.683,NYQ,EQUITY,GFI,GFI,Gold Fields Limited,Gold Fields Limited,322151400,America/New_York,EDT,-14400000,12.3,17.0,13.5,15.34,15.2,2.7,hold,5,650499968,0.364,2166700032,1678899968,0.415,1.121,4317700096,38.022,2.4195,0.109560005,0.15022999,1568600000,471037504,1553900032,-0.102,0.014,0.36626,0.50181997,0.3125,USD,
8,150 Helen Road,Sandown,Sandton,2196,South Africa,27 11 562 9700,27 11 562 9829,https://www.goldfields.com,Gold,Basic Materials,"Gold Fields Limited operates as a gold producer with reserves and resources in Chile, South Africa, Ghana, West Africa, Australia, and Peru. The company also explores for copper deposits. It holds interests in nine operating mines, as well as gold mineral reserves and mineral resources. The company was founded in 1887 and is based in Sandton, South Africa.",6162,"{'maxAge': 1, 'name': 'Ms. Jongisa  Magagula', 'age': 40, 'title': 'Exec. Vice-Pres of Investor Relations & Corp. Affairs', 'yearBorn': 1982, 'exercisedValue': 0, 'unexercisedValue': 0}",1,3,5,1,2,1693526400,1672444800,86400,2,12.4,12.04,12.03,12.425,12.4,12.04,12.03,12.425,0.41,0.0334,1694044800,0.5597,2.24,0.642952,16.849316,51.250004,10801310,10801310,4062004,3960940,3960940,12.37,12.41,800,1300,11224537088,7.03,17.78,2.5996566,13.444,12.962,0.427,0.034435485,USD,23147104256,0.15265,1510602228,893540992,7218600,8190871,1690761600,1693440000,0.0081,1.0000001e-05,0.27442,1.72,2.394,5.1378446,1672444800,1703980800,1688083200,-0.102,659100032,0.73,0.24,1161:1000,1361404800,5.361,10.683,NYQ,EQUITY,GFI,GFI,Gold Fields Limited,Gold Fields Limited,322151400,America/New_York,EDT,-14400000,12.3,17.0,13.5,15.34,15.2,2.7,hold,5,650499968,0.364,2166700032,1678899968,0.415,1.121,4317700096,38.022,2.4195,0.109560005,0.15022999,1568600000,471037504,1553900032,-0.102,0.014,0.36626,0.50181997,0.3125,USD,
9,150 Helen Road,Sandown,Sandton,2196,South Africa,27 11 562 9700,27 11 562 9829,https://www.goldfields.com,Gold,Basic Materials,"Gold Fields Limited operates as a gold producer with reserves and resources in Chile, South Africa, Ghana, West Africa, Australia, and Peru. The company also explores for copper deposits. It holds interests in nine operating mines, as well as gold mineral reserves and mineral resources. The company was founded in 1887 and is based in Sandton, South Africa.",6162,"{'maxAge': 1, 'name': 'Ms. Kelly  Carter', 'title': 'Exec. VP and Group Head of Legal & Compliance', 'exercisedValue': 0, 'unexercisedValue': 0}",1,3,5,1,2,1693526400,1672444800,86400,2,12.4,12.04,12.03,12.425,12.4,12.04,12.03,12.425,0.41,0.0334,1694044800,0.5597,2.24,0.642952,16.849316,51.250004,10801310,10801310,4062004,3960940,3960940,12.37,12.41,800,1300,11224537088,7.03,17.78,2.5996566,13.444,12.962,0.427,0.034435485,USD,23147104256,0.15265,1510602228,893540992,7218600,8190871,1690761600,1693440000,0.0081,1.0000001e-05,0.27442,1.72,2.394,5.1378446,1672444800,1703980800,1688083200,-0.102,659100032,0.73,0.24,1161:1000,1361404800,5.361,10.683,NYQ,EQUITY,GFI,GFI,Gold Fields Limited,Gold Fields Limited,322151400,America/New_York,EDT,-14400000,12.3,17.0,13.5,15.34,15.2,2.7,hold,5,650499968,0.364,2166700032,1678899968,0.415,1.121,4317700096,38.022,2.4195,0.109560005,0.15022999,1568600000,471037504,1553900032,-0.102,0.014,0.36626,0.50181997,0.3125,USD,
