,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,938 Howe Street,Suite 410,Vancouver,BC,V6Z 1N9,Canada,778 889 4966,https://wildskyresources.com,Gold,Basic Materials,"Wildsky Resources Inc. engages in the acquisition, exploration, and development of mineral properties in Africa. The company holds three exploration licenses for niobium-tantalum exploration. The company was formerly known as China Minerals Mining Corporation and changed its name to Wildsky Resources Inc. in August 2018. Wildsky Resources Inc. was incorporated in 2006 and is based in Vancouver, Canada.","{'maxAge': 1, 'name': 'Mr. Wenhong  Jin B.Sc', 'age': 52, 'title': 'Pres, CEO & Director', 'yearBorn': 1970, 'fiscalYear': 2021, 'totalPay': 91474, 'exercisedValue': 0, 'unexercisedValue': 0}",1640908800,86400,4,0.132,0.132,0.132,0.132,0.132,0.132,0.132,0.132,0.0,-0.131616,2,2,73,0,0,0.0,0.0,0,0,5424289,0.015,0.25,0.09642,0.09844,0.0,0.0,USD,-1125734,0.0,31940055,41093100,0.43050998,0.0998,0.172,0.7674418,1669766400,1701302400,1685491200,-2158865,-0.03,1:25,1505260800,1.906,PNK,EQUITY,HWTHF,HWTHF,WILDSKY RESOURCES INC,Wildsky Resources Inc.,1280323800,America/New_York,EDT,-14400000,0.132,none,6550029,0.159,-590675,0,63.311,63.554,-0.05237,-0.30111,-298402,-417833,-521856,0.0,0.0,0.0,CAD,
1,938 Howe Street,Suite 410,Vancouver,BC,V6Z 1N9,Canada,778 889 4966,https://wildskyresources.com,Gold,Basic Materials,"Wildsky Resources Inc. engages in the acquisition, exploration, and development of mineral properties in Africa. The company holds three exploration licenses for niobium-tantalum exploration. The company was formerly known as China Minerals Mining Corporation and changed its name to Wildsky Resources Inc. in August 2018. Wildsky Resources Inc. was incorporated in 2006 and is based in Vancouver, Canada.","{'maxAge': 1, 'name': 'Ms. Ke Feng Yuan B.A., CPA, CGA, CPA', 'age': 49, 'title': 'CFO & Company Sec.', 'yearBorn': 1973, 'fiscalYear': 2021, 'totalPay': 53114, 'exercisedValue': 0, 'unexercisedValue': 0}",1640908800,86400,4,0.132,0.132,0.132,0.132,0.132,0.132,0.132,0.132,0.0,-0.131616,2,2,73,0,0,0.0,0.0,0,0,5424289,0.015,0.25,0.09642,0.09844,0.0,0.0,USD,-1125734,0.0,31940055,41093100,0.43050998,0.0998,0.172,0.7674418,1669766400,1701302400,1685491200,-2158865,-0.03,1:25,1505260800,1.906,PNK,EQUITY,HWTHF,HWTHF,WILDSKY RESOURCES INC,Wildsky Resources Inc.,1280323800,America/New_York,EDT,-14400000,0.132,none,6550029,0.159,-590675,0,63.311,63.554,-0.05237,-0.30111,-298402,-417833,-521856,0.0,0.0,0.0,CAD,
