,address1,address2,city,state,zip,country,phone,fax,website,industry,industryDisp,sector,sectorDisp,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,5 Ord Street,Level 2,West Perth,WA,6005,Australia,61 8 9322 6904,61 8 9321 5240,https://energymetals.net,Uranium,Uranium,Energy,Energy,"Energy Metals Limited, together with its subsidiaries, operates as a uranium exploration company in Australia. It holds interests in eight exploration projects covering an area of approximately 2,400 square kilometers located in the Northern Territory and Western Australia. The company was incorporated in 2004 and is based in West Perth, Australia. Energy Metals Limited is a subsidiary of China Uranium Development Company Limited.","{'maxAge': 1, 'name': 'Mr. Shubiao  Tao', 'title': 'MD, CEO & Director', 'exercisedValue': 0, 'unexercisedValue': 0}",1640908800,86400,4,0.17,0.185,0.185,0.185,0.17,0.185,0.185,0.185,0.0,1.058558,24000,24000,12514,28376,28376,0.18,0.225,0,0,38791356,0.095,0.185,179.64368,0.127,0.127695,0.0,0.0,AUD,21927674,-2.22274,11478064,209683008,0.94193,0.0,209683008,0.238,0.7773109,1672444800,1703980800,1688083200,-479967,-0.0,3:1,1204243200,101.548,-32.666,0.08823526,0.14113986,ASX,EQUITY,EME.AX,EME.AX,ENERGY MET FPO,Energy Metals Limited,1123545600,Australia/Sydney,AEST,a838b2e4-6a2c-35f5-897d-9b553bb27a91,finmb_23295476,36000000,0.185,none,13831635,0.066,-671262,113145,79.206,79.206,215935,0.227,0.001,-0.00855,-0.00959,6361,-841662,-551848,3.763,1.0,0.0,-3.18745,AUD,
1,5 Ord Street,Level 2,West Perth,WA,6005,Australia,61 8 9322 6904,61 8 9321 5240,https://energymetals.net,Uranium,Uranium,Energy,Energy,"Energy Metals Limited, together with its subsidiaries, operates as a uranium exploration company in Australia. It holds interests in eight exploration projects covering an area of approximately 2,400 square kilometers located in the Northern Territory and Western Australia. The company was incorporated in 2004 and is based in West Perth, Australia. Energy Metals Limited is a subsidiary of China Uranium Development Company Limited.","{'maxAge': 1, 'name': 'Ms. Xuekun  Li A.C.I.S., ACCA, ACIS', 'age': 45, 'title': 'Company Sec. & CFO', 'yearBorn': 1977, 'fiscalYear': 2021, 'totalPay': 46305, 'exercisedValue': 0, 'unexercisedValue': 0}",1640908800,86400,4,0.17,0.185,0.185,0.185,0.17,0.185,0.185,0.185,0.0,1.058558,24000,24000,12514,28376,28376,0.18,0.225,0,0,38791356,0.095,0.185,179.64368,0.127,0.127695,0.0,0.0,AUD,21927674,-2.22274,11478064,209683008,0.94193,0.0,209683008,0.238,0.7773109,1672444800,1703980800,1688083200,-479967,-0.0,3:1,1204243200,101.548,-32.666,0.08823526,0.14113986,ASX,EQUITY,EME.AX,EME.AX,ENERGY MET FPO,Energy Metals Limited,1123545600,Australia/Sydney,AEST,a838b2e4-6a2c-35f5-897d-9b553bb27a91,finmb_23295476,36000000,0.185,none,13831635,0.066,-671262,113145,79.206,79.206,215935,0.227,0.001,-0.00855,-0.00959,6361,-841662,-551848,3.763,1.0,0.0,-3.18745,AUD,
