,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,revenuePerShare,returnOnAssets,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,167 Eagle Street,Level 7,Brisbane,QLD,4000,Australia,61 7 3229 9035,https://www.whiteenergyco.com,Thermal Coal,Energy,"White Energy Company Limited engages in coal technology, coal mining, and exploration businesses in Australia, Indonesia, China, Singapore, South Africa, Mauritius, the United States, and the United Kingdom. It holds license for the Binderless Coal Briquetting technology, which processes poor quality coal into a higher quality product; and EL6566 tenements located in South Australia. The company was formerly known as Amerod Resource Limited. White Energy Company Limited was incorporated in 1995 and is headquartered in Brisbane, Australia.","{'maxAge': 1, 'name': 'Mr. Brian Joseph Flannery BE Mining', 'age': 71, 'title': 'MD, CEO & Chairman', 'yearBorn': 1951, 'fiscalYear': 2022, 'totalPay': 96859, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.026,0.0265,0.0265,0.0265,0.026,0.0265,0.0265,0.0265,0.0,0.610735,150,150,106,15,15,0.0265,0.0645,8077000,4200000,3310221,0.0025,0.252,22.987646,0.03634,0.07445153,0.0,0.0,EUR,11989086,0.0,12083969,68406200,0.68916,0.09389,-0.044,1656547200,1688083200,1672444800,-6131000,-0.12,83.258,-4.305,FRA,EQUITY,XPK.F,XPK.F,WHITE ENERGY LTD.,White Energy Company Limited,1305525600,Europe/Berlin,CEST,7200000,0.0265,none,2279000,0.056,-2785000,50186000,6.374,6.842,144000,0.005,-0.2618,256000,-1943375,-3558000,-0.799,0.86805,0.0,-38.840282,AUD,
1,167 Eagle Street,Level 7,Brisbane,QLD,4000,Australia,61 7 3229 9035,https://www.whiteenergyco.com,Thermal Coal,Energy,"White Energy Company Limited engages in coal technology, coal mining, and exploration businesses in Australia, Indonesia, China, Singapore, South Africa, Mauritius, the United States, and the United Kingdom. It holds license for the Binderless Coal Briquetting technology, which processes poor quality coal into a higher quality product; and EL6566 tenements located in South Australia. The company was formerly known as Amerod Resource Limited. White Energy Company Limited was incorporated in 1995 and is headquartered in Brisbane, Australia.","{'maxAge': 1, 'name': 'Mr. Allan  McCarthy', 'title': 'Chief Financial Officer', 'fiscalYear': 2022, 'totalPay': 183689, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.026,0.0265,0.0265,0.0265,0.026,0.0265,0.0265,0.0265,0.0,0.610735,150,150,106,15,15,0.0265,0.0645,8077000,4200000,3310221,0.0025,0.252,22.987646,0.03634,0.07445153,0.0,0.0,EUR,11989086,0.0,12083969,68406200,0.68916,0.09389,-0.044,1656547200,1688083200,1672444800,-6131000,-0.12,83.258,-4.305,FRA,EQUITY,XPK.F,XPK.F,WHITE ENERGY LTD.,White Energy Company Limited,1305525600,Europe/Berlin,CEST,7200000,0.0265,none,2279000,0.056,-2785000,50186000,6.374,6.842,144000,0.005,-0.2618,256000,-1943375,-3558000,-0.799,0.86805,0.0,-38.840282,AUD,
2,167 Eagle Street,Level 7,Brisbane,QLD,4000,Australia,61 7 3229 9035,https://www.whiteenergyco.com,Thermal Coal,Energy,"White Energy Company Limited engages in coal technology, coal mining, and exploration businesses in Australia, Indonesia, China, Singapore, South Africa, Mauritius, the United States, and the United Kingdom. It holds license for the Binderless Coal Briquetting technology, which processes poor quality coal into a higher quality product; and EL6566 tenements located in South Australia. The company was formerly known as Amerod Resource Limited. White Energy Company Limited was incorporated in 1995 and is headquartered in Brisbane, Australia.","{'maxAge': 1, 'name': 'Mr. David James Franks B.Ec, BEc, C.A., CA, F Fin, J.P., JP.', 'age': 52, 'title': 'Company Sec.', 'yearBorn': 1970, 'fiscalYear': 2010, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.026,0.0265,0.0265,0.0265,0.026,0.0265,0.0265,0.0265,0.0,0.610735,150,150,106,15,15,0.0265,0.0645,8077000,4200000,3310221,0.0025,0.252,22.987646,0.03634,0.07445153,0.0,0.0,EUR,11989086,0.0,12083969,68406200,0.68916,0.09389,-0.044,1656547200,1688083200,1672444800,-6131000,-0.12,83.258,-4.305,FRA,EQUITY,XPK.F,XPK.F,WHITE ENERGY LTD.,White Energy Company Limited,1305525600,Europe/Berlin,CEST,7200000,0.0265,none,2279000,0.056,-2785000,50186000,6.374,6.842,144000,0.005,-0.2618,256000,-1943375,-3558000,-0.799,0.86805,0.0,-38.840282,AUD,
