,address1,address2,city,state,zip,country,website,industry,sector,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,580 Hornby Street,Suite 890,Vancouver,BC,V6C 2E7,Canada,https://www.nickelnorthexploration.com,Other Industrial Metals & Mining,Basic Materials,"Nickel North Exploration Corp. engages in the acquisition, exploration, and evaluation of mineral property interests in Canada. The company explores for copper, nickel, and platinum group metals resources. It holds interest in the Hawk Ridge property located in Ungava Bay, Northern Quebec. The company was formerly known as Orient Venture Capital Inc. and changed its name to Nickel North Exploration Corp. in July 2012. Nickel North Exploration Corp. was incorporated in 2007 and is headquartered in Vancouver, Canada.","{'maxAge': 1, 'name': 'Dr. Yingting  Guo MMSA, P.Geo, P.Geo., Ph.D.', 'age': 59, 'title': 'CEO, Pres & Director', 'yearBorn': 1963, 'fiscalYear': 2022, 'totalPay': 109000, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.015,0.01,0.01,0.015,0.015,0.01,0.01,0.015,895104000,0.0,1.567954,7000,7000,14201,1200,1200,0.01,0.015,0,0,1506525,0.01,0.06,0.0166,0.022425,0.0,0.0,CAD,3396635,0.0,45465141,100435000,76,2033,1685491200,1690761600,0.0,0.66097,0.0,0.0,-0.02,1672444800,1703980800,1688083200,-978238,-0.01,VAN,EQUITY,NNX.V,NNX.V,NICKEL NORTH EXPLORATION CORP,Nickel North Exploration Corp.,1363786200,America/Toronto,EDT,-14400000,0.015,none,96241,0.001,1986344,0.049,0.053,-0.08826,-0.27169,-549886,-561187,0.0,0.0,0.0,CAD,
1,580 Hornby Street,Suite 890,Vancouver,BC,V6C 2E7,Canada,https://www.nickelnorthexploration.com,Other Industrial Metals & Mining,Basic Materials,"Nickel North Exploration Corp. engages in the acquisition, exploration, and evaluation of mineral property interests in Canada. The company explores for copper, nickel, and platinum group metals resources. It holds interest in the Hawk Ridge property located in Ungava Bay, Northern Quebec. The company was formerly known as Orient Venture Capital Inc. and changed its name to Nickel North Exploration Corp. in July 2012. Nickel North Exploration Corp. was incorporated in 2007 and is headquartered in Vancouver, Canada.","{'maxAge': 1, 'name': 'Mr. Mao  Sun C.A., CPA', 'age': 46, 'title': 'CFO & Corp. Sec.', 'yearBorn': 1976, 'fiscalYear': 2022, 'totalPay': 27000, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.015,0.01,0.01,0.015,0.015,0.01,0.01,0.015,895104000,0.0,1.567954,7000,7000,14201,1200,1200,0.01,0.015,0,0,1506525,0.01,0.06,0.0166,0.022425,0.0,0.0,CAD,3396635,0.0,45465141,100435000,76,2033,1685491200,1690761600,0.0,0.66097,0.0,0.0,-0.02,1672444800,1703980800,1688083200,-978238,-0.01,VAN,EQUITY,NNX.V,NNX.V,NICKEL NORTH EXPLORATION CORP,Nickel North Exploration Corp.,1363786200,America/Toronto,EDT,-14400000,0.015,none,96241,0.001,1986344,0.049,0.053,-0.08826,-0.27169,-549886,-561187,0.0,0.0,0.0,CAD,
