,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,debtToEquity,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,375 Water Street,Suite 110,Vancouver,BC,V6B 5C6,Canada,604 409 8154,https://www.standardlithium.com,Other Industrial Metals & Mining,Basic Materials,"Standard Lithium Ltd. explores for, develops, and processes lithium brine properties in the United States. Its flagship project is the Lanxess project with approximately 150,000 acres of brine leases located in southern Arkansas. The company was formerly known as Patriot Petroleum Corp. and changed its name to Standard Lithium Ltd. in December 2016. Standard Lithium Ltd. was incorporated in 1998 and is headquartered in Vancouver, Canada.","{'maxAge': 1, 'name': 'Mr. Robert  Mintak', 'age': 59, 'title': 'CEO & Director', 'yearBorn': 1963, 'fiscalYear': 2022, 'totalPay': 631004, 'exercisedValue': 2065145, 'unexercisedValue': 0}",1672444800,86400,4,3.26,3.24,3.23,3.32,3.26,3.24,3.23,3.32,0.0,2.255126,1103033,1103033,627206,781720,781720,3.25,3.3,3100,2200,570666304,2.83,5.28,3.9866,3.88955,0.0,0.0,USD,472218368,0.0,145399383,172552000,9830879,10210623,1690761600,1693440000,0.056999996,0.061329998,0.19309999,15.26,0.987,3.3029382,1656547200,1688083200,1680220800,-21971836,-0.1,-15.498,ASE,EQUITY,SLI,SLI,Standard Lithium Ltd.,Standard Lithium Ltd.,1520346600,America/New_York,EDT,-14400000,3.26,none,91422176,0.53,-30468760,1120380,13.793,14.283,0.659,-0.11553001,-0.12785,-11810915,-44439424,-24603696,0.0,0.0,0.0,CAD,
1,375 Water Street,Suite 110,Vancouver,BC,V6B 5C6,Canada,604 409 8154,https://www.standardlithium.com,Other Industrial Metals & Mining,Basic Materials,"Standard Lithium Ltd. explores for, develops, and processes lithium brine properties in the United States. Its flagship project is the Lanxess project with approximately 150,000 acres of brine leases located in southern Arkansas. The company was formerly known as Patriot Petroleum Corp. and changed its name to Standard Lithium Ltd. in December 2016. Standard Lithium Ltd. was incorporated in 1998 and is headquartered in Vancouver, Canada.","{'maxAge': 1, 'name': 'Dr. J. Andrew Robinson', 'title': 'Pres, COO & Director', 'fiscalYear': 2022, 'totalPay': 631007, 'exercisedValue': 2065145, 'unexercisedValue': 0}",1672444800,86400,4,3.26,3.24,3.23,3.32,3.26,3.24,3.23,3.32,0.0,2.255126,1103033,1103033,627206,781720,781720,3.25,3.3,3100,2200,570666304,2.83,5.28,3.9866,3.88955,0.0,0.0,USD,472218368,0.0,145399383,172552000,9830879,10210623,1690761600,1693440000,0.056999996,0.061329998,0.19309999,15.26,0.987,3.3029382,1656547200,1688083200,1680220800,-21971836,-0.1,-15.498,ASE,EQUITY,SLI,SLI,Standard Lithium Ltd.,Standard Lithium Ltd.,1520346600,America/New_York,EDT,-14400000,3.26,none,91422176,0.53,-30468760,1120380,13.793,14.283,0.659,-0.11553001,-0.12785,-11810915,-44439424,-24603696,0.0,0.0,0.0,CAD,
2,375 Water Street,Suite 110,Vancouver,BC,V6B 5C6,Canada,604 409 8154,https://www.standardlithium.com,Other Industrial Metals & Mining,Basic Materials,"Standard Lithium Ltd. explores for, develops, and processes lithium brine properties in the United States. Its flagship project is the Lanxess project with approximately 150,000 acres of brine leases located in southern Arkansas. The company was formerly known as Patriot Petroleum Corp. and changed its name to Standard Lithium Ltd. in December 2016. Standard Lithium Ltd. was incorporated in 1998 and is headquartered in Vancouver, Canada.","{'maxAge': 1, 'name': 'Mr. Anthony  Alvaro', 'title': 'Founder, Corp. Advisor & Non-Independent Director', 'fiscalYear': 2022, 'totalPay': 184651, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,3.26,3.24,3.23,3.32,3.26,3.24,3.23,3.32,0.0,2.255126,1103033,1103033,627206,781720,781720,3.25,3.3,3100,2200,570666304,2.83,5.28,3.9866,3.88955,0.0,0.0,USD,472218368,0.0,145399383,172552000,9830879,10210623,1690761600,1693440000,0.056999996,0.061329998,0.19309999,15.26,0.987,3.3029382,1656547200,1688083200,1680220800,-21971836,-0.1,-15.498,ASE,EQUITY,SLI,SLI,Standard Lithium Ltd.,Standard Lithium Ltd.,1520346600,America/New_York,EDT,-14400000,3.26,none,91422176,0.53,-30468760,1120380,13.793,14.283,0.659,-0.11553001,-0.12785,-11810915,-44439424,-24603696,0.0,0.0,0.0,CAD,
3,375 Water Street,Suite 110,Vancouver,BC,V6B 5C6,Canada,604 409 8154,https://www.standardlithium.com,Other Industrial Metals & Mining,Basic Materials,"Standard Lithium Ltd. explores for, develops, and processes lithium brine properties in the United States. Its flagship project is the Lanxess project with approximately 150,000 acres of brine leases located in southern Arkansas. The company was formerly known as Patriot Petroleum Corp. and changed its name to Standard Lithium Ltd. in December 2016. Standard Lithium Ltd. was incorporated in 1998 and is headquartered in Vancouver, Canada.","{'maxAge': 1, 'name': 'Ms. Kara  Norman C.M.A., CPA', 'age': 54, 'title': 'CFO & Corp. Sec.', 'yearBorn': 1968, 'fiscalYear': 2022, 'totalPay': 320280, 'exercisedValue': 688381, 'unexercisedValue': 0}",1672444800,86400,4,3.26,3.24,3.23,3.32,3.26,3.24,3.23,3.32,0.0,2.255126,1103033,1103033,627206,781720,781720,3.25,3.3,3100,2200,570666304,2.83,5.28,3.9866,3.88955,0.0,0.0,USD,472218368,0.0,145399383,172552000,9830879,10210623,1690761600,1693440000,0.056999996,0.061329998,0.19309999,15.26,0.987,3.3029382,1656547200,1688083200,1680220800,-21971836,-0.1,-15.498,ASE,EQUITY,SLI,SLI,Standard Lithium Ltd.,Standard Lithium Ltd.,1520346600,America/New_York,EDT,-14400000,3.26,none,91422176,0.53,-30468760,1120380,13.793,14.283,0.659,-0.11553001,-0.12785,-11810915,-44439424,-24603696,0.0,0.0,0.0,CAD,
4,375 Water Street,Suite 110,Vancouver,BC,V6B 5C6,Canada,604 409 8154,https://www.standardlithium.com,Other Industrial Metals & Mining,Basic Materials,"Standard Lithium Ltd. explores for, develops, and processes lithium brine properties in the United States. Its flagship project is the Lanxess project with approximately 150,000 acres of brine leases located in southern Arkansas. The company was formerly known as Patriot Petroleum Corp. and changed its name to Standard Lithium Ltd. in December 2016. Standard Lithium Ltd. was incorporated in 1998 and is headquartered in Vancouver, Canada.","{'maxAge': 1, 'name': 'Mr. Jason  Tielker', 'title': 'VP of Project Delivery', 'fiscalYear': 2022, 'totalPay': 308955, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,3.26,3.24,3.23,3.32,3.26,3.24,3.23,3.32,0.0,2.255126,1103033,1103033,627206,781720,781720,3.25,3.3,3100,2200,570666304,2.83,5.28,3.9866,3.88955,0.0,0.0,USD,472218368,0.0,145399383,172552000,9830879,10210623,1690761600,1693440000,0.056999996,0.061329998,0.19309999,15.26,0.987,3.3029382,1656547200,1688083200,1680220800,-21971836,-0.1,-15.498,ASE,EQUITY,SLI,SLI,Standard Lithium Ltd.,Standard Lithium Ltd.,1520346600,America/New_York,EDT,-14400000,3.26,none,91422176,0.53,-30468760,1120380,13.793,14.283,0.659,-0.11553001,-0.12785,-11810915,-44439424,-24603696,0.0,0.0,0.0,CAD,
