,address1,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,totalDebt,totalRevenue,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Jonsvollsgaten 2,Bergen,5011,Norway,47 91 50 55 55,47 55 21 73 50,https://www.spv.no,Banks—Regional,Financial Services,"Sparebanken Vest, a financial services company, provides banking and financing services in the counties of Vestland and Rogaland, Norway. The company operates through Corporate Market, Retail Market, Bulder Bank, Treasury, and Estate Agency Activities segments. It is also involved in home mortgage activities. The company was founded in 1823 and is headquartered in Bergen, Norway.",765,"{'maxAge': 1, 'name': 'Mr. Jan Erik Kjerpeseth', 'age': 51, 'title': 'Exec. VP, MD & CEO', 'yearBorn': 1971, 'fiscalYear': 2020, 'totalPay': 650954, 'exercisedValue': 0, 'unexercisedValue': 0}",10,10,6,1,10,1693526400,1609372800,86400,2,9.2311,9.2311,9.2311,9.2311,9.2311,9.2311,9.2311,9.2311,0.26,0.028099999,1679529600,0.26569998,0.791666,9.615729,4500,4500,0,0,0,1113713792,9.2311,9.2311,0.19642217,9.2311,9.2311,5.5,0.59581196,USD,132658192384,0.55591,57907360,109450000,0.32326,0.28295,188.481,0.048976287,1672444800,1703980800,1688083200,0.388,1240999936,0.96,23.397,PNK,EQUITY,SPIZF,SPIZF,SPAREBANKEN VEST,Sparebanken Vest,1349703000,America/New_York,EDT,-14400000,9.2311,none,7799000064,71.126,139444994048,5670000128,52.214,0.01163,0.15008001,5193000000,3544000000,0.374,0.295,0.0,0.0,0.69065005,NOK,
1,Jonsvollsgaten 2,Bergen,5011,Norway,47 91 50 55 55,47 55 21 73 50,https://www.spv.no,Banks—Regional,Financial Services,"Sparebanken Vest, a financial services company, provides banking and financing services in the counties of Vestland and Rogaland, Norway. The company operates through Corporate Market, Retail Market, Bulder Bank, Treasury, and Estate Agency Activities segments. It is also involved in home mortgage activities. The company was founded in 1823 and is headquartered in Bergen, Norway.",765,"{'maxAge': 1, 'name': 'Mr. Frank  Johannesen', 'age': 63, 'title': 'Exec. VP & CFO', 'yearBorn': 1959, 'fiscalYear': 2020, 'totalPay': 348942, 'exercisedValue': 0, 'unexercisedValue': 0}",10,10,6,1,10,1693526400,1609372800,86400,2,9.2311,9.2311,9.2311,9.2311,9.2311,9.2311,9.2311,9.2311,0.26,0.028099999,1679529600,0.26569998,0.791666,9.615729,4500,4500,0,0,0,1113713792,9.2311,9.2311,0.19642217,9.2311,9.2311,5.5,0.59581196,USD,132658192384,0.55591,57907360,109450000,0.32326,0.28295,188.481,0.048976287,1672444800,1703980800,1688083200,0.388,1240999936,0.96,23.397,PNK,EQUITY,SPIZF,SPIZF,SPAREBANKEN VEST,Sparebanken Vest,1349703000,America/New_York,EDT,-14400000,9.2311,none,7799000064,71.126,139444994048,5670000128,52.214,0.01163,0.15008001,5193000000,3544000000,0.374,0.295,0.0,0.0,0.69065005,NOK,
2,Jonsvollsgaten 2,Bergen,5011,Norway,47 91 50 55 55,47 55 21 73 50,https://www.spv.no,Banks—Regional,Financial Services,"Sparebanken Vest, a financial services company, provides banking and financing services in the counties of Vestland and Rogaland, Norway. The company operates through Corporate Market, Retail Market, Bulder Bank, Treasury, and Estate Agency Activities segments. It is also involved in home mortgage activities. The company was founded in 1823 and is headquartered in Bergen, Norway.",765,"{'maxAge': 1, 'name': 'Terje  Mjelde', 'title': 'Head of Management Accounting', 'exercisedValue': 0, 'unexercisedValue': 0}",10,10,6,1,10,1693526400,1609372800,86400,2,9.2311,9.2311,9.2311,9.2311,9.2311,9.2311,9.2311,9.2311,0.26,0.028099999,1679529600,0.26569998,0.791666,9.615729,4500,4500,0,0,0,1113713792,9.2311,9.2311,0.19642217,9.2311,9.2311,5.5,0.59581196,USD,132658192384,0.55591,57907360,109450000,0.32326,0.28295,188.481,0.048976287,1672444800,1703980800,1688083200,0.388,1240999936,0.96,23.397,PNK,EQUITY,SPIZF,SPIZF,SPAREBANKEN VEST,Sparebanken Vest,1349703000,America/New_York,EDT,-14400000,9.2311,none,7799000064,71.126,139444994048,5670000128,52.214,0.01163,0.15008001,5193000000,3544000000,0.374,0.295,0.0,0.0,0.69065005,NOK,
3,Jonsvollsgaten 2,Bergen,5011,Norway,47 91 50 55 55,47 55 21 73 50,https://www.spv.no,Banks—Regional,Financial Services,"Sparebanken Vest, a financial services company, provides banking and financing services in the counties of Vestland and Rogaland, Norway. The company operates through Corporate Market, Retail Market, Bulder Bank, Treasury, and Estate Agency Activities segments. It is also involved in home mortgage activities. The company was founded in 1823 and is headquartered in Bergen, Norway.",765,"{'maxAge': 1, 'name': 'Mr. Lars Ove Breivik', 'title': 'Chief Information Officer & Head of Communication', 'exercisedValue': 0, 'unexercisedValue': 0}",10,10,6,1,10,1693526400,1609372800,86400,2,9.2311,9.2311,9.2311,9.2311,9.2311,9.2311,9.2311,9.2311,0.26,0.028099999,1679529600,0.26569998,0.791666,9.615729,4500,4500,0,0,0,1113713792,9.2311,9.2311,0.19642217,9.2311,9.2311,5.5,0.59581196,USD,132658192384,0.55591,57907360,109450000,0.32326,0.28295,188.481,0.048976287,1672444800,1703980800,1688083200,0.388,1240999936,0.96,23.397,PNK,EQUITY,SPIZF,SPIZF,SPAREBANKEN VEST,Sparebanken Vest,1349703000,America/New_York,EDT,-14400000,9.2311,none,7799000064,71.126,139444994048,5670000128,52.214,0.01163,0.15008001,5193000000,3544000000,0.374,0.295,0.0,0.0,0.69065005,NOK,
4,Jonsvollsgaten 2,Bergen,5011,Norway,47 91 50 55 55,47 55 21 73 50,https://www.spv.no,Banks—Regional,Financial Services,"Sparebanken Vest, a financial services company, provides banking and financing services in the counties of Vestland and Rogaland, Norway. The company operates through Corporate Market, Retail Market, Bulder Bank, Treasury, and Estate Agency Activities segments. It is also involved in home mortgage activities. The company was founded in 1823 and is headquartered in Bergen, Norway.",765,"{'maxAge': 1, 'name': 'Brede Borgen Kristiansen', 'title': 'Director of Fin. & Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",10,10,6,1,10,1693526400,1609372800,86400,2,9.2311,9.2311,9.2311,9.2311,9.2311,9.2311,9.2311,9.2311,0.26,0.028099999,1679529600,0.26569998,0.791666,9.615729,4500,4500,0,0,0,1113713792,9.2311,9.2311,0.19642217,9.2311,9.2311,5.5,0.59581196,USD,132658192384,0.55591,57907360,109450000,0.32326,0.28295,188.481,0.048976287,1672444800,1703980800,1688083200,0.388,1240999936,0.96,23.397,PNK,EQUITY,SPIZF,SPIZF,SPAREBANKEN VEST,Sparebanken Vest,1349703000,America/New_York,EDT,-14400000,9.2311,none,7799000064,71.126,139444994048,5670000128,52.214,0.01163,0.15008001,5193000000,3544000000,0.374,0.295,0.0,0.0,0.69065005,NOK,
5,Jonsvollsgaten 2,Bergen,5011,Norway,47 91 50 55 55,47 55 21 73 50,https://www.spv.no,Banks—Regional,Financial Services,"Sparebanken Vest, a financial services company, provides banking and financing services in the counties of Vestland and Rogaland, Norway. The company operates through Corporate Market, Retail Market, Bulder Bank, Treasury, and Estate Agency Activities segments. It is also involved in home mortgage activities. The company was founded in 1823 and is headquartered in Bergen, Norway.",765,"{'maxAge': 1, 'name': 'Monica Galtung Døsvig', 'title': 'Head of Legal', 'exercisedValue': 0, 'unexercisedValue': 0}",10,10,6,1,10,1693526400,1609372800,86400,2,9.2311,9.2311,9.2311,9.2311,9.2311,9.2311,9.2311,9.2311,0.26,0.028099999,1679529600,0.26569998,0.791666,9.615729,4500,4500,0,0,0,1113713792,9.2311,9.2311,0.19642217,9.2311,9.2311,5.5,0.59581196,USD,132658192384,0.55591,57907360,109450000,0.32326,0.28295,188.481,0.048976287,1672444800,1703980800,1688083200,0.388,1240999936,0.96,23.397,PNK,EQUITY,SPIZF,SPIZF,SPAREBANKEN VEST,Sparebanken Vest,1349703000,America/New_York,EDT,-14400000,9.2311,none,7799000064,71.126,139444994048,5670000128,52.214,0.01163,0.15008001,5193000000,3544000000,0.374,0.295,0.0,0.0,0.69065005,NOK,
6,Jonsvollsgaten 2,Bergen,5011,Norway,47 91 50 55 55,47 55 21 73 50,https://www.spv.no,Banks—Regional,Financial Services,"Sparebanken Vest, a financial services company, provides banking and financing services in the counties of Vestland and Rogaland, Norway. The company operates through Corporate Market, Retail Market, Bulder Bank, Treasury, and Estate Agency Activities segments. It is also involved in home mortgage activities. The company was founded in 1823 and is headquartered in Bergen, Norway.",765,"{'maxAge': 1, 'name': 'Henrik  Tønnessen', 'title': 'Compliance Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",10,10,6,1,10,1693526400,1609372800,86400,2,9.2311,9.2311,9.2311,9.2311,9.2311,9.2311,9.2311,9.2311,0.26,0.028099999,1679529600,0.26569998,0.791666,9.615729,4500,4500,0,0,0,1113713792,9.2311,9.2311,0.19642217,9.2311,9.2311,5.5,0.59581196,USD,132658192384,0.55591,57907360,109450000,0.32326,0.28295,188.481,0.048976287,1672444800,1703980800,1688083200,0.388,1240999936,0.96,23.397,PNK,EQUITY,SPIZF,SPIZF,SPAREBANKEN VEST,Sparebanken Vest,1349703000,America/New_York,EDT,-14400000,9.2311,none,7799000064,71.126,139444994048,5670000128,52.214,0.01163,0.15008001,5193000000,3544000000,0.374,0.295,0.0,0.0,0.69065005,NOK,
7,Jonsvollsgaten 2,Bergen,5011,Norway,47 91 50 55 55,47 55 21 73 50,https://www.spv.no,Banks—Regional,Financial Services,"Sparebanken Vest, a financial services company, provides banking and financing services in the counties of Vestland and Rogaland, Norway. The company operates through Corporate Market, Retail Market, Bulder Bank, Treasury, and Estate Agency Activities segments. It is also involved in home mortgage activities. The company was founded in 1823 and is headquartered in Bergen, Norway.",765,"{'maxAge': 1, 'name': 'Ms. Therese Linn Arentsen', 'age': 46, 'title': 'Exec. VP and Head of HR & Organization', 'yearBorn': 1976, 'exercisedValue': 0, 'unexercisedValue': 0}",10,10,6,1,10,1693526400,1609372800,86400,2,9.2311,9.2311,9.2311,9.2311,9.2311,9.2311,9.2311,9.2311,0.26,0.028099999,1679529600,0.26569998,0.791666,9.615729,4500,4500,0,0,0,1113713792,9.2311,9.2311,0.19642217,9.2311,9.2311,5.5,0.59581196,USD,132658192384,0.55591,57907360,109450000,0.32326,0.28295,188.481,0.048976287,1672444800,1703980800,1688083200,0.388,1240999936,0.96,23.397,PNK,EQUITY,SPIZF,SPIZF,SPAREBANKEN VEST,Sparebanken Vest,1349703000,America/New_York,EDT,-14400000,9.2311,none,7799000064,71.126,139444994048,5670000128,52.214,0.01163,0.15008001,5193000000,3544000000,0.374,0.295,0.0,0.0,0.69065005,NOK,
8,Jonsvollsgaten 2,Bergen,5011,Norway,47 91 50 55 55,47 55 21 73 50,https://www.spv.no,Banks—Regional,Financial Services,"Sparebanken Vest, a financial services company, provides banking and financing services in the counties of Vestland and Rogaland, Norway. The company operates through Corporate Market, Retail Market, Bulder Bank, Treasury, and Estate Agency Activities segments. It is also involved in home mortgage activities. The company was founded in 1823 and is headquartered in Bergen, Norway.",765,"{'maxAge': 1, 'name': 'Ms. Siren  Sundland', 'age': 51, 'title': 'Exec. VP and Head of Strategy & Digital Distribution', 'yearBorn': 1971, 'fiscalYear': 2020, 'totalPay': 303598, 'exercisedValue': 0, 'unexercisedValue': 0}",10,10,6,1,10,1693526400,1609372800,86400,2,9.2311,9.2311,9.2311,9.2311,9.2311,9.2311,9.2311,9.2311,0.26,0.028099999,1679529600,0.26569998,0.791666,9.615729,4500,4500,0,0,0,1113713792,9.2311,9.2311,0.19642217,9.2311,9.2311,5.5,0.59581196,USD,132658192384,0.55591,57907360,109450000,0.32326,0.28295,188.481,0.048976287,1672444800,1703980800,1688083200,0.388,1240999936,0.96,23.397,PNK,EQUITY,SPIZF,SPIZF,SPAREBANKEN VEST,Sparebanken Vest,1349703000,America/New_York,EDT,-14400000,9.2311,none,7799000064,71.126,139444994048,5670000128,52.214,0.01163,0.15008001,5193000000,3544000000,0.374,0.295,0.0,0.0,0.69065005,NOK,
9,Jonsvollsgaten 2,Bergen,5011,Norway,47 91 50 55 55,47 55 21 73 50,https://www.spv.no,Banks—Regional,Financial Services,"Sparebanken Vest, a financial services company, provides banking and financing services in the counties of Vestland and Rogaland, Norway. The company operates through Corporate Market, Retail Market, Bulder Bank, Treasury, and Estate Agency Activities segments. It is also involved in home mortgage activities. The company was founded in 1823 and is headquartered in Bergen, Norway.",765,"{'maxAge': 1, 'name': 'Mr. Jan-Stale  Hatlebakk', 'age': 48, 'title': 'Exec. VP, Head of Risk Management & CRO', 'yearBorn': 1974, 'fiscalYear': 2020, 'totalPay': 239127, 'exercisedValue': 0, 'unexercisedValue': 0}",10,10,6,1,10,1693526400,1609372800,86400,2,9.2311,9.2311,9.2311,9.2311,9.2311,9.2311,9.2311,9.2311,0.26,0.028099999,1679529600,0.26569998,0.791666,9.615729,4500,4500,0,0,0,1113713792,9.2311,9.2311,0.19642217,9.2311,9.2311,5.5,0.59581196,USD,132658192384,0.55591,57907360,109450000,0.32326,0.28295,188.481,0.048976287,1672444800,1703980800,1688083200,0.388,1240999936,0.96,23.397,PNK,EQUITY,SPIZF,SPIZF,SPAREBANKEN VEST,Sparebanken Vest,1349703000,America/New_York,EDT,-14400000,9.2311,none,7799000064,71.126,139444994048,5670000128,52.214,0.01163,0.15008001,5193000000,3544000000,0.374,0.295,0.0,0.0,0.69065005,NOK,
