,address1,city,state,zip,country,phone,industry,sector,longBusinessSummary,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalDebt,currentRatio,totalRevenue,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,224 Datura Street #1015,West Palm Beach,FL,33401,United States,561-570-4301,Beverages—Wineries & Distilleries,Consumer Defensive,"South Beach Spirits, Inc. focuses on development, manufacture, marketing, and sale of alcoholic beverages. The company was formerly known as CME Realty, Inc. and changed its name to South Beach Spirits, Inc. in September 2015. South Beach Spirits, Inc. was incorporated in 2012 and is based in West Palm Beach, Florida.","{'maxAge': 1, 'name': 'Daniel  Sobolewski', 'title': 'Interim CEO, Pres & Director', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.0001,0.0002,0.0001,0.0001,0.0001,0.0002,0.0001,0.0001,0.0,69.67531,4000000,4000000,961179,900000,900000,0.0,0.0,0,0,213696,0.0001,0.001,1.7995453,0.000326,0.000394,0.0,0.0,USD,558145,-0.44224,957447721,814081024,0.058330003,0.0,0.0,1519776000,1551312000,1448841600,-52516,-0.0,5:1,1426550400,4.7,PNK,EQUITY,SBES,SBES,SOUTH BEACH SPIRITS INC,"South Beach Spirits, Inc.",1424356200,America/New_York,EDT,-14400000,0.0001,none,133085,2.333,118750,0.0,-0.09378,-0.36988997,15190,-148870,-168563,0.12791,0.0,-0.44224,USD,
1,224 Datura Street #1015,West Palm Beach,FL,33401,United States,561-570-4301,Beverages—Wineries & Distilleries,Consumer Defensive,"South Beach Spirits, Inc. focuses on development, manufacture, marketing, and sale of alcoholic beverages. The company was formerly known as CME Realty, Inc. and changed its name to South Beach Spirits, Inc. in September 2015. South Beach Spirits, Inc. was incorporated in 2012 and is based in West Palm Beach, Florida.","{'maxAge': 1, 'name': 'Mr. Vincent T. Prince CPA', 'title': 'CFO & Director', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.0001,0.0002,0.0001,0.0001,0.0001,0.0002,0.0001,0.0001,0.0,69.67531,4000000,4000000,961179,900000,900000,0.0,0.0,0,0,213696,0.0001,0.001,1.7995453,0.000326,0.000394,0.0,0.0,USD,558145,-0.44224,957447721,814081024,0.058330003,0.0,0.0,1519776000,1551312000,1448841600,-52516,-0.0,5:1,1426550400,4.7,PNK,EQUITY,SBES,SBES,SOUTH BEACH SPIRITS INC,"South Beach Spirits, Inc.",1424356200,America/New_York,EDT,-14400000,0.0001,none,133085,2.333,118750,0.0,-0.09378,-0.36988997,15190,-148870,-168563,0.12791,0.0,-0.44224,USD,
