,address1,address2,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,1166 Alberni Street,Suite 1203,Vancouver,BC,V6E 3Z3,Canada,604 681 8556,604 687 5995,https://www.pacificbooker.com,Other Industrial Metals & Mining,Basic Materials,"Pacific Booker Minerals Inc. engages in the exploration of mineral properties in Canada. The company primarily explores for copper, gold, and molybdenum deposits. It holds interests in the Morrison property located in British Columbia. The company was formerly known as Booker Gold Explorations Limited and changed its name to Pacific Booker Minerals Inc. in February 2000. Pacific Booker Minerals Inc. was incorporated in 1983 and is headquartered in Vancouver, Canada.","{'maxAge': 1, 'name': 'Mr. John Joseph Plourde', 'age': 79, 'title': 'Pres, CEO & Director', 'yearBorn': 1943, 'fiscalYear': 2023, 'totalPay': 132000, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,4,0.55,0.61,0.58,0.61,0.55,0.61,0.58,0.61,0.0,-0.174535,1500,1500,3132,2480,2480,0.58,0.61,0,0,9753860,0.49,1.69,0.5986,0.69505,0.0,0.0,CAD,9350109,0.0,15438818,16817000,6916,263,1690761600,1693440000,0.0004,0.07893,0.0,1.94,0.0004,0.043,13.488371,1675123200,1706659200,1682812800,-901191,-0.05,1:5,949968000,-13.725,VAN,EQUITY,BKM.V,BKM.V,Pacific Booker Minerals Inc.,Pacific Booker Minerals Inc.,839511000,America/Toronto,EDT,-14400000,0.58,none,403733,0.024,-681237,0,8.65,9.325,-0.42598,-0.93466,-164032,-459714,0.0,0.0,0.0,CAD,
1,1166 Alberni Street,Suite 1203,Vancouver,BC,V6E 3Z3,Canada,604 681 8556,604 687 5995,https://www.pacificbooker.com,Other Industrial Metals & Mining,Basic Materials,"Pacific Booker Minerals Inc. engages in the exploration of mineral properties in Canada. The company primarily explores for copper, gold, and molybdenum deposits. It holds interests in the Morrison property located in British Columbia. The company was formerly known as Booker Gold Explorations Limited and changed its name to Pacific Booker Minerals Inc. in February 2000. Pacific Booker Minerals Inc. was incorporated in 1983 and is headquartered in Vancouver, Canada.","{'maxAge': 1, 'name': 'Ms. Ruth  Swan', 'age': 66, 'title': 'Corp. Sec. & CFO', 'yearBorn': 1956, 'fiscalYear': 2023, 'totalPay': 41787, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,4,0.55,0.61,0.58,0.61,0.55,0.61,0.58,0.61,0.0,-0.174535,1500,1500,3132,2480,2480,0.58,0.61,0,0,9753860,0.49,1.69,0.5986,0.69505,0.0,0.0,CAD,9350109,0.0,15438818,16817000,6916,263,1690761600,1693440000,0.0004,0.07893,0.0,1.94,0.0004,0.043,13.488371,1675123200,1706659200,1682812800,-901191,-0.05,1:5,949968000,-13.725,VAN,EQUITY,BKM.V,BKM.V,Pacific Booker Minerals Inc.,Pacific Booker Minerals Inc.,839511000,America/Toronto,EDT,-14400000,0.58,none,403733,0.024,-681237,0,8.65,9.325,-0.42598,-0.93466,-164032,-459714,0.0,0.0,0.0,CAD,
