,address1,city,zip,country,phone,fax,website,industry,industryDisp,sector,sectorDisp,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,fiveYearAvgDividendYield,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,10 Queens Terrace,Aberdeen,AB10 1XL,United Kingdom,44 1224631999,44 1224647010,https://www.aberdeenacp.com/,Asset Management,Asset Management,Financial Services,Financial Services,"Abrdn Income Credit Strategies Fund is a closed-ended fixed income fund launched and managed by Aberdeen Asset Managers Limited. It is co-managed by Aberdeen Standard Investments Inc. The fund invests in fixed income markets across the globe. It seeks to invest primarily in loan and debt instruments. Abrdn Income Credit Strategies Fund was formed on October 12, 2010 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. Randolph Scott Takian', 'age': 47, 'title': 'Chief Exec. Officer, Pres and Interested Trustee', 'yearBorn': 1975, 'fiscalYear': 2013, 'totalPay': 0, 'exercisedValue': 0, 'unexercisedValue': 0}",1388448000,86400,2,7.07,7.07,7.05,7.1,7.07,7.07,7.05,7.1,1.2,0.17,1695254400,13.75,0.991701,127636,127636,268038,195100,195100,7.05,7.1,1200,800,367653728,6.01,8.63,11.5339365,6.931,7.0258,1.2,0.16973126,USD,500511040,-0.34649,52075600,263819,268111,1690761600,1693440000,0.0050999997,2.0000001e-05,0.30636,1.05,52075600,7.034,1.0036963,1667174400,1698710400,1682812800,-13138967,-0.52,1021:1000,1621382400,15.702,-0.11970073,0.14113986,0.1,1692748800,NYQ,EQUITY,ACP,ACP,Aberdeen Income Credit Strategi,Abrdn Income Credit Strategies Fund,1296138600,America/New_York,EDT,03657832-9f45-39e4-a7be-59eb39666009,finmb_114703395,-14400000,7.06,none,12142405,0.233,105000000,0.243,0.244,31875824,25.841,0.612,0.03767,-0.03353,28515046,26421140,-147968288,0.231,1.0,0.0,0.84342,USD,
1,10 Queens Terrace,Aberdeen,AB10 1XL,United Kingdom,44 1224631999,44 1224647010,https://www.aberdeenacp.com/,Asset Management,Asset Management,Financial Services,Financial Services,"Abrdn Income Credit Strategies Fund is a closed-ended fixed income fund launched and managed by Aberdeen Asset Managers Limited. It is co-managed by Aberdeen Standard Investments Inc. The fund invests in fixed income markets across the globe. It seeks to invest primarily in loan and debt instruments. Abrdn Income Credit Strategies Fund was formed on October 12, 2010 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. Jeffrey J. Gary CPA', 'age': 59, 'title': 'Portfolio Mang.', 'yearBorn': 1963, 'exercisedValue': 0, 'unexercisedValue': 0}",1388448000,86400,2,7.07,7.07,7.05,7.1,7.07,7.07,7.05,7.1,1.2,0.17,1695254400,13.75,0.991701,127636,127636,268038,195100,195100,7.05,7.1,1200,800,367653728,6.01,8.63,11.5339365,6.931,7.0258,1.2,0.16973126,USD,500511040,-0.34649,52075600,263819,268111,1690761600,1693440000,0.0050999997,2.0000001e-05,0.30636,1.05,52075600,7.034,1.0036963,1667174400,1698710400,1682812800,-13138967,-0.52,1021:1000,1621382400,15.702,-0.11970073,0.14113986,0.1,1692748800,NYQ,EQUITY,ACP,ACP,Aberdeen Income Credit Strategi,Abrdn Income Credit Strategies Fund,1296138600,America/New_York,EDT,03657832-9f45-39e4-a7be-59eb39666009,finmb_114703395,-14400000,7.06,none,12142405,0.233,105000000,0.243,0.244,31875824,25.841,0.612,0.03767,-0.03353,28515046,26421140,-147968288,0.231,1.0,0.0,0.84342,USD,
