,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,850 West Hastings Street,Suite 310,Vancouver,BC,V6C 1E1,Canada,844-806-7313,https://www.selectsands.com,Other Industrial Metals & Mining,Basic Materials,"Select Sands Corp., together with its subsidiaries, engages in quarrying and producing silica sand. The company holds interest in the Sandtown project located in northeast Arkansas, the United States. It sells its products to industrial and energy customers. The company was formerly known as La Ronge Gold Corp. and changed its name to Select Sands Corp. in November 2014. Select Sands Corp. was incorporated in 2006 and is based in Vancouver, Canada.","{'maxAge': 1, 'name': 'Mr. Zigurds R. Vitols', 'title': 'Pres, CEO & Director', 'fiscalYear': 2022, 'totalPay': 197733, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.0,1.803051,3,3,9112,300,300,0.02,0.025,0,0,2214082,0.02,0.065,0.1158755,0.0249,0.039925,0.0,0.0,CAD,14247297,-0.12234,85532679,88563296,10101,30425,1684108800,1686787200,0.0001,0.03474,0.0,0.19,0.051,0.4901961,1672444800,1703980800,1688083200,-2337647,-0.04,1:10,1287705600,0.746,-53.169,VAN,EQUITY,SNS.V,SNS.V,SELECT SANDS CORP,Select Sands Corp.,1326724200,America/Toronto,EDT,-14400000,0.025,none,536722,0.006,-267963,12569936,0.171,0.961,19107422,275.627,0.216,-0.044650003,-0.40735,1088694,470819,-0.402,0.082200006,-0.01402,-0.07199,USD,
1,850 West Hastings Street,Suite 310,Vancouver,BC,V6C 1E1,Canada,844-806-7313,https://www.selectsands.com,Other Industrial Metals & Mining,Basic Materials,"Select Sands Corp., together with its subsidiaries, engages in quarrying and producing silica sand. The company holds interest in the Sandtown project located in northeast Arkansas, the United States. It sells its products to industrial and energy customers. The company was formerly known as La Ronge Gold Corp. and changed its name to Select Sands Corp. in November 2014. Select Sands Corp. was incorporated in 2006 and is based in Vancouver, Canada.","{'maxAge': 1, 'name': 'Mr. Darren Charles Urquhart B.A.Sc., C.A., C.P.A., CPA', 'age': 50, 'title': 'Chief Financial Officer', 'yearBorn': 1972, 'fiscalYear': 2022, 'totalPay': 64561, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.0,1.803051,3,3,9112,300,300,0.02,0.025,0,0,2214082,0.02,0.065,0.1158755,0.0249,0.039925,0.0,0.0,CAD,14247297,-0.12234,85532679,88563296,10101,30425,1684108800,1686787200,0.0001,0.03474,0.0,0.19,0.051,0.4901961,1672444800,1703980800,1688083200,-2337647,-0.04,1:10,1287705600,0.746,-53.169,VAN,EQUITY,SNS.V,SNS.V,SELECT SANDS CORP,Select Sands Corp.,1326724200,America/Toronto,EDT,-14400000,0.025,none,536722,0.006,-267963,12569936,0.171,0.961,19107422,275.627,0.216,-0.044650003,-0.40735,1088694,470819,-0.402,0.082200006,-0.01402,-0.07199,USD,
