,address1,city,state,zip,country,phone,industry,sector,longBusinessSummary,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,returnOnAssets,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,5701 South Santa Fe Drive,Littleton,CO,80120,United States,303 472 1542,Shell Companies,Financial Services,"CONX Corp. does not have significant operations. The company focuses on effecting a merger, capital stock exchange, asset acquisition, stock purchase, reorganization, or similar business combination with one or more businesses or assets. It intends to focus its search on identifying a prospective target operating in the technology, media, and telecommunications industries, including wireless communications industry. The company was incorporated in 2020 and is based in Littleton, Colorado.","{'maxAge': 1, 'name': 'Mr. Charles William Ergen', 'age': 69, 'title': 'Founder & Chairman', 'yearBorn': 1953, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,10.42,10.44,10.42,10.585,10.42,10.44,10.42,10.585,0.0,-0.00867,2532,2532,1730,1220,1220,4.24,16.88,800,2200,224018672,9.92,10.88,10.3333,10.196515,0.0,0.0,USD,225414336,0.0,2698314,2728260,14881,12704,1690761600,1693440000,0.0007,0.011,1.3522999,9.32,0.0052,-1.621,1672444800,1703980800,1688083200,1077877,-0.01,1:5,1011052800,NCM,EQUITY,CONX,CONX,CONX Corp.,CONX Corp.,1608561000,America/New_York,EDT,-14400000,10.43,none,130639,0.006,1526704,0.053,0.071,-0.00191,-231834,-1760474,0.0,0.0,0.0,USD,
1,5701 South Santa Fe Drive,Littleton,CO,80120,United States,303 472 1542,Shell Companies,Financial Services,"CONX Corp. does not have significant operations. The company focuses on effecting a merger, capital stock exchange, asset acquisition, stock purchase, reorganization, or similar business combination with one or more businesses or assets. It intends to focus its search on identifying a prospective target operating in the technology, media, and telecommunications industries, including wireless communications industry. The company was incorporated in 2020 and is based in Littleton, Colorado.","{'maxAge': 1, 'name': 'Mr. Kyle Jason Kiser', 'age': 56, 'title': 'CEO, Sec. & Director', 'yearBorn': 1966, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,10.42,10.44,10.42,10.585,10.42,10.44,10.42,10.585,0.0,-0.00867,2532,2532,1730,1220,1220,4.24,16.88,800,2200,224018672,9.92,10.88,10.3333,10.196515,0.0,0.0,USD,225414336,0.0,2698314,2728260,14881,12704,1690761600,1693440000,0.0007,0.011,1.3522999,9.32,0.0052,-1.621,1672444800,1703980800,1688083200,1077877,-0.01,1:5,1011052800,NCM,EQUITY,CONX,CONX,CONX Corp.,CONX Corp.,1608561000,America/New_York,EDT,-14400000,10.43,none,130639,0.006,1526704,0.053,0.071,-0.00191,-231834,-1760474,0.0,0.0,0.0,USD,
