,address1,address2,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,payoutRatio,beta,averageVolume,averageVolume10days,averageDailyVolume10Day,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,currency,profitMargins,heldPercentInsiders,heldPercentInstitutions,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,exchange,quoteType,symbol,underlyingSymbol,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,ebitda,totalDebt,totalRevenue,grossProfits,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,"Pada No. 3, Balkum",Thane West,Mumbai,400608,India,91 22 2542 6356,91 22 2534 0241,https://www.jik.co.in,"Furnishings, Fixtures & Appliances",Consumer Cyclical,"JIK Industries Limited, together with its subsidiaries, operates as a general trading company in India. The company offers hospitality products, such as glassware, ceramics, bone china, porcelain, stoneware opal, melamine, SS cutlery, and kitchenware. It offers utility products, such as glasses/tumblers, stemware/wine goblets, beer glasses/mugs, decanters, jars/jugs, bowls, plates/dishes, ashtrays/coasters, napkin rings and holders, and ice buckets. The company also provides decorative products, including trophies, rocks, flowers/trees, vases, clocks, paper weights, candle holders, pendants, and art pieces, as well as figurines of birds, animals, fruits, and vegetables. The company was formerly known as Krishna Finstock Pvt. Ltd. JIK Industries Limited was incorporated in 1990 and is based in Mumbai, India.","{'maxAge': 1, 'name': 'Mr. Rajendra Gulabrai Parikh', 'title': 'Exec. Chairman, CEO', 'fiscalYear': 2022, 'totalPay': 540000, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.0,0.649601,0,0,0,0.63,0.82,0.63,0.6609,0.0,INR,-0.53109,0.49366,0.0,1680220800,1711843200,1688083200,-3049000,-0.03,BSE,EQUITY,JIKIND.BO,JIKIND.BO,JIK Industries Limited,1025495100,Asia/Kolkata,IST,19800000,0.63,none,224000,-576250,71016000,5741000,11775000,9.494,0.99025,-0.10037,-0.53126997,INR,
1,"Pada No. 3, Balkum",Thane West,Mumbai,400608,India,91 22 2542 6356,91 22 2534 0241,https://www.jik.co.in,"Furnishings, Fixtures & Appliances",Consumer Cyclical,"JIK Industries Limited, together with its subsidiaries, operates as a general trading company in India. The company offers hospitality products, such as glassware, ceramics, bone china, porcelain, stoneware opal, melamine, SS cutlery, and kitchenware. It offers utility products, such as glasses/tumblers, stemware/wine goblets, beer glasses/mugs, decanters, jars/jugs, bowls, plates/dishes, ashtrays/coasters, napkin rings and holders, and ice buckets. The company also provides decorative products, including trophies, rocks, flowers/trees, vases, clocks, paper weights, candle holders, pendants, and art pieces, as well as figurines of birds, animals, fruits, and vegetables. The company was formerly known as Krishna Finstock Pvt. Ltd. JIK Industries Limited was incorporated in 1990 and is based in Mumbai, India.","{'maxAge': 1, 'name': 'Mr. Kedar Mangesh Latke', 'title': 'Company Sec. & Compliance Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.0,0.649601,0,0,0,0.63,0.82,0.63,0.6609,0.0,INR,-0.53109,0.49366,0.0,1680220800,1711843200,1688083200,-3049000,-0.03,BSE,EQUITY,JIKIND.BO,JIKIND.BO,JIK Industries Limited,1025495100,Asia/Kolkata,IST,19800000,0.63,none,224000,-576250,71016000,5741000,11775000,9.494,0.99025,-0.10037,-0.53126997,INR,
