,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,sharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,1206 West South Jordan Parkway,Unit B,South Jordan,UT,84095,United States,801-566-3000,https://www.piol.com,Oil & Gas Integrated,Energy,"Pioneer Oil and Gas engages in acquiring, developing, producing, and selling oil and gas properties to companies located in the continental United States. The company was founded in 1980 and is based in South Jordan, Utah.","{'maxAge': 1, 'name': 'Mr. Gregg B. Colton', 'age': 69, 'title': 'Chairman, Pres & Treasurer', 'yearBorn': 1953, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,1226534400,0.0,0.262448,4.1250005,2000,2000,2159,200,200,0.0,0.0,0,0,17611440,0.066,0.2,42.46811,0.15032,0.127845,0.0,0.0,USD,467922,0.78832,0,0.243,0.67901236,1475193600,1506729600,1443571200,326915,0.04,1.128,-3.011,PNK,EQUITY,POGS,POGS,PIONEER OIL & GAS,Pioneer Oil and Gas,765466200,America/New_York,EDT,-14400000,0.165,none,465648,0.082,-155385,0,18.623,25.998,414698,0.073,-0.15184,0.27168,395900,-64267,441664,-0.753,0.95467,-0.37469003,-0.73744005,USD,
1,1206 West South Jordan Parkway,Unit B,South Jordan,UT,84095,United States,801-566-3000,https://www.piol.com,Oil & Gas Integrated,Energy,"Pioneer Oil and Gas engages in acquiring, developing, producing, and selling oil and gas properties to companies located in the continental United States. The company was founded in 1980 and is based in South Jordan, Utah.","{'maxAge': 1, 'name': 'Franklin  Adams', 'title': 'Sec. & Controller', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,1226534400,0.0,0.262448,4.1250005,2000,2000,2159,200,200,0.0,0.0,0,0,17611440,0.066,0.2,42.46811,0.15032,0.127845,0.0,0.0,USD,467922,0.78832,0,0.243,0.67901236,1475193600,1506729600,1443571200,326915,0.04,1.128,-3.011,PNK,EQUITY,POGS,POGS,PIONEER OIL & GAS,Pioneer Oil and Gas,765466200,America/New_York,EDT,-14400000,0.165,none,465648,0.082,-155385,0,18.623,25.998,414698,0.073,-0.15184,0.27168,395900,-64267,441664,-0.753,0.95467,-0.37469003,-0.73744005,USD,
