,address1,address2,city,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,totalRevenue,debtToEquity,revenuePerShare,grossProfits,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,NHPC Office Complex,Sector 33,Faridabad,121003,India,91 12 9258 8500,https://www.nhpcindia.com,Utilities—Renewable,Utilities,"NHPC Limited, together with its subsidiaries, generates and sells electricity in India. The company generates electricity through hydro, wind, and solar power stations. It also owns and operates power stations. In addition, the company offers consultancy services in the areas of operation and maintenance, design and engineering, survey and investigations, geotechnical engineering, construction management, and contract management, procurement, project management, supervision, operation and maintenance of power plants, rural road projects and rural electrification projects. Further, it is involved in construction contract services, as well as trades in power. The company sells electricity to bulk customers that include electricity utilities owned by state governments/private distribution companies. NHPC Limited was incorporated in 1975 and is based in Faridabad, India.",4380,"{'maxAge': 1, 'name': 'Mr. Rajeev Kumar Vishnoi', 'age': 55, 'title': 'MD & Chairman', 'yearBorn': 1967, 'fiscalYear': 2023, 'totalPay': 0, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,55.9,56.5,54.1,56.6,55.9,56.5,54.1,56.6,1.85,0.033800002,1692662400,0.48450002,5.8,0.23371,13.979591,12.454545,56744944,56744944,24958883,63749380,63749380,0.0,0.0,0,0,550465961984,34.05,56.85,5.152545,50.007,44.076,0.0,0.0,INR,889744719872,0.36389,2874487160,10044999680,0.72546,0.19859,36.734,1.4918059,1680220800,1711843200,1688083200,-0.002,38875299840,3.92,4.4,8.328,13.809,NSI,EQUITY,NHPC.NS,NHPC.NS,NHPC LTD,NHPC Limited,1251776700,Asia/Kolkata,IST,19800000,54.8,63.0,45.0,53.86,52.3,1.1,strong_buy,10,24444899328,2.434,64433975296,315570388992,106833797120,75.65,10.642,92876600000,46922301440,0.0,-0.01,0.85335,0.60312,0.4975,INR,
1,NHPC Office Complex,Sector 33,Faridabad,121003,India,91 12 9258 8500,https://www.nhpcindia.com,Utilities—Renewable,Utilities,"NHPC Limited, together with its subsidiaries, generates and sells electricity in India. The company generates electricity through hydro, wind, and solar power stations. It also owns and operates power stations. In addition, the company offers consultancy services in the areas of operation and maintenance, design and engineering, survey and investigations, geotechnical engineering, construction management, and contract management, procurement, project management, supervision, operation and maintenance of power plants, rural road projects and rural electrification projects. Further, it is involved in construction contract services, as well as trades in power. The company sells electricity to bulk customers that include electricity utilities owned by state governments/private distribution companies. NHPC Limited was incorporated in 1975 and is based in Faridabad, India.",4380,"{'maxAge': 1, 'name': 'Mr. Rajendra Prasad Goyal', 'age': 57, 'title': 'CFO, Director of Fin. & Personnel and Director', 'yearBorn': 1965, 'fiscalYear': 2023, 'totalPay': 9051346, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,55.9,56.5,54.1,56.6,55.9,56.5,54.1,56.6,1.85,0.033800002,1692662400,0.48450002,5.8,0.23371,13.979591,12.454545,56744944,56744944,24958883,63749380,63749380,0.0,0.0,0,0,550465961984,34.05,56.85,5.152545,50.007,44.076,0.0,0.0,INR,889744719872,0.36389,2874487160,10044999680,0.72546,0.19859,36.734,1.4918059,1680220800,1711843200,1688083200,-0.002,38875299840,3.92,4.4,8.328,13.809,NSI,EQUITY,NHPC.NS,NHPC.NS,NHPC LTD,NHPC Limited,1251776700,Asia/Kolkata,IST,19800000,54.8,63.0,45.0,53.86,52.3,1.1,strong_buy,10,24444899328,2.434,64433975296,315570388992,106833797120,75.65,10.642,92876600000,46922301440,0.0,-0.01,0.85335,0.60312,0.4975,INR,
2,NHPC Office Complex,Sector 33,Faridabad,121003,India,91 12 9258 8500,https://www.nhpcindia.com,Utilities—Renewable,Utilities,"NHPC Limited, together with its subsidiaries, generates and sells electricity in India. The company generates electricity through hydro, wind, and solar power stations. It also owns and operates power stations. In addition, the company offers consultancy services in the areas of operation and maintenance, design and engineering, survey and investigations, geotechnical engineering, construction management, and contract management, procurement, project management, supervision, operation and maintenance of power plants, rural road projects and rural electrification projects. Further, it is involved in construction contract services, as well as trades in power. The company sells electricity to bulk customers that include electricity utilities owned by state governments/private distribution companies. NHPC Limited was incorporated in 1975 and is based in Faridabad, India.",4380,"{'maxAge': 1, 'name': 'Mr. Yamuna Kumar Chaubey', 'age': 59, 'title': 'Director of Technical', 'yearBorn': 1963, 'fiscalYear': 2023, 'totalPay': 11143370, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,55.9,56.5,54.1,56.6,55.9,56.5,54.1,56.6,1.85,0.033800002,1692662400,0.48450002,5.8,0.23371,13.979591,12.454545,56744944,56744944,24958883,63749380,63749380,0.0,0.0,0,0,550465961984,34.05,56.85,5.152545,50.007,44.076,0.0,0.0,INR,889744719872,0.36389,2874487160,10044999680,0.72546,0.19859,36.734,1.4918059,1680220800,1711843200,1688083200,-0.002,38875299840,3.92,4.4,8.328,13.809,NSI,EQUITY,NHPC.NS,NHPC.NS,NHPC LTD,NHPC Limited,1251776700,Asia/Kolkata,IST,19800000,54.8,63.0,45.0,53.86,52.3,1.1,strong_buy,10,24444899328,2.434,64433975296,315570388992,106833797120,75.65,10.642,92876600000,46922301440,0.0,-0.01,0.85335,0.60312,0.4975,INR,
3,NHPC Office Complex,Sector 33,Faridabad,121003,India,91 12 9258 8500,https://www.nhpcindia.com,Utilities—Renewable,Utilities,"NHPC Limited, together with its subsidiaries, generates and sells electricity in India. The company generates electricity through hydro, wind, and solar power stations. It also owns and operates power stations. In addition, the company offers consultancy services in the areas of operation and maintenance, design and engineering, survey and investigations, geotechnical engineering, construction management, and contract management, procurement, project management, supervision, operation and maintenance of power plants, rural road projects and rural electrification projects. Further, it is involved in construction contract services, as well as trades in power. The company sells electricity to bulk customers that include electricity utilities owned by state governments/private distribution companies. NHPC Limited was incorporated in 1975 and is based in Faridabad, India.",4380,"{'maxAge': 1, 'name': 'Mr. Biswajit  Basu', 'age': 59, 'title': 'Director of Projects & Director', 'yearBorn': 1963, 'fiscalYear': 2023, 'totalPay': 7062167, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,55.9,56.5,54.1,56.6,55.9,56.5,54.1,56.6,1.85,0.033800002,1692662400,0.48450002,5.8,0.23371,13.979591,12.454545,56744944,56744944,24958883,63749380,63749380,0.0,0.0,0,0,550465961984,34.05,56.85,5.152545,50.007,44.076,0.0,0.0,INR,889744719872,0.36389,2874487160,10044999680,0.72546,0.19859,36.734,1.4918059,1680220800,1711843200,1688083200,-0.002,38875299840,3.92,4.4,8.328,13.809,NSI,EQUITY,NHPC.NS,NHPC.NS,NHPC LTD,NHPC Limited,1251776700,Asia/Kolkata,IST,19800000,54.8,63.0,45.0,53.86,52.3,1.1,strong_buy,10,24444899328,2.434,64433975296,315570388992,106833797120,75.65,10.642,92876600000,46922301440,0.0,-0.01,0.85335,0.60312,0.4975,INR,
4,NHPC Office Complex,Sector 33,Faridabad,121003,India,91 12 9258 8500,https://www.nhpcindia.com,Utilities—Renewable,Utilities,"NHPC Limited, together with its subsidiaries, generates and sells electricity in India. The company generates electricity through hydro, wind, and solar power stations. It also owns and operates power stations. In addition, the company offers consultancy services in the areas of operation and maintenance, design and engineering, survey and investigations, geotechnical engineering, construction management, and contract management, procurement, project management, supervision, operation and maintenance of power plants, rural road projects and rural electrification projects. Further, it is involved in construction contract services, as well as trades in power. The company sells electricity to bulk customers that include electricity utilities owned by state governments/private distribution companies. NHPC Limited was incorporated in 1975 and is based in Faridabad, India.",4380,"{'maxAge': 1, 'name': 'Mr. Satyendra Nath Upadhyay', 'title': 'Chief Investor Relations Officer & Exec. Director of Fin.', 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,55.9,56.5,54.1,56.6,55.9,56.5,54.1,56.6,1.85,0.033800002,1692662400,0.48450002,5.8,0.23371,13.979591,12.454545,56744944,56744944,24958883,63749380,63749380,0.0,0.0,0,0,550465961984,34.05,56.85,5.152545,50.007,44.076,0.0,0.0,INR,889744719872,0.36389,2874487160,10044999680,0.72546,0.19859,36.734,1.4918059,1680220800,1711843200,1688083200,-0.002,38875299840,3.92,4.4,8.328,13.809,NSI,EQUITY,NHPC.NS,NHPC.NS,NHPC LTD,NHPC Limited,1251776700,Asia/Kolkata,IST,19800000,54.8,63.0,45.0,53.86,52.3,1.1,strong_buy,10,24444899328,2.434,64433975296,315570388992,106833797120,75.65,10.642,92876600000,46922301440,0.0,-0.01,0.85335,0.60312,0.4975,INR,
5,NHPC Office Complex,Sector 33,Faridabad,121003,India,91 12 9258 8500,https://www.nhpcindia.com,Utilities—Renewable,Utilities,"NHPC Limited, together with its subsidiaries, generates and sells electricity in India. The company generates electricity through hydro, wind, and solar power stations. It also owns and operates power stations. In addition, the company offers consultancy services in the areas of operation and maintenance, design and engineering, survey and investigations, geotechnical engineering, construction management, and contract management, procurement, project management, supervision, operation and maintenance of power plants, rural road projects and rural electrification projects. Further, it is involved in construction contract services, as well as trades in power. The company sells electricity to bulk customers that include electricity utilities owned by state governments/private distribution companies. NHPC Limited was incorporated in 1975 and is based in Faridabad, India.",4380,"{'maxAge': 1, 'name': 'Ms. Rupa  Deb', 'title': 'Company Sec. & Compliance Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,55.9,56.5,54.1,56.6,55.9,56.5,54.1,56.6,1.85,0.033800002,1692662400,0.48450002,5.8,0.23371,13.979591,12.454545,56744944,56744944,24958883,63749380,63749380,0.0,0.0,0,0,550465961984,34.05,56.85,5.152545,50.007,44.076,0.0,0.0,INR,889744719872,0.36389,2874487160,10044999680,0.72546,0.19859,36.734,1.4918059,1680220800,1711843200,1688083200,-0.002,38875299840,3.92,4.4,8.328,13.809,NSI,EQUITY,NHPC.NS,NHPC.NS,NHPC LTD,NHPC Limited,1251776700,Asia/Kolkata,IST,19800000,54.8,63.0,45.0,53.86,52.3,1.1,strong_buy,10,24444899328,2.434,64433975296,315570388992,106833797120,75.65,10.642,92876600000,46922301440,0.0,-0.01,0.85335,0.60312,0.4975,INR,
6,NHPC Office Complex,Sector 33,Faridabad,121003,India,91 12 9258 8500,https://www.nhpcindia.com,Utilities—Renewable,Utilities,"NHPC Limited, together with its subsidiaries, generates and sells electricity in India. The company generates electricity through hydro, wind, and solar power stations. It also owns and operates power stations. In addition, the company offers consultancy services in the areas of operation and maintenance, design and engineering, survey and investigations, geotechnical engineering, construction management, and contract management, procurement, project management, supervision, operation and maintenance of power plants, rural road projects and rural electrification projects. Further, it is involved in construction contract services, as well as trades in power. The company sells electricity to bulk customers that include electricity utilities owned by state governments/private distribution companies. NHPC Limited was incorporated in 1975 and is based in Faridabad, India.",4380,"{'maxAge': 1, 'name': 'Mr. A. K. Gupta', 'age': 66, 'title': 'Chief Engineer of Electrical - O&M', 'yearBorn': 1956, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,55.9,56.5,54.1,56.6,55.9,56.5,54.1,56.6,1.85,0.033800002,1692662400,0.48450002,5.8,0.23371,13.979591,12.454545,56744944,56744944,24958883,63749380,63749380,0.0,0.0,0,0,550465961984,34.05,56.85,5.152545,50.007,44.076,0.0,0.0,INR,889744719872,0.36389,2874487160,10044999680,0.72546,0.19859,36.734,1.4918059,1680220800,1711843200,1688083200,-0.002,38875299840,3.92,4.4,8.328,13.809,NSI,EQUITY,NHPC.NS,NHPC.NS,NHPC LTD,NHPC Limited,1251776700,Asia/Kolkata,IST,19800000,54.8,63.0,45.0,53.86,52.3,1.1,strong_buy,10,24444899328,2.434,64433975296,315570388992,106833797120,75.65,10.642,92876600000,46922301440,0.0,-0.01,0.85335,0.60312,0.4975,INR,
7,NHPC Office Complex,Sector 33,Faridabad,121003,India,91 12 9258 8500,https://www.nhpcindia.com,Utilities—Renewable,Utilities,"NHPC Limited, together with its subsidiaries, generates and sells electricity in India. The company generates electricity through hydro, wind, and solar power stations. It also owns and operates power stations. In addition, the company offers consultancy services in the areas of operation and maintenance, design and engineering, survey and investigations, geotechnical engineering, construction management, and contract management, procurement, project management, supervision, operation and maintenance of power plants, rural road projects and rural electrification projects. Further, it is involved in construction contract services, as well as trades in power. The company sells electricity to bulk customers that include electricity utilities owned by state governments/private distribution companies. NHPC Limited was incorporated in 1975 and is based in Faridabad, India.",4380,"{'maxAge': 1, 'name': 'Dr. Kamla  Fartyal', 'title': 'Chief Gen. Mang. of Medical Services', 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,55.9,56.5,54.1,56.6,55.9,56.5,54.1,56.6,1.85,0.033800002,1692662400,0.48450002,5.8,0.23371,13.979591,12.454545,56744944,56744944,24958883,63749380,63749380,0.0,0.0,0,0,550465961984,34.05,56.85,5.152545,50.007,44.076,0.0,0.0,INR,889744719872,0.36389,2874487160,10044999680,0.72546,0.19859,36.734,1.4918059,1680220800,1711843200,1688083200,-0.002,38875299840,3.92,4.4,8.328,13.809,NSI,EQUITY,NHPC.NS,NHPC.NS,NHPC LTD,NHPC Limited,1251776700,Asia/Kolkata,IST,19800000,54.8,63.0,45.0,53.86,52.3,1.1,strong_buy,10,24444899328,2.434,64433975296,315570388992,106833797120,75.65,10.642,92876600000,46922301440,0.0,-0.01,0.85335,0.60312,0.4975,INR,
8,NHPC Office Complex,Sector 33,Faridabad,121003,India,91 12 9258 8500,https://www.nhpcindia.com,Utilities—Renewable,Utilities,"NHPC Limited, together with its subsidiaries, generates and sells electricity in India. The company generates electricity through hydro, wind, and solar power stations. It also owns and operates power stations. In addition, the company offers consultancy services in the areas of operation and maintenance, design and engineering, survey and investigations, geotechnical engineering, construction management, and contract management, procurement, project management, supervision, operation and maintenance of power plants, rural road projects and rural electrification projects. Further, it is involved in construction contract services, as well as trades in power. The company sells electricity to bulk customers that include electricity utilities owned by state governments/private distribution companies. NHPC Limited was incorporated in 1975 and is based in Faridabad, India.",4380,"{'maxAge': 1, 'name': 'Sunita  Singh', 'title': 'Chief Vigilance Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,55.9,56.5,54.1,56.6,55.9,56.5,54.1,56.6,1.85,0.033800002,1692662400,0.48450002,5.8,0.23371,13.979591,12.454545,56744944,56744944,24958883,63749380,63749380,0.0,0.0,0,0,550465961984,34.05,56.85,5.152545,50.007,44.076,0.0,0.0,INR,889744719872,0.36389,2874487160,10044999680,0.72546,0.19859,36.734,1.4918059,1680220800,1711843200,1688083200,-0.002,38875299840,3.92,4.4,8.328,13.809,NSI,EQUITY,NHPC.NS,NHPC.NS,NHPC LTD,NHPC Limited,1251776700,Asia/Kolkata,IST,19800000,54.8,63.0,45.0,53.86,52.3,1.1,strong_buy,10,24444899328,2.434,64433975296,315570388992,106833797120,75.65,10.642,92876600000,46922301440,0.0,-0.01,0.85335,0.60312,0.4975,INR,
9,NHPC Office Complex,Sector 33,Faridabad,121003,India,91 12 9258 8500,https://www.nhpcindia.com,Utilities—Renewable,Utilities,"NHPC Limited, together with its subsidiaries, generates and sells electricity in India. The company generates electricity through hydro, wind, and solar power stations. It also owns and operates power stations. In addition, the company offers consultancy services in the areas of operation and maintenance, design and engineering, survey and investigations, geotechnical engineering, construction management, and contract management, procurement, project management, supervision, operation and maintenance of power plants, rural road projects and rural electrification projects. Further, it is involved in construction contract services, as well as trades in power. The company sells electricity to bulk customers that include electricity utilities owned by state governments/private distribution companies. NHPC Limited was incorporated in 1975 and is based in Faridabad, India.",4380,"{'maxAge': 1, 'name': 'Mr. V. R. Shrivastava', 'title': 'ED of Planning & BR Head', 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,55.9,56.5,54.1,56.6,55.9,56.5,54.1,56.6,1.85,0.033800002,1692662400,0.48450002,5.8,0.23371,13.979591,12.454545,56744944,56744944,24958883,63749380,63749380,0.0,0.0,0,0,550465961984,34.05,56.85,5.152545,50.007,44.076,0.0,0.0,INR,889744719872,0.36389,2874487160,10044999680,0.72546,0.19859,36.734,1.4918059,1680220800,1711843200,1688083200,-0.002,38875299840,3.92,4.4,8.328,13.809,NSI,EQUITY,NHPC.NS,NHPC.NS,NHPC LTD,NHPC Limited,1251776700,Asia/Kolkata,IST,19800000,54.8,63.0,45.0,53.86,52.3,1.1,strong_buy,10,24444899328,2.434,64433975296,315570388992,106833797120,75.65,10.642,92876600000,46922301440,0.0,-0.01,0.85335,0.60312,0.4975,INR,
