,address1,address2,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Level 20,No. 1 Martin Place,Sydney,NSW,2000,Australia,61-2-86519000,61-2-92214655,https://www.charterhall.com.au,Real Estate—Diversified,Real Estate,"Charter Hall is one of Australia's leading fully integrated property investment and funds management groups. We use our expertise to access, deploy, manage and invest equity to create value and generate superior returns for our investor customers. We've curated a diverse portfolio of high-quality properties across our core sectors  Office, Industrial & Logistics, Retail and Social Infrastructure. With partnerships and financial discipline at the heart of our approach, we create and invest in places that support our customers, people and communities grow.","{'maxAge': 1, 'name': 'Mr. David William Harrison', 'age': 56, 'title': 'MD, Group CEO & Director', 'yearBorn': 1966, 'fiscalYear': 2023, 'totalPay': 4063499, 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,8,1,3,1693526400,1703980800,86400,2,10.25,10.45,10.33,10.51,10.25,10.45,10.33,10.51,0.43,0.041199997,1687996800,1.0452,3.15,1.189939,25.292683,11.91954,2282293,2282293,1648762,1427159,1427159,10.37,10.38,0,0,4904978944,10.07,15.37,6.228544,10.7998,11.7486,0.425,0.041463416,AUD,5057288704,0.24901,465805750,472996992,0.03663,0.55707,6.882,1.5068294,1688083200,1719705600,1688083200,196100000,0.41,0.87,-1.91,1:4,1289520000,6.422,14.068,ASX,EQUITY,CHC.AX,CHC.AX,CHARTER HG STP FORUS,Charter Hall Group,1118361600,Australia/Sydney,AEST,36000000,10.37,15.45,11.36,13.25,13.3,2.3,buy,11,406200000,0.865,359500000,515300000,2.137,2.247,787500032,15.83,1.665,0.05287,0.05992,327887000,187289152,337300000,-0.674,0.52863,0.45651,0.44394,AUD,
1,Level 20,No. 1 Martin Place,Sydney,NSW,2000,Australia,61-2-86519000,61-2-92214655,https://www.charterhall.com.au,Real Estate—Diversified,Real Estate,"Charter Hall is one of Australia's leading fully integrated property investment and funds management groups. We use our expertise to access, deploy, manage and invest equity to create value and generate superior returns for our investor customers. We've curated a diverse portfolio of high-quality properties across our core sectors  Office, Industrial & Logistics, Retail and Social Infrastructure. With partnerships and financial discipline at the heart of our approach, we create and invest in places that support our customers, people and communities grow.","{'maxAge': 1, 'name': 'Mr. Russell T. Proutt BComm CA CBV', 'title': 'Chief Financial Officer', 'fiscalYear': 2023, 'totalPay': 1971377, 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,8,1,3,1693526400,1703980800,86400,2,10.25,10.45,10.33,10.51,10.25,10.45,10.33,10.51,0.43,0.041199997,1687996800,1.0452,3.15,1.189939,25.292683,11.91954,2282293,2282293,1648762,1427159,1427159,10.37,10.38,0,0,4904978944,10.07,15.37,6.228544,10.7998,11.7486,0.425,0.041463416,AUD,5057288704,0.24901,465805750,472996992,0.03663,0.55707,6.882,1.5068294,1688083200,1719705600,1688083200,196100000,0.41,0.87,-1.91,1:4,1289520000,6.422,14.068,ASX,EQUITY,CHC.AX,CHC.AX,CHARTER HG STP FORUS,Charter Hall Group,1118361600,Australia/Sydney,AEST,36000000,10.37,15.45,11.36,13.25,13.3,2.3,buy,11,406200000,0.865,359500000,515300000,2.137,2.247,787500032,15.83,1.665,0.05287,0.05992,327887000,187289152,337300000,-0.674,0.52863,0.45651,0.44394,AUD,
2,Level 20,No. 1 Martin Place,Sydney,NSW,2000,Australia,61-2-86519000,61-2-92214655,https://www.charterhall.com.au,Real Estate—Diversified,Real Estate,"Charter Hall is one of Australia's leading fully integrated property investment and funds management groups. We use our expertise to access, deploy, manage and invest equity to create value and generate superior returns for our investor customers. We've curated a diverse portfolio of high-quality properties across our core sectors  Office, Industrial & Logistics, Retail and Social Infrastructure. With partnerships and financial discipline at the heart of our approach, we create and invest in places that support our customers, people and communities grow.","{'maxAge': 1, 'name': 'Mr. Sean Thomas Patrick McMahon', 'title': 'Chief Investment Officer', 'fiscalYear': 2023, 'totalPay': 2107246, 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,8,1,3,1693526400,1703980800,86400,2,10.25,10.45,10.33,10.51,10.25,10.45,10.33,10.51,0.43,0.041199997,1687996800,1.0452,3.15,1.189939,25.292683,11.91954,2282293,2282293,1648762,1427159,1427159,10.37,10.38,0,0,4904978944,10.07,15.37,6.228544,10.7998,11.7486,0.425,0.041463416,AUD,5057288704,0.24901,465805750,472996992,0.03663,0.55707,6.882,1.5068294,1688083200,1719705600,1688083200,196100000,0.41,0.87,-1.91,1:4,1289520000,6.422,14.068,ASX,EQUITY,CHC.AX,CHC.AX,CHARTER HG STP FORUS,Charter Hall Group,1118361600,Australia/Sydney,AEST,36000000,10.37,15.45,11.36,13.25,13.3,2.3,buy,11,406200000,0.865,359500000,515300000,2.137,2.247,787500032,15.83,1.665,0.05287,0.05992,327887000,187289152,337300000,-0.674,0.52863,0.45651,0.44394,AUD,
3,Level 20,No. 1 Martin Place,Sydney,NSW,2000,Australia,61-2-86519000,61-2-92214655,https://www.charterhall.com.au,Real Estate—Diversified,Real Estate,"Charter Hall is one of Australia's leading fully integrated property investment and funds management groups. We use our expertise to access, deploy, manage and invest equity to create value and generate superior returns for our investor customers. We've curated a diverse portfolio of high-quality properties across our core sectors  Office, Industrial & Logistics, Retail and Social Infrastructure. With partnerships and financial discipline at the heart of our approach, we create and invest in places that support our customers, people and communities grow.","{'maxAge': 1, 'name': 'Mr. David John Southon', 'age': 56, 'title': 'Founder', 'yearBorn': 1966, 'fiscalYear': 2017, 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,8,1,3,1693526400,1703980800,86400,2,10.25,10.45,10.33,10.51,10.25,10.45,10.33,10.51,0.43,0.041199997,1687996800,1.0452,3.15,1.189939,25.292683,11.91954,2282293,2282293,1648762,1427159,1427159,10.37,10.38,0,0,4904978944,10.07,15.37,6.228544,10.7998,11.7486,0.425,0.041463416,AUD,5057288704,0.24901,465805750,472996992,0.03663,0.55707,6.882,1.5068294,1688083200,1719705600,1688083200,196100000,0.41,0.87,-1.91,1:4,1289520000,6.422,14.068,ASX,EQUITY,CHC.AX,CHC.AX,CHARTER HG STP FORUS,Charter Hall Group,1118361600,Australia/Sydney,AEST,36000000,10.37,15.45,11.36,13.25,13.3,2.3,buy,11,406200000,0.865,359500000,515300000,2.137,2.247,787500032,15.83,1.665,0.05287,0.05992,327887000,187289152,337300000,-0.674,0.52863,0.45651,0.44394,AUD,
4,Level 20,No. 1 Martin Place,Sydney,NSW,2000,Australia,61-2-86519000,61-2-92214655,https://www.charterhall.com.au,Real Estate—Diversified,Real Estate,"Charter Hall is one of Australia's leading fully integrated property investment and funds management groups. We use our expertise to access, deploy, manage and invest equity to create value and generate superior returns for our investor customers. We've curated a diverse portfolio of high-quality properties across our core sectors  Office, Industrial & Logistics, Retail and Social Infrastructure. With partnerships and financial discipline at the heart of our approach, we create and invest in places that support our customers, people and communities grow.","{'maxAge': 1, 'name': 'Mr. Philip  Cheetham', 'title': 'Head of Listed Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,8,1,3,1693526400,1703980800,86400,2,10.25,10.45,10.33,10.51,10.25,10.45,10.33,10.51,0.43,0.041199997,1687996800,1.0452,3.15,1.189939,25.292683,11.91954,2282293,2282293,1648762,1427159,1427159,10.37,10.38,0,0,4904978944,10.07,15.37,6.228544,10.7998,11.7486,0.425,0.041463416,AUD,5057288704,0.24901,465805750,472996992,0.03663,0.55707,6.882,1.5068294,1688083200,1719705600,1688083200,196100000,0.41,0.87,-1.91,1:4,1289520000,6.422,14.068,ASX,EQUITY,CHC.AX,CHC.AX,CHARTER HG STP FORUS,Charter Hall Group,1118361600,Australia/Sydney,AEST,36000000,10.37,15.45,11.36,13.25,13.3,2.3,buy,11,406200000,0.865,359500000,515300000,2.137,2.247,787500032,15.83,1.665,0.05287,0.05992,327887000,187289152,337300000,-0.674,0.52863,0.45651,0.44394,AUD,
5,Level 20,No. 1 Martin Place,Sydney,NSW,2000,Australia,61-2-86519000,61-2-92214655,https://www.charterhall.com.au,Real Estate—Diversified,Real Estate,"Charter Hall is one of Australia's leading fully integrated property investment and funds management groups. We use our expertise to access, deploy, manage and invest equity to create value and generate superior returns for our investor customers. We've curated a diverse portfolio of high-quality properties across our core sectors  Office, Industrial & Logistics, Retail and Social Infrastructure. With partnerships and financial discipline at the heart of our approach, we create and invest in places that support our customers, people and communities grow.","{'maxAge': 1, 'name': 'Mr. Mark  Bryant', 'title': 'Group Gen. Counsel & Company Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,8,1,3,1693526400,1703980800,86400,2,10.25,10.45,10.33,10.51,10.25,10.45,10.33,10.51,0.43,0.041199997,1687996800,1.0452,3.15,1.189939,25.292683,11.91954,2282293,2282293,1648762,1427159,1427159,10.37,10.38,0,0,4904978944,10.07,15.37,6.228544,10.7998,11.7486,0.425,0.041463416,AUD,5057288704,0.24901,465805750,472996992,0.03663,0.55707,6.882,1.5068294,1688083200,1719705600,1688083200,196100000,0.41,0.87,-1.91,1:4,1289520000,6.422,14.068,ASX,EQUITY,CHC.AX,CHC.AX,CHARTER HG STP FORUS,Charter Hall Group,1118361600,Australia/Sydney,AEST,36000000,10.37,15.45,11.36,13.25,13.3,2.3,buy,11,406200000,0.865,359500000,515300000,2.137,2.247,787500032,15.83,1.665,0.05287,0.05992,327887000,187289152,337300000,-0.674,0.52863,0.45651,0.44394,AUD,
6,Level 20,No. 1 Martin Place,Sydney,NSW,2000,Australia,61-2-86519000,61-2-92214655,https://www.charterhall.com.au,Real Estate—Diversified,Real Estate,"Charter Hall is one of Australia's leading fully integrated property investment and funds management groups. We use our expertise to access, deploy, manage and invest equity to create value and generate superior returns for our investor customers. We've curated a diverse portfolio of high-quality properties across our core sectors  Office, Industrial & Logistics, Retail and Social Infrastructure. With partnerships and financial discipline at the heart of our approach, we create and invest in places that support our customers, people and communities grow.","{'maxAge': 1, 'name': 'Mr. Richard  Stacker B.Bus', 'title': 'Industrial & Logistics Chief Exec. Officer', 'fiscalYear': 2016, 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,8,1,3,1693526400,1703980800,86400,2,10.25,10.45,10.33,10.51,10.25,10.45,10.33,10.51,0.43,0.041199997,1687996800,1.0452,3.15,1.189939,25.292683,11.91954,2282293,2282293,1648762,1427159,1427159,10.37,10.38,0,0,4904978944,10.07,15.37,6.228544,10.7998,11.7486,0.425,0.041463416,AUD,5057288704,0.24901,465805750,472996992,0.03663,0.55707,6.882,1.5068294,1688083200,1719705600,1688083200,196100000,0.41,0.87,-1.91,1:4,1289520000,6.422,14.068,ASX,EQUITY,CHC.AX,CHC.AX,CHARTER HG STP FORUS,Charter Hall Group,1118361600,Australia/Sydney,AEST,36000000,10.37,15.45,11.36,13.25,13.3,2.3,buy,11,406200000,0.865,359500000,515300000,2.137,2.247,787500032,15.83,1.665,0.05287,0.05992,327887000,187289152,337300000,-0.674,0.52863,0.45651,0.44394,AUD,
7,Level 20,No. 1 Martin Place,Sydney,NSW,2000,Australia,61-2-86519000,61-2-92214655,https://www.charterhall.com.au,Real Estate—Diversified,Real Estate,"Charter Hall is one of Australia's leading fully integrated property investment and funds management groups. We use our expertise to access, deploy, manage and invest equity to create value and generate superior returns for our investor customers. We've curated a diverse portfolio of high-quality properties across our core sectors  Office, Industrial & Logistics, Retail and Social Infrastructure. With partnerships and financial discipline at the heart of our approach, we create and invest in places that support our customers, people and communities grow.","{'maxAge': 1, 'name': 'Ms. Natalie  Devlin BA', 'title': 'Chief Experience Officer', 'fiscalYear': 2014, 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,8,1,3,1693526400,1703980800,86400,2,10.25,10.45,10.33,10.51,10.25,10.45,10.33,10.51,0.43,0.041199997,1687996800,1.0452,3.15,1.189939,25.292683,11.91954,2282293,2282293,1648762,1427159,1427159,10.37,10.38,0,0,4904978944,10.07,15.37,6.228544,10.7998,11.7486,0.425,0.041463416,AUD,5057288704,0.24901,465805750,472996992,0.03663,0.55707,6.882,1.5068294,1688083200,1719705600,1688083200,196100000,0.41,0.87,-1.91,1:4,1289520000,6.422,14.068,ASX,EQUITY,CHC.AX,CHC.AX,CHARTER HG STP FORUS,Charter Hall Group,1118361600,Australia/Sydney,AEST,36000000,10.37,15.45,11.36,13.25,13.3,2.3,buy,11,406200000,0.865,359500000,515300000,2.137,2.247,787500032,15.83,1.665,0.05287,0.05992,327887000,187289152,337300000,-0.674,0.52863,0.45651,0.44394,AUD,
8,Level 20,No. 1 Martin Place,Sydney,NSW,2000,Australia,61-2-86519000,61-2-92214655,https://www.charterhall.com.au,Real Estate—Diversified,Real Estate,"Charter Hall is one of Australia's leading fully integrated property investment and funds management groups. We use our expertise to access, deploy, manage and invest equity to create value and generate superior returns for our investor customers. We've curated a diverse portfolio of high-quality properties across our core sectors  Office, Industrial & Logistics, Retail and Social Infrastructure. With partnerships and financial discipline at the heart of our approach, we create and invest in places that support our customers, people and communities grow.","{'maxAge': 1, 'name': 'Mr. Steven  Bennett', 'title': 'Direct Chief Exec. Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,8,1,3,1693526400,1703980800,86400,2,10.25,10.45,10.33,10.51,10.25,10.45,10.33,10.51,0.43,0.041199997,1687996800,1.0452,3.15,1.189939,25.292683,11.91954,2282293,2282293,1648762,1427159,1427159,10.37,10.38,0,0,4904978944,10.07,15.37,6.228544,10.7998,11.7486,0.425,0.041463416,AUD,5057288704,0.24901,465805750,472996992,0.03663,0.55707,6.882,1.5068294,1688083200,1719705600,1688083200,196100000,0.41,0.87,-1.91,1:4,1289520000,6.422,14.068,ASX,EQUITY,CHC.AX,CHC.AX,CHARTER HG STP FORUS,Charter Hall Group,1118361600,Australia/Sydney,AEST,36000000,10.37,15.45,11.36,13.25,13.3,2.3,buy,11,406200000,0.865,359500000,515300000,2.137,2.247,787500032,15.83,1.665,0.05287,0.05992,327887000,187289152,337300000,-0.674,0.52863,0.45651,0.44394,AUD,
9,Level 20,No. 1 Martin Place,Sydney,NSW,2000,Australia,61-2-86519000,61-2-92214655,https://www.charterhall.com.au,Real Estate—Diversified,Real Estate,"Charter Hall is one of Australia's leading fully integrated property investment and funds management groups. We use our expertise to access, deploy, manage and invest equity to create value and generate superior returns for our investor customers. We've curated a diverse portfolio of high-quality properties across our core sectors  Office, Industrial & Logistics, Retail and Social Infrastructure. With partnerships and financial discipline at the heart of our approach, we create and invest in places that support our customers, people and communities grow.","{'maxAge': 1, 'name': 'Andrew  Simons', 'title': 'Head of Industrial Devel.', 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,8,1,3,1693526400,1703980800,86400,2,10.25,10.45,10.33,10.51,10.25,10.45,10.33,10.51,0.43,0.041199997,1687996800,1.0452,3.15,1.189939,25.292683,11.91954,2282293,2282293,1648762,1427159,1427159,10.37,10.38,0,0,4904978944,10.07,15.37,6.228544,10.7998,11.7486,0.425,0.041463416,AUD,5057288704,0.24901,465805750,472996992,0.03663,0.55707,6.882,1.5068294,1688083200,1719705600,1688083200,196100000,0.41,0.87,-1.91,1:4,1289520000,6.422,14.068,ASX,EQUITY,CHC.AX,CHC.AX,CHARTER HG STP FORUS,Charter Hall Group,1118361600,Australia/Sydney,AEST,36000000,10.37,15.45,11.36,13.25,13.3,2.3,buy,11,406200000,0.865,359500000,515300000,2.137,2.247,787500032,15.83,1.665,0.05287,0.05992,327887000,187289152,337300000,-0.674,0.52863,0.45651,0.44394,AUD,
