,address1,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,1414 Harbour Way South,Richmond,CA,94804,United States,510 540 0550,https://us.sunpower.com,Solar,Technology,"SunPower Corporation, a solar technology and energy services provider, offers solar, storage, and home energy solutions primarily in the United States and Canada. Its solutions include the Equinox and SunVault systems which are pre-engineered modular solutions for residential applications that combine solar module technology with integrated plug-and-play power stations, cable management systems, and mounting hardware that enable dealers and installers to complete system installations, as well as for end customers to manage their energy production. The company also provides post-installation monitoring and maintenance services. It serves residential customers, including individual homeowners and new home builders. The company was incorporated in 1985 and is headquartered in San Jose, California. SunPower Corporation is a subsidiary of TotalEnergies SE.",4710,"{'maxAge': 1, 'name': 'Mr. Peter T. Faricy', 'age': 56, 'title': 'Chairman, Pres & CEO', 'yearBorn': 1966, 'fiscalYear': 2022, 'totalPay': 1224540, 'exercisedValue': 0, 'unexercisedValue': 0}",6,10,6,6,8,1693526400,1672444800,86400,2,7.28,7.26,7.0232,7.455,7.28,7.26,7.0232,7.455,0.0,1.710926,16.40909,31.391302,6708385,6708385,5968453,4747910,4747910,7.18,7.25,4000,1000,1264886144,6.31,27.93,0.67361724,8.5262,13.20675,0.0,0.0,USD,1449951104,0.033689998,86534192,175192000,26516173,24355462,1689292800,1692057600,0.1514,0.00625,0.94912004,3.34,0.3059,2.722,2.6524615,1672531200,1704067200,1688256000,73424000,0.44,0.23,-1.15,1527:1000,1598486400,0.772,67.79,NMS,EQUITY,SPWR,SPWR,SunPower Corporation,SunPower Corporation,1132237800,America/New_York,EDT,-14400000,7.22,17.0,7.0,10.32,10.0,3.0,hold,20,114184000,0.652,21389000,403468000,0.608,1.64,1877752064,84.465,10.762,-0.00936,0.1734,363903000,-198031744,-169252992,0.11,0.18381001,0.011390001,-0.0124,USD,1.0495
1,1414 Harbour Way South,Richmond,CA,94804,United States,510 540 0550,https://us.sunpower.com,Solar,Technology,"SunPower Corporation, a solar technology and energy services provider, offers solar, storage, and home energy solutions primarily in the United States and Canada. Its solutions include the Equinox and SunVault systems which are pre-engineered modular solutions for residential applications that combine solar module technology with integrated plug-and-play power stations, cable management systems, and mounting hardware that enable dealers and installers to complete system installations, as well as for end customers to manage their energy production. The company also provides post-installation monitoring and maintenance services. It serves residential customers, including individual homeowners and new home builders. The company was incorporated in 1985 and is headquartered in San Jose, California. SunPower Corporation is a subsidiary of TotalEnergies SE.",4710,"{'maxAge': 1, 'name': 'Mr. Jason  MacRae', 'age': 49, 'title': 'Exec. VP of Financial Products', 'yearBorn': 1973, 'fiscalYear': 2022, 'totalPay': 1307092, 'exercisedValue': 0, 'unexercisedValue': 0}",6,10,6,6,8,1693526400,1672444800,86400,2,7.28,7.26,7.0232,7.455,7.28,7.26,7.0232,7.455,0.0,1.710926,16.40909,31.391302,6708385,6708385,5968453,4747910,4747910,7.18,7.25,4000,1000,1264886144,6.31,27.93,0.67361724,8.5262,13.20675,0.0,0.0,USD,1449951104,0.033689998,86534192,175192000,26516173,24355462,1689292800,1692057600,0.1514,0.00625,0.94912004,3.34,0.3059,2.722,2.6524615,1672531200,1704067200,1688256000,73424000,0.44,0.23,-1.15,1527:1000,1598486400,0.772,67.79,NMS,EQUITY,SPWR,SPWR,SunPower Corporation,SunPower Corporation,1132237800,America/New_York,EDT,-14400000,7.22,17.0,7.0,10.32,10.0,3.0,hold,20,114184000,0.652,21389000,403468000,0.608,1.64,1877752064,84.465,10.762,-0.00936,0.1734,363903000,-198031744,-169252992,0.11,0.18381001,0.011390001,-0.0124,USD,1.0495
2,1414 Harbour Way South,Richmond,CA,94804,United States,510 540 0550,https://us.sunpower.com,Solar,Technology,"SunPower Corporation, a solar technology and energy services provider, offers solar, storage, and home energy solutions primarily in the United States and Canada. Its solutions include the Equinox and SunVault systems which are pre-engineered modular solutions for residential applications that combine solar module technology with integrated plug-and-play power stations, cable management systems, and mounting hardware that enable dealers and installers to complete system installations, as well as for end customers to manage their energy production. The company also provides post-installation monitoring and maintenance services. It serves residential customers, including individual homeowners and new home builders. The company was incorporated in 1985 and is headquartered in San Jose, California. SunPower Corporation is a subsidiary of TotalEnergies SE.",4710,"{'maxAge': 1, 'name': 'Mr. Guthrie  Dundas', 'age': 37, 'title': 'VP of Fin. & Treasurer', 'yearBorn': 1985, 'fiscalYear': 2022, 'totalPay': 435928, 'exercisedValue': 0, 'unexercisedValue': 0}",6,10,6,6,8,1693526400,1672444800,86400,2,7.28,7.26,7.0232,7.455,7.28,7.26,7.0232,7.455,0.0,1.710926,16.40909,31.391302,6708385,6708385,5968453,4747910,4747910,7.18,7.25,4000,1000,1264886144,6.31,27.93,0.67361724,8.5262,13.20675,0.0,0.0,USD,1449951104,0.033689998,86534192,175192000,26516173,24355462,1689292800,1692057600,0.1514,0.00625,0.94912004,3.34,0.3059,2.722,2.6524615,1672531200,1704067200,1688256000,73424000,0.44,0.23,-1.15,1527:1000,1598486400,0.772,67.79,NMS,EQUITY,SPWR,SPWR,SunPower Corporation,SunPower Corporation,1132237800,America/New_York,EDT,-14400000,7.22,17.0,7.0,10.32,10.0,3.0,hold,20,114184000,0.652,21389000,403468000,0.608,1.64,1877752064,84.465,10.762,-0.00936,0.1734,363903000,-198031744,-169252992,0.11,0.18381001,0.011390001,-0.0124,USD,1.0495
3,1414 Harbour Way South,Richmond,CA,94804,United States,510 540 0550,https://us.sunpower.com,Solar,Technology,"SunPower Corporation, a solar technology and energy services provider, offers solar, storage, and home energy solutions primarily in the United States and Canada. Its solutions include the Equinox and SunVault systems which are pre-engineered modular solutions for residential applications that combine solar module technology with integrated plug-and-play power stations, cable management systems, and mounting hardware that enable dealers and installers to complete system installations, as well as for end customers to manage their energy production. The company also provides post-installation monitoring and maintenance services. It serves residential customers, including individual homeowners and new home builders. The company was incorporated in 1985 and is headquartered in San Jose, California. SunPower Corporation is a subsidiary of TotalEnergies SE.",4710,"{'maxAge': 1, 'name': 'Ms. Elizabeth  Eby', 'age': 58, 'title': 'Exec. VP & CFO', 'yearBorn': 1964, 'exercisedValue': 0, 'unexercisedValue': 0}",6,10,6,6,8,1693526400,1672444800,86400,2,7.28,7.26,7.0232,7.455,7.28,7.26,7.0232,7.455,0.0,1.710926,16.40909,31.391302,6708385,6708385,5968453,4747910,4747910,7.18,7.25,4000,1000,1264886144,6.31,27.93,0.67361724,8.5262,13.20675,0.0,0.0,USD,1449951104,0.033689998,86534192,175192000,26516173,24355462,1689292800,1692057600,0.1514,0.00625,0.94912004,3.34,0.3059,2.722,2.6524615,1672531200,1704067200,1688256000,73424000,0.44,0.23,-1.15,1527:1000,1598486400,0.772,67.79,NMS,EQUITY,SPWR,SPWR,SunPower Corporation,SunPower Corporation,1132237800,America/New_York,EDT,-14400000,7.22,17.0,7.0,10.32,10.0,3.0,hold,20,114184000,0.652,21389000,403468000,0.608,1.64,1877752064,84.465,10.762,-0.00936,0.1734,363903000,-198031744,-169252992,0.11,0.18381001,0.011390001,-0.0124,USD,1.0495
4,1414 Harbour Way South,Richmond,CA,94804,United States,510 540 0550,https://us.sunpower.com,Solar,Technology,"SunPower Corporation, a solar technology and energy services provider, offers solar, storage, and home energy solutions primarily in the United States and Canada. Its solutions include the Equinox and SunVault systems which are pre-engineered modular solutions for residential applications that combine solar module technology with integrated plug-and-play power stations, cable management systems, and mounting hardware that enable dealers and installers to complete system installations, as well as for end customers to manage their energy production. The company also provides post-installation monitoring and maintenance services. It serves residential customers, including individual homeowners and new home builders. The company was incorporated in 1985 and is headquartered in San Jose, California. SunPower Corporation is a subsidiary of TotalEnergies SE.",4710,"{'maxAge': 1, 'name': 'Ms. Jennifer  Johnston', 'title': 'Exec. VP & COO', 'exercisedValue': 0, 'unexercisedValue': 0}",6,10,6,6,8,1693526400,1672444800,86400,2,7.28,7.26,7.0232,7.455,7.28,7.26,7.0232,7.455,0.0,1.710926,16.40909,31.391302,6708385,6708385,5968453,4747910,4747910,7.18,7.25,4000,1000,1264886144,6.31,27.93,0.67361724,8.5262,13.20675,0.0,0.0,USD,1449951104,0.033689998,86534192,175192000,26516173,24355462,1689292800,1692057600,0.1514,0.00625,0.94912004,3.34,0.3059,2.722,2.6524615,1672531200,1704067200,1688256000,73424000,0.44,0.23,-1.15,1527:1000,1598486400,0.772,67.79,NMS,EQUITY,SPWR,SPWR,SunPower Corporation,SunPower Corporation,1132237800,America/New_York,EDT,-14400000,7.22,17.0,7.0,10.32,10.0,3.0,hold,20,114184000,0.652,21389000,403468000,0.608,1.64,1877752064,84.465,10.762,-0.00936,0.1734,363903000,-198031744,-169252992,0.11,0.18381001,0.011390001,-0.0124,USD,1.0495
5,1414 Harbour Way South,Richmond,CA,94804,United States,510 540 0550,https://us.sunpower.com,Solar,Technology,"SunPower Corporation, a solar technology and energy services provider, offers solar, storage, and home energy solutions primarily in the United States and Canada. Its solutions include the Equinox and SunVault systems which are pre-engineered modular solutions for residential applications that combine solar module technology with integrated plug-and-play power stations, cable management systems, and mounting hardware that enable dealers and installers to complete system installations, as well as for end customers to manage their energy production. The company also provides post-installation monitoring and maintenance services. It serves residential customers, including individual homeowners and new home builders. The company was incorporated in 1985 and is headquartered in San Jose, California. SunPower Corporation is a subsidiary of TotalEnergies SE.",4710,"{'maxAge': 1, 'name': 'Ms. Vichheka  Heang', 'age': 42, 'title': 'VP, Corp. Controller & Principal Accounting Officer', 'yearBorn': 1980, 'exercisedValue': 0, 'unexercisedValue': 0}",6,10,6,6,8,1693526400,1672444800,86400,2,7.28,7.26,7.0232,7.455,7.28,7.26,7.0232,7.455,0.0,1.710926,16.40909,31.391302,6708385,6708385,5968453,4747910,4747910,7.18,7.25,4000,1000,1264886144,6.31,27.93,0.67361724,8.5262,13.20675,0.0,0.0,USD,1449951104,0.033689998,86534192,175192000,26516173,24355462,1689292800,1692057600,0.1514,0.00625,0.94912004,3.34,0.3059,2.722,2.6524615,1672531200,1704067200,1688256000,73424000,0.44,0.23,-1.15,1527:1000,1598486400,0.772,67.79,NMS,EQUITY,SPWR,SPWR,SunPower Corporation,SunPower Corporation,1132237800,America/New_York,EDT,-14400000,7.22,17.0,7.0,10.32,10.0,3.0,hold,20,114184000,0.652,21389000,403468000,0.608,1.64,1877752064,84.465,10.762,-0.00936,0.1734,363903000,-198031744,-169252992,0.11,0.18381001,0.011390001,-0.0124,USD,1.0495
6,1414 Harbour Way South,Richmond,CA,94804,United States,510 540 0550,https://us.sunpower.com,Solar,Technology,"SunPower Corporation, a solar technology and energy services provider, offers solar, storage, and home energy solutions primarily in the United States and Canada. Its solutions include the Equinox and SunVault systems which are pre-engineered modular solutions for residential applications that combine solar module technology with integrated plug-and-play power stations, cable management systems, and mounting hardware that enable dealers and installers to complete system installations, as well as for end customers to manage their energy production. The company also provides post-installation monitoring and maintenance services. It serves residential customers, including individual homeowners and new home builders. The company was incorporated in 1985 and is headquartered in San Jose, California. SunPower Corporation is a subsidiary of TotalEnergies SE.",4710,"{'maxAge': 1, 'name': 'Mr. Josh  Koppelman', 'title': 'Exec. VP & CTO', 'exercisedValue': 0, 'unexercisedValue': 0}",6,10,6,6,8,1693526400,1672444800,86400,2,7.28,7.26,7.0232,7.455,7.28,7.26,7.0232,7.455,0.0,1.710926,16.40909,31.391302,6708385,6708385,5968453,4747910,4747910,7.18,7.25,4000,1000,1264886144,6.31,27.93,0.67361724,8.5262,13.20675,0.0,0.0,USD,1449951104,0.033689998,86534192,175192000,26516173,24355462,1689292800,1692057600,0.1514,0.00625,0.94912004,3.34,0.3059,2.722,2.6524615,1672531200,1704067200,1688256000,73424000,0.44,0.23,-1.15,1527:1000,1598486400,0.772,67.79,NMS,EQUITY,SPWR,SPWR,SunPower Corporation,SunPower Corporation,1132237800,America/New_York,EDT,-14400000,7.22,17.0,7.0,10.32,10.0,3.0,hold,20,114184000,0.652,21389000,403468000,0.608,1.64,1877752064,84.465,10.762,-0.00936,0.1734,363903000,-198031744,-169252992,0.11,0.18381001,0.011390001,-0.0124,USD,1.0495
7,1414 Harbour Way South,Richmond,CA,94804,United States,510 540 0550,https://us.sunpower.com,Solar,Technology,"SunPower Corporation, a solar technology and energy services provider, offers solar, storage, and home energy solutions primarily in the United States and Canada. Its solutions include the Equinox and SunVault systems which are pre-engineered modular solutions for residential applications that combine solar module technology with integrated plug-and-play power stations, cable management systems, and mounting hardware that enable dealers and installers to complete system installations, as well as for end customers to manage their energy production. The company also provides post-installation monitoring and maintenance services. It serves residential customers, including individual homeowners and new home builders. The company was incorporated in 1985 and is headquartered in San Jose, California. SunPower Corporation is a subsidiary of TotalEnergies SE.",4710,"{'maxAge': 1, 'name': 'Mr. Michael  Weinstein', 'title': 'VP of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",6,10,6,6,8,1693526400,1672444800,86400,2,7.28,7.26,7.0232,7.455,7.28,7.26,7.0232,7.455,0.0,1.710926,16.40909,31.391302,6708385,6708385,5968453,4747910,4747910,7.18,7.25,4000,1000,1264886144,6.31,27.93,0.67361724,8.5262,13.20675,0.0,0.0,USD,1449951104,0.033689998,86534192,175192000,26516173,24355462,1689292800,1692057600,0.1514,0.00625,0.94912004,3.34,0.3059,2.722,2.6524615,1672531200,1704067200,1688256000,73424000,0.44,0.23,-1.15,1527:1000,1598486400,0.772,67.79,NMS,EQUITY,SPWR,SPWR,SunPower Corporation,SunPower Corporation,1132237800,America/New_York,EDT,-14400000,7.22,17.0,7.0,10.32,10.0,3.0,hold,20,114184000,0.652,21389000,403468000,0.608,1.64,1877752064,84.465,10.762,-0.00936,0.1734,363903000,-198031744,-169252992,0.11,0.18381001,0.011390001,-0.0124,USD,1.0495
8,1414 Harbour Way South,Richmond,CA,94804,United States,510 540 0550,https://us.sunpower.com,Solar,Technology,"SunPower Corporation, a solar technology and energy services provider, offers solar, storage, and home energy solutions primarily in the United States and Canada. Its solutions include the Equinox and SunVault systems which are pre-engineered modular solutions for residential applications that combine solar module technology with integrated plug-and-play power stations, cable management systems, and mounting hardware that enable dealers and installers to complete system installations, as well as for end customers to manage their energy production. The company also provides post-installation monitoring and maintenance services. It serves residential customers, including individual homeowners and new home builders. The company was incorporated in 1985 and is headquartered in San Jose, California. SunPower Corporation is a subsidiary of TotalEnergies SE.",4710,"{'maxAge': 1, 'name': 'Ms. Eileen  Evans', 'title': 'Exec. VP, Chief Legal Officer & Corp. Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",6,10,6,6,8,1693526400,1672444800,86400,2,7.28,7.26,7.0232,7.455,7.28,7.26,7.0232,7.455,0.0,1.710926,16.40909,31.391302,6708385,6708385,5968453,4747910,4747910,7.18,7.25,4000,1000,1264886144,6.31,27.93,0.67361724,8.5262,13.20675,0.0,0.0,USD,1449951104,0.033689998,86534192,175192000,26516173,24355462,1689292800,1692057600,0.1514,0.00625,0.94912004,3.34,0.3059,2.722,2.6524615,1672531200,1704067200,1688256000,73424000,0.44,0.23,-1.15,1527:1000,1598486400,0.772,67.79,NMS,EQUITY,SPWR,SPWR,SunPower Corporation,SunPower Corporation,1132237800,America/New_York,EDT,-14400000,7.22,17.0,7.0,10.32,10.0,3.0,hold,20,114184000,0.652,21389000,403468000,0.608,1.64,1877752064,84.465,10.762,-0.00936,0.1734,363903000,-198031744,-169252992,0.11,0.18381001,0.011390001,-0.0124,USD,1.0495
9,1414 Harbour Way South,Richmond,CA,94804,United States,510 540 0550,https://us.sunpower.com,Solar,Technology,"SunPower Corporation, a solar technology and energy services provider, offers solar, storage, and home energy solutions primarily in the United States and Canada. Its solutions include the Equinox and SunVault systems which are pre-engineered modular solutions for residential applications that combine solar module technology with integrated plug-and-play power stations, cable management systems, and mounting hardware that enable dealers and installers to complete system installations, as well as for end customers to manage their energy production. The company also provides post-installation monitoring and maintenance services. It serves residential customers, including individual homeowners and new home builders. The company was incorporated in 1985 and is headquartered in San Jose, California. SunPower Corporation is a subsidiary of TotalEnergies SE.",4710,"{'maxAge': 1, 'name': 'Mr. Jim  Dawe', 'title': 'Global VP of Sales & Marketing', 'exercisedValue': 0, 'unexercisedValue': 0}",6,10,6,6,8,1693526400,1672444800,86400,2,7.28,7.26,7.0232,7.455,7.28,7.26,7.0232,7.455,0.0,1.710926,16.40909,31.391302,6708385,6708385,5968453,4747910,4747910,7.18,7.25,4000,1000,1264886144,6.31,27.93,0.67361724,8.5262,13.20675,0.0,0.0,USD,1449951104,0.033689998,86534192,175192000,26516173,24355462,1689292800,1692057600,0.1514,0.00625,0.94912004,3.34,0.3059,2.722,2.6524615,1672531200,1704067200,1688256000,73424000,0.44,0.23,-1.15,1527:1000,1598486400,0.772,67.79,NMS,EQUITY,SPWR,SPWR,SunPower Corporation,SunPower Corporation,1132237800,America/New_York,EDT,-14400000,7.22,17.0,7.0,10.32,10.0,3.0,hold,20,114184000,0.652,21389000,403468000,0.608,1.64,1877752064,84.465,10.762,-0.00936,0.1734,363903000,-198031744,-169252992,0.11,0.18381001,0.011390001,-0.0124,USD,1.0495
