,address1,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,35-41 Wharf Street,Cairns,QLD,4870,Australia,61 7 3211 3000,61 7 4030 8777,https://www.reefcasino.com.au/reef-casino-trust,Resorts & Casinos,Consumer Cyclical,"Reef Casino Trust owns and leases the Reef Hotel Casino complex located in Cairns in North Queensland, Australia. The company was founded in 1993 and is based in Cairns, Australia. Reef Casino Trust is a subsidiary of Reef Casino Investments Pty Ltd.","{'maxAge': 1, 'name': 'Mr. Allan  Tan', 'title': 'CEO of Reef Hotel Casino & Exec. Director of Reef Corp. Services Ltd', 'fiscalYear': 2022, 'totalPay': 191629, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,0.21,0.1129,1687996800,1.0007,0.959459,10.0,200,200,0,0,0,99227312,1.9,1.9,3.3470726,1.9,1.9,0.324,0.17052633,USD,43139984,0.27174,3089905,49061000,0.86660004,0.0,0.435,4.367816,1672444800,1703980800,1688083200,-0.286,8056000,0.19,1.455,2.137,PNK,EQUITY,RCTUF,RCTUF,REEF CASINO TRUST UNITS NPV,Reef Casino Trust,1364995800,America/New_York,EDT,-14400000,1.9,none,4524000,0.182,20184000,353000,1.748,2.04,29646000,3.257,1.191,0.10028,0.71163005,27661000,3603000,21284000,-0.286,-0.069,0.88272005,0.68083,0.54648,AUD,
1,35-41 Wharf Street,Cairns,QLD,4870,Australia,61 7 3211 3000,61 7 4030 8777,https://www.reefcasino.com.au/reef-casino-trust,Resorts & Casinos,Consumer Cyclical,"Reef Casino Trust owns and leases the Reef Hotel Casino complex located in Cairns in North Queensland, Australia. The company was founded in 1993 and is based in Cairns, Australia. Reef Casino Trust is a subsidiary of Reef Casino Investments Pty Ltd.","{'maxAge': 1, 'name': 'Ms. Alison  Galligan', 'title': 'Company Sec. of Reef Corp. Services Limited', 'fiscalYear': 2022, 'totalPay': 90578, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,0.21,0.1129,1687996800,1.0007,0.959459,10.0,200,200,0,0,0,99227312,1.9,1.9,3.3470726,1.9,1.9,0.324,0.17052633,USD,43139984,0.27174,3089905,49061000,0.86660004,0.0,0.435,4.367816,1672444800,1703980800,1688083200,-0.286,8056000,0.19,1.455,2.137,PNK,EQUITY,RCTUF,RCTUF,REEF CASINO TRUST UNITS NPV,Reef Casino Trust,1364995800,America/New_York,EDT,-14400000,1.9,none,4524000,0.182,20184000,353000,1.748,2.04,29646000,3.257,1.191,0.10028,0.71163005,27661000,3603000,21284000,-0.286,-0.069,0.88272005,0.68083,0.54648,AUD,
