,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,One Briarlake Plaza,2000 West Sam Houston Parkway South Suite 2000,Houston,TX,77042,United States,281 589 5200,https://www.callon.com,Oil & Gas E&P,Energy,"Callon Petroleum Company, an independent oil and natural gas company, focuses on the acquisition, exploration, and development of oil and natural gas properties in West Texas. The company was founded in 1950 and is headquartered in Houston, Texas.",354,"{'maxAge': 1, 'name': 'Mr. Joseph C. Gatto Jr.', 'age': 51, 'title': 'Pres, CEO & Director', 'yearBorn': 1971, 'fiscalYear': 2022, 'totalPay': 2367620, 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,2,5,1,1693526400,1672444800,86400,2,39.57,39.2,37.94,39.22,39.57,39.2,37.94,39.22,898819200,0.0,2.748962,2.3844254,4.6820393,6382108,6382108,1704677,2017420,2017420,38.5,38.37,900,800,2629512704,28.91,50.19,0.9876271,36.8146,35.99755,0.0,0.0,USD,4893980160,0.38574,52995136,68157400,12839680,12319308,1690761600,1693440000,0.1884,0.1096,0.90821,8.7,0.24520001,57.243,0.6739689,1672444800,1703980800,1688083200,1027022016,16.18,8.24,0.9,1:10,1597017600,1.838,2.71,NYQ,EQUITY,CPE,CPE,Callon Petroleum Company,Callon Petroleum Company,638461800,America/New_York,EDT,-14400000,38.58,59.0,35.0,47.64,49.0,2.4,buy,12,3650000,0.054,1805805056,2268115968,0.247,1.216,2662455040,64.023,43.152,0.09077,0.35402,2205211000,-572281152,1445046016,-0.385,0.65082,0.67824996,0.34129003,USD,0.7058
1,One Briarlake Plaza,2000 West Sam Houston Parkway South Suite 2000,Houston,TX,77042,United States,281 589 5200,https://www.callon.com,Oil & Gas E&P,Energy,"Callon Petroleum Company, an independent oil and natural gas company, focuses on the acquisition, exploration, and development of oil and natural gas properties in West Texas. The company was founded in 1950 and is headquartered in Houston, Texas.",354,"{'maxAge': 1, 'name': 'Mr. Kevin E. Haggard', 'age': 51, 'title': 'Sr. VP & CFO', 'yearBorn': 1971, 'fiscalYear': 2022, 'totalPay': 1067480, 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,2,5,1,1693526400,1672444800,86400,2,39.57,39.2,37.94,39.22,39.57,39.2,37.94,39.22,898819200,0.0,2.748962,2.3844254,4.6820393,6382108,6382108,1704677,2017420,2017420,38.5,38.37,900,800,2629512704,28.91,50.19,0.9876271,36.8146,35.99755,0.0,0.0,USD,4893980160,0.38574,52995136,68157400,12839680,12319308,1690761600,1693440000,0.1884,0.1096,0.90821,8.7,0.24520001,57.243,0.6739689,1672444800,1703980800,1688083200,1027022016,16.18,8.24,0.9,1:10,1597017600,1.838,2.71,NYQ,EQUITY,CPE,CPE,Callon Petroleum Company,Callon Petroleum Company,638461800,America/New_York,EDT,-14400000,38.58,59.0,35.0,47.64,49.0,2.4,buy,12,3650000,0.054,1805805056,2268115968,0.247,1.216,2662455040,64.023,43.152,0.09077,0.35402,2205211000,-572281152,1445046016,-0.385,0.65082,0.67824996,0.34129003,USD,0.7058
2,One Briarlake Plaza,2000 West Sam Houston Parkway South Suite 2000,Houston,TX,77042,United States,281 589 5200,https://www.callon.com,Oil & Gas E&P,Energy,"Callon Petroleum Company, an independent oil and natural gas company, focuses on the acquisition, exploration, and development of oil and natural gas properties in West Texas. The company was founded in 1950 and is headquartered in Houston, Texas.",354,"{'maxAge': 1, 'name': 'Mr. Gregory F. Conaway', 'age': 47, 'title': 'VP & Chief Accounting Officer', 'yearBorn': 1975, 'fiscalYear': 2022, 'totalPay': 668216, 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,2,5,1,1693526400,1672444800,86400,2,39.57,39.2,37.94,39.22,39.57,39.2,37.94,39.22,898819200,0.0,2.748962,2.3844254,4.6820393,6382108,6382108,1704677,2017420,2017420,38.5,38.37,900,800,2629512704,28.91,50.19,0.9876271,36.8146,35.99755,0.0,0.0,USD,4893980160,0.38574,52995136,68157400,12839680,12319308,1690761600,1693440000,0.1884,0.1096,0.90821,8.7,0.24520001,57.243,0.6739689,1672444800,1703980800,1688083200,1027022016,16.18,8.24,0.9,1:10,1597017600,1.838,2.71,NYQ,EQUITY,CPE,CPE,Callon Petroleum Company,Callon Petroleum Company,638461800,America/New_York,EDT,-14400000,38.58,59.0,35.0,47.64,49.0,2.4,buy,12,3650000,0.054,1805805056,2268115968,0.247,1.216,2662455040,64.023,43.152,0.09077,0.35402,2205211000,-572281152,1445046016,-0.385,0.65082,0.67824996,0.34129003,USD,0.7058
3,One Briarlake Plaza,2000 West Sam Houston Parkway South Suite 2000,Houston,TX,77042,United States,281 589 5200,https://www.callon.com,Oil & Gas E&P,Energy,"Callon Petroleum Company, an independent oil and natural gas company, focuses on the acquisition, exploration, and development of oil and natural gas properties in West Texas. The company was founded in 1950 and is headquartered in Houston, Texas.",354,"{'maxAge': 1, 'name': 'Ms. Michol L. Ecklund', 'age': 47, 'title': 'Sr. VP, Gen. Counsel & Corp. Sec.', 'yearBorn': 1975, 'fiscalYear': 2022, 'totalPay': 998741, 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,2,5,1,1693526400,1672444800,86400,2,39.57,39.2,37.94,39.22,39.57,39.2,37.94,39.22,898819200,0.0,2.748962,2.3844254,4.6820393,6382108,6382108,1704677,2017420,2017420,38.5,38.37,900,800,2629512704,28.91,50.19,0.9876271,36.8146,35.99755,0.0,0.0,USD,4893980160,0.38574,52995136,68157400,12839680,12319308,1690761600,1693440000,0.1884,0.1096,0.90821,8.7,0.24520001,57.243,0.6739689,1672444800,1703980800,1688083200,1027022016,16.18,8.24,0.9,1:10,1597017600,1.838,2.71,NYQ,EQUITY,CPE,CPE,Callon Petroleum Company,Callon Petroleum Company,638461800,America/New_York,EDT,-14400000,38.58,59.0,35.0,47.64,49.0,2.4,buy,12,3650000,0.054,1805805056,2268115968,0.247,1.216,2662455040,64.023,43.152,0.09077,0.35402,2205211000,-572281152,1445046016,-0.385,0.65082,0.67824996,0.34129003,USD,0.7058
4,One Briarlake Plaza,2000 West Sam Houston Parkway South Suite 2000,Houston,TX,77042,United States,281 589 5200,https://www.callon.com,Oil & Gas E&P,Energy,"Callon Petroleum Company, an independent oil and natural gas company, focuses on the acquisition, exploration, and development of oil and natural gas properties in West Texas. The company was founded in 1950 and is headquartered in Houston, Texas.",354,"{'maxAge': 1, 'name': 'Mr. Russell E. Parker', 'age': 45, 'title': 'Sr. VP & COO', 'yearBorn': 1977, 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,2,5,1,1693526400,1672444800,86400,2,39.57,39.2,37.94,39.22,39.57,39.2,37.94,39.22,898819200,0.0,2.748962,2.3844254,4.6820393,6382108,6382108,1704677,2017420,2017420,38.5,38.37,900,800,2629512704,28.91,50.19,0.9876271,36.8146,35.99755,0.0,0.0,USD,4893980160,0.38574,52995136,68157400,12839680,12319308,1690761600,1693440000,0.1884,0.1096,0.90821,8.7,0.24520001,57.243,0.6739689,1672444800,1703980800,1688083200,1027022016,16.18,8.24,0.9,1:10,1597017600,1.838,2.71,NYQ,EQUITY,CPE,CPE,Callon Petroleum Company,Callon Petroleum Company,638461800,America/New_York,EDT,-14400000,38.58,59.0,35.0,47.64,49.0,2.4,buy,12,3650000,0.054,1805805056,2268115968,0.247,1.216,2662455040,64.023,43.152,0.09077,0.35402,2205211000,-572281152,1445046016,-0.385,0.65082,0.67824996,0.34129003,USD,0.7058
5,One Briarlake Plaza,2000 West Sam Houston Parkway South Suite 2000,Houston,TX,77042,United States,281 589 5200,https://www.callon.com,Oil & Gas E&P,Energy,"Callon Petroleum Company, an independent oil and natural gas company, focuses on the acquisition, exploration, and development of oil and natural gas properties in West Texas. The company was founded in 1950 and is headquartered in Houston, Texas.",354,"{'maxAge': 1, 'name': 'Ms. Carrie  Endorf', 'title': 'VP of Asset Devel. & Technology', 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,2,5,1,1693526400,1672444800,86400,2,39.57,39.2,37.94,39.22,39.57,39.2,37.94,39.22,898819200,0.0,2.748962,2.3844254,4.6820393,6382108,6382108,1704677,2017420,2017420,38.5,38.37,900,800,2629512704,28.91,50.19,0.9876271,36.8146,35.99755,0.0,0.0,USD,4893980160,0.38574,52995136,68157400,12839680,12319308,1690761600,1693440000,0.1884,0.1096,0.90821,8.7,0.24520001,57.243,0.6739689,1672444800,1703980800,1688083200,1027022016,16.18,8.24,0.9,1:10,1597017600,1.838,2.71,NYQ,EQUITY,CPE,CPE,Callon Petroleum Company,Callon Petroleum Company,638461800,America/New_York,EDT,-14400000,38.58,59.0,35.0,47.64,49.0,2.4,buy,12,3650000,0.054,1805805056,2268115968,0.247,1.216,2662455040,64.023,43.152,0.09077,0.35402,2205211000,-572281152,1445046016,-0.385,0.65082,0.67824996,0.34129003,USD,0.7058
6,One Briarlake Plaza,2000 West Sam Houston Parkway South Suite 2000,Houston,TX,77042,United States,281 589 5200,https://www.callon.com,Oil & Gas E&P,Energy,"Callon Petroleum Company, an independent oil and natural gas company, focuses on the acquisition, exploration, and development of oil and natural gas properties in West Texas. The company was founded in 1950 and is headquartered in Houston, Texas.",354,"{'maxAge': 1, 'name': 'Ms. Angie  Day', 'title': 'Chief Information Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,2,5,1,1693526400,1672444800,86400,2,39.57,39.2,37.94,39.22,39.57,39.2,37.94,39.22,898819200,0.0,2.748962,2.3844254,4.6820393,6382108,6382108,1704677,2017420,2017420,38.5,38.37,900,800,2629512704,28.91,50.19,0.9876271,36.8146,35.99755,0.0,0.0,USD,4893980160,0.38574,52995136,68157400,12839680,12319308,1690761600,1693440000,0.1884,0.1096,0.90821,8.7,0.24520001,57.243,0.6739689,1672444800,1703980800,1688083200,1027022016,16.18,8.24,0.9,1:10,1597017600,1.838,2.71,NYQ,EQUITY,CPE,CPE,Callon Petroleum Company,Callon Petroleum Company,638461800,America/New_York,EDT,-14400000,38.58,59.0,35.0,47.64,49.0,2.4,buy,12,3650000,0.054,1805805056,2268115968,0.247,1.216,2662455040,64.023,43.152,0.09077,0.35402,2205211000,-572281152,1445046016,-0.385,0.65082,0.67824996,0.34129003,USD,0.7058
7,One Briarlake Plaza,2000 West Sam Houston Parkway South Suite 2000,Houston,TX,77042,United States,281 589 5200,https://www.callon.com,Oil & Gas E&P,Energy,"Callon Petroleum Company, an independent oil and natural gas company, focuses on the acquisition, exploration, and development of oil and natural gas properties in West Texas. The company was founded in 1950 and is headquartered in Houston, Texas.",354,"{'maxAge': 1, 'name': 'Mr. Kevin C. Smith', 'title': 'Director of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,2,5,1,1693526400,1672444800,86400,2,39.57,39.2,37.94,39.22,39.57,39.2,37.94,39.22,898819200,0.0,2.748962,2.3844254,4.6820393,6382108,6382108,1704677,2017420,2017420,38.5,38.37,900,800,2629512704,28.91,50.19,0.9876271,36.8146,35.99755,0.0,0.0,USD,4893980160,0.38574,52995136,68157400,12839680,12319308,1690761600,1693440000,0.1884,0.1096,0.90821,8.7,0.24520001,57.243,0.6739689,1672444800,1703980800,1688083200,1027022016,16.18,8.24,0.9,1:10,1597017600,1.838,2.71,NYQ,EQUITY,CPE,CPE,Callon Petroleum Company,Callon Petroleum Company,638461800,America/New_York,EDT,-14400000,38.58,59.0,35.0,47.64,49.0,2.4,buy,12,3650000,0.054,1805805056,2268115968,0.247,1.216,2662455040,64.023,43.152,0.09077,0.35402,2205211000,-572281152,1445046016,-0.385,0.65082,0.67824996,0.34129003,USD,0.7058
8,One Briarlake Plaza,2000 West Sam Houston Parkway South Suite 2000,Houston,TX,77042,United States,281 589 5200,https://www.callon.com,Oil & Gas E&P,Energy,"Callon Petroleum Company, an independent oil and natural gas company, focuses on the acquisition, exploration, and development of oil and natural gas properties in West Texas. The company was founded in 1950 and is headquartered in Houston, Texas.",354,"{'maxAge': 1, 'name': 'Mr. Liam  Kelly', 'title': 'VP of Corp. Devel. & Land', 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,2,5,1,1693526400,1672444800,86400,2,39.57,39.2,37.94,39.22,39.57,39.2,37.94,39.22,898819200,0.0,2.748962,2.3844254,4.6820393,6382108,6382108,1704677,2017420,2017420,38.5,38.37,900,800,2629512704,28.91,50.19,0.9876271,36.8146,35.99755,0.0,0.0,USD,4893980160,0.38574,52995136,68157400,12839680,12319308,1690761600,1693440000,0.1884,0.1096,0.90821,8.7,0.24520001,57.243,0.6739689,1672444800,1703980800,1688083200,1027022016,16.18,8.24,0.9,1:10,1597017600,1.838,2.71,NYQ,EQUITY,CPE,CPE,Callon Petroleum Company,Callon Petroleum Company,638461800,America/New_York,EDT,-14400000,38.58,59.0,35.0,47.64,49.0,2.4,buy,12,3650000,0.054,1805805056,2268115968,0.247,1.216,2662455040,64.023,43.152,0.09077,0.35402,2205211000,-572281152,1445046016,-0.385,0.65082,0.67824996,0.34129003,USD,0.7058
9,One Briarlake Plaza,2000 West Sam Houston Parkway South Suite 2000,Houston,TX,77042,United States,281 589 5200,https://www.callon.com,Oil & Gas E&P,Energy,"Callon Petroleum Company, an independent oil and natural gas company, focuses on the acquisition, exploration, and development of oil and natural gas properties in West Texas. The company was founded in 1950 and is headquartered in Houston, Texas.",354,"{'maxAge': 1, 'name': 'Mr. J. Michael Hastings', 'title': 'VP of Marketing', 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,2,5,1,1693526400,1672444800,86400,2,39.57,39.2,37.94,39.22,39.57,39.2,37.94,39.22,898819200,0.0,2.748962,2.3844254,4.6820393,6382108,6382108,1704677,2017420,2017420,38.5,38.37,900,800,2629512704,28.91,50.19,0.9876271,36.8146,35.99755,0.0,0.0,USD,4893980160,0.38574,52995136,68157400,12839680,12319308,1690761600,1693440000,0.1884,0.1096,0.90821,8.7,0.24520001,57.243,0.6739689,1672444800,1703980800,1688083200,1027022016,16.18,8.24,0.9,1:10,1597017600,1.838,2.71,NYQ,EQUITY,CPE,CPE,Callon Petroleum Company,Callon Petroleum Company,638461800,America/New_York,EDT,-14400000,38.58,59.0,35.0,47.64,49.0,2.4,buy,12,3650000,0.054,1805805056,2268115968,0.247,1.216,2662455040,64.023,43.152,0.09077,0.35402,2205211000,-572281152,1445046016,-0.385,0.65082,0.67824996,0.34129003,USD,0.7058
