,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,189 Stirling Highway,Suite 4,Nedlands,WA,6009,Australia,61 8 9463 3260,https://www.scotgoldresources.com,Gold,Basic Materials,"Scotgold Resources Limited engages in the mine development and mineral exploration businesses in Australia, Scotland, France, and Portugal. It explores for gold and silver deposits. The company focuses on the development of Cononish project located in the Grampian Highlands of Scotland. It also holds interest in the Grampian project comprising 13 option agreements covering an area of approximately 3000 square kilometers located in Scotland. The company was incorporated in 2007 and is based in Nedlands, Australia.",96,"{'maxAge': 1, 'name': 'Mr. Sean Joseph Duffy', 'age': 52, 'title': 'CFO, Interim CEO & Director', 'yearBorn': 1970, 'fiscalYear': 2022, 'totalPay': 31686, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,13.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.458708,0.9285714,231000,231000,55611,6318,6318,0.0,0.0,0,0,10465039,0.0,73.5,0.5021791,12.951,28.431,0.0,0.0,GBp,32754068,-0.70459,24381910,80500304,0.63436,0.0,0.246,52.845528,1656547200,1688083200,1672444800,-14683062,-0.12,0.14,1:100,1503619200,1.572,-4.511,LSE,EQUITY,SGZ.L,SGZ.L,SCOTGOLD RESOURCES LIMITED ORD ,Scotgold Resources Limited,1266998400,Europe/London,BST,3600000,13.0,1.54,1.54,1.54,1.54,none,1,67098,0.001,-7260270,25063638,0.158,0.326,20839256,170.526,0.339,-0.14034,-0.67311996,3153079,-2242509,-3453966,0.475,0.03578,-0.34839,-0.548,AUD,
1,189 Stirling Highway,Suite 4,Nedlands,WA,6009,Australia,61 8 9463 3260,https://www.scotgoldresources.com,Gold,Basic Materials,"Scotgold Resources Limited engages in the mine development and mineral exploration businesses in Australia, Scotland, France, and Portugal. It explores for gold and silver deposits. The company focuses on the development of Cononish project located in the Grampian Highlands of Scotland. It also holds interest in the Grampian project comprising 13 option agreements covering an area of approximately 3000 square kilometers located in Scotland. The company was incorporated in 2007 and is based in Nedlands, Australia.",96,"{'maxAge': 1, 'name': 'Mr. Richard  Barker BJURIS, L.L.B.', 'age': 47, 'title': 'Company Sec. & Independent Non-Exec. Director', 'yearBorn': 1975, 'fiscalYear': 2022, 'totalPay': 41231, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,13.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.458708,0.9285714,231000,231000,55611,6318,6318,0.0,0.0,0,0,10465039,0.0,73.5,0.5021791,12.951,28.431,0.0,0.0,GBp,32754068,-0.70459,24381910,80500304,0.63436,0.0,0.246,52.845528,1656547200,1688083200,1672444800,-14683062,-0.12,0.14,1:100,1503619200,1.572,-4.511,LSE,EQUITY,SGZ.L,SGZ.L,SCOTGOLD RESOURCES LIMITED ORD ,Scotgold Resources Limited,1266998400,Europe/London,BST,3600000,13.0,1.54,1.54,1.54,1.54,none,1,67098,0.001,-7260270,25063638,0.158,0.326,20839256,170.526,0.339,-0.14034,-0.67311996,3153079,-2242509,-3453966,0.475,0.03578,-0.34839,-0.548,AUD,
