,address1,address2,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,111 West 33rd Street,12th Floor,New York,NY,10120-1220,United States,212 850 2600,212 850 2751,https://www.esrtreit.com,REIT—Diversified,Real Estate,"Empire State Realty Trust, Inc. (NYSE: ESRT) is a REIT that owns and manages office, retail and multifamily assets in Manhattan and the greater New York metropolitan area. ESRT owns the iconic Empire State Building  the World's Most Famous Building  and the newly reimagined Empire State Building Observatory that was named #1 attraction in the US for the second year in a row, in Tripadvisor's 2023 Travelers' Choice Awards: Best of the Best. The company is a leader in healthy buildings, energy efficiency, and indoor environmental quality. As of June 30, 2023, ESRT's portfolio is comprised of approximately 8.6 million rentable square feet of office space, 718,000 rentable square feet of retail space and 721 residential units across three multifamily properties.",667,"{'maxAge': 1, 'name': 'Mr. Anthony E. Malkin', 'age': 60, 'title': 'Chairman, Pres & CEO', 'yearBorn': 1962, 'fiscalYear': 2022, 'totalPay': 2445961, 'exercisedValue': 0, 'unexercisedValue': 0}",3,5,1,10,6,1693526400,1672444800,86400,2,8.83,8.82,8.53,8.855,8.83,8.82,8.53,8.855,0.14,0.0159,1694649600,0.48279998,2.62,1.273858,29.620691,66.07693,2238172,2238172,1368362,1106370,1106370,8.29,8.94,2200,1000,2394265088,5.39,9.08,3.32468,8.4454,7.25325,0.14,0.01585504,USD,4124744960,0.07044,130128756,160111008,12915343,14848615,1690761600,1693440000,0.0802,0.00053,1.02001,11.51,0.1196,6.006,1.4302365,1672444800,1703980800,1688083200,-0.252,46353000,0.29,0.13,5.728,13.502,NYQ,EQUITY,ESRT,ESRT,"Empire State Realty Trust, Inc.","Empire State Realty Trust, Inc.",1380720600,America/New_York,EDT,-14400000,8.59,10.0,7.0,9.0,9.0,2.6,hold,5,315356992,1.958,305483008,2271941888,8.254,10.463,720148992,132.737,4.464,0.020550001,0.0476,385655000,162509872,233400992,-0.231,0.064,0.53783,0.42418998,0.19184999,USD,
1,111 West 33rd Street,12th Floor,New York,NY,10120-1220,United States,212 850 2600,212 850 2751,https://www.esrtreit.com,REIT—Diversified,Real Estate,"Empire State Realty Trust, Inc. (NYSE: ESRT) is a REIT that owns and manages office, retail and multifamily assets in Manhattan and the greater New York metropolitan area. ESRT owns the iconic Empire State Building  the World's Most Famous Building  and the newly reimagined Empire State Building Observatory that was named #1 attraction in the US for the second year in a row, in Tripadvisor's 2023 Travelers' Choice Awards: Best of the Best. The company is a leader in healthy buildings, energy efficiency, and indoor environmental quality. As of June 30, 2023, ESRT's portfolio is comprised of approximately 8.6 million rentable square feet of office space, 718,000 rentable square feet of retail space and 721 residential units across three multifamily properties.",667,"{'maxAge': 1, 'name': 'Ms. Christina  Chiu', 'age': 41, 'title': 'Exec. VP, COO & CFO', 'yearBorn': 1981, 'fiscalYear': 2022, 'totalPay': 1316627, 'exercisedValue': 0, 'unexercisedValue': 0}",3,5,1,10,6,1693526400,1672444800,86400,2,8.83,8.82,8.53,8.855,8.83,8.82,8.53,8.855,0.14,0.0159,1694649600,0.48279998,2.62,1.273858,29.620691,66.07693,2238172,2238172,1368362,1106370,1106370,8.29,8.94,2200,1000,2394265088,5.39,9.08,3.32468,8.4454,7.25325,0.14,0.01585504,USD,4124744960,0.07044,130128756,160111008,12915343,14848615,1690761600,1693440000,0.0802,0.00053,1.02001,11.51,0.1196,6.006,1.4302365,1672444800,1703980800,1688083200,-0.252,46353000,0.29,0.13,5.728,13.502,NYQ,EQUITY,ESRT,ESRT,"Empire State Realty Trust, Inc.","Empire State Realty Trust, Inc.",1380720600,America/New_York,EDT,-14400000,8.59,10.0,7.0,9.0,9.0,2.6,hold,5,315356992,1.958,305483008,2271941888,8.254,10.463,720148992,132.737,4.464,0.020550001,0.0476,385655000,162509872,233400992,-0.231,0.064,0.53783,0.42418998,0.19184999,USD,
2,111 West 33rd Street,12th Floor,New York,NY,10120-1220,United States,212 850 2600,212 850 2751,https://www.esrtreit.com,REIT—Diversified,Real Estate,"Empire State Realty Trust, Inc. (NYSE: ESRT) is a REIT that owns and manages office, retail and multifamily assets in Manhattan and the greater New York metropolitan area. ESRT owns the iconic Empire State Building  the World's Most Famous Building  and the newly reimagined Empire State Building Observatory that was named #1 attraction in the US for the second year in a row, in Tripadvisor's 2023 Travelers' Choice Awards: Best of the Best. The company is a leader in healthy buildings, energy efficiency, and indoor environmental quality. As of June 30, 2023, ESRT's portfolio is comprised of approximately 8.6 million rentable square feet of office space, 718,000 rentable square feet of retail space and 721 residential units across three multifamily properties.",667,"{'maxAge': 1, 'name': 'Mr. Thomas P. Durels', 'age': 60, 'title': 'Exec. VP of Real Estate', 'yearBorn': 1962, 'fiscalYear': 2022, 'totalPay': 1358800, 'exercisedValue': 0, 'unexercisedValue': 0}",3,5,1,10,6,1693526400,1672444800,86400,2,8.83,8.82,8.53,8.855,8.83,8.82,8.53,8.855,0.14,0.0159,1694649600,0.48279998,2.62,1.273858,29.620691,66.07693,2238172,2238172,1368362,1106370,1106370,8.29,8.94,2200,1000,2394265088,5.39,9.08,3.32468,8.4454,7.25325,0.14,0.01585504,USD,4124744960,0.07044,130128756,160111008,12915343,14848615,1690761600,1693440000,0.0802,0.00053,1.02001,11.51,0.1196,6.006,1.4302365,1672444800,1703980800,1688083200,-0.252,46353000,0.29,0.13,5.728,13.502,NYQ,EQUITY,ESRT,ESRT,"Empire State Realty Trust, Inc.","Empire State Realty Trust, Inc.",1380720600,America/New_York,EDT,-14400000,8.59,10.0,7.0,9.0,9.0,2.6,hold,5,315356992,1.958,305483008,2271941888,8.254,10.463,720148992,132.737,4.464,0.020550001,0.0476,385655000,162509872,233400992,-0.231,0.064,0.53783,0.42418998,0.19184999,USD,
3,111 West 33rd Street,12th Floor,New York,NY,10120-1220,United States,212 850 2600,212 850 2751,https://www.esrtreit.com,REIT—Diversified,Real Estate,"Empire State Realty Trust, Inc. (NYSE: ESRT) is a REIT that owns and manages office, retail and multifamily assets in Manhattan and the greater New York metropolitan area. ESRT owns the iconic Empire State Building  the World's Most Famous Building  and the newly reimagined Empire State Building Observatory that was named #1 attraction in the US for the second year in a row, in Tripadvisor's 2023 Travelers' Choice Awards: Best of the Best. The company is a leader in healthy buildings, energy efficiency, and indoor environmental quality. As of June 30, 2023, ESRT's portfolio is comprised of approximately 8.6 million rentable square feet of office space, 718,000 rentable square feet of retail space and 721 residential units across three multifamily properties.",667,"{'maxAge': 1, 'name': 'Mr. Aaron D. Ratner', 'age': 34, 'title': 'Sr. VP & Chief Investment Officer', 'yearBorn': 1988, 'exercisedValue': 0, 'unexercisedValue': 0}",3,5,1,10,6,1693526400,1672444800,86400,2,8.83,8.82,8.53,8.855,8.83,8.82,8.53,8.855,0.14,0.0159,1694649600,0.48279998,2.62,1.273858,29.620691,66.07693,2238172,2238172,1368362,1106370,1106370,8.29,8.94,2200,1000,2394265088,5.39,9.08,3.32468,8.4454,7.25325,0.14,0.01585504,USD,4124744960,0.07044,130128756,160111008,12915343,14848615,1690761600,1693440000,0.0802,0.00053,1.02001,11.51,0.1196,6.006,1.4302365,1672444800,1703980800,1688083200,-0.252,46353000,0.29,0.13,5.728,13.502,NYQ,EQUITY,ESRT,ESRT,"Empire State Realty Trust, Inc.","Empire State Realty Trust, Inc.",1380720600,America/New_York,EDT,-14400000,8.59,10.0,7.0,9.0,9.0,2.6,hold,5,315356992,1.958,305483008,2271941888,8.254,10.463,720148992,132.737,4.464,0.020550001,0.0476,385655000,162509872,233400992,-0.231,0.064,0.53783,0.42418998,0.19184999,USD,
4,111 West 33rd Street,12th Floor,New York,NY,10120-1220,United States,212 850 2600,212 850 2751,https://www.esrtreit.com,REIT—Diversified,Real Estate,"Empire State Realty Trust, Inc. (NYSE: ESRT) is a REIT that owns and manages office, retail and multifamily assets in Manhattan and the greater New York metropolitan area. ESRT owns the iconic Empire State Building  the World's Most Famous Building  and the newly reimagined Empire State Building Observatory that was named #1 attraction in the US for the second year in a row, in Tripadvisor's 2023 Travelers' Choice Awards: Best of the Best. The company is a leader in healthy buildings, energy efficiency, and indoor environmental quality. As of June 30, 2023, ESRT's portfolio is comprised of approximately 8.6 million rentable square feet of office space, 718,000 rentable square feet of retail space and 721 residential units across three multifamily properties.",667,"{'maxAge': 1, 'name': 'Mr. Stephen V. Horn', 'age': 35, 'title': 'Sr. VP & Chief Accounting Officer', 'yearBorn': 1987, 'exercisedValue': 0, 'unexercisedValue': 0}",3,5,1,10,6,1693526400,1672444800,86400,2,8.83,8.82,8.53,8.855,8.83,8.82,8.53,8.855,0.14,0.0159,1694649600,0.48279998,2.62,1.273858,29.620691,66.07693,2238172,2238172,1368362,1106370,1106370,8.29,8.94,2200,1000,2394265088,5.39,9.08,3.32468,8.4454,7.25325,0.14,0.01585504,USD,4124744960,0.07044,130128756,160111008,12915343,14848615,1690761600,1693440000,0.0802,0.00053,1.02001,11.51,0.1196,6.006,1.4302365,1672444800,1703980800,1688083200,-0.252,46353000,0.29,0.13,5.728,13.502,NYQ,EQUITY,ESRT,ESRT,"Empire State Realty Trust, Inc.","Empire State Realty Trust, Inc.",1380720600,America/New_York,EDT,-14400000,8.59,10.0,7.0,9.0,9.0,2.6,hold,5,315356992,1.958,305483008,2271941888,8.254,10.463,720148992,132.737,4.464,0.020550001,0.0476,385655000,162509872,233400992,-0.231,0.064,0.53783,0.42418998,0.19184999,USD,
5,111 West 33rd Street,12th Floor,New York,NY,10120-1220,United States,212 850 2600,212 850 2751,https://www.esrtreit.com,REIT—Diversified,Real Estate,"Empire State Realty Trust, Inc. (NYSE: ESRT) is a REIT that owns and manages office, retail and multifamily assets in Manhattan and the greater New York metropolitan area. ESRT owns the iconic Empire State Building  the World's Most Famous Building  and the newly reimagined Empire State Building Observatory that was named #1 attraction in the US for the second year in a row, in Tripadvisor's 2023 Travelers' Choice Awards: Best of the Best. The company is a leader in healthy buildings, energy efficiency, and indoor environmental quality. As of June 30, 2023, ESRT's portfolio is comprised of approximately 8.6 million rentable square feet of office space, 718,000 rentable square feet of retail space and 721 residential units across three multifamily properties.",667,"{'maxAge': 1, 'name': 'Mr. Sandy  Jacolow', 'title': 'Sr. VP & CTO', 'exercisedValue': 0, 'unexercisedValue': 0}",3,5,1,10,6,1693526400,1672444800,86400,2,8.83,8.82,8.53,8.855,8.83,8.82,8.53,8.855,0.14,0.0159,1694649600,0.48279998,2.62,1.273858,29.620691,66.07693,2238172,2238172,1368362,1106370,1106370,8.29,8.94,2200,1000,2394265088,5.39,9.08,3.32468,8.4454,7.25325,0.14,0.01585504,USD,4124744960,0.07044,130128756,160111008,12915343,14848615,1690761600,1693440000,0.0802,0.00053,1.02001,11.51,0.1196,6.006,1.4302365,1672444800,1703980800,1688083200,-0.252,46353000,0.29,0.13,5.728,13.502,NYQ,EQUITY,ESRT,ESRT,"Empire State Realty Trust, Inc.","Empire State Realty Trust, Inc.",1380720600,America/New_York,EDT,-14400000,8.59,10.0,7.0,9.0,9.0,2.6,hold,5,315356992,1.958,305483008,2271941888,8.254,10.463,720148992,132.737,4.464,0.020550001,0.0476,385655000,162509872,233400992,-0.231,0.064,0.53783,0.42418998,0.19184999,USD,
6,111 West 33rd Street,12th Floor,New York,NY,10120-1220,United States,212 850 2600,212 850 2751,https://www.esrtreit.com,REIT—Diversified,Real Estate,"Empire State Realty Trust, Inc. (NYSE: ESRT) is a REIT that owns and manages office, retail and multifamily assets in Manhattan and the greater New York metropolitan area. ESRT owns the iconic Empire State Building  the World's Most Famous Building  and the newly reimagined Empire State Building Observatory that was named #1 attraction in the US for the second year in a row, in Tripadvisor's 2023 Travelers' Choice Awards: Best of the Best. The company is a leader in healthy buildings, energy efficiency, and indoor environmental quality. As of June 30, 2023, ESRT's portfolio is comprised of approximately 8.6 million rentable square feet of office space, 718,000 rentable square feet of retail space and 721 residential units across three multifamily properties.",667,"{'maxAge': 1, 'name': 'Ms. Katy  Malonoski', 'title': 'VP & Head of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",3,5,1,10,6,1693526400,1672444800,86400,2,8.83,8.82,8.53,8.855,8.83,8.82,8.53,8.855,0.14,0.0159,1694649600,0.48279998,2.62,1.273858,29.620691,66.07693,2238172,2238172,1368362,1106370,1106370,8.29,8.94,2200,1000,2394265088,5.39,9.08,3.32468,8.4454,7.25325,0.14,0.01585504,USD,4124744960,0.07044,130128756,160111008,12915343,14848615,1690761600,1693440000,0.0802,0.00053,1.02001,11.51,0.1196,6.006,1.4302365,1672444800,1703980800,1688083200,-0.252,46353000,0.29,0.13,5.728,13.502,NYQ,EQUITY,ESRT,ESRT,"Empire State Realty Trust, Inc.","Empire State Realty Trust, Inc.",1380720600,America/New_York,EDT,-14400000,8.59,10.0,7.0,9.0,9.0,2.6,hold,5,315356992,1.958,305483008,2271941888,8.254,10.463,720148992,132.737,4.464,0.020550001,0.0476,385655000,162509872,233400992,-0.231,0.064,0.53783,0.42418998,0.19184999,USD,
7,111 West 33rd Street,12th Floor,New York,NY,10120-1220,United States,212 850 2600,212 850 2751,https://www.esrtreit.com,REIT—Diversified,Real Estate,"Empire State Realty Trust, Inc. (NYSE: ESRT) is a REIT that owns and manages office, retail and multifamily assets in Manhattan and the greater New York metropolitan area. ESRT owns the iconic Empire State Building  the World's Most Famous Building  and the newly reimagined Empire State Building Observatory that was named #1 attraction in the US for the second year in a row, in Tripadvisor's 2023 Travelers' Choice Awards: Best of the Best. The company is a leader in healthy buildings, energy efficiency, and indoor environmental quality. As of June 30, 2023, ESRT's portfolio is comprised of approximately 8.6 million rentable square feet of office space, 718,000 rentable square feet of retail space and 721 residential units across three multifamily properties.",667,"{'maxAge': 1, 'name': 'Ms. Heather M. Lawson Houston', 'title': 'Sr. VP, Chief Counsel, Corp. & Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",3,5,1,10,6,1693526400,1672444800,86400,2,8.83,8.82,8.53,8.855,8.83,8.82,8.53,8.855,0.14,0.0159,1694649600,0.48279998,2.62,1.273858,29.620691,66.07693,2238172,2238172,1368362,1106370,1106370,8.29,8.94,2200,1000,2394265088,5.39,9.08,3.32468,8.4454,7.25325,0.14,0.01585504,USD,4124744960,0.07044,130128756,160111008,12915343,14848615,1690761600,1693440000,0.0802,0.00053,1.02001,11.51,0.1196,6.006,1.4302365,1672444800,1703980800,1688083200,-0.252,46353000,0.29,0.13,5.728,13.502,NYQ,EQUITY,ESRT,ESRT,"Empire State Realty Trust, Inc.","Empire State Realty Trust, Inc.",1380720600,America/New_York,EDT,-14400000,8.59,10.0,7.0,9.0,9.0,2.6,hold,5,315356992,1.958,305483008,2271941888,8.254,10.463,720148992,132.737,4.464,0.020550001,0.0476,385655000,162509872,233400992,-0.231,0.064,0.53783,0.42418998,0.19184999,USD,
8,111 West 33rd Street,12th Floor,New York,NY,10120-1220,United States,212 850 2600,212 850 2751,https://www.esrtreit.com,REIT—Diversified,Real Estate,"Empire State Realty Trust, Inc. (NYSE: ESRT) is a REIT that owns and manages office, retail and multifamily assets in Manhattan and the greater New York metropolitan area. ESRT owns the iconic Empire State Building  the World's Most Famous Building  and the newly reimagined Empire State Building Observatory that was named #1 attraction in the US for the second year in a row, in Tripadvisor's 2023 Travelers' Choice Awards: Best of the Best. The company is a leader in healthy buildings, energy efficiency, and indoor environmental quality. As of June 30, 2023, ESRT's portfolio is comprised of approximately 8.6 million rentable square feet of office space, 718,000 rentable square feet of retail space and 721 residential units across three multifamily properties.",667,"{'maxAge': 1, 'name': 'Ms. Abigail  Rickards', 'title': 'Sr. VP of Marketing, PR & Digital', 'exercisedValue': 0, 'unexercisedValue': 0}",3,5,1,10,6,1693526400,1672444800,86400,2,8.83,8.82,8.53,8.855,8.83,8.82,8.53,8.855,0.14,0.0159,1694649600,0.48279998,2.62,1.273858,29.620691,66.07693,2238172,2238172,1368362,1106370,1106370,8.29,8.94,2200,1000,2394265088,5.39,9.08,3.32468,8.4454,7.25325,0.14,0.01585504,USD,4124744960,0.07044,130128756,160111008,12915343,14848615,1690761600,1693440000,0.0802,0.00053,1.02001,11.51,0.1196,6.006,1.4302365,1672444800,1703980800,1688083200,-0.252,46353000,0.29,0.13,5.728,13.502,NYQ,EQUITY,ESRT,ESRT,"Empire State Realty Trust, Inc.","Empire State Realty Trust, Inc.",1380720600,America/New_York,EDT,-14400000,8.59,10.0,7.0,9.0,9.0,2.6,hold,5,315356992,1.958,305483008,2271941888,8.254,10.463,720148992,132.737,4.464,0.020550001,0.0476,385655000,162509872,233400992,-0.231,0.064,0.53783,0.42418998,0.19184999,USD,
9,111 West 33rd Street,12th Floor,New York,NY,10120-1220,United States,212 850 2600,212 850 2751,https://www.esrtreit.com,REIT—Diversified,Real Estate,"Empire State Realty Trust, Inc. (NYSE: ESRT) is a REIT that owns and manages office, retail and multifamily assets in Manhattan and the greater New York metropolitan area. ESRT owns the iconic Empire State Building  the World's Most Famous Building  and the newly reimagined Empire State Building Observatory that was named #1 attraction in the US for the second year in a row, in Tripadvisor's 2023 Travelers' Choice Awards: Best of the Best. The company is a leader in healthy buildings, energy efficiency, and indoor environmental quality. As of June 30, 2023, ESRT's portfolio is comprised of approximately 8.6 million rentable square feet of office space, 718,000 rentable square feet of retail space and 721 residential units across three multifamily properties.",667,"{'maxAge': 1, 'name': 'Mr. Kevin  Vilke', 'title': 'Sr. VP & Chief People Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",3,5,1,10,6,1693526400,1672444800,86400,2,8.83,8.82,8.53,8.855,8.83,8.82,8.53,8.855,0.14,0.0159,1694649600,0.48279998,2.62,1.273858,29.620691,66.07693,2238172,2238172,1368362,1106370,1106370,8.29,8.94,2200,1000,2394265088,5.39,9.08,3.32468,8.4454,7.25325,0.14,0.01585504,USD,4124744960,0.07044,130128756,160111008,12915343,14848615,1690761600,1693440000,0.0802,0.00053,1.02001,11.51,0.1196,6.006,1.4302365,1672444800,1703980800,1688083200,-0.252,46353000,0.29,0.13,5.728,13.502,NYQ,EQUITY,ESRT,ESRT,"Empire State Realty Trust, Inc.","Empire State Realty Trust, Inc.",1380720600,America/New_York,EDT,-14400000,8.59,10.0,7.0,9.0,9.0,2.6,hold,5,315356992,1.958,305483008,2271941888,8.254,10.463,720148992,132.737,4.464,0.020550001,0.0476,385655000,162509872,233400992,-0.231,0.064,0.53783,0.42418998,0.19184999,USD,
