,address1,city,zip,country,phone,website,industry,sector,longBusinessSummary,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,profitMargins,sharesOutstanding,trailingEps,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,grossMargins,ebitdaMargins,operatingMargins,trailingPegRatio
0,Im Kreuz 3,Wurzburg,97076,Germany,49 931 355 740,https://www.oppmann.de,Beverages—Wineries & Distilleries,Consumer Defensive,"Sektkellerei J.Oppmann AG produces and sells wines. It offers sparkling wines. The company was founded in 1865 and is headquartered in Wurzburg, Germany.","{'maxAge': 1, 'name': 'Mr. Albert  Friedrich', 'title': 'Member of the Management Board', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,3.0,0.0188,1687132800,0.6308,33.68421,10,10,0,1,1,160.0,0.0,5760000,160.0,200.0,179.1,173.98,0.0,0.0,EUR,0.0,36000,4.75,MUN,EQUITY,1SK.MU,1SK.MU,SEKTKELLEREI J.OPPM.,Sektkellerei J.Oppmann AG,1270533600,Europe/Berlin,CEST,7200000,160.0,none,0.0,0.0,0.0,
1,Im Kreuz 3,Wurzburg,97076,Germany,49 931 355 740,https://www.oppmann.de,Beverages—Wineries & Distilleries,Consumer Defensive,"Sektkellerei J.Oppmann AG produces and sells wines. It offers sparkling wines. The company was founded in 1865 and is headquartered in Wurzburg, Germany.","{'maxAge': 1, 'name': 'Mr. Christian  Meier', 'title': 'Sales Director & Member of the Supervisory Board', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,3.0,0.0188,1687132800,0.6308,33.68421,10,10,0,1,1,160.0,0.0,5760000,160.0,200.0,179.1,173.98,0.0,0.0,EUR,0.0,36000,4.75,MUN,EQUITY,1SK.MU,1SK.MU,SEKTKELLEREI J.OPPM.,Sektkellerei J.Oppmann AG,1270533600,Europe/Berlin,CEST,7200000,160.0,none,0.0,0.0,0.0,
