,address1,address2,city,country,phone,fax,website,longBusinessSummary,fullTimeEmployees,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,7 Jangheung-ro 39beon-gil,Nam-gu,Pohang,South Korea,82 5 4278 2841,82 5 4278 2883,https://www.jeil21c.co.kr,"Jeil Technos Co.,Ltd manufactures and sells steel products for structure works, shipbuilding works, and wind plant works. The company offers NT decks, multi-decks, cap-decks, KEM decks, and hi-decks. It also provides T-bars. The company was formerly known as Jeil Heavy Industries Co., Ltd. and changed its name to Jeil Technos Co.,Ltd in 2000. The company was founded in 1971 and is headquartered in Pohang, South Korea.",181,"{'maxAge': 1, 'name': 'Mr. Joo-Young  Na', 'age': 65, 'title': 'Chief Exec. Officer and Representative Director', 'yearBorn': 1957, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,8600.0,8690.0,8600.0,8980.0,8600.0,8690.0,8600.0,8980.0,1.217332,146783,146783,185104,111586,111586,8980.0,8990.0,0,0,76946563072,6250.0,11430.0,0.33816707,8987.4,8289.45,KRW,92654059520,0.06043,4358166,8568660,0.43976003,0.0,1672444800,1703980800,1680220800,1.413,13749964800,0.407,3.252,KOE,EQUITY,038010.KQ,038010.KQ,JEIL TECHNOS,"Jeil Technos Co.,Ltd",997228800,Asia/Seoul,KST,32400000,8980.0,none,21808934912,2622.527,28491214848,45105012736,0.496,1.163,227540090880,50.867,27374.623,0.07797,0.16881001,17425080320,19454572544,1.236,0.26,0.17321,0.12521,0.10459,KRW,
1,7 Jangheung-ro 39beon-gil,Nam-gu,Pohang,South Korea,82 5 4278 2841,82 5 4278 2883,https://www.jeil21c.co.kr,"Jeil Technos Co.,Ltd manufactures and sells steel products for structure works, shipbuilding works, and wind plant works. The company offers NT decks, multi-decks, cap-decks, KEM decks, and hi-decks. It also provides T-bars. The company was formerly known as Jeil Heavy Industries Co., Ltd. and changed its name to Jeil Technos Co.,Ltd in 2000. The company was founded in 1971 and is headquartered in Pohang, South Korea.",181,"{'maxAge': 1, 'name': 'Seung-Kyun  Baek', 'age': 60, 'title': 'Gen. Director of Shipbuilding & Factory Division and Director', 'yearBorn': 1962, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,8600.0,8690.0,8600.0,8980.0,8600.0,8690.0,8600.0,8980.0,1.217332,146783,146783,185104,111586,111586,8980.0,8990.0,0,0,76946563072,6250.0,11430.0,0.33816707,8987.4,8289.45,KRW,92654059520,0.06043,4358166,8568660,0.43976003,0.0,1672444800,1703980800,1680220800,1.413,13749964800,0.407,3.252,KOE,EQUITY,038010.KQ,038010.KQ,JEIL TECHNOS,"Jeil Technos Co.,Ltd",997228800,Asia/Seoul,KST,32400000,8980.0,none,21808934912,2622.527,28491214848,45105012736,0.496,1.163,227540090880,50.867,27374.623,0.07797,0.16881001,17425080320,19454572544,1.236,0.26,0.17321,0.12521,0.10459,KRW,
