,address1,address2,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,China Timber Industry City Dev Area,No. 2 Taicheng Road,Jiashan,314100,China,86 573 8482 4666,86 573 8425 1072,https://www.samsonholding.com,"Furnishings, Fixtures & Appliances",Consumer Cyclical,"Samson Holding Ltd., an investment holding company, designs, manufactures, markets, trades in, and sells residential and commercial furniture in the People's Republic of China, the United States, and internationally. It offers furniture for homes, hotels, and offices, as well as procurement services. The company markets its furniture products under the Universal Furniture, Miranda Kerr Home, Coastal Living Home Collection, Legacy Classic Furniture, Legacy Classic Kids, Craftmaster Furniture, Baker, Milling Road, McGuire, LacquerCraft Hospitality, Universal Furniture China and Athome, Rachael Ray, Paula Deen Home, Legacy, Craftmaster Furniture, and Grand Manor brands. The company was founded in 1995 and is headquartered in Jiashan, China. Samson Holding Ltd. is a subsidiary of Advent Group Limited.",5100,"{'maxAge': 1, 'name': 'Mr. Shan Huei  Kuo', 'age': 66, 'title': 'Co-Founder, Exec. Chairman & CEO', 'yearBorn': 1956, 'fiscalYear': 2022, 'totalPay': 621000, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,3,0.229,0.229,0.22,0.229,0.229,0.229,0.22,0.229,0.04,0.17469999,1685577600,1.3636,0.237987,22.5,27000,27000,135952,12700,12700,0.22,0.225,0,0,680807232,0.22,0.39,1.2713844,0.24404,0.272155,0.001,0.0043668123,HKD,718589312,0.010319999,869467875,3025809920,0.71265,0.025050001,0.103,2.184466,1672444800,1703980800,1688083200,5529000,0.01,1.342,57.704,HKG,EQUITY,0531.HK,0531.HK,SAMSON HOLDING,Samson Holding Ltd.,1132191000,Asia/Hong_Kong,HKT,28800000,0.225,none,149676000,0.049,12453000,187456992,1.1,1.663,535484992,60.316,0.177,0.00034000003,0.01759,65750500,88903000,-0.227,0.2336,0.02325,0.00064000004,USD,
1,China Timber Industry City Dev Area,No. 2 Taicheng Road,Jiashan,314100,China,86 573 8482 4666,86 573 8425 1072,https://www.samsonholding.com,"Furnishings, Fixtures & Appliances",Consumer Cyclical,"Samson Holding Ltd., an investment holding company, designs, manufactures, markets, trades in, and sells residential and commercial furniture in the People's Republic of China, the United States, and internationally. It offers furniture for homes, hotels, and offices, as well as procurement services. The company markets its furniture products under the Universal Furniture, Miranda Kerr Home, Coastal Living Home Collection, Legacy Classic Furniture, Legacy Classic Kids, Craftmaster Furniture, Baker, Milling Road, McGuire, LacquerCraft Hospitality, Universal Furniture China and Athome, Rachael Ray, Paula Deen Home, Legacy, Craftmaster Furniture, and Grand Manor brands. The company was founded in 1995 and is headquartered in Jiashan, China. Samson Holding Ltd. is a subsidiary of Advent Group Limited.",5100,"{'maxAge': 1, 'name': 'Ms. Yi-Mei  Liu', 'age': 64, 'title': 'Co-Founder & Deputy Chairman', 'yearBorn': 1958, 'fiscalYear': 2022, 'totalPay': 459000, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,3,0.229,0.229,0.22,0.229,0.229,0.229,0.22,0.229,0.04,0.17469999,1685577600,1.3636,0.237987,22.5,27000,27000,135952,12700,12700,0.22,0.225,0,0,680807232,0.22,0.39,1.2713844,0.24404,0.272155,0.001,0.0043668123,HKD,718589312,0.010319999,869467875,3025809920,0.71265,0.025050001,0.103,2.184466,1672444800,1703980800,1688083200,5529000,0.01,1.342,57.704,HKG,EQUITY,0531.HK,0531.HK,SAMSON HOLDING,Samson Holding Ltd.,1132191000,Asia/Hong_Kong,HKT,28800000,0.225,none,149676000,0.049,12453000,187456992,1.1,1.663,535484992,60.316,0.177,0.00034000003,0.01759,65750500,88903000,-0.227,0.2336,0.02325,0.00064000004,USD,
2,China Timber Industry City Dev Area,No. 2 Taicheng Road,Jiashan,314100,China,86 573 8482 4666,86 573 8425 1072,https://www.samsonholding.com,"Furnishings, Fixtures & Appliances",Consumer Cyclical,"Samson Holding Ltd., an investment holding company, designs, manufactures, markets, trades in, and sells residential and commercial furniture in the People's Republic of China, the United States, and internationally. It offers furniture for homes, hotels, and offices, as well as procurement services. The company markets its furniture products under the Universal Furniture, Miranda Kerr Home, Coastal Living Home Collection, Legacy Classic Furniture, Legacy Classic Kids, Craftmaster Furniture, Baker, Milling Road, McGuire, LacquerCraft Hospitality, Universal Furniture China and Athome, Rachael Ray, Paula Deen Home, Legacy, Craftmaster Furniture, and Grand Manor brands. The company was founded in 1995 and is headquartered in Jiashan, China. Samson Holding Ltd. is a subsidiary of Advent Group Limited.",5100,"{'maxAge': 1, 'name': 'Mr. Mohamad  Aminozzakeri', 'age': 61, 'title': 'Exec. Director', 'yearBorn': 1961, 'fiscalYear': 2022, 'totalPay': 366000, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,3,0.229,0.229,0.22,0.229,0.229,0.229,0.22,0.229,0.04,0.17469999,1685577600,1.3636,0.237987,22.5,27000,27000,135952,12700,12700,0.22,0.225,0,0,680807232,0.22,0.39,1.2713844,0.24404,0.272155,0.001,0.0043668123,HKD,718589312,0.010319999,869467875,3025809920,0.71265,0.025050001,0.103,2.184466,1672444800,1703980800,1688083200,5529000,0.01,1.342,57.704,HKG,EQUITY,0531.HK,0531.HK,SAMSON HOLDING,Samson Holding Ltd.,1132191000,Asia/Hong_Kong,HKT,28800000,0.225,none,149676000,0.049,12453000,187456992,1.1,1.663,535484992,60.316,0.177,0.00034000003,0.01759,65750500,88903000,-0.227,0.2336,0.02325,0.00064000004,USD,
3,China Timber Industry City Dev Area,No. 2 Taicheng Road,Jiashan,314100,China,86 573 8482 4666,86 573 8425 1072,https://www.samsonholding.com,"Furnishings, Fixtures & Appliances",Consumer Cyclical,"Samson Holding Ltd., an investment holding company, designs, manufactures, markets, trades in, and sells residential and commercial furniture in the People's Republic of China, the United States, and internationally. It offers furniture for homes, hotels, and offices, as well as procurement services. The company markets its furniture products under the Universal Furniture, Miranda Kerr Home, Coastal Living Home Collection, Legacy Classic Furniture, Legacy Classic Kids, Craftmaster Furniture, Baker, Milling Road, McGuire, LacquerCraft Hospitality, Universal Furniture China and Athome, Rachael Ray, Paula Deen Home, Legacy, Craftmaster Furniture, and Grand Manor brands. The company was founded in 1995 and is headquartered in Jiashan, China. Samson Holding Ltd. is a subsidiary of Advent Group Limited.",5100,"{'maxAge': 1, 'name': 'Mr. Alex A.  Reeves', 'age': 58, 'title': 'Pres of Craftmaster Furniture', 'yearBorn': 1964, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,3,0.229,0.229,0.22,0.229,0.229,0.229,0.22,0.229,0.04,0.17469999,1685577600,1.3636,0.237987,22.5,27000,27000,135952,12700,12700,0.22,0.225,0,0,680807232,0.22,0.39,1.2713844,0.24404,0.272155,0.001,0.0043668123,HKD,718589312,0.010319999,869467875,3025809920,0.71265,0.025050001,0.103,2.184466,1672444800,1703980800,1688083200,5529000,0.01,1.342,57.704,HKG,EQUITY,0531.HK,0531.HK,SAMSON HOLDING,Samson Holding Ltd.,1132191000,Asia/Hong_Kong,HKT,28800000,0.225,none,149676000,0.049,12453000,187456992,1.1,1.663,535484992,60.316,0.177,0.00034000003,0.01759,65750500,88903000,-0.227,0.2336,0.02325,0.00064000004,USD,
4,China Timber Industry City Dev Area,No. 2 Taicheng Road,Jiashan,314100,China,86 573 8482 4666,86 573 8425 1072,https://www.samsonholding.com,"Furnishings, Fixtures & Appliances",Consumer Cyclical,"Samson Holding Ltd., an investment holding company, designs, manufactures, markets, trades in, and sells residential and commercial furniture in the People's Republic of China, the United States, and internationally. It offers furniture for homes, hotels, and offices, as well as procurement services. The company markets its furniture products under the Universal Furniture, Miranda Kerr Home, Coastal Living Home Collection, Legacy Classic Furniture, Legacy Classic Kids, Craftmaster Furniture, Baker, Milling Road, McGuire, LacquerCraft Hospitality, Universal Furniture China and Athome, Rachael Ray, Paula Deen Home, Legacy, Craftmaster Furniture, and Grand Manor brands. The company was founded in 1995 and is headquartered in Jiashan, China. Samson Holding Ltd. is a subsidiary of Advent Group Limited.",5100,"{'maxAge': 1, 'name': ""Mr. Sean  O'Connor"", 'age': 47, 'title': 'Pres of Universal Furniture', 'yearBorn': 1975, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,3,0.229,0.229,0.22,0.229,0.229,0.229,0.22,0.229,0.04,0.17469999,1685577600,1.3636,0.237987,22.5,27000,27000,135952,12700,12700,0.22,0.225,0,0,680807232,0.22,0.39,1.2713844,0.24404,0.272155,0.001,0.0043668123,HKD,718589312,0.010319999,869467875,3025809920,0.71265,0.025050001,0.103,2.184466,1672444800,1703980800,1688083200,5529000,0.01,1.342,57.704,HKG,EQUITY,0531.HK,0531.HK,SAMSON HOLDING,Samson Holding Ltd.,1132191000,Asia/Hong_Kong,HKT,28800000,0.225,none,149676000,0.049,12453000,187456992,1.1,1.663,535484992,60.316,0.177,0.00034000003,0.01759,65750500,88903000,-0.227,0.2336,0.02325,0.00064000004,USD,
5,China Timber Industry City Dev Area,No. 2 Taicheng Road,Jiashan,314100,China,86 573 8482 4666,86 573 8425 1072,https://www.samsonholding.com,"Furnishings, Fixtures & Appliances",Consumer Cyclical,"Samson Holding Ltd., an investment holding company, designs, manufactures, markets, trades in, and sells residential and commercial furniture in the People's Republic of China, the United States, and internationally. It offers furniture for homes, hotels, and offices, as well as procurement services. The company markets its furniture products under the Universal Furniture, Miranda Kerr Home, Coastal Living Home Collection, Legacy Classic Furniture, Legacy Classic Kids, Craftmaster Furniture, Baker, Milling Road, McGuire, LacquerCraft Hospitality, Universal Furniture China and Athome, Rachael Ray, Paula Deen Home, Legacy, Craftmaster Furniture, and Grand Manor brands. The company was founded in 1995 and is headquartered in Jiashan, China. Samson Holding Ltd. is a subsidiary of Advent Group Limited.",5100,"{'maxAge': 1, 'name': 'Mr. Michael  Moore', 'age': 68, 'title': 'Pres & CEO of Grand Manor Furniture', 'yearBorn': 1954, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,3,0.229,0.229,0.22,0.229,0.229,0.229,0.22,0.229,0.04,0.17469999,1685577600,1.3636,0.237987,22.5,27000,27000,135952,12700,12700,0.22,0.225,0,0,680807232,0.22,0.39,1.2713844,0.24404,0.272155,0.001,0.0043668123,HKD,718589312,0.010319999,869467875,3025809920,0.71265,0.025050001,0.103,2.184466,1672444800,1703980800,1688083200,5529000,0.01,1.342,57.704,HKG,EQUITY,0531.HK,0531.HK,SAMSON HOLDING,Samson Holding Ltd.,1132191000,Asia/Hong_Kong,HKT,28800000,0.225,none,149676000,0.049,12453000,187456992,1.1,1.663,535484992,60.316,0.177,0.00034000003,0.01759,65750500,88903000,-0.227,0.2336,0.02325,0.00064000004,USD,
6,China Timber Industry City Dev Area,No. 2 Taicheng Road,Jiashan,314100,China,86 573 8482 4666,86 573 8425 1072,https://www.samsonholding.com,"Furnishings, Fixtures & Appliances",Consumer Cyclical,"Samson Holding Ltd., an investment holding company, designs, manufactures, markets, trades in, and sells residential and commercial furniture in the People's Republic of China, the United States, and internationally. It offers furniture for homes, hotels, and offices, as well as procurement services. The company markets its furniture products under the Universal Furniture, Miranda Kerr Home, Coastal Living Home Collection, Legacy Classic Furniture, Legacy Classic Kids, Craftmaster Furniture, Baker, Milling Road, McGuire, LacquerCraft Hospitality, Universal Furniture China and Athome, Rachael Ray, Paula Deen Home, Legacy, Craftmaster Furniture, and Grand Manor brands. The company was founded in 1995 and is headquartered in Jiashan, China. Samson Holding Ltd. is a subsidiary of Advent Group Limited.",5100,"{'maxAge': 1, 'name': 'Mr. Michael W. Jolly', 'age': 63, 'title': 'Pres of Baker Interiors Group', 'yearBorn': 1959, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,3,0.229,0.229,0.22,0.229,0.229,0.229,0.22,0.229,0.04,0.17469999,1685577600,1.3636,0.237987,22.5,27000,27000,135952,12700,12700,0.22,0.225,0,0,680807232,0.22,0.39,1.2713844,0.24404,0.272155,0.001,0.0043668123,HKD,718589312,0.010319999,869467875,3025809920,0.71265,0.025050001,0.103,2.184466,1672444800,1703980800,1688083200,5529000,0.01,1.342,57.704,HKG,EQUITY,0531.HK,0531.HK,SAMSON HOLDING,Samson Holding Ltd.,1132191000,Asia/Hong_Kong,HKT,28800000,0.225,none,149676000,0.049,12453000,187456992,1.1,1.663,535484992,60.316,0.177,0.00034000003,0.01759,65750500,88903000,-0.227,0.2336,0.02325,0.00064000004,USD,
7,China Timber Industry City Dev Area,No. 2 Taicheng Road,Jiashan,314100,China,86 573 8482 4666,86 573 8425 1072,https://www.samsonholding.com,"Furnishings, Fixtures & Appliances",Consumer Cyclical,"Samson Holding Ltd., an investment holding company, designs, manufactures, markets, trades in, and sells residential and commercial furniture in the People's Republic of China, the United States, and internationally. It offers furniture for homes, hotels, and offices, as well as procurement services. The company markets its furniture products under the Universal Furniture, Miranda Kerr Home, Coastal Living Home Collection, Legacy Classic Furniture, Legacy Classic Kids, Craftmaster Furniture, Baker, Milling Road, McGuire, LacquerCraft Hospitality, Universal Furniture China and Athome, Rachael Ray, Paula Deen Home, Legacy, Craftmaster Furniture, and Grand Manor brands. The company was founded in 1995 and is headquartered in Jiashan, China. Samson Holding Ltd. is a subsidiary of Advent Group Limited.",5100,"{'maxAge': 1, 'name': 'Mr. Kwong Cho  Sheung', 'age': 42, 'title': 'Company Sec.', 'yearBorn': 1980, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,3,0.229,0.229,0.22,0.229,0.229,0.229,0.22,0.229,0.04,0.17469999,1685577600,1.3636,0.237987,22.5,27000,27000,135952,12700,12700,0.22,0.225,0,0,680807232,0.22,0.39,1.2713844,0.24404,0.272155,0.001,0.0043668123,HKD,718589312,0.010319999,869467875,3025809920,0.71265,0.025050001,0.103,2.184466,1672444800,1703980800,1688083200,5529000,0.01,1.342,57.704,HKG,EQUITY,0531.HK,0531.HK,SAMSON HOLDING,Samson Holding Ltd.,1132191000,Asia/Hong_Kong,HKT,28800000,0.225,none,149676000,0.049,12453000,187456992,1.1,1.663,535484992,60.316,0.177,0.00034000003,0.01759,65750500,88903000,-0.227,0.2336,0.02325,0.00064000004,USD,
8,China Timber Industry City Dev Area,No. 2 Taicheng Road,Jiashan,314100,China,86 573 8482 4666,86 573 8425 1072,https://www.samsonholding.com,"Furnishings, Fixtures & Appliances",Consumer Cyclical,"Samson Holding Ltd., an investment holding company, designs, manufactures, markets, trades in, and sells residential and commercial furniture in the People's Republic of China, the United States, and internationally. It offers furniture for homes, hotels, and offices, as well as procurement services. The company markets its furniture products under the Universal Furniture, Miranda Kerr Home, Coastal Living Home Collection, Legacy Classic Furniture, Legacy Classic Kids, Craftmaster Furniture, Baker, Milling Road, McGuire, LacquerCraft Hospitality, Universal Furniture China and Athome, Rachael Ray, Paula Deen Home, Legacy, Craftmaster Furniture, and Grand Manor brands. The company was founded in 1995 and is headquartered in Jiashan, China. Samson Holding Ltd. is a subsidiary of Advent Group Limited.",5100,"{'maxAge': 1, 'name': 'Mr. Matthew  Dehnert', 'age': 49, 'title': 'Pres of LacquerCraft Hospitality, Inc.', 'yearBorn': 1973, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,3,0.229,0.229,0.22,0.229,0.229,0.229,0.22,0.229,0.04,0.17469999,1685577600,1.3636,0.237987,22.5,27000,27000,135952,12700,12700,0.22,0.225,0,0,680807232,0.22,0.39,1.2713844,0.24404,0.272155,0.001,0.0043668123,HKD,718589312,0.010319999,869467875,3025809920,0.71265,0.025050001,0.103,2.184466,1672444800,1703980800,1688083200,5529000,0.01,1.342,57.704,HKG,EQUITY,0531.HK,0531.HK,SAMSON HOLDING,Samson Holding Ltd.,1132191000,Asia/Hong_Kong,HKT,28800000,0.225,none,149676000,0.049,12453000,187456992,1.1,1.663,535484992,60.316,0.177,0.00034000003,0.01759,65750500,88903000,-0.227,0.2336,0.02325,0.00064000004,USD,
9,China Timber Industry City Dev Area,No. 2 Taicheng Road,Jiashan,314100,China,86 573 8482 4666,86 573 8425 1072,https://www.samsonholding.com,"Furnishings, Fixtures & Appliances",Consumer Cyclical,"Samson Holding Ltd., an investment holding company, designs, manufactures, markets, trades in, and sells residential and commercial furniture in the People's Republic of China, the United States, and internationally. It offers furniture for homes, hotels, and offices, as well as procurement services. The company markets its furniture products under the Universal Furniture, Miranda Kerr Home, Coastal Living Home Collection, Legacy Classic Furniture, Legacy Classic Kids, Craftmaster Furniture, Baker, Milling Road, McGuire, LacquerCraft Hospitality, Universal Furniture China and Athome, Rachael Ray, Paula Deen Home, Legacy, Craftmaster Furniture, and Grand Manor brands. The company was founded in 1995 and is headquartered in Jiashan, China. Samson Holding Ltd. is a subsidiary of Advent Group Limited.",5100,"{'maxAge': 1, 'name': 'Mr. Chris  Pelcher', 'age': 51, 'title': 'Pres of Legacy Classic Furniture', 'yearBorn': 1971, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,3,0.229,0.229,0.22,0.229,0.229,0.229,0.22,0.229,0.04,0.17469999,1685577600,1.3636,0.237987,22.5,27000,27000,135952,12700,12700,0.22,0.225,0,0,680807232,0.22,0.39,1.2713844,0.24404,0.272155,0.001,0.0043668123,HKD,718589312,0.010319999,869467875,3025809920,0.71265,0.025050001,0.103,2.184466,1672444800,1703980800,1688083200,5529000,0.01,1.342,57.704,HKG,EQUITY,0531.HK,0531.HK,SAMSON HOLDING,Samson Holding Ltd.,1132191000,Asia/Hong_Kong,HKT,28800000,0.225,none,149676000,0.049,12453000,187456992,1.1,1.663,535484992,60.316,0.177,0.00034000003,0.01759,65750500,88903000,-0.227,0.2336,0.02325,0.00064000004,USD,
