,address1,address2,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,8176 Park Lane,Suite 500,Dallas,TX,75231,United States,214 445 9600,214 445 9705,https://www.kosmosenergy.com,Oil & Gas E&P,Energy,"Kosmos Energy Ltd. engages in the exploration and production of oil and gas properties along the Atlantic Margins in the United States. The company's primary assets include production projects located in offshore Ghana, Equatorial Guinea, and the U.S. Gulf of Mexico, as well as a gas projects located in offshore Mauritania and Senegal. It also undertakes a proven basin exploration program in Equatorial Guinea and the U.S. Gulf of Mexico. Kosmos Energy Ltd. was founded in 2003 and is headquartered in Dallas, Texas.",236,"{'maxAge': 1, 'name': 'Mr. Andrew G. Inglis', 'age': 63, 'title': 'Chairman & CEO', 'yearBorn': 1959, 'fiscalYear': 2022, 'totalPay': 3012097, 'exercisedValue': 0, 'unexercisedValue': 0}",4,6,1,1,2,1693526400,1672444800,86400,2,7.29,7.2,7.14,7.3,7.29,7.2,7.14,7.3,1583280000,0.0,2.763139,15.955556,6.7735853,5071121,5071121,4928822,4095320,4095320,7.13,7.25,3000,800,3303582464,4.64,8.55,2.0180614,7.0604,6.8376,0.0,0.0,USD,5642157568,0.13111,451721603,460108992,23583999,25491743,1690761600,1693440000,0.0513,0.026870001,0.95318,5.07,0.0615,1.965,3.6539438,1672444800,1703980800,1688083200,-0.801,214632000,0.45,1.06,0.38,3.447,7.123,NYQ,EQUITY,KOS,KOS,Kosmos Energy Ltd.,Kosmos Energy Ltd.,1305120600,America/New_York,EDT,-14400000,7.18,13.0,8.5,9.89,9.2,2.0,buy,8,85729000,0.186,792080000,2373689088,0.352,0.801,1637008000,262.604,3.578,0.04816,0.27407,1840005000,-433553984,744252992,-0.8,-0.559,0.79525,0.48386002,0.22919,USD,
1,8176 Park Lane,Suite 500,Dallas,TX,75231,United States,214 445 9600,214 445 9705,https://www.kosmosenergy.com,Oil & Gas E&P,Energy,"Kosmos Energy Ltd. engages in the exploration and production of oil and gas properties along the Atlantic Margins in the United States. The company's primary assets include production projects located in offshore Ghana, Equatorial Guinea, and the U.S. Gulf of Mexico, as well as a gas projects located in offshore Mauritania and Senegal. It also undertakes a proven basin exploration program in Equatorial Guinea and the U.S. Gulf of Mexico. Kosmos Energy Ltd. was founded in 2003 and is headquartered in Dallas, Texas.",236,"{'maxAge': 1, 'name': 'Mr. Neal D. Shah', 'age': 37, 'title': 'Sr. VP & CFO', 'yearBorn': 1985, 'fiscalYear': 2022, 'totalPay': 1760439, 'exercisedValue': 0, 'unexercisedValue': 0}",4,6,1,1,2,1693526400,1672444800,86400,2,7.29,7.2,7.14,7.3,7.29,7.2,7.14,7.3,1583280000,0.0,2.763139,15.955556,6.7735853,5071121,5071121,4928822,4095320,4095320,7.13,7.25,3000,800,3303582464,4.64,8.55,2.0180614,7.0604,6.8376,0.0,0.0,USD,5642157568,0.13111,451721603,460108992,23583999,25491743,1690761600,1693440000,0.0513,0.026870001,0.95318,5.07,0.0615,1.965,3.6539438,1672444800,1703980800,1688083200,-0.801,214632000,0.45,1.06,0.38,3.447,7.123,NYQ,EQUITY,KOS,KOS,Kosmos Energy Ltd.,Kosmos Energy Ltd.,1305120600,America/New_York,EDT,-14400000,7.18,13.0,8.5,9.89,9.2,2.0,buy,8,85729000,0.186,792080000,2373689088,0.352,0.801,1637008000,262.604,3.578,0.04816,0.27407,1840005000,-433553984,744252992,-0.8,-0.559,0.79525,0.48386002,0.22919,USD,
2,8176 Park Lane,Suite 500,Dallas,TX,75231,United States,214 445 9600,214 445 9705,https://www.kosmosenergy.com,Oil & Gas E&P,Energy,"Kosmos Energy Ltd. engages in the exploration and production of oil and gas properties along the Atlantic Margins in the United States. The company's primary assets include production projects located in offshore Ghana, Equatorial Guinea, and the U.S. Gulf of Mexico, as well as a gas projects located in offshore Mauritania and Senegal. It also undertakes a proven basin exploration program in Equatorial Guinea and the U.S. Gulf of Mexico. Kosmos Energy Ltd. was founded in 2003 and is headquartered in Dallas, Texas.",236,"{'maxAge': 1, 'name': 'Mr. Jason E. Doughty', 'age': 57, 'title': 'Sr. VP, Gen. Counsel & Corp. Sec.', 'yearBorn': 1965, 'fiscalYear': 2022, 'totalPay': 1168740, 'exercisedValue': 0, 'unexercisedValue': 0}",4,6,1,1,2,1693526400,1672444800,86400,2,7.29,7.2,7.14,7.3,7.29,7.2,7.14,7.3,1583280000,0.0,2.763139,15.955556,6.7735853,5071121,5071121,4928822,4095320,4095320,7.13,7.25,3000,800,3303582464,4.64,8.55,2.0180614,7.0604,6.8376,0.0,0.0,USD,5642157568,0.13111,451721603,460108992,23583999,25491743,1690761600,1693440000,0.0513,0.026870001,0.95318,5.07,0.0615,1.965,3.6539438,1672444800,1703980800,1688083200,-0.801,214632000,0.45,1.06,0.38,3.447,7.123,NYQ,EQUITY,KOS,KOS,Kosmos Energy Ltd.,Kosmos Energy Ltd.,1305120600,America/New_York,EDT,-14400000,7.18,13.0,8.5,9.89,9.2,2.0,buy,8,85729000,0.186,792080000,2373689088,0.352,0.801,1637008000,262.604,3.578,0.04816,0.27407,1840005000,-433553984,744252992,-0.8,-0.559,0.79525,0.48386002,0.22919,USD,
3,8176 Park Lane,Suite 500,Dallas,TX,75231,United States,214 445 9600,214 445 9705,https://www.kosmosenergy.com,Oil & Gas E&P,Energy,"Kosmos Energy Ltd. engages in the exploration and production of oil and gas properties along the Atlantic Margins in the United States. The company's primary assets include production projects located in offshore Ghana, Equatorial Guinea, and the U.S. Gulf of Mexico, as well as a gas projects located in offshore Mauritania and Senegal. It also undertakes a proven basin exploration program in Equatorial Guinea and the U.S. Gulf of Mexico. Kosmos Energy Ltd. was founded in 2003 and is headquartered in Dallas, Texas.",236,"{'maxAge': 1, 'name': 'Mr. Christopher James Ball', 'age': 54, 'title': 'Sr. VP & Chief Commercial Officer', 'yearBorn': 1968, 'fiscalYear': 2022, 'totalPay': 1370272, 'exercisedValue': 0, 'unexercisedValue': 0}",4,6,1,1,2,1693526400,1672444800,86400,2,7.29,7.2,7.14,7.3,7.29,7.2,7.14,7.3,1583280000,0.0,2.763139,15.955556,6.7735853,5071121,5071121,4928822,4095320,4095320,7.13,7.25,3000,800,3303582464,4.64,8.55,2.0180614,7.0604,6.8376,0.0,0.0,USD,5642157568,0.13111,451721603,460108992,23583999,25491743,1690761600,1693440000,0.0513,0.026870001,0.95318,5.07,0.0615,1.965,3.6539438,1672444800,1703980800,1688083200,-0.801,214632000,0.45,1.06,0.38,3.447,7.123,NYQ,EQUITY,KOS,KOS,Kosmos Energy Ltd.,Kosmos Energy Ltd.,1305120600,America/New_York,EDT,-14400000,7.18,13.0,8.5,9.89,9.2,2.0,buy,8,85729000,0.186,792080000,2373689088,0.352,0.801,1637008000,262.604,3.578,0.04816,0.27407,1840005000,-433553984,744252992,-0.8,-0.559,0.79525,0.48386002,0.22919,USD,
4,8176 Park Lane,Suite 500,Dallas,TX,75231,United States,214 445 9600,214 445 9705,https://www.kosmosenergy.com,Oil & Gas E&P,Energy,"Kosmos Energy Ltd. engages in the exploration and production of oil and gas properties along the Atlantic Margins in the United States. The company's primary assets include production projects located in offshore Ghana, Equatorial Guinea, and the U.S. Gulf of Mexico, as well as a gas projects located in offshore Mauritania and Senegal. It also undertakes a proven basin exploration program in Equatorial Guinea and the U.S. Gulf of Mexico. Kosmos Energy Ltd. was founded in 2003 and is headquartered in Dallas, Texas.",236,"{'maxAge': 1, 'name': 'Mr. Richard R. Clark', 'age': 66, 'title': 'Sr. VP & Head of Gulf of Mexico Bus. Unit', 'yearBorn': 1956, 'fiscalYear': 2022, 'totalPay': 1314424, 'exercisedValue': 0, 'unexercisedValue': 0}",4,6,1,1,2,1693526400,1672444800,86400,2,7.29,7.2,7.14,7.3,7.29,7.2,7.14,7.3,1583280000,0.0,2.763139,15.955556,6.7735853,5071121,5071121,4928822,4095320,4095320,7.13,7.25,3000,800,3303582464,4.64,8.55,2.0180614,7.0604,6.8376,0.0,0.0,USD,5642157568,0.13111,451721603,460108992,23583999,25491743,1690761600,1693440000,0.0513,0.026870001,0.95318,5.07,0.0615,1.965,3.6539438,1672444800,1703980800,1688083200,-0.801,214632000,0.45,1.06,0.38,3.447,7.123,NYQ,EQUITY,KOS,KOS,Kosmos Energy Ltd.,Kosmos Energy Ltd.,1305120600,America/New_York,EDT,-14400000,7.18,13.0,8.5,9.89,9.2,2.0,buy,8,85729000,0.186,792080000,2373689088,0.352,0.801,1637008000,262.604,3.578,0.04816,0.27407,1840005000,-433553984,744252992,-0.8,-0.559,0.79525,0.48386002,0.22919,USD,
5,8176 Park Lane,Suite 500,Dallas,TX,75231,United States,214 445 9600,214 445 9705,https://www.kosmosenergy.com,Oil & Gas E&P,Energy,"Kosmos Energy Ltd. engages in the exploration and production of oil and gas properties along the Atlantic Margins in the United States. The company's primary assets include production projects located in offshore Ghana, Equatorial Guinea, and the U.S. Gulf of Mexico, as well as a gas projects located in offshore Mauritania and Senegal. It also undertakes a proven basin exploration program in Equatorial Guinea and the U.S. Gulf of Mexico. Kosmos Energy Ltd. was founded in 2003 and is headquartered in Dallas, Texas.",236,"{'maxAge': 1, 'name': 'Mr. Ronald W. Glass', 'age': 43, 'title': 'VP & Chief Accounting Officer', 'yearBorn': 1979, 'exercisedValue': 0, 'unexercisedValue': 0}",4,6,1,1,2,1693526400,1672444800,86400,2,7.29,7.2,7.14,7.3,7.29,7.2,7.14,7.3,1583280000,0.0,2.763139,15.955556,6.7735853,5071121,5071121,4928822,4095320,4095320,7.13,7.25,3000,800,3303582464,4.64,8.55,2.0180614,7.0604,6.8376,0.0,0.0,USD,5642157568,0.13111,451721603,460108992,23583999,25491743,1690761600,1693440000,0.0513,0.026870001,0.95318,5.07,0.0615,1.965,3.6539438,1672444800,1703980800,1688083200,-0.801,214632000,0.45,1.06,0.38,3.447,7.123,NYQ,EQUITY,KOS,KOS,Kosmos Energy Ltd.,Kosmos Energy Ltd.,1305120600,America/New_York,EDT,-14400000,7.18,13.0,8.5,9.89,9.2,2.0,buy,8,85729000,0.186,792080000,2373689088,0.352,0.801,1637008000,262.604,3.578,0.04816,0.27407,1840005000,-433553984,744252992,-0.8,-0.559,0.79525,0.48386002,0.22919,USD,
6,8176 Park Lane,Suite 500,Dallas,TX,75231,United States,214 445 9600,214 445 9705,https://www.kosmosenergy.com,Oil & Gas E&P,Energy,"Kosmos Energy Ltd. engages in the exploration and production of oil and gas properties along the Atlantic Margins in the United States. The company's primary assets include production projects located in offshore Ghana, Equatorial Guinea, and the U.S. Gulf of Mexico, as well as a gas projects located in offshore Mauritania and Senegal. It also undertakes a proven basin exploration program in Equatorial Guinea and the U.S. Gulf of Mexico. Kosmos Energy Ltd. was founded in 2003 and is headquartered in Dallas, Texas.",236,"{'maxAge': 1, 'name': 'Mr. Jamie  Buckland', 'title': 'VP of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",4,6,1,1,2,1693526400,1672444800,86400,2,7.29,7.2,7.14,7.3,7.29,7.2,7.14,7.3,1583280000,0.0,2.763139,15.955556,6.7735853,5071121,5071121,4928822,4095320,4095320,7.13,7.25,3000,800,3303582464,4.64,8.55,2.0180614,7.0604,6.8376,0.0,0.0,USD,5642157568,0.13111,451721603,460108992,23583999,25491743,1690761600,1693440000,0.0513,0.026870001,0.95318,5.07,0.0615,1.965,3.6539438,1672444800,1703980800,1688083200,-0.801,214632000,0.45,1.06,0.38,3.447,7.123,NYQ,EQUITY,KOS,KOS,Kosmos Energy Ltd.,Kosmos Energy Ltd.,1305120600,America/New_York,EDT,-14400000,7.18,13.0,8.5,9.89,9.2,2.0,buy,8,85729000,0.186,792080000,2373689088,0.352,0.801,1637008000,262.604,3.578,0.04816,0.27407,1840005000,-433553984,744252992,-0.8,-0.559,0.79525,0.48386002,0.22919,USD,
7,8176 Park Lane,Suite 500,Dallas,TX,75231,United States,214 445 9600,214 445 9705,https://www.kosmosenergy.com,Oil & Gas E&P,Energy,"Kosmos Energy Ltd. engages in the exploration and production of oil and gas properties along the Atlantic Margins in the United States. The company's primary assets include production projects located in offshore Ghana, Equatorial Guinea, and the U.S. Gulf of Mexico, as well as a gas projects located in offshore Mauritania and Senegal. It also undertakes a proven basin exploration program in Equatorial Guinea and the U.S. Gulf of Mexico. Kosmos Energy Ltd. was founded in 2003 and is headquartered in Dallas, Texas.",236,"{'maxAge': 1, 'name': 'Mr. Marvin M. Garrett', 'age': 66, 'title': 'Sr. VP of Drilling', 'yearBorn': 1956, 'exercisedValue': 0, 'unexercisedValue': 0}",4,6,1,1,2,1693526400,1672444800,86400,2,7.29,7.2,7.14,7.3,7.29,7.2,7.14,7.3,1583280000,0.0,2.763139,15.955556,6.7735853,5071121,5071121,4928822,4095320,4095320,7.13,7.25,3000,800,3303582464,4.64,8.55,2.0180614,7.0604,6.8376,0.0,0.0,USD,5642157568,0.13111,451721603,460108992,23583999,25491743,1690761600,1693440000,0.0513,0.026870001,0.95318,5.07,0.0615,1.965,3.6539438,1672444800,1703980800,1688083200,-0.801,214632000,0.45,1.06,0.38,3.447,7.123,NYQ,EQUITY,KOS,KOS,Kosmos Energy Ltd.,Kosmos Energy Ltd.,1305120600,America/New_York,EDT,-14400000,7.18,13.0,8.5,9.89,9.2,2.0,buy,8,85729000,0.186,792080000,2373689088,0.352,0.801,1637008000,262.604,3.578,0.04816,0.27407,1840005000,-433553984,744252992,-0.8,-0.559,0.79525,0.48386002,0.22919,USD,
8,8176 Park Lane,Suite 500,Dallas,TX,75231,United States,214 445 9600,214 445 9705,https://www.kosmosenergy.com,Oil & Gas E&P,Energy,"Kosmos Energy Ltd. engages in the exploration and production of oil and gas properties along the Atlantic Margins in the United States. The company's primary assets include production projects located in offshore Ghana, Equatorial Guinea, and the U.S. Gulf of Mexico, as well as a gas projects located in offshore Mauritania and Senegal. It also undertakes a proven basin exploration program in Equatorial Guinea and the U.S. Gulf of Mexico. Kosmos Energy Ltd. was founded in 2003 and is headquartered in Dallas, Texas.",236,"{'maxAge': 1, 'name': 'Mr. Michael James Anderson', 'age': 61, 'title': 'Sr. VP of Sustainability & External Affairs', 'yearBorn': 1961, 'fiscalYear': 2016, 'exercisedValue': 0, 'unexercisedValue': 0}",4,6,1,1,2,1693526400,1672444800,86400,2,7.29,7.2,7.14,7.3,7.29,7.2,7.14,7.3,1583280000,0.0,2.763139,15.955556,6.7735853,5071121,5071121,4928822,4095320,4095320,7.13,7.25,3000,800,3303582464,4.64,8.55,2.0180614,7.0604,6.8376,0.0,0.0,USD,5642157568,0.13111,451721603,460108992,23583999,25491743,1690761600,1693440000,0.0513,0.026870001,0.95318,5.07,0.0615,1.965,3.6539438,1672444800,1703980800,1688083200,-0.801,214632000,0.45,1.06,0.38,3.447,7.123,NYQ,EQUITY,KOS,KOS,Kosmos Energy Ltd.,Kosmos Energy Ltd.,1305120600,America/New_York,EDT,-14400000,7.18,13.0,8.5,9.89,9.2,2.0,buy,8,85729000,0.186,792080000,2373689088,0.352,0.801,1637008000,262.604,3.578,0.04816,0.27407,1840005000,-433553984,744252992,-0.8,-0.559,0.79525,0.48386002,0.22919,USD,
9,8176 Park Lane,Suite 500,Dallas,TX,75231,United States,214 445 9600,214 445 9705,https://www.kosmosenergy.com,Oil & Gas E&P,Energy,"Kosmos Energy Ltd. engages in the exploration and production of oil and gas properties along the Atlantic Margins in the United States. The company's primary assets include production projects located in offshore Ghana, Equatorial Guinea, and the U.S. Gulf of Mexico, as well as a gas projects located in offshore Mauritania and Senegal. It also undertakes a proven basin exploration program in Equatorial Guinea and the U.S. Gulf of Mexico. Kosmos Energy Ltd. was founded in 2003 and is headquartered in Dallas, Texas.",236,"{'maxAge': 1, 'name': 'Mr. Todd  Niebruegge', 'title': 'SVP & Head of Mauritania -Senegal business unit', 'exercisedValue': 0, 'unexercisedValue': 0}",4,6,1,1,2,1693526400,1672444800,86400,2,7.29,7.2,7.14,7.3,7.29,7.2,7.14,7.3,1583280000,0.0,2.763139,15.955556,6.7735853,5071121,5071121,4928822,4095320,4095320,7.13,7.25,3000,800,3303582464,4.64,8.55,2.0180614,7.0604,6.8376,0.0,0.0,USD,5642157568,0.13111,451721603,460108992,23583999,25491743,1690761600,1693440000,0.0513,0.026870001,0.95318,5.07,0.0615,1.965,3.6539438,1672444800,1703980800,1688083200,-0.801,214632000,0.45,1.06,0.38,3.447,7.123,NYQ,EQUITY,KOS,KOS,Kosmos Energy Ltd.,Kosmos Energy Ltd.,1305120600,America/New_York,EDT,-14400000,7.18,13.0,8.5,9.89,9.2,2.0,buy,8,85729000,0.186,792080000,2373689088,0.352,0.801,1637008000,262.604,3.578,0.04816,0.27407,1840005000,-433553984,744252992,-0.8,-0.559,0.79525,0.48386002,0.22919,USD,
