,address1,city,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,374 rue Saint-Honoré,Paris,75001,France,33 1 56 43 70 20,https://www.boursedirect.fr,Capital Markets,Financial Services,"Bourse Direct SA provides Internet stock brokerage services in France. It offers a platform of services, tools, and financial products, including French and foreign equities, derivatives, trackers, warrants, certificates, turbos, mutual funds, UCITS, and CFDs, as well as tax exemption, retirement, real estate, and life insurance products through the boursedirect.fr, capitol.fr, tradebox.fr, abssysteme.fr, wargny.com, and mesactions.com sites. The company was founded in 1996 and is headquartered in Paris, France. Bourse Direct SA is a subsidiary of E-VIEL SA.",125,"{'maxAge': 1, 'name': 'Ms. Catherine  Nini', 'age': 54, 'title': 'Chairperson of the Management Board & CEO', 'yearBorn': 1968, 'fiscalYear': 2021, 'totalPay': 286546, 'exercisedValue': 0, 'unexercisedValue': 0}",9,10,8,2,10,1693526400,1640908800,86400,2,5.46,5.46,5.44,5.46,5.46,5.46,5.44,5.46,0.08,0.0147,1684713600,0.4443,0.988738,30.333332,13.65,1601,1601,6210,5533,5533,0.0,0.0,0,0,291181792,3.0,5.76,5.238496,5.053,4.24395,0.0,0.0,EUR,322090528,0.18219,10669723,53330000,0.87036,0.06093,1.32,4.1363635,1672444800,1703980800,1688083200,1.211,10127000,0.18,0.4,2:1,960249600,5.795,PAR,EQUITY,BSD.PA,BSD.PA,BOURSE DIRECT,Bourse Direct SA,923554800,Europe/Paris,CEST,7200000,5.46,none,29649000,0.556,59758000,0.92,0.98,55585000,83.925,1.007,0.00764,0.14887999,18131000,1.143,0.295,0.33174,0.0,0.25250998,EUR,
1,374 rue Saint-Honoré,Paris,75001,France,33 1 56 43 70 20,https://www.boursedirect.fr,Capital Markets,Financial Services,"Bourse Direct SA provides Internet stock brokerage services in France. It offers a platform of services, tools, and financial products, including French and foreign equities, derivatives, trackers, warrants, certificates, turbos, mutual funds, UCITS, and CFDs, as well as tax exemption, retirement, real estate, and life insurance products through the boursedirect.fr, capitol.fr, tradebox.fr, abssysteme.fr, wargny.com, and mesactions.com sites. The company was founded in 1996 and is headquartered in Paris, France. Bourse Direct SA is a subsidiary of E-VIEL SA.",125,"{'maxAge': 1, 'name': 'Ms. Virginie  de Vichet', 'age': 63, 'title': 'Deputy MD & Member of the Management Board', 'yearBorn': 1959, 'fiscalYear': 2021, 'totalPay': 274659, 'exercisedValue': 0, 'unexercisedValue': 0}",9,10,8,2,10,1693526400,1640908800,86400,2,5.46,5.46,5.44,5.46,5.46,5.46,5.44,5.46,0.08,0.0147,1684713600,0.4443,0.988738,30.333332,13.65,1601,1601,6210,5533,5533,0.0,0.0,0,0,291181792,3.0,5.76,5.238496,5.053,4.24395,0.0,0.0,EUR,322090528,0.18219,10669723,53330000,0.87036,0.06093,1.32,4.1363635,1672444800,1703980800,1688083200,1.211,10127000,0.18,0.4,2:1,960249600,5.795,PAR,EQUITY,BSD.PA,BSD.PA,BOURSE DIRECT,Bourse Direct SA,923554800,Europe/Paris,CEST,7200000,5.46,none,29649000,0.556,59758000,0.92,0.98,55585000,83.925,1.007,0.00764,0.14887999,18131000,1.143,0.295,0.33174,0.0,0.25250998,EUR,
