,address1,address2,city,zip,country,phone,fax,website,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Bergen House,Crawpeel Road Altens,Aberdeen,AB12 3LG,United Kingdom,44 1224 856 000,44 1224 856 001,https://www.odfjelldrilling.com,"Odfjell Drilling Ltd. owns and operates mobile offshore drilling units primarily in Norway and Namibia. The company operates in two segments, Own Fleet and External Fleet. It offers management services to other owners of drilling units, such as operational management, regulatory requirements management, marketing, contract negotiations and client relations, and operation and mobilization preparation services. The company was founded in 1914 and is headquartered in Aberdeen, the United Kingdom. Odfjell Drilling Ltd. is a subsidiary of Odfjell Partners Holding Ltd.",1358,"{'maxAge': 1, 'name': 'Mr. Kjetil  Gjersdal', 'age': 52, 'title': 'Chief Exec. Officer', 'yearBorn': 1970, 'fiscalYear': 2022, 'totalPay': 699712, 'exercisedValue': 0, 'unexercisedValue': 0}",1,9,10,6,10,1693526400,1672444800,86400,2,20.7,20.9,20.9,20.9,20.7,20.9,20.9,20.9,1.801426,869,869,72681,66215,66215,20.9,30.15,26.663061,26.066614,0.06,0.0028985506,NOK,9203477504,0.07839,91845836,0.62029,0.11769,5.11,4.090019,1672444800,1703980800,1688083200,-0.479,49900000,13.41,31.89,LSE,EQUITY,0QHX.L,0QHX.L,Odfjell Drilling Ltd.,1386748800,Europe/London,BST,3600000,20.9,none,120700000,0.51,288600000,823500032,0.86,0.895,686300032,68.047,2.898,0.03983,0.04355,649500000,158976992,263900000,-0.398,0.127,1.0,0.42051,0.20458001,USD,
1,Bergen House,Crawpeel Road Altens,Aberdeen,AB12 3LG,United Kingdom,44 1224 856 000,44 1224 856 001,https://www.odfjelldrilling.com,"Odfjell Drilling Ltd. owns and operates mobile offshore drilling units primarily in Norway and Namibia. The company operates in two segments, Own Fleet and External Fleet. It offers management services to other owners of drilling units, such as operational management, regulatory requirements management, marketing, contract negotiations and client relations, and operation and mobilization preparation services. The company was founded in 1914 and is headquartered in Aberdeen, the United Kingdom. Odfjell Drilling Ltd. is a subsidiary of Odfjell Partners Holding Ltd.",1358,"{'maxAge': 1, 'name': 'Mr. Frode  Syslak', 'age': 42, 'title': 'Chief Financial Officer', 'yearBorn': 1980, 'fiscalYear': 2022, 'totalPay': 342670, 'exercisedValue': 0, 'unexercisedValue': 0}",1,9,10,6,10,1693526400,1672444800,86400,2,20.7,20.9,20.9,20.9,20.7,20.9,20.9,20.9,1.801426,869,869,72681,66215,66215,20.9,30.15,26.663061,26.066614,0.06,0.0028985506,NOK,9203477504,0.07839,91845836,0.62029,0.11769,5.11,4.090019,1672444800,1703980800,1688083200,-0.479,49900000,13.41,31.89,LSE,EQUITY,0QHX.L,0QHX.L,Odfjell Drilling Ltd.,1386748800,Europe/London,BST,3600000,20.9,none,120700000,0.51,288600000,823500032,0.86,0.895,686300032,68.047,2.898,0.03983,0.04355,649500000,158976992,263900000,-0.398,0.127,1.0,0.42051,0.20458001,USD,
2,Bergen House,Crawpeel Road Altens,Aberdeen,AB12 3LG,United Kingdom,44 1224 856 000,44 1224 856 001,https://www.odfjelldrilling.com,"Odfjell Drilling Ltd. owns and operates mobile offshore drilling units primarily in Norway and Namibia. The company operates in two segments, Own Fleet and External Fleet. It offers management services to other owners of drilling units, such as operational management, regulatory requirements management, marketing, contract negotiations and client relations, and operation and mobilization preparation services. The company was founded in 1914 and is headquartered in Aberdeen, the United Kingdom. Odfjell Drilling Ltd. is a subsidiary of Odfjell Partners Holding Ltd.",1358,"{'maxAge': 1, 'name': 'Ms. Diane  Stephen', 'age': 53, 'title': 'Gen. Mang.', 'yearBorn': 1969, 'fiscalYear': 2022, 'totalPay': 152000, 'exercisedValue': 0, 'unexercisedValue': 0}",1,9,10,6,10,1693526400,1672444800,86400,2,20.7,20.9,20.9,20.9,20.7,20.9,20.9,20.9,1.801426,869,869,72681,66215,66215,20.9,30.15,26.663061,26.066614,0.06,0.0028985506,NOK,9203477504,0.07839,91845836,0.62029,0.11769,5.11,4.090019,1672444800,1703980800,1688083200,-0.479,49900000,13.41,31.89,LSE,EQUITY,0QHX.L,0QHX.L,Odfjell Drilling Ltd.,1386748800,Europe/London,BST,3600000,20.9,none,120700000,0.51,288600000,823500032,0.86,0.895,686300032,68.047,2.898,0.03983,0.04355,649500000,158976992,263900000,-0.398,0.127,1.0,0.42051,0.20458001,USD,
3,Bergen House,Crawpeel Road Altens,Aberdeen,AB12 3LG,United Kingdom,44 1224 856 000,44 1224 856 001,https://www.odfjelldrilling.com,"Odfjell Drilling Ltd. owns and operates mobile offshore drilling units primarily in Norway and Namibia. The company operates in two segments, Own Fleet and External Fleet. It offers management services to other owners of drilling units, such as operational management, regulatory requirements management, marketing, contract negotiations and client relations, and operation and mobilization preparation services. The company was founded in 1914 and is headquartered in Aberdeen, the United Kingdom. Odfjell Drilling Ltd. is a subsidiary of Odfjell Partners Holding Ltd.",1358,"{'maxAge': 1, 'name': 'Mr. Jakob  Korsgaard', 'age': 51, 'title': 'Chief Operating Officer', 'yearBorn': 1971, 'exercisedValue': 0, 'unexercisedValue': 0}",1,9,10,6,10,1693526400,1672444800,86400,2,20.7,20.9,20.9,20.9,20.7,20.9,20.9,20.9,1.801426,869,869,72681,66215,66215,20.9,30.15,26.663061,26.066614,0.06,0.0028985506,NOK,9203477504,0.07839,91845836,0.62029,0.11769,5.11,4.090019,1672444800,1703980800,1688083200,-0.479,49900000,13.41,31.89,LSE,EQUITY,0QHX.L,0QHX.L,Odfjell Drilling Ltd.,1386748800,Europe/London,BST,3600000,20.9,none,120700000,0.51,288600000,823500032,0.86,0.895,686300032,68.047,2.898,0.03983,0.04355,649500000,158976992,263900000,-0.398,0.127,1.0,0.42051,0.20458001,USD,
4,Bergen House,Crawpeel Road Altens,Aberdeen,AB12 3LG,United Kingdom,44 1224 856 000,44 1224 856 001,https://www.odfjelldrilling.com,"Odfjell Drilling Ltd. owns and operates mobile offshore drilling units primarily in Norway and Namibia. The company operates in two segments, Own Fleet and External Fleet. It offers management services to other owners of drilling units, such as operational management, regulatory requirements management, marketing, contract negotiations and client relations, and operation and mobilization preparation services. The company was founded in 1914 and is headquartered in Aberdeen, the United Kingdom. Odfjell Drilling Ltd. is a subsidiary of Odfjell Partners Holding Ltd.",1358,"{'maxAge': 1, 'name': 'Mr. Hakon  Klepsvik', 'age': 47, 'title': 'Chief Technology Officer', 'yearBorn': 1975, 'exercisedValue': 0, 'unexercisedValue': 0}",1,9,10,6,10,1693526400,1672444800,86400,2,20.7,20.9,20.9,20.9,20.7,20.9,20.9,20.9,1.801426,869,869,72681,66215,66215,20.9,30.15,26.663061,26.066614,0.06,0.0028985506,NOK,9203477504,0.07839,91845836,0.62029,0.11769,5.11,4.090019,1672444800,1703980800,1688083200,-0.479,49900000,13.41,31.89,LSE,EQUITY,0QHX.L,0QHX.L,Odfjell Drilling Ltd.,1386748800,Europe/London,BST,3600000,20.9,none,120700000,0.51,288600000,823500032,0.86,0.895,686300032,68.047,2.898,0.03983,0.04355,649500000,158976992,263900000,-0.398,0.127,1.0,0.42051,0.20458001,USD,
5,Bergen House,Crawpeel Road Altens,Aberdeen,AB12 3LG,United Kingdom,44 1224 856 000,44 1224 856 001,https://www.odfjelldrilling.com,"Odfjell Drilling Ltd. owns and operates mobile offshore drilling units primarily in Norway and Namibia. The company operates in two segments, Own Fleet and External Fleet. It offers management services to other owners of drilling units, such as operational management, regulatory requirements management, marketing, contract negotiations and client relations, and operation and mobilization preparation services. The company was founded in 1914 and is headquartered in Aberdeen, the United Kingdom. Odfjell Drilling Ltd. is a subsidiary of Odfjell Partners Holding Ltd.",1358,"{'maxAge': 1, 'name': 'Mr. James Hugh Crothers', 'title': 'Investor Relations Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1,9,10,6,10,1693526400,1672444800,86400,2,20.7,20.9,20.9,20.9,20.7,20.9,20.9,20.9,1.801426,869,869,72681,66215,66215,20.9,30.15,26.663061,26.066614,0.06,0.0028985506,NOK,9203477504,0.07839,91845836,0.62029,0.11769,5.11,4.090019,1672444800,1703980800,1688083200,-0.479,49900000,13.41,31.89,LSE,EQUITY,0QHX.L,0QHX.L,Odfjell Drilling Ltd.,1386748800,Europe/London,BST,3600000,20.9,none,120700000,0.51,288600000,823500032,0.86,0.895,686300032,68.047,2.898,0.03983,0.04355,649500000,158976992,263900000,-0.398,0.127,1.0,0.42051,0.20458001,USD,
6,Bergen House,Crawpeel Road Altens,Aberdeen,AB12 3LG,United Kingdom,44 1224 856 000,44 1224 856 001,https://www.odfjelldrilling.com,"Odfjell Drilling Ltd. owns and operates mobile offshore drilling units primarily in Norway and Namibia. The company operates in two segments, Own Fleet and External Fleet. It offers management services to other owners of drilling units, such as operational management, regulatory requirements management, marketing, contract negotiations and client relations, and operation and mobilization preparation services. The company was founded in 1914 and is headquartered in Aberdeen, the United Kingdom. Odfjell Drilling Ltd. is a subsidiary of Odfjell Partners Holding Ltd.",1358,"{'maxAge': 1, 'name': 'Ms. Cecilie Isdahl Gjelsvik', 'age': 42, 'title': 'Gen. Counsel', 'yearBorn': 1980, 'exercisedValue': 0, 'unexercisedValue': 0}",1,9,10,6,10,1693526400,1672444800,86400,2,20.7,20.9,20.9,20.9,20.7,20.9,20.9,20.9,1.801426,869,869,72681,66215,66215,20.9,30.15,26.663061,26.066614,0.06,0.0028985506,NOK,9203477504,0.07839,91845836,0.62029,0.11769,5.11,4.090019,1672444800,1703980800,1688083200,-0.479,49900000,13.41,31.89,LSE,EQUITY,0QHX.L,0QHX.L,Odfjell Drilling Ltd.,1386748800,Europe/London,BST,3600000,20.9,none,120700000,0.51,288600000,823500032,0.86,0.895,686300032,68.047,2.898,0.03983,0.04355,649500000,158976992,263900000,-0.398,0.127,1.0,0.42051,0.20458001,USD,
7,Bergen House,Crawpeel Road Altens,Aberdeen,AB12 3LG,United Kingdom,44 1224 856 000,44 1224 856 001,https://www.odfjelldrilling.com,"Odfjell Drilling Ltd. owns and operates mobile offshore drilling units primarily in Norway and Namibia. The company operates in two segments, Own Fleet and External Fleet. It offers management services to other owners of drilling units, such as operational management, regulatory requirements management, marketing, contract negotiations and client relations, and operation and mobilization preparation services. The company was founded in 1914 and is headquartered in Aberdeen, the United Kingdom. Odfjell Drilling Ltd. is a subsidiary of Odfjell Partners Holding Ltd.",1358,"{'maxAge': 1, 'name': 'Mr. Helge  Maubach', 'age': 50, 'title': 'Sr. VP of HR', 'yearBorn': 1972, 'exercisedValue': 0, 'unexercisedValue': 0}",1,9,10,6,10,1693526400,1672444800,86400,2,20.7,20.9,20.9,20.9,20.7,20.9,20.9,20.9,1.801426,869,869,72681,66215,66215,20.9,30.15,26.663061,26.066614,0.06,0.0028985506,NOK,9203477504,0.07839,91845836,0.62029,0.11769,5.11,4.090019,1672444800,1703980800,1688083200,-0.479,49900000,13.41,31.89,LSE,EQUITY,0QHX.L,0QHX.L,Odfjell Drilling Ltd.,1386748800,Europe/London,BST,3600000,20.9,none,120700000,0.51,288600000,823500032,0.86,0.895,686300032,68.047,2.898,0.03983,0.04355,649500000,158976992,263900000,-0.398,0.127,1.0,0.42051,0.20458001,USD,
8,Bergen House,Crawpeel Road Altens,Aberdeen,AB12 3LG,United Kingdom,44 1224 856 000,44 1224 856 001,https://www.odfjelldrilling.com,"Odfjell Drilling Ltd. owns and operates mobile offshore drilling units primarily in Norway and Namibia. The company operates in two segments, Own Fleet and External Fleet. It offers management services to other owners of drilling units, such as operational management, regulatory requirements management, marketing, contract negotiations and client relations, and operation and mobilization preparation services. The company was founded in 1914 and is headquartered in Aberdeen, the United Kingdom. Odfjell Drilling Ltd. is a subsidiary of Odfjell Partners Holding Ltd.",1358,"{'maxAge': 1, 'name': 'Ms. Janike A. Myre', 'age': 60, 'title': 'Sr. VP of QHSE', 'yearBorn': 1962, 'exercisedValue': 0, 'unexercisedValue': 0}",1,9,10,6,10,1693526400,1672444800,86400,2,20.7,20.9,20.9,20.9,20.7,20.9,20.9,20.9,1.801426,869,869,72681,66215,66215,20.9,30.15,26.663061,26.066614,0.06,0.0028985506,NOK,9203477504,0.07839,91845836,0.62029,0.11769,5.11,4.090019,1672444800,1703980800,1688083200,-0.479,49900000,13.41,31.89,LSE,EQUITY,0QHX.L,0QHX.L,Odfjell Drilling Ltd.,1386748800,Europe/London,BST,3600000,20.9,none,120700000,0.51,288600000,823500032,0.86,0.895,686300032,68.047,2.898,0.03983,0.04355,649500000,158976992,263900000,-0.398,0.127,1.0,0.42051,0.20458001,USD,
9,Bergen House,Crawpeel Road Altens,Aberdeen,AB12 3LG,United Kingdom,44 1224 856 000,44 1224 856 001,https://www.odfjelldrilling.com,"Odfjell Drilling Ltd. owns and operates mobile offshore drilling units primarily in Norway and Namibia. The company operates in two segments, Own Fleet and External Fleet. It offers management services to other owners of drilling units, such as operational management, regulatory requirements management, marketing, contract negotiations and client relations, and operation and mobilization preparation services. The company was founded in 1914 and is headquartered in Aberdeen, the United Kingdom. Odfjell Drilling Ltd. is a subsidiary of Odfjell Partners Holding Ltd.",1358,"{'maxAge': 1, 'name': 'Mr. Michael Boysen Nielsen', 'age': 55, 'title': 'Exec. VP of Bus. Devel. & Chief Commercial Officer', 'yearBorn': 1967, 'exercisedValue': 0, 'unexercisedValue': 0}",1,9,10,6,10,1693526400,1672444800,86400,2,20.7,20.9,20.9,20.9,20.7,20.9,20.9,20.9,1.801426,869,869,72681,66215,66215,20.9,30.15,26.663061,26.066614,0.06,0.0028985506,NOK,9203477504,0.07839,91845836,0.62029,0.11769,5.11,4.090019,1672444800,1703980800,1688083200,-0.479,49900000,13.41,31.89,LSE,EQUITY,0QHX.L,0QHX.L,Odfjell Drilling Ltd.,1386748800,Europe/London,BST,3600000,20.9,none,120700000,0.51,288600000,823500032,0.86,0.895,686300032,68.047,2.898,0.03983,0.04355,649500000,158976992,263900000,-0.398,0.127,1.0,0.42051,0.20458001,USD,
