,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,revenuePerShare,returnOnAssets,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,8101 East Prentice Avenue,Suite 500,Greenwood Village,CO,80111,United States,720 486 5309,https://www.cannagrowholdings.com,Specialty Business Services,Industrials,"CannaGrow Holdings, Inc. develops, designs, and builds grow facilities for legal cannabis industry in the State of Colorado. It offers design, permitting, development and construction, site management, staffing, research, and other professional services. The company was formerly known as BizAuctions, Inc. and changed its name to CannaGrow Holdings, Inc. in November 2014. CannaGrow Holdings, Inc. was incorporated in 2014 and is based in Greenwood Village, Colorado.",5,"{'maxAge': 1, 'name': 'Mr. Delmar A. Janovec', 'title': 'CEO & Pres', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.0171,0.02,0.018,0.02,0.0171,0.02,0.018,0.02,1.375172,31874,31874,30851,44600,44600,0.0,0.0,0,0,1924206,0.01,0.05,1.1622051,0.012,0.01615,0.0,0.0,USD,2545300,-1.19255,101274000,0.0,0.0,-1.184,1325289600,1356912000,1333152000,-0.896,-1974447,-1.867,1:17000,1329782400,1.537,-1.844,PNK,EQUITY,CGRW,CGRW,CANNAGROW HOLDINGS INC,"CannaGrow Holdings, Inc",1331731800,America/New_York,EDT,-14400000,0.019,none,26395,0.011,-1380086,2472633,0.074,0.104,1655651,1.566,-0.74399,-101974,464719,-473591,-0.948,-0.933,-0.12101,-0.83356005,-0.85366994,USD,
1,8101 East Prentice Avenue,Suite 500,Greenwood Village,CO,80111,United States,720 486 5309,https://www.cannagrowholdings.com,Specialty Business Services,Industrials,"CannaGrow Holdings, Inc. develops, designs, and builds grow facilities for legal cannabis industry in the State of Colorado. It offers design, permitting, development and construction, site management, staffing, research, and other professional services. The company was formerly known as BizAuctions, Inc. and changed its name to CannaGrow Holdings, Inc. in November 2014. CannaGrow Holdings, Inc. was incorporated in 2014 and is based in Greenwood Village, Colorado.",5,"{'maxAge': 1, 'name': 'Mr. Brent  Crouch', 'title': 'Chief Financial Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.0171,0.02,0.018,0.02,0.0171,0.02,0.018,0.02,1.375172,31874,31874,30851,44600,44600,0.0,0.0,0,0,1924206,0.01,0.05,1.1622051,0.012,0.01615,0.0,0.0,USD,2545300,-1.19255,101274000,0.0,0.0,-1.184,1325289600,1356912000,1333152000,-0.896,-1974447,-1.867,1:17000,1329782400,1.537,-1.844,PNK,EQUITY,CGRW,CGRW,CANNAGROW HOLDINGS INC,"CannaGrow Holdings, Inc",1331731800,America/New_York,EDT,-14400000,0.019,none,26395,0.011,-1380086,2472633,0.074,0.104,1655651,1.566,-0.74399,-101974,464719,-473591,-0.948,-0.933,-0.12101,-0.83356005,-0.85366994,USD,
