,address1,address2,city,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,No. 1299 Fenghua Road,Jiading District,Shanghai,201803,China,86 21 6195 2011,https://ir.hworld.com,Lodging,Consumer Cyclical,"H World Group Limited, together with its subsidiaries, develops leased and owned, manachised, and franchised hotels primarily in the People's Republic of China. The company operates hotels under its own brands, such as HanTing Hotel, Ni Hao Hotel, Hi Inn, Elan Hotel, Zleep Hotels, Ibis Hotel, JI Hotel, Orange Hotel, Starway Hotel, Ibis Styles Hotel, CitiGO Hotel, Crystal Orange Hotel, IntercityHotel, Manxin Hotel, Mercure Hotel, Madison Hotel, Novotel Hotel, Joya Hotel, Blossom House, Steigenberger Hotels & Resorts, MAXX by Steigenberger, Jaz in the City, Grand Mercure, Steigenberger Icon, and Song Hotels. The company was formerly known as Huazhu Group Limited and changed its name to H World Group Limited in June 2022. The company was founded in 2005 and is headquartered in Shanghai, the People's Republic of China.",24335,"{'maxAge': 1, 'name': 'Mr. Qi  Ji', 'age': 55, 'title': 'Founder & Exec. Chairman', 'yearBorn': 1967, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,40.76,40.75,40.3,41.17,40.76,40.75,40.3,41.17,1647993600,0.0,1.072614,88.32609,22.324175,714202,714202,1247864,1151250,1151250,40.59,40.65,800,900,13188458496,24.38,53.52,0.74055016,42.9494,44.60845,0.0,0.0,USD,44920131584,0.065359995,198232926,318692992,12036386,9846575,1690761600,1693440000,0.0378,0.01022,0.50048,8.43,40.79,0.9960775,1672444800,1703980800,1688083200,1164000000,0.46,1.82,6.94,4:1,1527206400,2.522,11.571,NMS,EQUITY,HTHT,HTHT,H World Group Limited,H World Group Limited,1269610200,America/New_York,EDT,-14400000,40.63,63.93,45.95,56.36,57.94,1.6,buy,14,8064999936,25.303,3881999872,39934001152,0.58,0.671,17809000448,304.793,56.631,0.02456,0.10639,4324125184,5577999872,0.635,0.2565,0.21798,0.13785,CNY,
1,No. 1299 Fenghua Road,Jiading District,Shanghai,201803,China,86 21 6195 2011,https://ir.hworld.com,Lodging,Consumer Cyclical,"H World Group Limited, together with its subsidiaries, develops leased and owned, manachised, and franchised hotels primarily in the People's Republic of China. The company operates hotels under its own brands, such as HanTing Hotel, Ni Hao Hotel, Hi Inn, Elan Hotel, Zleep Hotels, Ibis Hotel, JI Hotel, Orange Hotel, Starway Hotel, Ibis Styles Hotel, CitiGO Hotel, Crystal Orange Hotel, IntercityHotel, Manxin Hotel, Mercure Hotel, Madison Hotel, Novotel Hotel, Joya Hotel, Blossom House, Steigenberger Hotels & Resorts, MAXX by Steigenberger, Jaz in the City, Grand Mercure, Steigenberger Icon, and Song Hotels. The company was formerly known as Huazhu Group Limited and changed its name to H World Group Limited in June 2022. The company was founded in 2005 and is headquartered in Shanghai, the People's Republic of China.",24335,"{'maxAge': 1, 'name': 'Mr. Jiong  Wu', 'age': 54, 'title': 'Co-Founder & Independent Director', 'yearBorn': 1968, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,40.76,40.75,40.3,41.17,40.76,40.75,40.3,41.17,1647993600,0.0,1.072614,88.32609,22.324175,714202,714202,1247864,1151250,1151250,40.59,40.65,800,900,13188458496,24.38,53.52,0.74055016,42.9494,44.60845,0.0,0.0,USD,44920131584,0.065359995,198232926,318692992,12036386,9846575,1690761600,1693440000,0.0378,0.01022,0.50048,8.43,40.79,0.9960775,1672444800,1703980800,1688083200,1164000000,0.46,1.82,6.94,4:1,1527206400,2.522,11.571,NMS,EQUITY,HTHT,HTHT,H World Group Limited,H World Group Limited,1269610200,America/New_York,EDT,-14400000,40.63,63.93,45.95,56.36,57.94,1.6,buy,14,8064999936,25.303,3881999872,39934001152,0.58,0.671,17809000448,304.793,56.631,0.02456,0.10639,4324125184,5577999872,0.635,0.2565,0.21798,0.13785,CNY,
2,No. 1299 Fenghua Road,Jiading District,Shanghai,201803,China,86 21 6195 2011,https://ir.hworld.com,Lodging,Consumer Cyclical,"H World Group Limited, together with its subsidiaries, develops leased and owned, manachised, and franchised hotels primarily in the People's Republic of China. The company operates hotels under its own brands, such as HanTing Hotel, Ni Hao Hotel, Hi Inn, Elan Hotel, Zleep Hotels, Ibis Hotel, JI Hotel, Orange Hotel, Starway Hotel, Ibis Styles Hotel, CitiGO Hotel, Crystal Orange Hotel, IntercityHotel, Manxin Hotel, Mercure Hotel, Madison Hotel, Novotel Hotel, Joya Hotel, Blossom House, Steigenberger Hotels & Resorts, MAXX by Steigenberger, Jaz in the City, Grand Mercure, Steigenberger Icon, and Song Hotels. The company was formerly known as Huazhu Group Limited and changed its name to H World Group Limited in June 2022. The company was founded in 2005 and is headquartered in Shanghai, the People's Republic of China.",24335,"{'maxAge': 1, 'name': 'Ms. Tong Tong  Zhao', 'age': 55, 'title': 'Co-Founder & Independent Director', 'yearBorn': 1967, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,40.76,40.75,40.3,41.17,40.76,40.75,40.3,41.17,1647993600,0.0,1.072614,88.32609,22.324175,714202,714202,1247864,1151250,1151250,40.59,40.65,800,900,13188458496,24.38,53.52,0.74055016,42.9494,44.60845,0.0,0.0,USD,44920131584,0.065359995,198232926,318692992,12036386,9846575,1690761600,1693440000,0.0378,0.01022,0.50048,8.43,40.79,0.9960775,1672444800,1703980800,1688083200,1164000000,0.46,1.82,6.94,4:1,1527206400,2.522,11.571,NMS,EQUITY,HTHT,HTHT,H World Group Limited,H World Group Limited,1269610200,America/New_York,EDT,-14400000,40.63,63.93,45.95,56.36,57.94,1.6,buy,14,8064999936,25.303,3881999872,39934001152,0.58,0.671,17809000448,304.793,56.631,0.02456,0.10639,4324125184,5577999872,0.635,0.2565,0.21798,0.13785,CNY,
3,No. 1299 Fenghua Road,Jiading District,Shanghai,201803,China,86 21 6195 2011,https://ir.hworld.com,Lodging,Consumer Cyclical,"H World Group Limited, together with its subsidiaries, develops leased and owned, manachised, and franchised hotels primarily in the People's Republic of China. The company operates hotels under its own brands, such as HanTing Hotel, Ni Hao Hotel, Hi Inn, Elan Hotel, Zleep Hotels, Ibis Hotel, JI Hotel, Orange Hotel, Starway Hotel, Ibis Styles Hotel, CitiGO Hotel, Crystal Orange Hotel, IntercityHotel, Manxin Hotel, Mercure Hotel, Madison Hotel, Novotel Hotel, Joya Hotel, Blossom House, Steigenberger Hotels & Resorts, MAXX by Steigenberger, Jaz in the City, Grand Mercure, Steigenberger Icon, and Song Hotels. The company was formerly known as Huazhu Group Limited and changed its name to H World Group Limited in June 2022. The company was founded in 2005 and is headquartered in Shanghai, the People's Republic of China.",24335,"{'maxAge': 1, 'name': 'Mr. Hui  Jin', 'age': 44, 'title': 'Chief Exec. Officer', 'yearBorn': 1978, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,40.76,40.75,40.3,41.17,40.76,40.75,40.3,41.17,1647993600,0.0,1.072614,88.32609,22.324175,714202,714202,1247864,1151250,1151250,40.59,40.65,800,900,13188458496,24.38,53.52,0.74055016,42.9494,44.60845,0.0,0.0,USD,44920131584,0.065359995,198232926,318692992,12036386,9846575,1690761600,1693440000,0.0378,0.01022,0.50048,8.43,40.79,0.9960775,1672444800,1703980800,1688083200,1164000000,0.46,1.82,6.94,4:1,1527206400,2.522,11.571,NMS,EQUITY,HTHT,HTHT,H World Group Limited,H World Group Limited,1269610200,America/New_York,EDT,-14400000,40.63,63.93,45.95,56.36,57.94,1.6,buy,14,8064999936,25.303,3881999872,39934001152,0.58,0.671,17809000448,304.793,56.631,0.02456,0.10639,4324125184,5577999872,0.635,0.2565,0.21798,0.13785,CNY,
4,No. 1299 Fenghua Road,Jiading District,Shanghai,201803,China,86 21 6195 2011,https://ir.hworld.com,Lodging,Consumer Cyclical,"H World Group Limited, together with its subsidiaries, develops leased and owned, manachised, and franchised hotels primarily in the People's Republic of China. The company operates hotels under its own brands, such as HanTing Hotel, Ni Hao Hotel, Hi Inn, Elan Hotel, Zleep Hotels, Ibis Hotel, JI Hotel, Orange Hotel, Starway Hotel, Ibis Styles Hotel, CitiGO Hotel, Crystal Orange Hotel, IntercityHotel, Manxin Hotel, Mercure Hotel, Madison Hotel, Novotel Hotel, Joya Hotel, Blossom House, Steigenberger Hotels & Resorts, MAXX by Steigenberger, Jaz in the City, Grand Mercure, Steigenberger Icon, and Song Hotels. The company was formerly known as Huazhu Group Limited and changed its name to H World Group Limited in June 2022. The company was founded in 2005 and is headquartered in Shanghai, the People's Republic of China.",24335,"{'maxAge': 1, 'name': 'Ms. Xinxin  Liu', 'age': 44, 'title': 'Pres', 'yearBorn': 1978, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,40.76,40.75,40.3,41.17,40.76,40.75,40.3,41.17,1647993600,0.0,1.072614,88.32609,22.324175,714202,714202,1247864,1151250,1151250,40.59,40.65,800,900,13188458496,24.38,53.52,0.74055016,42.9494,44.60845,0.0,0.0,USD,44920131584,0.065359995,198232926,318692992,12036386,9846575,1690761600,1693440000,0.0378,0.01022,0.50048,8.43,40.79,0.9960775,1672444800,1703980800,1688083200,1164000000,0.46,1.82,6.94,4:1,1527206400,2.522,11.571,NMS,EQUITY,HTHT,HTHT,H World Group Limited,H World Group Limited,1269610200,America/New_York,EDT,-14400000,40.63,63.93,45.95,56.36,57.94,1.6,buy,14,8064999936,25.303,3881999872,39934001152,0.58,0.671,17809000448,304.793,56.631,0.02456,0.10639,4324125184,5577999872,0.635,0.2565,0.21798,0.13785,CNY,
5,No. 1299 Fenghua Road,Jiading District,Shanghai,201803,China,86 21 6195 2011,https://ir.hworld.com,Lodging,Consumer Cyclical,"H World Group Limited, together with its subsidiaries, develops leased and owned, manachised, and franchised hotels primarily in the People's Republic of China. The company operates hotels under its own brands, such as HanTing Hotel, Ni Hao Hotel, Hi Inn, Elan Hotel, Zleep Hotels, Ibis Hotel, JI Hotel, Orange Hotel, Starway Hotel, Ibis Styles Hotel, CitiGO Hotel, Crystal Orange Hotel, IntercityHotel, Manxin Hotel, Mercure Hotel, Madison Hotel, Novotel Hotel, Joya Hotel, Blossom House, Steigenberger Hotels & Resorts, MAXX by Steigenberger, Jaz in the City, Grand Mercure, Steigenberger Icon, and Song Hotels. The company was formerly known as Huazhu Group Limited and changed its name to H World Group Limited in June 2022. The company was founded in 2005 and is headquartered in Shanghai, the People's Republic of China.",24335,"{'maxAge': 1, 'name': 'Ms. Jihong  He', 'age': 51, 'title': 'Chief Financial Officer', 'yearBorn': 1971, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,40.76,40.75,40.3,41.17,40.76,40.75,40.3,41.17,1647993600,0.0,1.072614,88.32609,22.324175,714202,714202,1247864,1151250,1151250,40.59,40.65,800,900,13188458496,24.38,53.52,0.74055016,42.9494,44.60845,0.0,0.0,USD,44920131584,0.065359995,198232926,318692992,12036386,9846575,1690761600,1693440000,0.0378,0.01022,0.50048,8.43,40.79,0.9960775,1672444800,1703980800,1688083200,1164000000,0.46,1.82,6.94,4:1,1527206400,2.522,11.571,NMS,EQUITY,HTHT,HTHT,H World Group Limited,H World Group Limited,1269610200,America/New_York,EDT,-14400000,40.63,63.93,45.95,56.36,57.94,1.6,buy,14,8064999936,25.303,3881999872,39934001152,0.58,0.671,17809000448,304.793,56.631,0.02456,0.10639,4324125184,5577999872,0.635,0.2565,0.21798,0.13785,CNY,
6,No. 1299 Fenghua Road,Jiading District,Shanghai,201803,China,86 21 6195 2011,https://ir.hworld.com,Lodging,Consumer Cyclical,"H World Group Limited, together with its subsidiaries, develops leased and owned, manachised, and franchised hotels primarily in the People's Republic of China. The company operates hotels under its own brands, such as HanTing Hotel, Ni Hao Hotel, Hi Inn, Elan Hotel, Zleep Hotels, Ibis Hotel, JI Hotel, Orange Hotel, Starway Hotel, Ibis Styles Hotel, CitiGO Hotel, Crystal Orange Hotel, IntercityHotel, Manxin Hotel, Mercure Hotel, Madison Hotel, Novotel Hotel, Joya Hotel, Blossom House, Steigenberger Hotels & Resorts, MAXX by Steigenberger, Jaz in the City, Grand Mercure, Steigenberger Icon, and Song Hotels. The company was formerly known as Huazhu Group Limited and changed its name to H World Group Limited in June 2022. The company was founded in 2005 and is headquartered in Shanghai, the People's Republic of China.",24335,"{'maxAge': 1, 'name': 'Mr. Dong  Li', 'title': 'Chief Accounting Officer & Deputy CFO', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,40.76,40.75,40.3,41.17,40.76,40.75,40.3,41.17,1647993600,0.0,1.072614,88.32609,22.324175,714202,714202,1247864,1151250,1151250,40.59,40.65,800,900,13188458496,24.38,53.52,0.74055016,42.9494,44.60845,0.0,0.0,USD,44920131584,0.065359995,198232926,318692992,12036386,9846575,1690761600,1693440000,0.0378,0.01022,0.50048,8.43,40.79,0.9960775,1672444800,1703980800,1688083200,1164000000,0.46,1.82,6.94,4:1,1527206400,2.522,11.571,NMS,EQUITY,HTHT,HTHT,H World Group Limited,H World Group Limited,1269610200,America/New_York,EDT,-14400000,40.63,63.93,45.95,56.36,57.94,1.6,buy,14,8064999936,25.303,3881999872,39934001152,0.58,0.671,17809000448,304.793,56.631,0.02456,0.10639,4324125184,5577999872,0.635,0.2565,0.21798,0.13785,CNY,
7,No. 1299 Fenghua Road,Jiading District,Shanghai,201803,China,86 21 6195 2011,https://ir.hworld.com,Lodging,Consumer Cyclical,"H World Group Limited, together with its subsidiaries, develops leased and owned, manachised, and franchised hotels primarily in the People's Republic of China. The company operates hotels under its own brands, such as HanTing Hotel, Ni Hao Hotel, Hi Inn, Elan Hotel, Zleep Hotels, Ibis Hotel, JI Hotel, Orange Hotel, Starway Hotel, Ibis Styles Hotel, CitiGO Hotel, Crystal Orange Hotel, IntercityHotel, Manxin Hotel, Mercure Hotel, Madison Hotel, Novotel Hotel, Joya Hotel, Blossom House, Steigenberger Hotels & Resorts, MAXX by Steigenberger, Jaz in the City, Grand Mercure, Steigenberger Icon, and Song Hotels. The company was formerly known as Huazhu Group Limited and changed its name to H World Group Limited in June 2022. The company was founded in 2005 and is headquartered in Shanghai, the People's Republic of China.",24335,"{'maxAge': 1, 'name': 'Mr. Jason  Chen', 'title': 'Investor Relations Director', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,40.76,40.75,40.3,41.17,40.76,40.75,40.3,41.17,1647993600,0.0,1.072614,88.32609,22.324175,714202,714202,1247864,1151250,1151250,40.59,40.65,800,900,13188458496,24.38,53.52,0.74055016,42.9494,44.60845,0.0,0.0,USD,44920131584,0.065359995,198232926,318692992,12036386,9846575,1690761600,1693440000,0.0378,0.01022,0.50048,8.43,40.79,0.9960775,1672444800,1703980800,1688083200,1164000000,0.46,1.82,6.94,4:1,1527206400,2.522,11.571,NMS,EQUITY,HTHT,HTHT,H World Group Limited,H World Group Limited,1269610200,America/New_York,EDT,-14400000,40.63,63.93,45.95,56.36,57.94,1.6,buy,14,8064999936,25.303,3881999872,39934001152,0.58,0.671,17809000448,304.793,56.631,0.02456,0.10639,4324125184,5577999872,0.635,0.2565,0.21798,0.13785,CNY,
8,No. 1299 Fenghua Road,Jiading District,Shanghai,201803,China,86 21 6195 2011,https://ir.hworld.com,Lodging,Consumer Cyclical,"H World Group Limited, together with its subsidiaries, develops leased and owned, manachised, and franchised hotels primarily in the People's Republic of China. The company operates hotels under its own brands, such as HanTing Hotel, Ni Hao Hotel, Hi Inn, Elan Hotel, Zleep Hotels, Ibis Hotel, JI Hotel, Orange Hotel, Starway Hotel, Ibis Styles Hotel, CitiGO Hotel, Crystal Orange Hotel, IntercityHotel, Manxin Hotel, Mercure Hotel, Madison Hotel, Novotel Hotel, Joya Hotel, Blossom House, Steigenberger Hotels & Resorts, MAXX by Steigenberger, Jaz in the City, Grand Mercure, Steigenberger Icon, and Song Hotels. The company was formerly known as Huazhu Group Limited and changed its name to H World Group Limited in June 2022. The company was founded in 2005 and is headquartered in Shanghai, the People's Republic of China.",24335,"{'maxAge': 1, 'name': 'Ms. Hui  Chen', 'age': 55, 'title': 'Chief Compliance Officer', 'yearBorn': 1967, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,40.76,40.75,40.3,41.17,40.76,40.75,40.3,41.17,1647993600,0.0,1.072614,88.32609,22.324175,714202,714202,1247864,1151250,1151250,40.59,40.65,800,900,13188458496,24.38,53.52,0.74055016,42.9494,44.60845,0.0,0.0,USD,44920131584,0.065359995,198232926,318692992,12036386,9846575,1690761600,1693440000,0.0378,0.01022,0.50048,8.43,40.79,0.9960775,1672444800,1703980800,1688083200,1164000000,0.46,1.82,6.94,4:1,1527206400,2.522,11.571,NMS,EQUITY,HTHT,HTHT,H World Group Limited,H World Group Limited,1269610200,America/New_York,EDT,-14400000,40.63,63.93,45.95,56.36,57.94,1.6,buy,14,8064999936,25.303,3881999872,39934001152,0.58,0.671,17809000448,304.793,56.631,0.02456,0.10639,4324125184,5577999872,0.635,0.2565,0.21798,0.13785,CNY,
9,No. 1299 Fenghua Road,Jiading District,Shanghai,201803,China,86 21 6195 2011,https://ir.hworld.com,Lodging,Consumer Cyclical,"H World Group Limited, together with its subsidiaries, develops leased and owned, manachised, and franchised hotels primarily in the People's Republic of China. The company operates hotels under its own brands, such as HanTing Hotel, Ni Hao Hotel, Hi Inn, Elan Hotel, Zleep Hotels, Ibis Hotel, JI Hotel, Orange Hotel, Starway Hotel, Ibis Styles Hotel, CitiGO Hotel, Crystal Orange Hotel, IntercityHotel, Manxin Hotel, Mercure Hotel, Madison Hotel, Novotel Hotel, Joya Hotel, Blossom House, Steigenberger Hotels & Resorts, MAXX by Steigenberger, Jaz in the City, Grand Mercure, Steigenberger Icon, and Song Hotels. The company was formerly known as Huazhu Group Limited and changed its name to H World Group Limited in June 2022. The company was founded in 2005 and is headquartered in Shanghai, the People's Republic of China.",24335,"{'maxAge': 1, 'name': 'Mr. Yao  Chen', 'title': 'Company Sec. & Director of Legal Affairs', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,40.76,40.75,40.3,41.17,40.76,40.75,40.3,41.17,1647993600,0.0,1.072614,88.32609,22.324175,714202,714202,1247864,1151250,1151250,40.59,40.65,800,900,13188458496,24.38,53.52,0.74055016,42.9494,44.60845,0.0,0.0,USD,44920131584,0.065359995,198232926,318692992,12036386,9846575,1690761600,1693440000,0.0378,0.01022,0.50048,8.43,40.79,0.9960775,1672444800,1703980800,1688083200,1164000000,0.46,1.82,6.94,4:1,1527206400,2.522,11.571,NMS,EQUITY,HTHT,HTHT,H World Group Limited,H World Group Limited,1269610200,America/New_York,EDT,-14400000,40.63,63.93,45.95,56.36,57.94,1.6,buy,14,8064999936,25.303,3881999872,39934001152,0.58,0.671,17809000448,304.793,56.631,0.02456,0.10639,4324125184,5577999872,0.635,0.2565,0.21798,0.13785,CNY,
