,address1,address2,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,2929 Arch Street,Suite 1800,Philadelphia,PA,19104-5054,United States,610 325 5600,610 325 5622,https://www.brandywinerealty.com,REIT—Office,Real Estate,"Brandywine Realty Trust (NYSE: BDN) is one of the largest, publicly traded, full-service, integrated real estate companies in the United States with a core focus in the Philadelphia and Austin markets. Organized as a real estate investment trust (REIT), we own, develop, lease and manage an urban, town center and transit-oriented portfolio comprising 162 properties and 22.8 million square feet as of June 30, 2023 which excludes assets held for sale. Our purpose is to shape, connect and inspire the world around us through our expertise, the relationships we foster, the communities in which we live and work, and the history we build together.",329,"{'maxAge': 1, 'name': 'Mr. Gerard H. Sweeney', 'age': 65, 'title': 'Pres, CEO & Trustee', 'yearBorn': 1957, 'fiscalYear': 2022, 'totalPay': 2485975, 'exercisedValue': 0, 'unexercisedValue': 0}",1,2,5,1,1,1693526400,1672444800,86400,2,5.01,5.01,4.915,5.06,5.01,5.01,4.915,5.06,0.76,0.1514,1688515200,5.4286,7.65,1.161134,35.857143,-23.904762,3780147,3780147,2099158,2234080,2234080,5.04,4.99,4000,3000,866522304,3.42,8.27,1.785705,4.8108,5.0869,0.76,0.1516966,USD,2996241152,0.051810004,168411329,172098000,12762182,13312747,1690761600,1693440000,0.074200004,0.02094,0.97160006,8.66,0.120900005,9.002,0.55765384,1672444800,1703980800,1688083200,24655000,0.14,-0.21,-4.77,1:3,848966400,6.175,13.179,NYQ,EQUITY,BDN,BDN,Brandywine Realty Trust,Brandywine Realty Trust,522595800,America/New_York,EDT,-14400000,5.02,7.0,2.75,5.05,6.0,3.1,hold,5,32111000,0.187,227352000,2157089024,1.497,1.916,485255008,138.572,2.826,0.0116,0.01573,290105000,99787504,192116992,-0.007,0.60085,0.46852002,0.15152,USD,
1,2929 Arch Street,Suite 1800,Philadelphia,PA,19104-5054,United States,610 325 5600,610 325 5622,https://www.brandywinerealty.com,REIT—Office,Real Estate,"Brandywine Realty Trust (NYSE: BDN) is one of the largest, publicly traded, full-service, integrated real estate companies in the United States with a core focus in the Philadelphia and Austin markets. Organized as a real estate investment trust (REIT), we own, develop, lease and manage an urban, town center and transit-oriented portfolio comprising 162 properties and 22.8 million square feet as of June 30, 2023 which excludes assets held for sale. Our purpose is to shape, connect and inspire the world around us through our expertise, the relationships we foster, the communities in which we live and work, and the history we build together.",329,"{'maxAge': 1, 'name': 'Mr. Thomas E. Wirth CPA, CPA', 'age': 60, 'title': 'Exec. VP & CFO', 'yearBorn': 1962, 'fiscalYear': 2022, 'totalPay': 974157, 'exercisedValue': 0, 'unexercisedValue': 0}",1,2,5,1,1,1693526400,1672444800,86400,2,5.01,5.01,4.915,5.06,5.01,5.01,4.915,5.06,0.76,0.1514,1688515200,5.4286,7.65,1.161134,35.857143,-23.904762,3780147,3780147,2099158,2234080,2234080,5.04,4.99,4000,3000,866522304,3.42,8.27,1.785705,4.8108,5.0869,0.76,0.1516966,USD,2996241152,0.051810004,168411329,172098000,12762182,13312747,1690761600,1693440000,0.074200004,0.02094,0.97160006,8.66,0.120900005,9.002,0.55765384,1672444800,1703980800,1688083200,24655000,0.14,-0.21,-4.77,1:3,848966400,6.175,13.179,NYQ,EQUITY,BDN,BDN,Brandywine Realty Trust,Brandywine Realty Trust,522595800,America/New_York,EDT,-14400000,5.02,7.0,2.75,5.05,6.0,3.1,hold,5,32111000,0.187,227352000,2157089024,1.497,1.916,485255008,138.572,2.826,0.0116,0.01573,290105000,99787504,192116992,-0.007,0.60085,0.46852002,0.15152,USD,
2,2929 Arch Street,Suite 1800,Philadelphia,PA,19104-5054,United States,610 325 5600,610 325 5622,https://www.brandywinerealty.com,REIT—Office,Real Estate,"Brandywine Realty Trust (NYSE: BDN) is one of the largest, publicly traded, full-service, integrated real estate companies in the United States with a core focus in the Philadelphia and Austin markets. Organized as a real estate investment trust (REIT), we own, develop, lease and manage an urban, town center and transit-oriented portfolio comprising 162 properties and 22.8 million square feet as of June 30, 2023 which excludes assets held for sale. Our purpose is to shape, connect and inspire the world around us through our expertise, the relationships we foster, the communities in which we live and work, and the history we build together.",329,"{'maxAge': 1, 'name': 'Mr. George D. Johnstone', 'age': 58, 'title': 'Exec. VP of Operations', 'yearBorn': 1964, 'fiscalYear': 2022, 'totalPay': 796840, 'exercisedValue': 0, 'unexercisedValue': 0}",1,2,5,1,1,1693526400,1672444800,86400,2,5.01,5.01,4.915,5.06,5.01,5.01,4.915,5.06,0.76,0.1514,1688515200,5.4286,7.65,1.161134,35.857143,-23.904762,3780147,3780147,2099158,2234080,2234080,5.04,4.99,4000,3000,866522304,3.42,8.27,1.785705,4.8108,5.0869,0.76,0.1516966,USD,2996241152,0.051810004,168411329,172098000,12762182,13312747,1690761600,1693440000,0.074200004,0.02094,0.97160006,8.66,0.120900005,9.002,0.55765384,1672444800,1703980800,1688083200,24655000,0.14,-0.21,-4.77,1:3,848966400,6.175,13.179,NYQ,EQUITY,BDN,BDN,Brandywine Realty Trust,Brandywine Realty Trust,522595800,America/New_York,EDT,-14400000,5.02,7.0,2.75,5.05,6.0,3.1,hold,5,32111000,0.187,227352000,2157089024,1.497,1.916,485255008,138.572,2.826,0.0116,0.01573,290105000,99787504,192116992,-0.007,0.60085,0.46852002,0.15152,USD,
3,2929 Arch Street,Suite 1800,Philadelphia,PA,19104-5054,United States,610 325 5600,610 325 5622,https://www.brandywinerealty.com,REIT—Office,Real Estate,"Brandywine Realty Trust (NYSE: BDN) is one of the largest, publicly traded, full-service, integrated real estate companies in the United States with a core focus in the Philadelphia and Austin markets. Organized as a real estate investment trust (REIT), we own, develop, lease and manage an urban, town center and transit-oriented portfolio comprising 162 properties and 22.8 million square feet as of June 30, 2023 which excludes assets held for sale. Our purpose is to shape, connect and inspire the world around us through our expertise, the relationships we foster, the communities in which we live and work, and the history we build together.",329,"{'maxAge': 1, 'name': 'Mr. H. Jeffrey DeVuono', 'age': 56, 'title': 'Exec. VP & Sr. MD of Life Sciences', 'yearBorn': 1966, 'fiscalYear': 2022, 'totalPay': 881571, 'exercisedValue': 0, 'unexercisedValue': 0}",1,2,5,1,1,1693526400,1672444800,86400,2,5.01,5.01,4.915,5.06,5.01,5.01,4.915,5.06,0.76,0.1514,1688515200,5.4286,7.65,1.161134,35.857143,-23.904762,3780147,3780147,2099158,2234080,2234080,5.04,4.99,4000,3000,866522304,3.42,8.27,1.785705,4.8108,5.0869,0.76,0.1516966,USD,2996241152,0.051810004,168411329,172098000,12762182,13312747,1690761600,1693440000,0.074200004,0.02094,0.97160006,8.66,0.120900005,9.002,0.55765384,1672444800,1703980800,1688083200,24655000,0.14,-0.21,-4.77,1:3,848966400,6.175,13.179,NYQ,EQUITY,BDN,BDN,Brandywine Realty Trust,Brandywine Realty Trust,522595800,America/New_York,EDT,-14400000,5.02,7.0,2.75,5.05,6.0,3.1,hold,5,32111000,0.187,227352000,2157089024,1.497,1.916,485255008,138.572,2.826,0.0116,0.01573,290105000,99787504,192116992,-0.007,0.60085,0.46852002,0.15152,USD,
4,2929 Arch Street,Suite 1800,Philadelphia,PA,19104-5054,United States,610 325 5600,610 325 5622,https://www.brandywinerealty.com,REIT—Office,Real Estate,"Brandywine Realty Trust (NYSE: BDN) is one of the largest, publicly traded, full-service, integrated real estate companies in the United States with a core focus in the Philadelphia and Austin markets. Organized as a real estate investment trust (REIT), we own, develop, lease and manage an urban, town center and transit-oriented portfolio comprising 162 properties and 22.8 million square feet as of June 30, 2023 which excludes assets held for sale. Our purpose is to shape, connect and inspire the world around us through our expertise, the relationships we foster, the communities in which we live and work, and the history we build together.",329,"{'maxAge': 1, 'name': 'Mr. William D. Redd', 'age': 66, 'title': 'Exec. VP & Sr. MD of Austin and Metro DC Regions', 'yearBorn': 1956, 'fiscalYear': 2022, 'totalPay': 802157, 'exercisedValue': 0, 'unexercisedValue': 0}",1,2,5,1,1,1693526400,1672444800,86400,2,5.01,5.01,4.915,5.06,5.01,5.01,4.915,5.06,0.76,0.1514,1688515200,5.4286,7.65,1.161134,35.857143,-23.904762,3780147,3780147,2099158,2234080,2234080,5.04,4.99,4000,3000,866522304,3.42,8.27,1.785705,4.8108,5.0869,0.76,0.1516966,USD,2996241152,0.051810004,168411329,172098000,12762182,13312747,1690761600,1693440000,0.074200004,0.02094,0.97160006,8.66,0.120900005,9.002,0.55765384,1672444800,1703980800,1688083200,24655000,0.14,-0.21,-4.77,1:3,848966400,6.175,13.179,NYQ,EQUITY,BDN,BDN,Brandywine Realty Trust,Brandywine Realty Trust,522595800,America/New_York,EDT,-14400000,5.02,7.0,2.75,5.05,6.0,3.1,hold,5,32111000,0.187,227352000,2157089024,1.497,1.916,485255008,138.572,2.826,0.0116,0.01573,290105000,99787504,192116992,-0.007,0.60085,0.46852002,0.15152,USD,
5,2929 Arch Street,Suite 1800,Philadelphia,PA,19104-5054,United States,610 325 5600,610 325 5622,https://www.brandywinerealty.com,REIT—Office,Real Estate,"Brandywine Realty Trust (NYSE: BDN) is one of the largest, publicly traded, full-service, integrated real estate companies in the United States with a core focus in the Philadelphia and Austin markets. Organized as a real estate investment trust (REIT), we own, develop, lease and manage an urban, town center and transit-oriented portfolio comprising 162 properties and 22.8 million square feet as of June 30, 2023 which excludes assets held for sale. Our purpose is to shape, connect and inspire the world around us through our expertise, the relationships we foster, the communities in which we live and work, and the history we build together.",329,"{'maxAge': 1, 'name': 'Mr. George S. Hasenecz', 'title': 'Sr. VP of Investments', 'exercisedValue': 0, 'unexercisedValue': 0}",1,2,5,1,1,1693526400,1672444800,86400,2,5.01,5.01,4.915,5.06,5.01,5.01,4.915,5.06,0.76,0.1514,1688515200,5.4286,7.65,1.161134,35.857143,-23.904762,3780147,3780147,2099158,2234080,2234080,5.04,4.99,4000,3000,866522304,3.42,8.27,1.785705,4.8108,5.0869,0.76,0.1516966,USD,2996241152,0.051810004,168411329,172098000,12762182,13312747,1690761600,1693440000,0.074200004,0.02094,0.97160006,8.66,0.120900005,9.002,0.55765384,1672444800,1703980800,1688083200,24655000,0.14,-0.21,-4.77,1:3,848966400,6.175,13.179,NYQ,EQUITY,BDN,BDN,Brandywine Realty Trust,Brandywine Realty Trust,522595800,America/New_York,EDT,-14400000,5.02,7.0,2.75,5.05,6.0,3.1,hold,5,32111000,0.187,227352000,2157089024,1.497,1.916,485255008,138.572,2.826,0.0116,0.01573,290105000,99787504,192116992,-0.007,0.60085,0.46852002,0.15152,USD,
6,2929 Arch Street,Suite 1800,Philadelphia,PA,19104-5054,United States,610 325 5600,610 325 5622,https://www.brandywinerealty.com,REIT—Office,Real Estate,"Brandywine Realty Trust (NYSE: BDN) is one of the largest, publicly traded, full-service, integrated real estate companies in the United States with a core focus in the Philadelphia and Austin markets. Organized as a real estate investment trust (REIT), we own, develop, lease and manage an urban, town center and transit-oriented portfolio comprising 162 properties and 22.8 million square feet as of June 30, 2023 which excludes assets held for sale. Our purpose is to shape, connect and inspire the world around us through our expertise, the relationships we foster, the communities in which we live and work, and the history we build together.",329,"{'maxAge': 1, 'name': 'Mr. Daniel  Palazzo CPA, CPA', 'age': 51, 'title': 'Sr. VP, Chief Accounting Officer & Treasurer', 'yearBorn': 1971, 'exercisedValue': 0, 'unexercisedValue': 0}",1,2,5,1,1,1693526400,1672444800,86400,2,5.01,5.01,4.915,5.06,5.01,5.01,4.915,5.06,0.76,0.1514,1688515200,5.4286,7.65,1.161134,35.857143,-23.904762,3780147,3780147,2099158,2234080,2234080,5.04,4.99,4000,3000,866522304,3.42,8.27,1.785705,4.8108,5.0869,0.76,0.1516966,USD,2996241152,0.051810004,168411329,172098000,12762182,13312747,1690761600,1693440000,0.074200004,0.02094,0.97160006,8.66,0.120900005,9.002,0.55765384,1672444800,1703980800,1688083200,24655000,0.14,-0.21,-4.77,1:3,848966400,6.175,13.179,NYQ,EQUITY,BDN,BDN,Brandywine Realty Trust,Brandywine Realty Trust,522595800,America/New_York,EDT,-14400000,5.02,7.0,2.75,5.05,6.0,3.1,hold,5,32111000,0.187,227352000,2157089024,1.497,1.916,485255008,138.572,2.826,0.0116,0.01573,290105000,99787504,192116992,-0.007,0.60085,0.46852002,0.15152,USD,
7,2929 Arch Street,Suite 1800,Philadelphia,PA,19104-5054,United States,610 325 5600,610 325 5622,https://www.brandywinerealty.com,REIT—Office,Real Estate,"Brandywine Realty Trust (NYSE: BDN) is one of the largest, publicly traded, full-service, integrated real estate companies in the United States with a core focus in the Philadelphia and Austin markets. Organized as a real estate investment trust (REIT), we own, develop, lease and manage an urban, town center and transit-oriented portfolio comprising 162 properties and 22.8 million square feet as of June 30, 2023 which excludes assets held for sale. Our purpose is to shape, connect and inspire the world around us through our expertise, the relationships we foster, the communities in which we live and work, and the history we build together.",329,"{'maxAge': 1, 'name': 'Mr. James  Kurek', 'title': 'VP and Chief Technology & Innovation Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1,2,5,1,1,1693526400,1672444800,86400,2,5.01,5.01,4.915,5.06,5.01,5.01,4.915,5.06,0.76,0.1514,1688515200,5.4286,7.65,1.161134,35.857143,-23.904762,3780147,3780147,2099158,2234080,2234080,5.04,4.99,4000,3000,866522304,3.42,8.27,1.785705,4.8108,5.0869,0.76,0.1516966,USD,2996241152,0.051810004,168411329,172098000,12762182,13312747,1690761600,1693440000,0.074200004,0.02094,0.97160006,8.66,0.120900005,9.002,0.55765384,1672444800,1703980800,1688083200,24655000,0.14,-0.21,-4.77,1:3,848966400,6.175,13.179,NYQ,EQUITY,BDN,BDN,Brandywine Realty Trust,Brandywine Realty Trust,522595800,America/New_York,EDT,-14400000,5.02,7.0,2.75,5.05,6.0,3.1,hold,5,32111000,0.187,227352000,2157089024,1.497,1.916,485255008,138.572,2.826,0.0116,0.01573,290105000,99787504,192116992,-0.007,0.60085,0.46852002,0.15152,USD,
8,2929 Arch Street,Suite 1800,Philadelphia,PA,19104-5054,United States,610 325 5600,610 325 5622,https://www.brandywinerealty.com,REIT—Office,Real Estate,"Brandywine Realty Trust (NYSE: BDN) is one of the largest, publicly traded, full-service, integrated real estate companies in the United States with a core focus in the Philadelphia and Austin markets. Organized as a real estate investment trust (REIT), we own, develop, lease and manage an urban, town center and transit-oriented portfolio comprising 162 properties and 22.8 million square feet as of June 30, 2023 which excludes assets held for sale. Our purpose is to shape, connect and inspire the world around us through our expertise, the relationships we foster, the communities in which we live and work, and the history we build together.",329,"{'maxAge': 1, 'name': 'Mr. Shawn  Neuman', 'age': 42, 'title': 'Sr. VP, Gen. Counsel & Sec.', 'yearBorn': 1980, 'exercisedValue': 0, 'unexercisedValue': 0}",1,2,5,1,1,1693526400,1672444800,86400,2,5.01,5.01,4.915,5.06,5.01,5.01,4.915,5.06,0.76,0.1514,1688515200,5.4286,7.65,1.161134,35.857143,-23.904762,3780147,3780147,2099158,2234080,2234080,5.04,4.99,4000,3000,866522304,3.42,8.27,1.785705,4.8108,5.0869,0.76,0.1516966,USD,2996241152,0.051810004,168411329,172098000,12762182,13312747,1690761600,1693440000,0.074200004,0.02094,0.97160006,8.66,0.120900005,9.002,0.55765384,1672444800,1703980800,1688083200,24655000,0.14,-0.21,-4.77,1:3,848966400,6.175,13.179,NYQ,EQUITY,BDN,BDN,Brandywine Realty Trust,Brandywine Realty Trust,522595800,America/New_York,EDT,-14400000,5.02,7.0,2.75,5.05,6.0,3.1,hold,5,32111000,0.187,227352000,2157089024,1.497,1.916,485255008,138.572,2.826,0.0116,0.01573,290105000,99787504,192116992,-0.007,0.60085,0.46852002,0.15152,USD,
9,2929 Arch Street,Suite 1800,Philadelphia,PA,19104-5054,United States,610 325 5600,610 325 5622,https://www.brandywinerealty.com,REIT—Office,Real Estate,"Brandywine Realty Trust (NYSE: BDN) is one of the largest, publicly traded, full-service, integrated real estate companies in the United States with a core focus in the Philadelphia and Austin markets. Organized as a real estate investment trust (REIT), we own, develop, lease and manage an urban, town center and transit-oriented portfolio comprising 162 properties and 22.8 million square feet as of June 30, 2023 which excludes assets held for sale. Our purpose is to shape, connect and inspire the world around us through our expertise, the relationships we foster, the communities in which we live and work, and the history we build together.",329,"{'maxAge': 1, 'name': 'Ms. Laura  Krebs Miller', 'title': 'VP of Marketing, Media & Brand Management', 'exercisedValue': 0, 'unexercisedValue': 0}",1,2,5,1,1,1693526400,1672444800,86400,2,5.01,5.01,4.915,5.06,5.01,5.01,4.915,5.06,0.76,0.1514,1688515200,5.4286,7.65,1.161134,35.857143,-23.904762,3780147,3780147,2099158,2234080,2234080,5.04,4.99,4000,3000,866522304,3.42,8.27,1.785705,4.8108,5.0869,0.76,0.1516966,USD,2996241152,0.051810004,168411329,172098000,12762182,13312747,1690761600,1693440000,0.074200004,0.02094,0.97160006,8.66,0.120900005,9.002,0.55765384,1672444800,1703980800,1688083200,24655000,0.14,-0.21,-4.77,1:3,848966400,6.175,13.179,NYQ,EQUITY,BDN,BDN,Brandywine Realty Trust,Brandywine Realty Trust,522595800,America/New_York,EDT,-14400000,5.02,7.0,2.75,5.05,6.0,3.1,hold,5,32111000,0.187,227352000,2157089024,1.497,1.916,485255008,138.572,2.826,0.0116,0.01573,290105000,99787504,192116992,-0.007,0.60085,0.46852002,0.15152,USD,
