,address1,address2,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,1299 Ocean Avenue,Suite 1000,Santa Monica,CA,90401-1889,United States,310 255 7700,310 255 7702,https://www.douglasemmett.com,REIT—Office,Real Estate,"Douglas Emmett, Inc. (DEI) is a fully integrated, self-administered and self-managed real estate investment trust (REIT), and one of the largest owners and operators of high-quality office and multifamily properties located in the premier coastal submarkets of Los Angeles and Honolulu. Douglas Emmett focuses on owning and acquiring a substantial share of top-tier office properties and premier multifamily communities in neighborhoods that possess significant supply constraints, high-end executive housing and key lifestyle amenities.",750,"{'maxAge': 1, 'name': 'Mr. Jordan L. Kaplan', 'age': 61, 'title': 'Pres, CEO & Director', 'yearBorn': 1961, 'fiscalYear': 2022, 'totalPay': 815934, 'exercisedValue': 0, 'unexercisedValue': 0}",5,8,10,9,9,1693526400,1672444800,86400,2,12.0,12.5,12.5,12.5,12.0,12.5,12.5,12.5,0.71,0.0591,1695859200,2.5758,4.05,1.011756,40.32258,24.509804,250,250,14,25,25,12.4,12.6,19600,19200,2585775104,9.4,21.2,2.5570188,12.414,12.66875,0.85,0.07083333,EUR,8446246912,0.057719998,161498831,166738000,0.044510003,1.08189,14.318,0.87302697,1672444800,1703980800,1688083200,57344000,0.31,0.51,14.94,8.352,14.045,FRA,EQUITY,D8K.F,D8K.F,"DOUGLAS EMMETT  DL -,01","Douglas Emmett, Inc.",1305525600,Europe/Berlin,CEST,7200000,12.5,42.0,34.0,36.08,35.0,2.8,hold,12,516993984,3.101,601382976,5275492864,2.512,2.534,1011246016,129.482,5.807,0.01355,0.01145,657255000,429288512,483120992,0.027,0.65068,0.59469,0.20706,USD,
1,1299 Ocean Avenue,Suite 1000,Santa Monica,CA,90401-1889,United States,310 255 7700,310 255 7702,https://www.douglasemmett.com,REIT—Office,Real Estate,"Douglas Emmett, Inc. (DEI) is a fully integrated, self-administered and self-managed real estate investment trust (REIT), and one of the largest owners and operators of high-quality office and multifamily properties located in the premier coastal submarkets of Los Angeles and Honolulu. Douglas Emmett focuses on owning and acquiring a substantial share of top-tier office properties and premier multifamily communities in neighborhoods that possess significant supply constraints, high-end executive housing and key lifestyle amenities.",750,"{'maxAge': 1, 'name': 'Mr. Peter D. Seymour', 'age': 54, 'title': 'Chief Financial Officer', 'yearBorn': 1968, 'fiscalYear': 2022, 'totalPay': 563000, 'exercisedValue': 0, 'unexercisedValue': 0}",5,8,10,9,9,1693526400,1672444800,86400,2,12.0,12.5,12.5,12.5,12.0,12.5,12.5,12.5,0.71,0.0591,1695859200,2.5758,4.05,1.011756,40.32258,24.509804,250,250,14,25,25,12.4,12.6,19600,19200,2585775104,9.4,21.2,2.5570188,12.414,12.66875,0.85,0.07083333,EUR,8446246912,0.057719998,161498831,166738000,0.044510003,1.08189,14.318,0.87302697,1672444800,1703980800,1688083200,57344000,0.31,0.51,14.94,8.352,14.045,FRA,EQUITY,D8K.F,D8K.F,"DOUGLAS EMMETT  DL -,01","Douglas Emmett, Inc.",1305525600,Europe/Berlin,CEST,7200000,12.5,42.0,34.0,36.08,35.0,2.8,hold,12,516993984,3.101,601382976,5275492864,2.512,2.534,1011246016,129.482,5.807,0.01355,0.01145,657255000,429288512,483120992,0.027,0.65068,0.59469,0.20706,USD,
2,1299 Ocean Avenue,Suite 1000,Santa Monica,CA,90401-1889,United States,310 255 7700,310 255 7702,https://www.douglasemmett.com,REIT—Office,Real Estate,"Douglas Emmett, Inc. (DEI) is a fully integrated, self-administered and self-managed real estate investment trust (REIT), and one of the largest owners and operators of high-quality office and multifamily properties located in the premier coastal submarkets of Los Angeles and Honolulu. Douglas Emmett focuses on owning and acquiring a substantial share of top-tier office properties and premier multifamily communities in neighborhoods that possess significant supply constraints, high-end executive housing and key lifestyle amenities.",750,"{'maxAge': 1, 'name': 'Mr. Kenneth M. Panzer', 'age': 62, 'title': 'COO & Director', 'yearBorn': 1960, 'fiscalYear': 2022, 'totalPay': 812215, 'exercisedValue': 0, 'unexercisedValue': 0}",5,8,10,9,9,1693526400,1672444800,86400,2,12.0,12.5,12.5,12.5,12.0,12.5,12.5,12.5,0.71,0.0591,1695859200,2.5758,4.05,1.011756,40.32258,24.509804,250,250,14,25,25,12.4,12.6,19600,19200,2585775104,9.4,21.2,2.5570188,12.414,12.66875,0.85,0.07083333,EUR,8446246912,0.057719998,161498831,166738000,0.044510003,1.08189,14.318,0.87302697,1672444800,1703980800,1688083200,57344000,0.31,0.51,14.94,8.352,14.045,FRA,EQUITY,D8K.F,D8K.F,"DOUGLAS EMMETT  DL -,01","Douglas Emmett, Inc.",1305525600,Europe/Berlin,CEST,7200000,12.5,42.0,34.0,36.08,35.0,2.8,hold,12,516993984,3.101,601382976,5275492864,2.512,2.534,1011246016,129.482,5.807,0.01355,0.01145,657255000,429288512,483120992,0.027,0.65068,0.59469,0.20706,USD,
3,1299 Ocean Avenue,Suite 1000,Santa Monica,CA,90401-1889,United States,310 255 7700,310 255 7702,https://www.douglasemmett.com,REIT—Office,Real Estate,"Douglas Emmett, Inc. (DEI) is a fully integrated, self-administered and self-managed real estate investment trust (REIT), and one of the largest owners and operators of high-quality office and multifamily properties located in the premier coastal submarkets of Los Angeles and Honolulu. Douglas Emmett focuses on owning and acquiring a substantial share of top-tier office properties and premier multifamily communities in neighborhoods that possess significant supply constraints, high-end executive housing and key lifestyle amenities.",750,"{'maxAge': 1, 'name': 'Mr. Kevin Andrew Crummy', 'age': 56, 'title': 'Chief Investment Officer', 'yearBorn': 1966, 'fiscalYear': 2022, 'totalPay': 813000, 'exercisedValue': 0, 'unexercisedValue': 0}",5,8,10,9,9,1693526400,1672444800,86400,2,12.0,12.5,12.5,12.5,12.0,12.5,12.5,12.5,0.71,0.0591,1695859200,2.5758,4.05,1.011756,40.32258,24.509804,250,250,14,25,25,12.4,12.6,19600,19200,2585775104,9.4,21.2,2.5570188,12.414,12.66875,0.85,0.07083333,EUR,8446246912,0.057719998,161498831,166738000,0.044510003,1.08189,14.318,0.87302697,1672444800,1703980800,1688083200,57344000,0.31,0.51,14.94,8.352,14.045,FRA,EQUITY,D8K.F,D8K.F,"DOUGLAS EMMETT  DL -,01","Douglas Emmett, Inc.",1305525600,Europe/Berlin,CEST,7200000,12.5,42.0,34.0,36.08,35.0,2.8,hold,12,516993984,3.101,601382976,5275492864,2.512,2.534,1011246016,129.482,5.807,0.01355,0.01145,657255000,429288512,483120992,0.027,0.65068,0.59469,0.20706,USD,
4,1299 Ocean Avenue,Suite 1000,Santa Monica,CA,90401-1889,United States,310 255 7700,310 255 7702,https://www.douglasemmett.com,REIT—Office,Real Estate,"Douglas Emmett, Inc. (DEI) is a fully integrated, self-administered and self-managed real estate investment trust (REIT), and one of the largest owners and operators of high-quality office and multifamily properties located in the premier coastal submarkets of Los Angeles and Honolulu. Douglas Emmett focuses on owning and acquiring a substantial share of top-tier office properties and premier multifamily communities in neighborhoods that possess significant supply constraints, high-end executive housing and key lifestyle amenities.",750,"{'maxAge': 1, 'name': 'Ms. Mona M. Gisler', 'age': 48, 'title': 'Chief Accounting Officer', 'yearBorn': 1974, 'fiscalYear': 2019, 'exercisedValue': 0, 'unexercisedValue': 0}",5,8,10,9,9,1693526400,1672444800,86400,2,12.0,12.5,12.5,12.5,12.0,12.5,12.5,12.5,0.71,0.0591,1695859200,2.5758,4.05,1.011756,40.32258,24.509804,250,250,14,25,25,12.4,12.6,19600,19200,2585775104,9.4,21.2,2.5570188,12.414,12.66875,0.85,0.07083333,EUR,8446246912,0.057719998,161498831,166738000,0.044510003,1.08189,14.318,0.87302697,1672444800,1703980800,1688083200,57344000,0.31,0.51,14.94,8.352,14.045,FRA,EQUITY,D8K.F,D8K.F,"DOUGLAS EMMETT  DL -,01","Douglas Emmett, Inc.",1305525600,Europe/Berlin,CEST,7200000,12.5,42.0,34.0,36.08,35.0,2.8,hold,12,516993984,3.101,601382976,5275492864,2.512,2.534,1011246016,129.482,5.807,0.01355,0.01145,657255000,429288512,483120992,0.027,0.65068,0.59469,0.20706,USD,
5,1299 Ocean Avenue,Suite 1000,Santa Monica,CA,90401-1889,United States,310 255 7700,310 255 7702,https://www.douglasemmett.com,REIT—Office,Real Estate,"Douglas Emmett, Inc. (DEI) is a fully integrated, self-administered and self-managed real estate investment trust (REIT), and one of the largest owners and operators of high-quality office and multifamily properties located in the premier coastal submarkets of Los Angeles and Honolulu. Douglas Emmett focuses on owning and acquiring a substantial share of top-tier office properties and premier multifamily communities in neighborhoods that possess significant supply constraints, high-end executive housing and key lifestyle amenities.",750,"{'maxAge': 1, 'name': 'Mr. Stuart  McElhinney', 'title': 'VP of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",5,8,10,9,9,1693526400,1672444800,86400,2,12.0,12.5,12.5,12.5,12.0,12.5,12.5,12.5,0.71,0.0591,1695859200,2.5758,4.05,1.011756,40.32258,24.509804,250,250,14,25,25,12.4,12.6,19600,19200,2585775104,9.4,21.2,2.5570188,12.414,12.66875,0.85,0.07083333,EUR,8446246912,0.057719998,161498831,166738000,0.044510003,1.08189,14.318,0.87302697,1672444800,1703980800,1688083200,57344000,0.31,0.51,14.94,8.352,14.045,FRA,EQUITY,D8K.F,D8K.F,"DOUGLAS EMMETT  DL -,01","Douglas Emmett, Inc.",1305525600,Europe/Berlin,CEST,7200000,12.5,42.0,34.0,36.08,35.0,2.8,hold,12,516993984,3.101,601382976,5275492864,2.512,2.534,1011246016,129.482,5.807,0.01355,0.01145,657255000,429288512,483120992,0.027,0.65068,0.59469,0.20706,USD,
6,1299 Ocean Avenue,Suite 1000,Santa Monica,CA,90401-1889,United States,310 255 7700,310 255 7702,https://www.douglasemmett.com,REIT—Office,Real Estate,"Douglas Emmett, Inc. (DEI) is a fully integrated, self-administered and self-managed real estate investment trust (REIT), and one of the largest owners and operators of high-quality office and multifamily properties located in the premier coastal submarkets of Los Angeles and Honolulu. Douglas Emmett focuses on owning and acquiring a substantial share of top-tier office properties and premier multifamily communities in neighborhoods that possess significant supply constraints, high-end executive housing and key lifestyle amenities.",750,"{'maxAge': 1, 'name': 'Ms. Michele L. Aronson', 'title': 'Exec. VP, Gen. Counsel & Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",5,8,10,9,9,1693526400,1672444800,86400,2,12.0,12.5,12.5,12.5,12.0,12.5,12.5,12.5,0.71,0.0591,1695859200,2.5758,4.05,1.011756,40.32258,24.509804,250,250,14,25,25,12.4,12.6,19600,19200,2585775104,9.4,21.2,2.5570188,12.414,12.66875,0.85,0.07083333,EUR,8446246912,0.057719998,161498831,166738000,0.044510003,1.08189,14.318,0.87302697,1672444800,1703980800,1688083200,57344000,0.31,0.51,14.94,8.352,14.045,FRA,EQUITY,D8K.F,D8K.F,"DOUGLAS EMMETT  DL -,01","Douglas Emmett, Inc.",1305525600,Europe/Berlin,CEST,7200000,12.5,42.0,34.0,36.08,35.0,2.8,hold,12,516993984,3.101,601382976,5275492864,2.512,2.534,1011246016,129.482,5.807,0.01355,0.01145,657255000,429288512,483120992,0.027,0.65068,0.59469,0.20706,USD,
7,1299 Ocean Avenue,Suite 1000,Santa Monica,CA,90401-1889,United States,310 255 7700,310 255 7702,https://www.douglasemmett.com,REIT—Office,Real Estate,"Douglas Emmett, Inc. (DEI) is a fully integrated, self-administered and self-managed real estate investment trust (REIT), and one of the largest owners and operators of high-quality office and multifamily properties located in the premier coastal submarkets of Los Angeles and Honolulu. Douglas Emmett focuses on owning and acquiring a substantial share of top-tier office properties and premier multifamily communities in neighborhoods that possess significant supply constraints, high-end executive housing and key lifestyle amenities.",750,"{'maxAge': 1, 'name': 'Mr. Michael J. Means', 'age': 61, 'title': 'Sr. VP of Commercial Leasing', 'yearBorn': 1961, 'exercisedValue': 0, 'unexercisedValue': 0}",5,8,10,9,9,1693526400,1672444800,86400,2,12.0,12.5,12.5,12.5,12.0,12.5,12.5,12.5,0.71,0.0591,1695859200,2.5758,4.05,1.011756,40.32258,24.509804,250,250,14,25,25,12.4,12.6,19600,19200,2585775104,9.4,21.2,2.5570188,12.414,12.66875,0.85,0.07083333,EUR,8446246912,0.057719998,161498831,166738000,0.044510003,1.08189,14.318,0.87302697,1672444800,1703980800,1688083200,57344000,0.31,0.51,14.94,8.352,14.045,FRA,EQUITY,D8K.F,D8K.F,"DOUGLAS EMMETT  DL -,01","Douglas Emmett, Inc.",1305525600,Europe/Berlin,CEST,7200000,12.5,42.0,34.0,36.08,35.0,2.8,hold,12,516993984,3.101,601382976,5275492864,2.512,2.534,1011246016,129.482,5.807,0.01355,0.01145,657255000,429288512,483120992,0.027,0.65068,0.59469,0.20706,USD,
8,1299 Ocean Avenue,Suite 1000,Santa Monica,CA,90401-1889,United States,310 255 7700,310 255 7702,https://www.douglasemmett.com,REIT—Office,Real Estate,"Douglas Emmett, Inc. (DEI) is a fully integrated, self-administered and self-managed real estate investment trust (REIT), and one of the largest owners and operators of high-quality office and multifamily properties located in the premier coastal submarkets of Los Angeles and Honolulu. Douglas Emmett focuses on owning and acquiring a substantial share of top-tier office properties and premier multifamily communities in neighborhoods that possess significant supply constraints, high-end executive housing and key lifestyle amenities.",750,"{'maxAge': 1, 'name': 'Mr. Allan B. Golad', 'age': 67, 'title': 'Sr. VP of Property Management', 'yearBorn': 1955, 'exercisedValue': 0, 'unexercisedValue': 0}",5,8,10,9,9,1693526400,1672444800,86400,2,12.0,12.5,12.5,12.5,12.0,12.5,12.5,12.5,0.71,0.0591,1695859200,2.5758,4.05,1.011756,40.32258,24.509804,250,250,14,25,25,12.4,12.6,19600,19200,2585775104,9.4,21.2,2.5570188,12.414,12.66875,0.85,0.07083333,EUR,8446246912,0.057719998,161498831,166738000,0.044510003,1.08189,14.318,0.87302697,1672444800,1703980800,1688083200,57344000,0.31,0.51,14.94,8.352,14.045,FRA,EQUITY,D8K.F,D8K.F,"DOUGLAS EMMETT  DL -,01","Douglas Emmett, Inc.",1305525600,Europe/Berlin,CEST,7200000,12.5,42.0,34.0,36.08,35.0,2.8,hold,12,516993984,3.101,601382976,5275492864,2.512,2.534,1011246016,129.482,5.807,0.01355,0.01145,657255000,429288512,483120992,0.027,0.65068,0.59469,0.20706,USD,
9,1299 Ocean Avenue,Suite 1000,Santa Monica,CA,90401-1889,United States,310 255 7700,310 255 7702,https://www.douglasemmett.com,REIT—Office,Real Estate,"Douglas Emmett, Inc. (DEI) is a fully integrated, self-administered and self-managed real estate investment trust (REIT), and one of the largest owners and operators of high-quality office and multifamily properties located in the premier coastal submarkets of Los Angeles and Honolulu. Douglas Emmett focuses on owning and acquiring a substantial share of top-tier office properties and premier multifamily communities in neighborhoods that possess significant supply constraints, high-end executive housing and key lifestyle amenities.",750,"{'maxAge': 1, 'name': 'Mr. Theodore E. Guth', 'age': 67, 'title': 'Sr. Advisor', 'yearBorn': 1955, 'fiscalYear': 2015, 'exercisedValue': 0, 'unexercisedValue': 0}",5,8,10,9,9,1693526400,1672444800,86400,2,12.0,12.5,12.5,12.5,12.0,12.5,12.5,12.5,0.71,0.0591,1695859200,2.5758,4.05,1.011756,40.32258,24.509804,250,250,14,25,25,12.4,12.6,19600,19200,2585775104,9.4,21.2,2.5570188,12.414,12.66875,0.85,0.07083333,EUR,8446246912,0.057719998,161498831,166738000,0.044510003,1.08189,14.318,0.87302697,1672444800,1703980800,1688083200,57344000,0.31,0.51,14.94,8.352,14.045,FRA,EQUITY,D8K.F,D8K.F,"DOUGLAS EMMETT  DL -,01","Douglas Emmett, Inc.",1305525600,Europe/Berlin,CEST,7200000,12.5,42.0,34.0,36.08,35.0,2.8,hold,12,516993984,3.101,601382976,5275492864,2.512,2.534,1011246016,129.482,5.807,0.01355,0.01145,657255000,429288512,483120992,0.027,0.65068,0.59469,0.20706,USD,
