,address1,address2,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,totalRevenue,revenuePerShare,returnOnAssets,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,140 St Georges Terrace,Level 20,Perth,WA,6000,Australia,61 8 9200 3425,61 8 9200 4961,https://www.cradleresources.com.au,Other Industrial Metals & Mining,Basic Materials,"Cradle Resources Limited engages in the exploration of mineral resources in Australia. The company was incorporated in 2011 and is based in West Perth, Australia.","{'maxAge': 1, 'name': 'Mr. Grant Lawrence Burnaford Davey B.Sc.', 'age': 49, 'title': 'Exec. Director', 'yearBorn': 1973, 'fiscalYear': 2023, 'totalPay': 120000, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,4,0.041,0.042,0.041,0.042,0.041,0.042,0.041,0.042,0.0,0.544669,4.1000004,23202,23202,0,0,0,0.041,0.042,0,0,7686024,0.041,0.042,645.7758,0.041,0.041,0.0,0.0,AUD,9441252,0.0,124755588,187464000,0.75163,0.044650003,-0.001,1688083200,1719705600,1688083200,-356806,0.01,0.0,3:4,1372636800,793.249,ASX,EQUITY,CXX.AX,CXX.AX,CRADLE RES FPO,Cradle Resources Limited,1316131200,Australia/Sydney,AEST,36000000,0.041,none,4877,0.0,17596,0.053,0.126,11902,0.0,-1.6516,-36159,-205109,11.502,1.0,0.0,-30.97866,AUD,
1,140 St Georges Terrace,Level 20,Perth,WA,6000,Australia,61 8 9200 3425,61 8 9200 4961,https://www.cradleresources.com.au,Other Industrial Metals & Mining,Basic Materials,"Cradle Resources Limited engages in the exploration of mineral resources in Australia. The company was incorporated in 2011 and is based in West Perth, Australia.","{'maxAge': 1, 'name': 'Ms. Catherine  Anderson BJURIS, L.L.B.', 'title': 'Company Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,4,0.041,0.042,0.041,0.042,0.041,0.042,0.041,0.042,0.0,0.544669,4.1000004,23202,23202,0,0,0,0.041,0.042,0,0,7686024,0.041,0.042,645.7758,0.041,0.041,0.0,0.0,AUD,9441252,0.0,124755588,187464000,0.75163,0.044650003,-0.001,1688083200,1719705600,1688083200,-356806,0.01,0.0,3:4,1372636800,793.249,ASX,EQUITY,CXX.AX,CXX.AX,CRADLE RES FPO,Cradle Resources Limited,1316131200,Australia/Sydney,AEST,36000000,0.041,none,4877,0.0,17596,0.053,0.126,11902,0.0,-1.6516,-36159,-205109,11.502,1.0,0.0,-30.97866,AUD,
