Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2013-09-18 00:00:00+02:00,2.1174466693918426e-11,2.1174466693918426e-11,2.1174466693918426e-11,2.1174466693918426e-11,0,0.0,0.0
2013-09-19 00:00:00+02:00,2.150317597593432e-11,2.150317597593432e-11,2.150317597593432e-11,2.150317597593432e-11,0,0.0,0.0
2013-09-20 00:00:00+02:00,2.108543895040782e-11,2.108543895040782e-11,2.108543895040782e-11,2.108543895040782e-11,0,0.0,0.0
2013-09-23 00:00:00+02:00,2.1133374564219487e-11,2.1133374564219487e-11,2.1133374564219487e-11,2.1133374564219487e-11,0,0.0,0.0
2013-09-24 00:00:00+02:00,2.1571654185148503e-11,2.1571654185148503e-11,2.1571654185148503e-11,2.1571654185148503e-11,0,0.0,0.0
2013-09-25 00:00:00+02:00,2.1167616270911793e-11,2.1167616270911793e-11,2.1167616270911793e-11,2.1167616270911793e-11,0,0.0,0.0
2013-09-26 00:00:00+02:00,2.168807494706826e-11,2.168807494706826e-11,2.168807494706826e-11,2.168807494706826e-11,0,0.0,0.0
2013-09-27 00:00:00+02:00,2.1448391673839495e-11,2.1448391673839495e-11,2.1448391673839495e-11,2.1448391673839495e-11,0,0.0,0.0
2013-09-30 00:00:00+02:00,2.1242948372579562e-11,2.1242948372579562e-11,2.1242948372579562e-11,2.1242948372579562e-11,0,0.0,0.0
2013-10-01 00:00:00+02:00,2.1167616270911793e-11,2.1167616270911793e-11,2.1167616270911793e-11,2.1167616270911793e-11,0,0.0,0.0
2013-10-02 00:00:00+02:00,2.0373230880110782e-11,2.0373230880110782e-11,2.0373230880110782e-11,2.0373230880110782e-11,0,0.0,0.0
2013-10-03 00:00:00+02:00,2.0147243248724855e-11,2.0147243248724855e-11,2.0147243248724855e-11,2.0147243248724855e-11,0,0.0,0.0
2013-10-04 00:00:00+02:00,2.029105702905376e-11,2.029105702905376e-11,2.029105702905376e-11,2.029105702905376e-11,0,0.0,0.0
2013-10-07 00:00:00+02:00,2.016093542112074e-11,2.016093542112074e-11,2.016093542112074e-11,2.016093542112074e-11,0,0.0,0.0
2013-10-08 00:00:00+02:00,2.057182896253451e-11,2.057182896253451e-11,2.057182896253451e-11,2.057182896253451e-11,0,0.0,0.0
2013-10-09 00:00:00+02:00,2.114022845667307e-11,2.114022845667307e-11,2.114022845667307e-11,2.114022845667307e-11,0,0.0,0.0
2013-10-10 00:00:00+02:00,2.1160769317352113e-11,2.1160769317352113e-11,2.1160769317352113e-11,2.1160769317352113e-11,0,0.0,0.0
2013-10-11 00:00:00+02:00,2.1722316653760565e-11,2.1722316653760565e-11,2.1722316653760565e-11,2.1722316653760565e-11,0,0.0,0.0
2013-10-14 00:00:00+02:00,2.1715469700200885e-11,2.1715469700200885e-11,2.1715469700200885e-11,2.1715469700200885e-11,0,0.0,0.0
2013-10-15 00:00:00+02:00,2.1777097486408437e-11,2.1777097486408437e-11,2.1777097486408437e-11,2.1777097486408437e-11,0,0.0,0.0
2013-10-16 00:00:00+02:00,2.184558436924e-11,2.184558436924e-11,2.184558436924e-11,2.184558436924e-11,0,0.0,0.0
2013-10-17 00:00:00+02:00,2.2249624018200187e-11,2.2249624018200187e-11,2.2249624018200187e-11,2.2249624018200187e-11,0,0.0,0.0
2013-10-18 00:00:00+02:00,2.26262654445808e-11,2.26262654445808e-11,2.26262654445808e-11,2.2626265444580795e-11,0,0.0,0.0
2013-10-21 00:00:00+02:00,2.26262654445808e-11,2.26262654445808e-11,2.26262654445808e-11,2.2626265444580795e-11,0,0.0,0.0
2013-10-22 00:00:00+02:00,2.2859108703143782e-11,2.2859108703143782e-11,2.2859108703143782e-11,2.2859108703143782e-11,0,0.0,0.0
2013-10-23 00:00:00+02:00,2.2140053679287064e-11,2.2140053679287064e-11,2.2140053679287064e-11,2.2140053679287064e-11,0,0.0,0.0
2013-10-24 00:00:00+02:00,2.2345498715270473e-11,2.2345498715270473e-11,2.2345498715270473e-11,2.2345498715270473e-11,0,0.0,0.0
2013-10-25 00:00:00+02:00,2.151002639894095e-11,2.151002639894095e-11,2.151002639894095e-11,2.151002639894095e-11,0,0.0,0.0
2013-10-28 00:00:00+01:00,2.2153751055853377e-11,2.2153751055853377e-11,2.2153751055853377e-11,2.2153751055853377e-11,0,0.0,0.0
2013-10-29 00:00:00+01:00,2.2475611649586114e-11,2.2475611649586114e-11,2.2475611649586114e-11,2.2475611649586114e-11,0,0.0,0.0
2013-10-30 00:00:00+01:00,2.3009769437032368e-11,2.3009769437032368e-11,2.3009769437032368e-11,2.3009769437032368e-11,0,0.0,0.0
2013-10-31 00:00:00+01:00,2.2852261749584102e-11,2.2852261749584102e-11,2.2852261749584102e-11,2.2852261749584102e-11,0,0.0,0.0
2013-11-01 00:00:00+01:00,2.2715296657538353e-11,2.2715296657538353e-11,2.2715296657538353e-11,2.2715296657538353e-11,0,0.0,0.0
2013-11-04 00:00:00+01:00,2.2646814978877217e-11,2.2646814978877217e-11,2.2646814978877217e-11,2.2646814978877217e-11,0,0.0,0.0
2013-11-05 00:00:00+01:00,2.3372720425740567e-11,2.3372720425740567e-11,2.3372720425740567e-11,2.3372720425740567e-11,0,0.0,0.0
2013-11-06 00:00:00+01:00,2.378360876298391e-11,2.378360876298391e-11,2.378360876298391e-11,2.378360876298391e-11,0,0.0,0.0
2013-11-07 00:00:00+01:00,2.3283690947506486e-11,2.3283690947506486e-11,2.3283690947506486e-11,2.3283690947506486e-11,0,0.0,0.0
2013-11-08 00:00:00+01:00,2.346174469980422e-11,2.346174469980422e-11,2.346174469980422e-11,2.346174469980422e-11,0,0.0,0.0
2013-11-11 00:00:00+01:00,2.35781637270005e-11,2.35781637270005e-11,2.35781637270005e-11,2.35781637270005e-11,0,0.0,0.0
2013-11-12 00:00:00+01:00,2.4632781925326693e-11,2.4632781925326693e-11,2.4632781925326693e-11,2.4632781925326697e-11,80,0.0,0.0
2013-11-13 00:00:00+01:00,2.4694414915704677e-11,2.4694414915704677e-11,2.4694414915704677e-11,2.4694414915704677e-11,0,0.0,0.0
2013-11-14 00:00:00+01:00,2.5132694536633693e-11,2.5132694536633693e-11,2.5132694536633693e-11,2.5132694536633693e-11,0,0.0,0.0
2013-11-15 00:00:00+01:00,2.6050340704020236e-11,2.6050340704020236e-11,2.6050340704020236e-11,2.6050340704020236e-11,0,0.0,0.0
2013-11-18 00:00:00+01:00,2.581066090023842e-11,2.581066090023842e-11,2.581066090023842e-11,2.5810660900238425e-11,0,0.0,0.0
2013-11-19 00:00:00+01:00,2.539976909354813e-11,2.539976909354813e-11,2.539976909354813e-11,2.539976909354813e-11,0,0.0,0.0
2013-11-20 00:00:00+01:00,2.5338137837893626e-11,2.5338137837893626e-11,2.5338137837893626e-11,2.5338137837893626e-11,0,0.0,0.0
2013-11-21 00:00:00+01:00,2.5954472945843854e-11,2.5954472945843854e-11,2.5954472945843854e-11,2.5954472945843854e-11,0,0.0,0.0
2013-11-22 00:00:00+01:00,2.5776415724099166e-11,2.5776415724099166e-11,2.5776415724099166e-11,2.5776415724099166e-11,0,0.0,0.0
2013-11-25 00:00:00+01:00,2.5954472945843854e-11,2.5954472945843854e-11,2.5954472945843854e-11,2.5954472945843854e-11,0,0.0,0.0
2013-11-26 00:00:00+01:00,2.5749027534458534e-11,2.6303728292709216e-11,2.5749027534458534e-11,2.6303728292709216e-11,30,0.0,0.0
2013-11-27 00:00:00+01:00,2.5591518487688703e-11,2.5591518487688703e-11,2.5591518487688703e-11,2.5591518487688703e-11,0,0.0,0.0
2013-11-28 00:00:00+01:00,2.626948658601691e-11,2.626948658601691e-11,2.626948658601691e-11,2.626948658601691e-11,0,0.0,0.0
2013-11-29 00:00:00+01:00,2.589968864374903e-11,2.589968864374903e-11,2.589968864374903e-11,2.589968864374903e-11,0,0.0,0.0
2013-12-02 00:00:00+01:00,2.6029796373894243e-11,2.6029796373894243e-11,2.6029796373894243e-11,2.6029796373894243e-11,0,0.0,0.0
2013-12-03 00:00:00+01:00,2.7002237251716465e-11,2.7002237251716465e-11,2.7002237251716465e-11,2.7002237251716465e-11,0,0.0,0.0
2013-12-04 00:00:00+01:00,2.613937365170127e-11,2.613937365170127e-11,2.613937365170127e-11,2.613937365170127e-11,0,0.0,0.0
2013-12-05 00:00:00+01:00,2.557097762700966e-11,2.557097762700966e-11,2.557097762700966e-11,2.557097762700966e-11,0,0.0,0.0
2013-12-06 00:00:00+01:00,2.579011657011243e-11,2.579011657011243e-11,2.579011657011243e-11,2.579011657011243e-11,0,0.0,0.0
2013-12-09 00:00:00+01:00,2.6516023751699258e-11,2.6516023751699258e-11,2.6516023751699258e-11,2.6516023751699258e-11,0,0.0,0.0
2013-12-10 00:00:00+01:00,2.608458934960645e-11,2.608458934960645e-11,2.608458934960645e-11,2.6084589349606446e-11,0,0.0,0.0
2013-12-11 00:00:00+01:00,2.568739318475899e-11,2.568739318475899e-11,2.568739318475899e-11,2.568739318475899e-11,0,0.0,0.0
2013-12-12 00:00:00+01:00,2.532443872660384e-11,2.532443872660384e-11,2.532443872660384e-11,2.5324438726603837e-11,0,0.0,0.0
2013-12-13 00:00:00+01:00,2.5529883762587247e-11,2.5529883762587247e-11,2.5529883762587247e-11,2.5529883762587247e-11,0,0.0,0.0
2013-12-16 00:00:00+01:00,2.5529883762587247e-11,2.5529883762587247e-11,2.5529883762587247e-11,2.5529883762587247e-11,0,0.0,0.0
2013-12-17 00:00:00+01:00,2.5550429827436716e-11,2.5550429827436716e-11,2.5550429827436716e-11,2.5550429827436716e-11,0,0.0,0.0
2013-12-18 00:00:00+01:00,2.613937365170127e-11,2.613937365170127e-11,2.613937365170127e-11,2.613937365170127e-11,0,0.0,0.0
2013-12-19 00:00:00+01:00,2.6036652001071303e-11,2.6036652001071303e-11,2.6036652001071303e-11,2.6036652001071303e-11,0,0.0,0.0
2013-12-20 00:00:00+01:00,2.5701085357154874e-11,2.5701085357154874e-11,2.5701085357154874e-11,2.5701085357154874e-11,0,0.0,0.0
2013-12-23 00:00:00+01:00,2.5701085357154874e-11,2.5701085357154874e-11,2.5701085357154874e-11,2.5701085357154874e-11,0,0.0,0.0
2013-12-27 00:00:00+01:00,2.566684711990952e-11,2.566684711990952e-11,2.566684711990952e-11,2.566684711990952e-11,0,0.0,0.0
2013-12-30 00:00:00+01:00,2.5947620788113746e-11,2.5947620788113746e-11,2.5947620788113746e-11,2.5947620788113746e-11,40,0.0,0.0
2014-01-02 00:00:00+01:00,2.5933926880994385e-11,2.5933926880994385e-11,2.5933926880994385e-11,2.5933926880994385e-11,0,0.0,0.0
2014-01-03 00:00:00+01:00,2.6331124780565318e-11,2.6331124780565318e-11,2.6331124780565318e-11,2.6331124780565318e-11,0,0.0,0.0
2014-01-06 00:00:00+01:00,2.5707937514884982e-11,2.5707937514884982e-11,2.5707937514884982e-11,2.5707937514884982e-11,0,0.0,0.0
2014-01-07 00:00:00+01:00,2.5153235397312734e-11,2.5153235397312734e-11,2.5153235397312734e-11,2.5153235397312734e-11,0,0.0,0.0
2014-01-08 00:00:00+01:00,2.539976909354813e-11,2.539976909354813e-11,2.539976909354813e-11,2.539976909354813e-11,0,0.0,0.0
2014-01-09 00:00:00+01:00,2.4646477567169534e-11,2.4646477567169534e-11,2.4646477567169534e-11,2.4646477567169534e-11,0,0.0,0.0
2014-01-10 00:00:00+01:00,2.454375418181609e-11,2.454375418181609e-11,2.454375418181609e-11,2.454375418181609e-11,0,0.0,0.0
2014-01-13 00:00:00+01:00,2.4803981785170848e-11,2.4803981785170848e-11,2.4803981785170848e-11,2.4803981785170848e-11,0,0.0,0.0
2014-01-14 00:00:00+01:00,2.346174469980422e-11,2.346174469980422e-11,2.346174469980422e-11,2.346174469980422e-11,0,0.0,0.0
2014-01-15 00:00:00+01:00,2.4297220485580695e-11,2.4297220485580695e-11,2.4297220485580695e-11,2.4297220485580695e-11,0,0.0,0.0
2014-01-16 00:00:00+01:00,2.368088884707742e-11,2.368088884707742e-11,2.368088884707742e-11,2.368088884707742e-11,0,0.0,0.0
2014-01-17 00:00:00+01:00,2.3721974037882454e-11,2.3721974037882454e-11,2.3721974037882454e-11,2.3721974037882454e-11,0,0.0,0.0
2014-01-20 00:00:00+01:00,2.3619252387252487e-11,2.3619252387252487e-11,2.3619252387252487e-11,2.3619252387252487e-11,0,0.0,0.0
2014-01-21 00:00:00+01:00,2.39411147157087e-11,2.39411147157087e-11,2.39411147157087e-11,2.39411147157087e-11,0,0.0,0.0
2014-01-22 00:00:00+01:00,2.366034278222795e-11,2.366034278222795e-11,2.366034278222795e-11,2.366034278222795e-11,0,0.0,0.0
2014-01-23 00:00:00+01:00,2.3406962132432874e-11,2.3406962132432874e-11,2.3406962132432874e-11,2.3406962132432874e-11,0,0.0,0.0
2014-01-24 00:00:00+01:00,2.277693138263981e-11,2.277693138263981e-11,2.277693138263981e-11,2.277693138263981e-11,0,0.0,0.0
2014-01-27 00:00:00+01:00,2.2023634652090784e-11,2.2023634652090784e-11,2.2023634652090784e-11,2.2023634652090784e-11,0,0.0,0.0
2014-01-28 00:00:00+01:00,2.185927480691241e-11,2.185927480691241e-11,2.185927480691241e-11,2.185927480691241e-11,0,0.0,0.0
2014-01-29 00:00:00+01:00,2.32152127382923e-11,2.32152127382923e-11,2.32152127382923e-11,2.32152127382923e-11,0,0.0,0.0
2014-01-30 00:00:00+01:00,2.254409332824725e-11,2.254409332824725e-11,2.254409332824725e-11,2.254409332824725e-11,0,0.0,0.0
2014-01-31 00:00:00+01:00,2.1989392945398478e-11,2.1989392945398478e-11,2.1989392945398478e-11,2.1989392945398478e-11,0,0.0,0.0
2014-02-03 00:00:00+01:00,2.1948302550423016e-11,2.1948302550423016e-11,2.1948302550423016e-11,2.1948302550423016e-11,0,0.0,0.0
2014-02-04 00:00:00+01:00,2.0469107311904544e-11,2.0469107311904544e-11,2.0469107311904544e-11,2.0469107311904544e-11,0,0.0,0.0
2014-02-05 00:00:00+01:00,2.1003258160456895e-11,2.1003258160456895e-11,2.1003258160456895e-11,2.1003258160456895e-11,0,0.0,0.0
2014-02-06 00:00:00+01:00,2.0510197706880007e-11,2.0510197706880007e-11,2.0510197706880007e-11,2.0510197706880007e-11,0,0.0,0.0
2014-02-07 00:00:00+01:00,2.0859451319021893e-11,2.0859451319021893e-11,2.0859451319021893e-11,2.0859451319021893e-11,0,0.0,0.0
2014-02-10 00:00:00+01:00,2.1126524141212855e-11,2.1126524141212855e-11,2.1126524141212855e-11,2.1126524141212855e-11,0,0.0,0.0
2014-02-11 00:00:00+01:00,2.1099131122803705e-11,2.1099131122803705e-11,2.1099131122803705e-11,2.1099131122803705e-11,0,0.0,0.0
2014-02-12 00:00:00+01:00,2.1578504608155136e-11,2.1578504608155136e-11,2.1578504608155136e-11,2.1578504608155136e-11,0,0.0,0.0
2014-02-13 00:00:00+01:00,2.0907390402280512e-11,2.0907390402280512e-11,2.0907390402280512e-11,2.0907390402280512e-11,0,0.0,0.0
2014-02-14 00:00:00+01:00,1.9976043388880704e-11,1.9976043388880704e-11,1.9976043388880704e-11,1.9976043388880704e-11,0,0.0,0.0
2014-02-17 00:00:00+01:00,2.033214395458227e-11,2.033214395458227e-11,2.033214395458227e-11,2.033214395458227e-11,0,0.0,0.0
2014-02-18 00:00:00+01:00,2.115391889434548e-11,2.115391889434548e-11,2.115391889434548e-11,2.115391889434548e-11,0,0.0,0.0
2014-02-19 00:00:00+01:00,2.0681399301447634e-11,2.0681399301447634e-11,2.0681399301447634e-11,2.0681399301447634e-11,0,0.0,0.0
2014-02-20 00:00:00+01:00,2.0085610258346875e-11,2.0085610258346875e-11,2.0085610258346875e-11,2.0085610258346875e-11,0,0.0,0.0
2014-02-21 00:00:00+01:00,2.0907390402280512e-11,2.0907390402280512e-11,2.0907390402280512e-11,2.0907390402280512e-11,0,0.0,0.0
2014-02-24 00:00:00+01:00,2.086630000730505e-11,2.086630000730505e-11,2.086630000730505e-11,2.086630000730505e-11,0,0.0,0.0
2014-02-25 00:00:00+01:00,2.086630000730505e-11,2.086630000730505e-11,2.086630000730505e-11,2.086630000730505e-11,0,0.0,0.0
2014-02-26 00:00:00+01:00,2.1016957271746683e-11,2.1016957271746683e-11,2.1016957271746683e-11,2.1016957271746683e-11,0,0.0,0.0
2014-02-27 00:00:00+01:00,2.1434692562549706e-11,2.1434692562549706e-11,2.1434692562549706e-11,2.1434692562549706e-11,0,0.0,0.0
2014-02-28 00:00:00+01:00,2.1373059572171726e-11,2.1373059572171726e-11,2.1373059572171726e-11,2.1373059572171726e-11,0,0.0,0.0
2014-03-03 00:00:00+01:00,2.0763578356675083e-11,2.0763578356675083e-11,2.0763578356675083e-11,2.0763578356675083e-11,0,0.0,0.0
2014-03-04 00:00:00+01:00,2.0914237355840193e-11,2.0914237355840193e-11,2.0914237355840193e-11,2.0914237355840193e-11,0,0.0,0.0
