Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2018-05-16 00:00:00-04:00,-1.7035062202738616,-1.7035062202738616,-1.6919177190908048,-1.6948148012161255,3412652,0.0,0.0,0.0
2018-05-17 00:00:00-04:00,-1.6977120637893677,-1.700609145927941,-1.6948148089690194,-1.6977120637893677,1291721,0.0,0.0,0.0
2018-05-18 00:00:00-04:00,-1.700609145927941,-1.7035062280665143,-1.6948148089690194,-1.6977120637893677,830490,0.0,0.0,0.0
2018-05-21 00:00:00-04:00,-1.7006091523779157,-1.712197653657936,-1.7006091523779157,-1.7093003988265991,3325375,0.0,0.0,0.0
2018-05-22 00:00:00-04:00,-1.7121976613998413,-1.7179918257251627,-1.7064033243927434,-1.7121976613998413,2090130,0.0,0.0,0.0
2018-05-23 00:00:00-04:00,-1.7121976613998413,-1.7179918257251627,-1.7064033243927434,-1.7121976613998413,792779,0.0,0.0,0.0
2018-05-24 00:00:00-04:00,-1.717991887029834,-1.717991887029834,-1.7121977224977543,-1.715094804763794,827782,0.0,0.0,0.0
2018-05-25 00:00:00-04:00,-1.717991828918457,-1.717991828918457,-1.712197664582366,-1.717991828918457,1109558,0.0,0.0,0.0
2018-05-29 00:00:00-04:00,-1.717991887029834,-1.717991887029834,-1.700609220751812,-1.715094804763794,2373939,0.0,0.0,0.0
2018-05-30 00:00:00-04:00,-1.7179918763458106,-1.7179918763458106,-1.706403374671936,-1.706403374671936,785519,0.0,0.0,0.0
2018-05-31 00:00:00-04:00,-1.7121977224977543,-1.7150948047637942,-1.7064033852838918,-1.715094804763794,3316147,0.0,0.0,0.0
2018-06-01 00:00:00-04:00,-1.715094743562502,-1.715094743562502,-1.7064033243927434,-1.7121976613998413,2649984,0.0,0.0,0.0
2018-06-04 00:00:00-04:00,-1.7121976613998413,-1.7179918257251627,-1.7093004065554043,-1.7121976613998413,506663,0.0,0.0,0.0
2018-06-05 00:00:00-04:00,-1.720888969295874,-1.720888969295874,-1.7121977224977543,-1.715094804763794,905727,0.0,0.0,0.0
2018-06-06 00:00:00-04:00,-1.7208889110865027,-1.7208889110865027,-1.7093004097325435,-1.717991828918457,715385,0.0,0.0,0.0
2018-06-07 00:00:00-04:00,-1.7121977224977543,-1.720888969295874,-1.7064033852838918,-1.715094804763794,1115167,0.0,0.0,0.0
2018-06-08 00:00:00-04:00,-1.715094735807497,-1.715094735807497,-1.7064033166770378,-1.7093003988265991,803098,0.0,0.0,0.0
2018-06-11 00:00:00-04:00,-1.7064033166770378,-1.715094735807497,-1.7064033166770378,-1.7093003988265991,549524,0.0,0.0,0.0
2018-06-12 00:00:00-04:00,-1.7093004675499317,-1.717991887029834,-1.7093004675499317,-1.715094804763794,2267035,0.0,0.0,0.0
2018-06-13 00:00:00-04:00,-1.717991828918457,-1.7208889110865027,-1.712197664582366,-1.717991828918457,2209186,0.0,0.0,0.0
2018-06-14 00:00:00-04:00,-1.7121977254692067,-1.7266833095063279,-1.7121977254692067,-1.7208889722824097,2086246,0.0,0.0,0.0
2018-06-15 00:00:00-04:00,-1.7237862348556519,-1.7295803994234018,-1.7208889798899933,-1.7237862348556519,1987013,0.0,0.0,0.0
2018-06-18 00:00:00-04:00,-1.7237862348556519,-1.7266833171395268,-1.7150948153222436,-1.7237862348556519,1623299,0.0,0.0,0.0
2018-06-19 00:00:00-04:00,-1.7266832481043706,-1.7266832481043706,-1.7150947467504114,-1.717991828918457,1328306,0.0,0.0,0.0
2018-06-20 00:00:00-04:00,-1.7208889585938338,-1.7208889585938338,-1.706403374671936,-1.706403374671936,1020364,0.0,0.0,0.0
2018-06-21 00:00:00-04:00,-1.712197653657936,-1.7208889001066194,-1.7064033166770378,-1.7093003988265991,1692476,0.0,0.0,0.0
2018-06-22 00:00:00-04:00,-1.7064033243927434,-1.715094743562502,-1.7064033243927434,-1.7121976613998413,2334137,0.0,0.0,0.0
2018-06-25 00:00:00-04:00,-1.7150947940977874,-1.7150947940977874,-1.7035062924239128,-1.706403374671936,746842,0.0,0.0,0.0
2018-06-26 00:00:00-04:00,-1.7093003988265991,-1.715094735807497,-1.7006091523779157,-1.7093003988265991,1684914,0.0,0.0,0.0
2018-06-27 00:00:00-04:00,-1.7093004065554043,-1.7179918257251627,-1.7035062422300828,-1.7121976613998413,1965871,0.0,0.0,0.0
2018-06-28 00:00:00-04:00,-1.7179918257251627,-1.7179918257251627,-1.7093004065554043,-1.7121976613998413,1173320,0.0,0.0,0.0
2018-06-29 00:00:00-04:00,-1.7121977224977543,-1.720888969295874,-1.7093004675499317,-1.715094804763794,1417374,0.0,0.0,0.0
2018-07-02 00:00:00-04:00,-1.7093004065554043,-1.715094743562502,-1.7093004065554043,-1.7121976613998413,2416539,0.0,0.0,0.0
2018-07-03 00:00:00-04:00,-1.7093004065554043,-1.715094743562502,-1.7093004065554043,-1.7121976613998413,556939,0.0,0.0,0.0
2018-07-05 00:00:00-04:00,-1.7150948077402743,-1.7295803917773955,-1.7150948077402743,-1.7208889722824097,1308678,0.0,0.0,0.0
2018-07-06 00:00:00-04:00,-1.7208889110865027,-1.7208889110865027,-1.717991828918457,-1.717991828918457,716065,0.0,0.0,0.0
2018-07-09 00:00:00-04:00,-1.717991887029834,-1.720888969295874,-1.7121977224977543,-1.715094804763794,860779,0.0,0.0,0.0
2018-07-10 00:00:00-04:00,-1.712197653657936,-1.7179918179570584,-1.7064033166770378,-1.7093003988265991,1297504,0.0,0.0,0.0
2018-07-11 00:00:00-04:00,-1.7121976613998413,-1.7179918257251627,-1.7093004065554043,-1.7121976613998413,1075597,0.0,0.0,0.0
2018-07-12 00:00:00-04:00,-1.715094743562502,-1.7179918257251627,-1.7093004065554043,-1.7121976613998413,385248,0.0,0.0,0.0
2018-07-13 00:00:00-04:00,-1.715094743562502,-1.715094743562502,-1.7093004065554043,-1.7121976613998413,402163,0.0,0.0,0.0
2018-07-16 00:00:00-04:00,-1.709300471165119,-2.0395721672367606,-1.709300471165119,-2.0279836654663086,144697756,0.0,0.0,0.0
2018-07-17 00:00:00-04:00,-2.0163950778257616,-2.0192923326563292,-1.9990124122512323,-2.0019094944000244,72043491,0.0,0.0,0.0
2018-07-18 00:00:00-04:00,-2.0019094911696436,-2.0048065733137608,-1.9903209899113985,-1.9961153268814087,34053059,0.0,0.0,0.0
2018-07-19 00:00:00-04:00,-1.9961153268814087,-1.9990124090255261,-1.9903209899113985,-1.9961153268814087,21496258,0.0,0.0,0.0
2018-07-20 00:00:00-04:00,-1.9932182619753422,-2.019292346861447,-1.9932182619753422,-2.016395092010498,38525204,0.0,0.0,0.0
2018-07-23 00:00:00-04:00,-2.0163951501084805,-2.0192924050429073,-2.013498067855835,-2.013498067855835,5105023,0.0,0.0,0.0
2018-07-24 00:00:00-04:00,-2.019292296641282,-2.025086460835525,-2.016395041862388,-2.0221893787384033,7605462,0.0,0.0,0.0
2018-07-25 00:00:00-04:00,-2.0250865831941414,-2.0279836654663086,-2.022189500921974,-2.0279836654663086,4401263,0.0,0.0,0.0
2018-07-26 00:00:00-04:00,-2.0279836074317097,-2.0308806896209717,-2.025086525242448,-2.0308806896209717,8013155,0.0,0.0,0.0
2018-07-27 00:00:00-04:00,-2.033777894231211,-2.036674976348877,-2.0221893930787727,-2.036674976348877,8707570,0.0,0.0,0.0
2018-07-30 00:00:00-04:00,-2.0366750343944475,-2.0395721165946807,-2.030880697312202,-2.033777952194214,14732662,0.0,0.0,0.0
2018-07-31 00:00:00-04:00,-2.033777894231211,-2.039572058466543,-2.0221893930787727,-2.036674976348877,13651010,0.0,0.0,0.0
2018-08-01 00:00:00-04:00,-2.036674976348877,-2.036674976348877,-2.030880639431771,-2.036674976348877,2776468,0.0,0.0,0.0
2018-08-02 00:00:00-04:00,-2.0366750849645934,-2.0366750849645934,-2.022189500921974,-2.0279836654663086,11748573,0.0,0.0,0.0
2018-08-03 00:00:00-04:00,-2.0250865831941414,-2.030880747738476,-2.0250865831941414,-2.0279836654663086,4438306,0.0,0.0,0.0
